"chord"	"altchord"	"measure"	"beat"	"totbeat"	"timesig"	"length"	"global_key"	"local_key"	"pedal"	"numeral"	"form"	"figbass"	"changes"	"relativeroot"	"phraseend"
"iiio6(2)"	""	318	2.5	953.5	"6/8"	1.0	"D"	"I"	"I"	"iii"	"o"	"6"	"2"	""	false
"iiio6"	""	318	3.5	954.5	"6/8"	0.5	"D"	"I"	"I"	"iii"	"o"	"6"	""	""	false
"iiio6]"	""	319	1.0	955.0	"6/8"	6.0	"D"	"I"	"I"	"iii"	"o"	"6"	""	""	false
"iii64"	""	321	1.0	961.0	"6/8"	6.0	"D"	"I"	""	"iii"	""	"64"	""	""	false
"#viio2/ii"	""	323	1.0	967.0	"6/8"	3.0	"D"	"I"	""	"#vii"	"o"	"2"	""	"ii"	false
"V7/ii"	""	324	1.0	970.0	"6/8"	3.0	"D"	"I"	""	"V"	""	"7"	""	"ii"	false
"ii64"	""	325	1.0	973.0	"6/8"	3.0	"D"	"I"	""	"ii"	""	"64"	""	""	false
"viio2"	""	326	1.0	976.0	"6/8"	3.0	"D"	"I"	""	"vii"	"o"	"2"	""	""	false
"V7"	""	327	1.0	979.0	"6/8"	6.0	"D"	"I"	""	"V"	""	"7"	""	""	false
"V(4)"	""	329	1.0	985.0	"6/8"	6.0	"D"	"I"	""	"V"	""	""	"4"	""	false
"V9"	""	331	1.0	991.0	"6/8"	3.0	"D"	"I"	""	"V"	""	"9"	""	""	false
"V[V6"	""	332	1.0	994.0	"6/8"	3.0	"D"	"I"	"V"	"V"	""	"6"	""	""	false
"vi7"	""	333	1.0	997.0	"6/8"	3.0	"D"	"I"	"V"	"vi"	""	"7"	""	""	false
"IV6"	""	334	1.0	1000.0	"6/8"	1.5	"D"	"I"	"V"	"IV"	""	"6"	""	""	false
"iv6"	""	334	2.5	1001.5	"6/8"	1.5	"D"	"I"	"V"	"iv"	""	"6"	""	""	false
"V7"	""	335	1.0	1003.0	"6/8"	1.5	"D"	"I"	"V"	"V"	""	"7"	""	""	false
"V+6"	""	335	2.5	1004.5	"6/8"	1.5	"D"	"I"	"V"	"V"	"+"	"6"	""	""	false
"I"	""	336	1.0	1006.0	"6/8"	1.5	"D"	"I"	"V"	"I"	""	""	""	""	false
"#io"	""	336	2.5	1007.5	"6/8"	1.5	"D"	"I"	"V"	"#i"	"o"	""	""	""	false
"ii"	""	337	1.0	1009.0	"6/8"	1.5	"D"	"I"	"V"	"ii"	""	""	""	""	false
"#iio7"	""	337	2.5	1010.5	"6/8"	1.5	"D"	"I"	"V"	"#ii"	"o"	"7"	""	""	false
"iii"	""	338	1.0	1012.0	"6/8"	1.5	"D"	"I"	"V"	"iii"	""	""	""	""	false
"III"	""	338	2.5	1013.5	"6/8"	1.5	"D"	"I"	"V"	"III"	""	""	""	""	false
"IV"	""	339	1.0	1015.0	"6/8"	1.5	"D"	"I"	"V"	"IV"	""	""	""	""	false
"viio6"	""	339	2.5	1016.5	"6/8"	1.5	"D"	"I"	"V"	"vii"	"o"	"6"	""	""	false
"I6]"	""	340	1.0	1018.0	"6/8"	3.0	"D"	"I"	"V"	"I"	""	"6"	""	""	false
"V7"	""	341	1.0	1021.0	"6/8"	6.0	"D"	"I"	""	"V"	""	"7"	""	""	false
"I\\\\"	""	343	1.0	1027.0	"6/8"	3.0	"D"	"I"	""	"I"	""	""	""	""	true
"IV"	""	344	1.0	1030.0	"6/8"	3.0	"D"	"I"	""	"IV"	""	""	""	""	false
"V7/V"	""	345	1.0	1033.0	"6/8"	1.5	"D"	"I"	""	"V"	""	"7"	""	"V"	false
"V"	""	345	2.5	1034.5	"6/8"	1.5	"D"	"I"	""	"V"	""	""	""	""	false
"I"	""	346	1.0	1036.0	"6/8"	1.5	"D"	"I"	""	"I"	""	""	""	""	false
"ii6(7)"	""	346	2.5	1037.5	"6/8"	1.0	"D"	"I"	""	"ii"	""	"6"	"7"	""	false
"ii6"	""	346	3.5	1038.5	"6/8"	0.5	"D"	"I"	""	"ii"	""	"6"	""	""	false
"I"	""	347	1.0	1039.0	"6/8"	-0.5	"D"	"I"	""	"I"	""	""	""	""	false
"vi"	""	347	0.5	1038.5	"6/8"	3.5	"D"	"I"	""	"vi"	""	""	""	""	false
"IV7"	""	348	1.0	1042.0	"6/8"	3.0	"D"	"I"	""	"IV"	""	"7"	""	""	false
"ii7"	""	349	1.0	1045.0	"6/8"	1.5	"D"	"I"	""	"ii"	""	"7"	""	""	false
"V7"	""	349	2.5	1046.5	"6/8"	1.5	"D"	"I"	""	"V"	""	"7"	""	""	false
"IM7"	""	350	1.0	1048.0	"6/8"	1.5	"D"	"I"	""	"I"	"M"	"7"	""	""	false
"ii6(+42)"	""	350	2.5	1049.5	"6/8"	1.0	"D"	"I"	""	"ii"	""	"6"	"+42"	""	false
"viio64"	""	350	3.5	1050.5	"6/8"	0.5	"D"	"I"	""	"vii"	"o"	"64"	""	""	false
"I"	""	351	1.0	1051.0	"6/8"	2.0	"D"	"I"	""	"I"	""	""	""	""	false
"I(64)"	""	351	3.0	1053.0	"6/8"	2.5	"D"	"I"	""	"I"	""	""	"64"	""	false
"ii42"	""	352	2.5	1055.5	"6/8"	3.0	"D"	"I"	""	"ii"	""	"42"	""	""	false
"V6"	""	353	2.5	1058.5	"6/8"	1.5	"D"	"I"	""	"V"	""	"6"	""	""	false
"V7"	""	354	1.0	1060.0	"6/8"	3.0	"D"	"I"	""	"V"	""	"7"	""	""	false
"I"	""	355	1.0	1063.0	"6/8"	2.0	"D"	"I"	""	"I"	""	""	""	""	false
"I(64)"	""	355	3.0	1065.0	"6/8"	3.0	"D"	"I"	""	"I"	""	""	"64"	""	false
"ii42"	""	356	3.0	1068.0	"6/8"	2.5	"D"	"I"	""	"ii"	""	"42"	""	""	false
"V6"	""	357	2.5	1070.5	"6/8"	2.0	"D"	"I"	""	"V"	""	"6"	""	""	false
"V7"	""	358	1.5	1072.5	"6/8"	2.0	"D"	"I"	""	"V"	""	"7"	""	""	false
"viio6"	""	358	3.5	1074.5	"6/8"	0.5	"D"	"I"	""	"vii"	"o"	"6"	""	""	false
"I"	""	359	1.0	1075.0	"6/8"	3.0	"D"	"I"	""	"I"	""	""	""	""	false
"IV"	""	360	1.0	1078.0	"6/8"	3.0	"D"	"I"	""	"IV"	""	""	""	""	false
"V7(4)"	""	361	1.0	1081.0	"6/8"	3.0	"D"	"I"	""	"V"	""	"7"	"4"	""	false
"V7"	""	362	1.0	1084.0	"6/8"	3.0	"D"	"I"	""	"V"	""	"7"	""	""	false
"I"	""	363	1.0	1087.0	"6/8"	3.0	"D"	"I"	""	"I"	""	""	""	""	false
"V7"	""	364	1.0	1090.0	"6/8"	3.0	"D"	"I"	""	"V"	""	"7"	""	""	false
"I"	""	365	1.0	1093.0	"6/8"	3.0	"D"	"I"	""	"I"	""	""	""	""	false
"V7"	""	366	1.0	1096.0	"6/8"	3.0	"D"	"I"	""	"V"	""	"7"	""	""	false
"I"	""	367	1.0	1099.0	"6/8"	12.0	"D"	"I"	""	"I"	""	""	""	""	false
"I\\\\"	""	371	1.0	1111.0	"6/8"	3.0	"D"	"I"	""	"I"	""	""	""	""	true
