"chords"	"altchords"	"measure"	"beat"	"global_key"	"local_key"	"organ"	"numeral"	"form"	"figbass"	"changes"	"relativeroot"	"phraseend"
"I"	NA	235	1.0	"D"	"I"	""	"I"	""	""	""	""	false
"V7"	NA	235	1.9999999999999998	"D"	"I"	""	"V"	""	"7"	""	""	false
"I"	NA	235	3.0	"D"	"I"	""	"I"	""	""	""	""	false
"V7"	NA	235	4.0	"D"	"I"	""	"V"	""	"7"	""	""	false
"I"	NA	236	1.0	"D"	"I"	""	"I"	""	""	""	""	false
"V7"	NA	236	1.9999999999999998	"D"	"I"	""	"V"	""	"7"	""	""	false
"I"	NA	236	3.0	"D"	"I"	""	"I"	""	""	""	""	false
"V7"	NA	236	4.0	"D"	"I"	""	"V"	""	"7"	""	""	false
"I"	NA	237	1.0	"D"	"I"	""	"I"	""	""	""	""	false
".bIII.v6"	NA	238	1.0	"D"	"bIII"	""	"v"	""	"6"	""	""	false
"V6"	NA	239	1.0	"D"	"bIII"	""	"V"	""	"6"	""	""	false
"I"	NA	240	1.0	"D"	"bIII"	""	"I"	""	""	""	""	false
"iv.V65"	NA	241	1.0	"D"	"iv"	""	"V"	""	"65"	""	""	false
"i"	NA	243	1.0	"D"	"iv"	""	"i"	""	""	""	""	false
"V43"	NA	244	1.0	"D"	"iv"	""	"V"	""	"43"	""	""	false
"i6"	NA	245	1.0	"D"	"iv"	""	"i"	""	"6"	""	""	false
"iv"	NA	246	1.0	"D"	"iv"	""	"iv"	""	""	""	""	false
"V(64)"	NA	247	1.0	"D"	"iv"	""	"V"	""	""	"(64)"	""	false
"V7"	NA	248	1.0	"D"	"iv"	""	"V"	""	"7"	""	""	false
".bII.I"	NA	249	1.0	"D"	"bII"	""	"I"	""	""	""	""	false
"V2"	NA	250	1.0	"D"	"bII"	""	"V"	""	"2"	""	""	false
"I6"	NA	251	1.0	"D"	"bII"	""	"I"	""	"6"	""	""	false
"I+6"	NA	251	2.0	"D"	"bII"	""	"I"	"+"	"6"	""	""	false
"#vo6"	NA	251	3.0	"D"	"bII"	""	"#v"	"o"	"6"	""	""	false
"I+"	NA	252	1.0	"D"	"bII"	""	"I"	"+"	""	""	""	false
"I"	NA	252	2.0	"D"	"bII"	""	"I"	""	""	""	""	false
"V"	NA	252	3.0	"D"	"bII"	""	"V"	""	""	""	""	false
"I"	NA	253	1.0	"D"	"bII"	""	"I"	""	""	""	""	false
"viio(4)"	NA	254	1.0	"D"	"bII"	""	"vii"	"o"	""	"(4)"	""	false
"viio"	NA	254	4.0	"D"	"bII"	""	"vii"	"o"	""	""	""	false
"I.V65"	NA	255	1.0	"D"	"I"	""	"V"	""	"65"	""	""	false
"I"	NA	255	3.0	"D"	"I"	""	"I"	""	""	""	""	false
"ii65"	NA	256	1.0	"D"	"I"	""	"ii"	""	"65"	""	""	false
"V7"	NA	256	3.0	"D"	"I"	""	"V"	""	"7"	""	""	false
"I\\\\"	NA	257	1.0	"D"	"I"	""	"I"	""	""	""	""	true
"V7"	NA	258	1.0	"D"	"I"	""	"V"	""	"7"	""	""	false
"V(64)"	NA	259	1.0	"D"	"I"	""	"V"	""	""	"(64)"	""	false
"V2"	NA	260	1.0	"D"	"I"	""	"V"	""	"2"	""	""	false
"I6"	NA	261	1.0	"D"	"I"	""	"I"	""	"6"	""	""	false
"I"	NA	261	3.0	"D"	"I"	""	"I"	""	""	""	""	false
"V6"	NA	262	1.0	"D"	"I"	""	"V"	""	"6"	""	""	false
"V"	NA	262	3.0	"D"	"I"	""	"V"	""	""	""	""	false
"I"	NA	263	1.0	"D"	"I"	""	"I"	""	""	""	""	false
"#viio7/V"	NA	264	1.0	"D"	"I"	""	"#vii"	"o"	"7"	""	"V"	false
"V(64)"	NA	265	1.0	"D"	"I"	""	"V"	""	""	"(64)"	""	false
"V7"	NA	267	1.0	"D"	"I"	""	"V"	""	"7"	""	""	false
"I"	NA	269	1.0	"D"	"I"	""	"I"	""	""	""	""	false
"V7"	NA	270	1.0	"D"	"I"	""	"V"	""	"7"	""	""	false
"I\\\\"	NA	271	1.0	"D"	"I"	""	"I"	""	""	""	""	true
