mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
102	92	1/4	1/4	2/4	4	1	viio7]	0	-2.73778	/			Eb	I		viio7		vii	o	7			]			o7	0	0	2, -1, -4, -7		2	2	1	3	0.25	0.125	0.625	0.16666666666666666
103	93	0	0	2/4	4	1	V7						Eb	I		V7		V		7						Mm7	0	0	-2, 2, -1, -4		-2	-2	0	5	0.0	0.0	0.75	0.0
103	93	1/4	1/4	2/4	4	1	I6						Eb	I		I6		I		6						M	0	0	1, -2, -3		-3	1	0	5	0.0	0.0	0.75	0.0
104	94	0	0	2/4	4	1	V7						Eb	I		V7		V		7						Mm7	0	0	-2, 2, -1, -4		-2	-2	2	14	0.125	0.25	2.5	0.09090909090909091
105	95	1/4	1/4	2/4	4	1	I	0	-3.15871	/			Eb	I		I		I								M	0	0	-3, 1, -2		-3	-3	0	5	0.0	0.0	1.0	0.0
106	96	0	0	2/4	4	1	V7						Eb	I		V7		V		7						Mm7	0	0	-2, 2, -1, -4		-2	-2	0	10	0.0	0.0	2.0	0.0
107	97	0	0	2/4	4	1	I						Eb	I		I		I								M	0	0	-3, 1, -2		-3	-3	3	11	0.21428571428571427	0.375	1.625	0.1875
108	98	0	0	2/4	4	1	IV(4)	0	-3.32483	/			Eb	I		IV(4)		IV			4					M	0	0	-4, 2, -3		-4	-4	2	4	0.3333333333333333	0.25	1.0	0.2
108	98	1/4	1/4	2/4	4	1	IV	0	-3.32	/			Eb	I		IV		IV								M	0	0	-4, 0, -3		-4	-4	0	5	0.0	0.0	0.75	0.0
109	99	0	0	2/4	4	1	V43(2)	0	-3.32	/			Eb	I		V43(2)		V		43	2					Mm7	0	0	-1, -4, 0, 2		-2	-1	3	4	0.42857142857142855	0.375	0.625	0.375
109	99	1/4	1/4	2/4	4	1	V7	0	-3.32	/			Eb	I		V7		V		7						Mm7	0	0	-2, 2, -1, -4		-2	-2	0	8	0.0	0.0	1.125	0.0
110	100	0	0	2/4	4	1	I\\						Eb	I		I		I							\\	M	0	0	-3, 1, -2		-3	-3	0	5	0.0	0.0	1.25	0.0
111	100	0	1/4	2/4	4	1	I6						Eb	I		I6		I		6						M	0	0	1, -2, -3		-3	1	0	4	0.0	0.0	0.625	0.0
112	101	0	0	2/4	4	1	I						Eb	I		I		I								M	0	0	-3, 1, -2		-3	-3	0	10	0.0	0.0	1.0	0.0
112	101	1/4	1/4	2/4	4	1	vi						Eb	I		vi		vi								m	0	0	0, -3, 1		0	0	0	4	0.0	0.0	0.625	0.0
113	102	0	0	2/4	4	1	IV						Eb	I		IV		IV								M	0	0	-4, 0, -3		-4	-4	0	14	0.0	0.0	1.625	0.0
114	103	0	0	2/4	4	1	ii	0	-3.31958	/			Eb	I		ii		ii								m	0	0	-1, -4, 0		-1	-1	0	14	0.0	0.0	1.625	0.0
115	104	0	0	2/4	4	1	V65						Eb	I		V65		V		65						Mm7	0	0	2, -1, -4, -2		-2	2	0	14	0.0	0.0	1.625	0.0
116	105	0	0	2/4	4	1	V	0	-3.9847	/			Eb	I		V		V								M	0	0	-2, 2, -1		-2	-2	0	10	0.0	0.0	1.0	0.0
116	105	1/4	1/4	2/4	4	1	V6						Eb	I		V6		V		6						M	0	0	2, -1, -2		-2	2	0	4	0.0	0.0	0.625	0.0
117	106	0	0	2/4	4	1	I						Eb	I		I		I								M	0	0	-3, 1, -2		-3	-3	0	14	0.0	0.0	1.625	0.0
118	107	0	0	2/4	4	1	IV(7)						Eb	I		IV(7)		IV			7					M	0	0	-4, 0, -3	1	-4	-4	1	11	0.08333333333333333	0.0625	1.0625	0.05555555555555555
118	107	3/8	3/8	2/4	4	1	ii6	-0.614686	-5.36854	/		iv6/vi	Eb	I		ii6		ii		6						m	0	0	-4, 0, -1		-1	-4	1	4	0.2	0.0625	0.4375	0.125
119	108	0	0	2/4	4	1	V/vi\\	1.22937	-5.16364	/			Eb	I		V/vi		V				vi			\\	M	0	0	1, 5, 2		1	1	0	5	0.0	0.0	0.625	0.0
120	108	0	1/4	2/4	4	1	viio6/IV						Eb	I		viio6/IV		vii	o	6		IV				o	0	0	-2, -5, 1		1	-2	0	5	0.0	0.0	0.75	0.0
121	109	0	0	2/4	4	1	V7/ii						Eb	I		V7/ii		V		7		ii				Mm7	0	0	0, 4, 1, -2		0	0	0	12	0.0	0.0	1.25	0.0
121	109	1/4	1/4	2/4	4	1	ii						Eb	I		ii		ii								m	0	0	-1, -4, 0		-1	-1	0	5	0.0	0.0	0.75	0.0
122	110	0	0	2/4	4	1	V7						Eb	I		V7		V		7						Mm7	0	0	-2, 2, -1, -4		-2	-2	0	12	0.0	0.0	1.25	0.0
122	110	1/4	1/4	2/4	4	1	I						Eb	I		I		I								M	0	0	-3, 1, -2		-3	-3	0	5	0.0	0.0	0.625	0.0
123	111	0	0	2/4	4	1	Ger6/iii	0	-4.54895	/			Eb	I		Ger6/iii	Ger	vii	o	65	b3	V/iii				Ger	0	0	-3, 1, -2, 7		7	-3	0	10	0.0	0.0	1.0	0.0
123	111	1/4	1/4	2/4	4	1	V/iii						Eb	I		V/iii		V				iii				M	0	0	2, 6, 3		2	2	0	7	0.0	0.0	0.625	0.0
124	112	0	0	2/4	4	1	V/iii	0	-3.67951	/			Eb	I		V/iii		V				iii				M	0	0	2, 6, 3		2	2	1	9	0.1	0.0625	0.9375	0.0625
124	112	1/4	1/4	2/4	4	1	V7						Eb	I		V7		V		7						Mm7	0	0	-2, 2, -1, -4		-2	-2	1	65	0.015151515151515152	0.0625	7.9375	0.0078125
128	116	0	0	2/4	4	1	V65						Eb	I		V65		V		65						Mm7	0	0	2, -1, -4, -2		-2	2	0	21	0.0	0.0	2.375	0.0
129	117	0	0	2/4	4	1	I	0.614686	-6.18812	/			Eb	I		I		I								M	0	0	-3, 1, -2		-3	-3	0	18	0.0	0.0	2.125	0.0
130	118	0	0	2/4	4	1	ii6						Eb	I		ii6		ii		6						m	0	0	-4, 0, -1		-1	-4	2	8	0.2	0.1875	0.8125	0.1875
130	118	1/4	1/4	2/4	4	1	ii						Eb	I		ii		ii								m	0	0	-1, -4, 0		-1	-1	0	5	0.0	0.0	0.75	0.0
131	119	0	0	2/4	4	1	V7						Eb	I		V7		V		7						Mm7	0	0	-2, 2, -1, -4		-2	-2	2	18	0.1	0.125	1.875	0.0625
132	120	0	0	2/4	4	1	I\\	0	-4.54895	/			Eb	I		I		I							\\	M	0	0	-3, 1, -2		-3	-3	0	6	0.0	0.0	0.75	0.0
133	120	0	1/4	2/4	4	1	I[I	-0.409791	-2.90979	/			Eb	I	I	I		I								M	0	0	-3, 1, -2		-3	-3	0	17	0.0	0.0	1.5416666666666667	0.0
135	122	3/8	3/8	2/4	4	1	vii%7						Eb	I		vii%7		vii	%	7						%7	0	0	2, -1, -4, 0		2	2	1	3	0.25	0.08333333333333333	0.375	0.18181818181818182
136	123	0	0	2/4	4	1	I						Eb	I		I		I								M	0	0	-3, 1, -2		-3	-3	0	5	0.0	0.0	0.5416666666666666	0.0
136	123	1/8	1/8	2/4	4	1	vii%7						Eb	I		vii%7		vii	%	7						%7	0	0	2, -1, -4, 0		2	2	1	3	0.25	0.08333333333333333	0.375	0.18181818181818182
136	123	1/4	1/4	2/4	4	1	I						Eb	I		I		I								M	0	0	-3, 1, -2		-3	-3	1	13	0.07142857142857142	0.125	1.4166666666666667	0.08108108108108107
137	124	1/8	1/8	2/4	4	1	IV						Eb	I		IV		IV								M	0	0	-4, 0, -3		-4	-4	0	9	0.0	0.0	1.0	0.0
137	124	3/8	3/8	2/4	4	1	I64						Eb	I		I64		I		64						M	0	0	-2, -3, 1		-3	-2	0	4	0.0	0.0	0.4583333333333333	0.0
138	125	0	0	2/4	4	1	vi7						Eb	I		vi7		vi		7						mm7	0	0	0, -3, 1, -2		0	0	0	5	0.0	0.0	0.5416666666666666	0.0
138	125	1/8	1/8	2/4	4	1	viio						Eb	I		viio		vii	o							o	0	0	2, -1, -4		2	2	1	3	0.25	0.08333333333333333	0.375	0.18181818181818182
138	125	1/4	1/4	2/4	4	1	viio6						Eb	I		viio6		vii	o	6						o	0	0	-1, -4, 2		2	-1	2	3	0.4	0.16666666666666666	0.375	0.3076923076923077
138	125	3/8	3/8	2/4	4	1	I6						Eb	I		I6		I		6						M	0	0	1, -2, -3		-3	1	0	9	0.0	0.0	1.0	0.0
139	126	1/8	1/8	2/4	4	1	viio64						Eb	I		viio64		vii	o	64						o	0	0	-4, 2, -1		2	-4	3	6	0.3333333333333333	0.25	0.75	0.25
139	126	3/8	3/8	2/4	4	1	I6						Eb	I		I6		I		6						M	0	0	1, -2, -3		-3	1	0	4	0.0	0.0	0.4583333333333333	0.0
140	127	0	0	2/4	4	1	viio64						Eb	I		viio64		vii	o	64						o	0	0	-4, 2, -1		2	-4	2	3	0.4	0.16666666666666666	0.375	0.3076923076923077
140	127	1/8	1/8	2/4	4	1	I6						Eb	I		I6		I		6						M	0	0	1, -2, -3		-3	1	0	9	0.0	0.0	1.0	0.0
140	127	3/8	3/8	2/4	4	1	viio6						Eb	I		viio6		vii	o	6						o	0	0	-1, -4, 2		2	-1	1	3	0.25	0.08333333333333333	0.375	0.18181818181818182
141	128	0	0	2/4	4	1	I6						Eb	I		I6		I		6						M	0	0	1, -2, -3		-3	1	0	5	0.0	0.0	0.5416666666666666	0.0
141	128	1/8	1/8	2/4	4	1	viio6						Eb	I		viio6		vii	o	6						o	0	0	-1, -4, 2		2	-1	1	3	0.25	0.08333333333333333	0.375	0.18181818181818182
141	128	1/4	1/4	2/4	4	1	I						Eb	I		I		I								M	0	0	-3, 1, -2		-3	-3	0	5	0.0	0.0	0.5416666666666666	0.0
141	128	3/8	3/8	2/4	4	1	I+6	-0.503362	-2.60623	/			Eb	I		I+6		I	+	6						+	0	0	1, 5, -3		-3	1	0	4	0.0	0.0	0.4583333333333333	0.0
142	129	0	0	2/4	4	1	IV						Eb	I		IV		IV								M	0	0	-4, 0, -3		-4	-4	0	5	0.0	0.0	0.5416666666666666	0.0
142	129	1/8	1/8	2/4	4	1	viio						Eb	I		viio		vii	o							o	0	0	2, -1, -4		2	2	1	3	0.25	0.08333333333333333	0.375	0.18181818181818182
142	129	1/4	1/4	2/4	4	1	I6						Eb	I		I6		I		6						M	0	0	1, -2, -3		-3	1	0	5	0.0	0.0	0.5416666666666666	0.0
142	129	3/8	3/8	2/4	4	1	V6						Eb	I		V6		V		6						M	0	0	2, -1, -2		-2	2	1	3	0.25	0.08333333333333333	0.375	0.18181818181818182
143	130	0	0	2/4	4	1	I]\\						Eb	I		I		I					]		\\	M	0	0	-3, 1, -2		-3	-3	0	6	0.0	0.0	1.0	0.0
144	130	0	1/4	2/4	4	1	bVII.vi6(4)	-1.76616	-4.95	/			Eb	bVII		vi6(4)		vi		6	4					m	0	0	-3, -1, -2		-2	-3	4	1	0.8	0.4166666666666667	0.25	0.625
144	130	1/8	3/8	2/4	4	1	vi6	0	-4.95	/			Eb	bVII		vi6		vi		6						m	0	0	-5, -1, -2		-2	-5	0	3	0.0	0.0	0.3333333333333333	0.0
145	131	0	0	2/4	4	1	I[I64	0.118891	-4.95277	/			Eb	bVII	I	I64		I		64						M	0	0	-4, -5, -1		-5	-4	4	11	0.26666666666666666	0.5	1.5	0.25
146	132	0	0	2/4	4	1	ii6						Eb	bVII		ii6		ii		6						m	0	0	-6, -2, -3		-3	-6	2	3	0.4	0.16666666666666666	0.375	0.3076923076923077
146	132	1/8	1/8	2/4	4	1	I6						Eb	bVII		I6		I		6						M	0	0	-1, -4, -5		-5	-1	0	9	0.0	0.0	1.0	0.0
146	132	3/8	3/8	2/4	4	1	ii6						Eb	bVII		ii6		ii		6						m	0	0	-6, -2, -3		-3	-6	1	3	0.25	0.08333333333333333	0.375	0.18181818181818182
147	133	0	0	2/4	4	1	viio6						Eb	bVII		viio6		vii	o	6						o	0	0	-3, -6, 0		0	-3	3	6	0.3333333333333333	0.25	0.75	0.25
147	133	1/4	1/4	2/4	4	1	I6						Eb	bVII		I6		I		6						M	0	0	-1, -4, -5		-5	-1	0	17	0.0	0.0	2.5416666666666665	0.0
148	134	3/8	3/8	2/4	4	1	V						Eb	bVII		V		V								M	0	0	-4, 0, -3		-4	-4	3	6	0.3333333333333333	0.25	0.75	0.25
149	135	1/8	1/8	2/4	4	1	IV						Eb	bVII		IV		IV								M	0	0	-6, -2, -5		-6	-6	0	4	0.0	0.0	0.4583333333333333	0.0
149	135	1/4	1/4	2/4	4	1	I6						Eb	bVII		I6		I		6						M	0	0	-1, -4, -5		-5	-1	0	5	0.0	0.0	0.5416666666666666	0.0
149	135	3/8	3/8	2/4	4	1	V						Eb	bVII		V		V								M	0	0	-4, 0, -3		-4	-4	5	4	0.5555555555555556	0.5	0.5	0.5
150	136	1/8	1/8	2/4	4	1	I						Eb	bVII		I		I								M	0	0	-5, -1, -4		-5	-5	0	9	0.0	0.0	1.0	0.0
150	136	3/8	3/8	2/4	4	1	ii6						Eb	bVII		ii6		ii		6						m	0	0	-6, -2, -3		-3	-6	3	6	0.3333333333333333	0.25	0.75	0.25
151	137	1/8	1/8	2/4	4	1	I6						Eb	bVII		I6		I		6						M	0	0	-1, -4, -5		-5	-1	0	4	0.0	0.0	0.4583333333333333	0.0
151	137	1/4	1/4	2/4	4	1	I						Eb	bVII		I		I								M	0	0	-5, -1, -4		-5	-5	0	5	0.0	0.0	0.5416666666666666	0.0
151	137	3/8	3/8	2/4	4	1	ii						Eb	bVII		ii		ii								m	0	0	-3, -6, -2		-3	-3	1	3	0.25	0.08333333333333333	0.375	0.18181818181818182
152	138	0	0	2/4	4	1	I6]						Eb	bVII		I6		I		6			]			M	0	0	-1, -4, -5		-5	-1	1	4	0.2	0.08333333333333333	0.4583333333333333	0.15384615384615385
152	138	1/8	1/8	2/4	4	1	I.V65						Eb	I		V65		V		65						Mm7	0	0	2, -1, -4, -2		-2	2	0	4	0.0	0.0	0.4583333333333333	0.0
152	138	1/4	1/4	2/4	4	1	I[I6						Eb	I	I	I6		I		6						M	0	0	1, -2, -3		-3	1	0	5	0.0	0.0	0.5416666666666666	0.0
152	138	3/8	3/8	2/4	4	1	vii%43						Eb	I		vii%43		vii	%	43						%7	0	0	-4, 0, 2, -1		2	-4	1	3	0.25	0.08333333333333333	0.375	0.18181818181818182
153	139	0	0	2/4	4	1	I6						Eb	I		I6		I		6						M	0	0	1, -2, -3		-3	1	0	5	0.0	0.0	0.5416666666666666	0.0
153	139	1/8	1/8	2/4	4	1	vii%43						Eb	I		vii%43		vii	%	43						%7	0	0	-4, 0, 2, -1		2	-4	1	3	0.25	0.08333333333333333	0.375	0.18181818181818182
153	139	1/4	1/4	2/4	4	1	I6						Eb	I		I6		I		6						M	0	0	1, -2, -3		-3	1	1	13	0.07142857142857142	0.125	1.4166666666666667	0.08108108108108107
154	140	1/8	1/8	2/4	4	1	IV						Eb	I		IV		IV								M	0	0	-4, 0, -3		-4	-4	0	4	0.0	0.0	0.4583333333333333	0.0
154	140	1/4	1/4	2/4	4	1	vii%7						Eb	I		vii%7		vii	%	7						%7	0	0	2, -1, -4, 0		2	2	2	3	0.4	0.16666666666666666	0.375	0.3076923076923077
154	140	3/8	3/8	2/4	4	1	I						Eb	I		I		I								M	0	0	-3, 1, -2		-3	-3	0	4	0.0	0.0	0.4583333333333333	0.0
155	141	0	0	2/4	4	1	viio6						Eb	I		viio6		vii	o	6						o	0	0	-1, -4, 2		2	-1	2	3	0.4	0.16666666666666666	0.375	0.3076923076923077
155	141	1/8	1/8	2/4	4	1	viio/IV						Eb	I		viio/IV		vii	o			IV				o	0	0	1, -2, -5		1	1	1	3	0.25	0.08333333333333333	0.375	0.18181818181818182
155	141	1/4	1/4	2/4	4	1	IV						Eb	I		IV		IV								M	0	0	-4, 0, -3		-4	-4	0	5	0.0	0.0	0.5416666666666666	0.0
155	141	3/8	3/8	2/4	4	1	V7						Eb	I		V7		V		7						Mm7	0	0	-2, 2, -1, -4		-2	-2	1	3	0.25	0.08333333333333333	0.375	0.18181818181818182
156	142	0	0	2/4	4	1	I]\\	-0.204895	-3.97829	/	1		Eb	I		I		I					]		\\	M	0	0	-3, 1, -2		-3	-3	0	6	0.0	0.0	1.0	0.0
157	142	0	0	2/4	4	1	I]	0	-3.92721	/	2		Eb	I		I		I					]			M	0	0	-3, 1, -2		-3	-3	1	10	0.09090909090909091	0.125	1.375	0.08333333333333333
158	143	0	0	2/4	4	1	I6						Eb	I		I6		I		6						M	0	0	1, -2, -3		-3	1	1	10	0.09090909090909091	0.125	1.375	0.08333333333333333
159	144	0	0	2/4	4	1	V2						Eb	I		V2		V		2						Mm7	0	0	-4, -2, 2, -1		-2	-4	2	9	0.18181818181818182	0.25	1.25	0.16666666666666666
160	145	0	0	2/4	4	1	V43						Eb	I		V43		V		43						Mm7	0	0	-1, -4, -2, 2		-2	-1	0	11	0.0	0.0	1.5	0.0
161	146	0	0	2/4	4	1	V6						Eb	I		V6		V		6						M	0	0	2, -1, -2		-2	2	1	5	0.16666666666666666	0.125	0.625	0.16666666666666666
161	146	1/4	1/4	2/4	4	1	V2	0	-5.23	/			Eb	I		V2		V		2						Mm7	0	0	-4, -2, 2, -1		-2	-4	2	6	0.25	0.25	0.75	0.25
162	147	0	0	2/4	4	1	I6	0	-5.23	/			Eb	I		I6		I		6						M	0	0	1, -2, -3		-3	1	2	13	0.13333333333333333	0.25	1.75	0.125
163	148	0	0	2/4	4	1	V2	0	-5.23135	/			Eb	I		V2		V		2						Mm7	0	0	-4, -2, 2, -1		-2	-4	4	11	0.26666666666666666	0.5	1.5	0.25
164	149	0	0	2/4	4	1	V43	0	-5.23	/			Eb	I		V43		V		43						Mm7	0	0	-1, -4, -2, 2		-2	-1	0	15	0.0	0.0	2.0	0.0
165	150	0	0	2/4	4	1	V6	0	-5.23	/			Eb	I		V6		V		6						M	0	0	2, -1, -2		-2	2	2	6	0.25	0.25	0.75	0.25
165	150	1/4	1/4	2/4	4	1	I64						Eb	I		I64		I		64						M	0	0	-2, -3, 1		-3	-2	5	35	0.125	0.5	3.25	0.13333333333333333
167	152	0	0	2/4	4	1	V65						Eb	I		V65		V		65						Mm7	0	0	2, -1, -4, -2		-2	2	4	23	0.14814814814814814	0.375	2.125	0.15
168	153	0	0	2/4	4	1	V						Eb	I		V		V								M	0	0	-2, 2, -1		-2	-2	2	19	0.09523809523809523	0.1875	1.8125	0.09375
168	153	3/8	3/8	2/4	4	1	V2	0	-5	/			Eb	I		V2		V		2						Mm7	0	0	-4, -2, 2, -1		-2	-4	1	5	0.16666666666666666	0.0625	0.4375	0.125
169	154	0	0	2/4	4	1	I6	0	-5	/			Eb	I		I6		I		6						M	0	0	1, -2, -3		-3	1	1	8	0.1111111111111111	0.0625	0.6875	0.08333333333333333
169	154	1/8	1/8	2/4	4	1	V43	0.0328878	-4.99805	/			Eb	I		V43		V		43						Mm7	0	0	-1, -4, -2, 2		-2	-1	1	5	0.16666666666666666	0.0625	0.4375	0.125
169	154	1/4	1/4	2/4	4	1	V65/ii	0	-5	/			Eb	I		V65/ii		V		65		ii				Mm7	0	0	4, 1, -2, 0		0	4	1	8	0.1111111111111111	0.125	0.875	0.125
170	155	0	0	2/4	4	1	V65/ii	0.118891	-5.69	/			Eb	I		V65/ii		V		65		ii				Mm7	0	0	4, 1, -2, 0		0	4	0	9	0.0	0.0	1.0	0.0
170	155	1/4	1/4	2/4	4	1	ii	0	-5.69375	/			Eb	I		ii		ii								m	0	0	-1, -4, 0		-1	-1	0	9	0.0	0.0	1.0	0.0
171	156	0	0	2/4	4	1	#vii6/ii	-0.323786	-5.69	/			Eb	I		#vii6/ii		#vii		6		ii				m	0	0	1, 5, 4		4	1	3	6	0.3333333333333333	0.25	0.75	0.25
171	156	1/4	1/4	2/4	4	1	ii6	0	-5.69	/			Eb	I		ii6		ii		6						m	0	0	-4, 0, -1		-1	-4	0	9	0.0	0.0	1.0	0.0
172	157	0	0	2/4	4	1	V(64)	0	-3.59785	/			Eb	I		V(64)		V			64					M	0	0	-2, -3, 1		-2	-2	0	8	0.0	0.0	1.0	0.0
172	157	1/4	1/4	2/4	4	1	V2	0	-3.99707	/			Eb	I		V2		V		2						Mm7	0	0	-4, -2, 2, -1		-2	-4	0	10	0.0	0.0	1.0	0.0
173	158	0	0	2/4	4	1	I6	0	-3.58878	/			Eb	I		I6		I		6						M	0	0	1, -2, -3		-3	1	4	6	0.4	0.4166666666666667	0.5833333333333334	0.4166666666666667
173	158	1/4	1/4	2/4	4	1	#viio7/ii	0.0328878	-5.06197	/			Eb	I		#viio7/ii		#vii	o	7		ii				o7	0	0	4, 1, -2, -5		4	4	0	9	0.0	0.0	1.0	0.0
174	159	0	0	2/4	4	1	V65/ii	0.356674	-4.28337	/			Eb	I		V65/ii		V		65		ii				Mm7	0	0	4, 1, -2, 0		0	4	0	9	0.0	0.0	1.0	0.0
174	159	1/4	1/4	2/4	4	1	ii	0.204895	-4.34406	/			Eb	I		ii		ii								m	0	0	-1, -4, 0		-1	-1	0	9	0.0	0.0	1.0	0.0
175	160	0	0	2/4	4	1	V65/ii	-0.204895	-4.11274	/			Eb	I		V65/ii		V		65		ii				Mm7	0	0	4, 1, -2, 0		0	4	0	10	0.0	0.0	1.0	0.0
175	160	1/4	1/4	2/4	4	1	ii6	0.151779	-4.40592	/			Eb	I		ii6		ii		6						m	0	0	-4, 0, -1		-1	-4	0	10	0.0	0.0	1.0	0.0
176	161	0	0	2/4	4	1	V(64)	-0.204895	-3.72937	/			Eb	I		V(64)		V			64					M	0	0	-2, -3, 1		-2	-2	0	10	0.0	0.0	1.0	0.0
176	161	1/4	1/4	2/4	4	1	V7						Eb	I		V7		V		7						Mm7	0	0	-2, 2, -1, -4		-2	-2	1	15	0.0625	0.0	1.5	0.0
177	162	0	0	2/4	4	1	I\\						Eb	I		I		I							\\	M	0	0	-3, 1, -2		-3	-3	0	25	0.0	0.0	2.25	0.0
178	163	0	0	2/4	4	1	#viio2/ii						Eb	I		#viio2/ii		#vii	o	2		ii				o7	0	0	-5, 4, 1, -2		4	-5	0	30	0.0	0.0	2.5	0.0
179	164	0	0	2/4	4	1	I						Eb	I		I		I								M	0	0	-3, 1, -2		-3	-3	0	25	0.0	0.0	2.5	0.0
180	165	0	0	2/4	4	1	V7	0	-2.99902	/			Eb	I		V7		V		7						Mm7	0	0	-2, 2, -1, -4		-2	-2	2	34	0.05555555555555555	0.16666666666666666	2.8333333333333335	0.05555555555555555
181	166	0	0	2/4	4	1	I						Eb	I		I		I								M	0	0	-3, 1, -2		-3	-3	0	25	0.0	0.0	2.25	0.0
182	167	0	0	2/4	4	1	#viio2/ii						Eb	I		#viio2/ii		#vii	o	2		ii				o7	0	0	-5, 4, 1, -2		4	-5	0	30	0.0	0.0	2.5	0.0
183	168	0	0	2/4	4	1	I						Eb	I		I		I								M	0	0	-3, 1, -2		-3	-3	0	25	0.0	0.0	2.5	0.0
184	169	0	0	2/4	4	1	V7						Eb	I		V7		V		7						Mm7	0	0	-2, 2, -1, -4		-2	-2	1	14	0.06666666666666667	0.08333333333333333	1.9166666666666667	0.041666666666666664
185	170	0	0	2/4	4	1	I	0	-3.58878	/			Eb	I		I		I								M	0	0	-3, 1, -2		-3	-3	3	12	0.2	0.1875	1.0625	0.15
186	171	0	0	2/4	4	1	IV	0	-5.13121	/			Eb	I		IV		IV								M	0	0	-4, 0, -3		-4	-4	6	9	0.4	0.375	0.875	0.3
187	172	0	0	2/4	4	1	ii	0	-4.04244	/			Eb	I		ii		ii								m	0	0	-1, -4, 0		-1	-1	6	9	0.4	0.375	0.875	0.3
188	173	0	0	2/4	4	1	V65	0	-2.71957	/			Eb	I		V65		V		65						Mm7	0	0	2, -1, -4, -2		-2	2	5	10	0.3333333333333333	0.3125	0.9375	0.25
189	174	0	0	2/4	4	1	V7						Eb	I		V7		V		7						Mm7	0	0	-2, 2, -1, -4		-2	-2	4	11	0.26666666666666666	0.25	1.0	0.2
190	175	0	0	2/4	4	1	I	0	-3.48807	/			Eb	I		I		I								M	0	0	-3, 1, -2		-3	-3	5	10	0.3333333333333333	0.3125	0.9375	0.25
191	176	0	0	2/4	4	1	ii	0.614686	-4.54895	/			Eb	I		ii		ii								m	0	0	-1, -4, 0		-1	-1	4	7	0.36363636363636365	0.25	0.625	0.2857142857142857
191	176	1/4	1/4	2/4	4	1	ii6	0	-3.06337	/			Eb	I		ii6		ii		6						m	0	0	-4, 0, -1		-1	-4	0	4	0.0	0.0	0.5	0.0
191	176	3/8	3/8	2/4	4	1	V7	0	-3.23238	/			Eb	I		V7		V		7						Mm7	0	0	-2, 2, -1, -4		-2	-2	0	5	0.0	0.0	0.5	0.0
192	177	0	0	2/4	4	1	I						Eb	I		I		I								M	0	0	-3, 1, -2		-3	-3	0	20	0.0	0.0	1.75	0.0
193	178	0	0	2/4	4	1	I	0	-5.04948	/			Eb	I		I		I								M	0	0	-3, 1, -2		-3	-3	0	24	0.0	0.0	2.0	0.0
194	179	0	0	2/4	4	1	IV						Eb	I		IV		IV								M	0	0	-4, 0, -3		-4	-4	0	24	0.0	0.0	2.0	0.0
195	180	0	0	2/4	4	1	ii						Eb	I		ii		ii								m	0	0	-1, -4, 0		-1	-1	0	24	0.0	0.0	2.0	0.0
196	181	0	0	2/4	4	1	V65						Eb	I		V65		V		65						Mm7	0	0	2, -1, -4, -2		-2	2	0	24	0.0	0.0	2.0	0.0
197	182	0	0	2/4	4	1	V7						Eb	I		V7		V		7						Mm7	0	0	-2, 2, -1, -4		-2	-2	0	24	0.0	0.0	2.0	0.0
198	183	0	0	2/4	4	1	I						Eb	I		I		I								M	0	0	-3, 1, -2		-3	-3	0	24	0.0	0.0	2.0	0.0
199	184	0	0	2/4	4	1	V7						Eb	I		V7		V		7						Mm7	0	0	-2, 2, -1, -4		-2	-2	0	24	0.0	0.0	2.0	0.0
200	185	0	0	2/4	4	1	I\\	-1.90226	-3.57002	/			Eb	I		I		I							\\	M	0	0	-3, 1, -2		-3	-3	24	28	0.46153846153846156	1.5	2.0	0.42857142857142855
202	187	0	0	2/4	4	1	vi	0.356674	-3.57002	/			Eb	I		vi		vi								m	0	0	0, -3, 1		0	0	16	16	0.5	1.0	1.0	0.5
203	188	0	0	2/4	4	1	V7						Eb	I		V7		V		7						Mm7	0	0	-2, 2, -1, -4		-2	-2	8	24	0.25	0.5	1.5	0.25
204	189	0	0	2/4	4	1	ii						Eb	I		ii		ii								m	0	0	-1, -4, 0		-1	-1	24	24	0.5	1.5	1.5	0.5
205	190	1/4	1/4	2/4	4	1	V7						Eb	I		V7		V		7						Mm7	0	0	-2, 2, -1, -4		-2	-2	4	12	0.25	0.25	0.75	0.25
206	191	0	0	2/4	4	1	I						Eb	I		I		I								M	0	0	-3, 1, -2		-3	-3	12	8	0.6	0.75	0.5	0.6
206	191	5/16	5/16	2/4	4	1	V6						Eb	I		V6		V		6						M	0	0	2, -1, -2		-2	2	4	4	0.5	0.25	0.25	0.5
206	191	7/16	7/16	2/4	4	1	#viio/ii	-1.18891	-2.5	/			Eb	I		#viio/ii		#vii	o			ii				o	0	0	4, 1, -2		4	4	0	4	0.0	0.0	0.25	0.0
207	192	0	0	2/4	4	1	ii						Eb	I		ii		ii								m	0	0	-1, -4, 0		-1	-1	4	4	0.5	0.25	0.25	0.5
207	192	1/8	1/8	2/4	4	1	ii6						Eb	I		ii6		ii		6						m	0	0	-4, 0, -1		-1	-4	2	2	0.5	0.125	0.125	0.5
