mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
112	107	213	223	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	1512									31
112	107	427/2	447/2	0.5		3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	1513									31
112	107	212	222	0.0		0	0	Spanner	2/4	4	1	0													
112	107	212	222	0.0		0	0	Spanner	2/4	4	1	0													32
112	107	212	222	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	1514									32
112	107	425/2	445/2	0.5		1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	1515									32
112	107	213	223	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	1516									32
112	107	427/2	447/2	0.5		3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	1517									32
113	108	214	224	0.0		0	0	StaffText	2/4	1	1	0							<i>dim.</i>						
113	108	214	224	0.0		0	0	Spanner	2/4	1	1	0													
113	108	429/2	449/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	1518									
113	108	215	225	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	1519									
113	108	431/2	451/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	1520									
113	108	214	224	0.0		0	0	Spanner	2/4	2	1	0													
113	108	214	224	2.0		0	0	Chord	2/4	2	1	1/2		1/2	1	1521									
113	108	216	226	0.0		1/2	1/2	StaffText	2/4	2	1	0							<i>dim.</i>						
113	108	214	224	0.0		0	0	Spanner	2/4	3	1	0													
113	108	214	224	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	1522									
113	108	429/2	449/2	0.0		1/8	1/8	StaffText	2/4	3	1	0							<i>dim.</i>						
113	108	429/2	449/2	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	1523									
113	108	215	225	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	1524									
113	108	431/2	451/2	0.5		3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	1525									
113	108	214	224	0.0		0	0	Spanner	2/4	4	1	0													
113	108	214	224	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	1526									
113	108	429/2	449/2	0.0		1/8	1/8	StaffText	2/4	4	1	0							<i>dim.</i>						
113	108	429/2	449/2	0.5		1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	1527									
113	108	215	225	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	1528									
113	108	431/2	451/2	0.5		3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	1529									
114	109	216	226	0.0		0	0	StaffText	2/4	1	1	0							<i>cresc.</i>						
114	109	216	226	2.0		0	0	Chord	2/4	1	1	1/2		1/2	1	1530							114		
114	109	216	226	0.0		0	0	StaffText	2/4	2	1	0							<i>cresc.</i>						
114	109	216	226	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	1531							115		
114	109	217	227	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	1532									
114	109	216	226	0.0		0	0	StaffText	2/4	3	1	0							<i>cresc.</i>						
114	109	216	226	1.0		0	0	Chord	2/4	3	1	1/4		1/4	1	1533									
114	109	217	227	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	1534							116		
114	109	435/2	455/2	0.5		3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	1535							116		
114	109	216	226	0.0		0	0	StaffText	2/4	4	1	0							<i>cresc.</i>						
114	109	216	226	2.0		0	0	Chord	2/4	4	1	1/2		1/2	1	1536							117		
115	110	218	228	2.0		0	0	Chord	2/4	1	1	1/2		1/2	1	1537							114		
115	110	218	228	2.0		0	0	Chord	2/4	2	1	1/2		1/2	1	1538									
115	110	218	228	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	1539							116		
115	110	437/2	457/2	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	1540							116		
115	110	219	229	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	1541							116		
115	110	439/2	459/2	0.5		3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	1542							116		
115	110	218	228	1.0		0	0	Chord	2/4	4	1	1/4		1/4	1	1543							117		
115	110	219	229	1.0		1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	1544							117		
116	111	220	230	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	1545							114		
116	111	441/2	461/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	1546							114		
116	111	221	231	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	1547							114		
116	111	443/2	463/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	1548							114		
116	111	220	230	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	1549							118		
116	111	221	231	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	1550							118		
116	111	220	230	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	1551							116		
116	111	441/2	461/2	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	1552							116		
116	111	221	231	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	1553							116		
116	111	443/2	463/2	0.5		3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	1554							116		
116	111	220	230	1.0		0	0	Chord	2/4	4	1	1/4		1/4	1	1555							117		
116	111	221	231	1.0		1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	1556							117		
117	112	222	232	0.0		0	0	Spanner	2/4	1	1	0											114		33
117	112	222	232	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	1557							114		33
117	112	445/2	465/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	1558							114		33
117	112	223	233	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	1559							114		33
117	112	447/2	467/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	1560									33
117	112	222	232	0.0		0	0	Spanner	2/4	2	1	0											118		34
117	112	222	232	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	1561							118		34
117	112	223	233	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	1562									34
117	112	222	232	0.0		0	0	Spanner	2/4	3	1	0											116		35
117	112	222	232	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	1563							116		35
117	112	445/2	465/2	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	1564							116		35
117	112	223	233	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	1565							116		35
117	112	447/2	467/2	0.5		3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	1566							116		35
117	112	222	232	0.0		0	0	Spanner	2/4	4	1	0											117		36
117	112	222	232	1.0		0	0	Chord	2/4	4	1	1/4		1/4	1	1567							117		36
117	112	223	233	1.0		1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	1568									36
118	113	224	234	0.0		0	0	StaffText	2/4	1	1	0							<i>cresc.</i>						
118	113	224	234	0.0		0	0	Spanner	2/4	1	1	0													
118	113	224	234	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	1569							119		
118	113	451/2	471/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	1570							119		
118	113	224	234	0.0		0	0	Spanner	2/4	2	1	0													
118	113	224	234	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	1571									
118	113	225	235	0.0		1/4	1/4	StaffText	2/4	2	1	0							<i>cresc.</i>						
118	113	225	235	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	1572									
118	113	224	234	0.0		0	0	StaffText	2/4	3	1	0							<i>cresc.</i>						
118	113	224	234	0.0		0	0	Spanner	2/4	3	1	0													
118	113	224	234	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	1573									
118	113	449/2	469/2	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	1574							120		
118	113	225	235	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	1575							120		
118	113	451/2	471/2	0.5		3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	1576							120		
118	113	224	234	0.0		0	0	StaffText	2/4	4	1	0							<i>cresc.</i>						
118	113	224	234	0.0		0	0	Spanner	2/4	4	1	0													
118	113	224	234	1.0		0	0	Chord	2/4	4	1	1/4		1/4	1	1577							121		
118	113	225	235	1.0		1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	1578							121		
119	114	226	236	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	1579							119		
119	114	453/2	473/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	1580							119		
119	114	227	237	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	1581							119		
119	114	455/2	475/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	1582									
119	114	226	236	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	1583							122		
119	114	227	237	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	1584									
119	114	226	236	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	1585							120		
119	114	453/2	473/2	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	1586							120		
119	114	227	237	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	1587							120		
119	114	455/2	475/2	0.5		3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	1588									
119	114	226	236	1.0		0	0	Chord	2/4	4	1	1/4		1/4	1	1589							121		
119	114	227	237	1.0		1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	1590							121		
120	115	228	238	0.0		0	0	Dynamic	2/4	1	1	0					p								
120	115	228	238	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	1591							123		
120	115	457/2	477/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	1592							123		
120	115	229	239	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	1593							123		
120	115	459/2	479/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	1594							123		
120	115	228	238	0.0		0	0	Dynamic	2/4	2	1	0					p								
120	115	229	239	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	1595									
120	115	228	238	0.0		0	0	Dynamic	2/4	3	1	0					p								
120	115	228	238	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	1596							124		
120	115	457/2	477/2	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	1597							124		
120	115	229	239	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	1598							124		
120	115	459/2	479/2	0.5		3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	1599							124		
120	115	228	238	0.0		0	0	Dynamic	2/4	4	1	0					p						121		
120	115	228	238	1.0		0	0	Chord	2/4	4	1	1/4		1/4	1	1600							121		
120	115	229	239	1.0		1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	1601							121		
121	116	230	240	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	1602							123		
121	116	461/2	481/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	1603							123		
121	116	231	241	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	1604							123		
121	116	463/2	483/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	1605									
121	116	231	241	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	1606									
121	116	230	240	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	1607							124		
121	116	461/2	481/2	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	1608							124		
121	116	231	241	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	1609							124		
121	116	463/2	483/2	0.5		3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	1610									
121	116	230	240	1.0		0	0	Chord	2/4	4	1	1/4		1/4	1	1611							121		
121	116	231	241	1.0		1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	1612									
122	117	465/2	485/2	0.0		1/8	1/8	StaffText	2/4	1	1	0							<i>cresc.</i>						
122	117	465/2	485/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	1613							125		
122	117	233	243	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	1614							125		
122	117	467/2	487/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	1615							125		
122	117	232	242	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	1616									
122	117	465/2	485/2	0.0		1/8	1/8	StaffText	2/4	2	1	0							<i>cresc.</i>						
122	117	465/2	485/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	1617									
122	117	233	243	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	1618							126		
122	117	467/2	487/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	1619							126		
122	117	232	242	1.0		0	0	Chord	2/4	3	1	1/4		1/4	1	1620									
122	117	233	243	0.0		1/4	1/4	StaffText	2/4	3	1	0							<i>cresc.</i>						
122	117	233	243	1.0		1/4	1/4	Chord	2/4	3	1	1/4		1/4	1	1621							127		
122	117	232	242	2.0		0	0	Chord	2/4	4	1	1/2		1/2	1	1622							128		
122	117	234	244	0.0		1/2	1/2	StaffText	2/4	4	1	0							<i>cresc.</i>				128		
123	118	234	244	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	1623							125		
123	118	469/2	489/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	1624							125		
123	118	235	245	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	1625							125		
123	118	471/2	491/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	1626							125		
123	118	234	244	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	1627							126		
123	118	469/2	489/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	1628							126		
123	118	235	245	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	1629							126		
123	118	471/2	491/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	1630							126		
123	118	234	244	1.0		0	0	Chord	2/4	3	1	1/4		1/4	1	1631							127		
123	118	235	245	1.0		1/4	1/4	Chord	2/4	3	1	1/4		1/4	1	1632							127		
123	118	234	244	1.0		0	0	Chord	2/4	4	1	1/4		1/4	1	1633							128		
123	118	235	245	1.0		1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	1634							128		
124	119	236	246	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	1635							125		
124	119	473/2	493/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	1636							125		
124	119	237	247	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	1637							125		
124	119	475/2	495/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	1638							125		
124	119	236	246	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	1639							126		
124	119	473/2	493/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	1640							126		
124	119	237	247	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	1641							126		
124	119	475/2	495/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	1642							126		
124	119	236	246	1.0		0	0	Chord	2/4	3	1	1/4		1/4	1	1643							127		
124	119	237	247	1.0		1/4	1/4	Chord	2/4	3	1	1/4		1/4	1	1644							127		
124	119	236	246	1.0		0	0	Chord	2/4	4	1	1/4		1/4	1	1645							128		
124	119	237	247	1.0		1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	1646							128		
125	120	238	248	0.0		0	0	Spanner	2/4	1	1	0											125		37
125	120	238	248	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	1647							125		37
125	120	477/2	497/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	1648							125		37
125	120	239	249	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	1649							125		37
125	120	479/2	499/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	1650							125		37
125	120	238	248	0.0		0	0	Spanner	2/4	2	1	0											126		38
125	120	238	248	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	1651							126		38
125	120	477/2	497/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	1652							126		38
125	120	239	249	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	1653							126		38
125	120	479/2	499/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	1654							126		38
125	120	238	248	0.0		0	0	Spanner	2/4	3	1	0											127		39
125	120	238	248	1.0		0	0	Chord	2/4	3	1	1/4		1/4	1	1655							127		39
125	120	239	249	1.0		1/4	1/4	Chord	2/4	3	1	1/4		1/4	1	1656									39
125	120	238	248	0.0		0	0	Spanner	2/4	4	1	0											128		40
125	120	238	248	1.0		0	0	Chord	2/4	4	1	1/4		1/4	1	1657							128		40
125	120	239	249	1.0		1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	1658									40
126	121	240	250	0.0		0	0	Spanner	2/4	1	1	0													
126	121	240	250	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	1659									
126	121	481/2	501/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	1660							129		
126	121	241	251	0.0		1/4	1/4	StaffText	2/4	1	1	0							<i>cresc.</i>				129		
126	121	241	251	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	1661							129		
126	121	483/2	503/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	1662							129		
126	121	240	250	0.0		0	0	Spanner	2/4	2	1	0													
126	121	240	250	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	1663									
126	121	481/2	501/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	1664							130		
126	121	241	251	0.0		1/4	1/4	StaffText	2/4	2	1	0							<i>cresc.</i>				130		
126	121	241	251	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	1665							130		
126	121	483/2	503/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	1666							130		
126	121	240	250	0.0		0	0	Spanner	2/4	3	1	0													
126	121	240	250	1.0		0	0	Chord	2/4	3	1	1/4		1/4	1	1667									
126	121	241	251	0.0		1/4	1/4	StaffText	2/4	3	1	0							<i>cresc.</i>						
126	121	241	251	1.0		1/4	1/4	Chord	2/4	3	1	1/4		1/4	1	1668							131		
126	121	240	250	0.0		0	0	Spanner	2/4	4	1	0													
126	121	240	250	1.0		0	0	Chord	2/4	4	1	1/4		1/4	1	1669							132		
126	121	241	251	0.0		1/4	1/4	StaffText	2/4	4	1	0							<i>cresc.</i>				132		
126	121	241	251	1.0		1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	1670							132		
127	122	242	252	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	1671							129		
127	122	485/2	505/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	1672							129		
127	122	243	253	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	1673							129		
127	122	487/2	507/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	1674									
127	122	242	252	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	1675							130		
127	122	485/2	505/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	1676							130		
127	122	243	253	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	1677							130		
127	122	487/2	507/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	1678									
127	122	242	252	1.0		0	0	Chord	2/4	3	1	1/4		1/4	1	1679							131		
127	122	243	253	1.0		1/4	1/4	Chord	2/4	3	1	1/4		1/4	1	1680							131		
127	122	242	252	1.0		0	0	Chord	2/4	4	1	1/4		1/4	1	1681							132		
127	122	243	253	1.0		1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	1682							132		
128	123	244	254	0.0		0	0	Dynamic	2/4	1	1	0					p								
128	123	244	254	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	1683							133		
128	123	489/2	509/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	1684							133		
128	123	245	255	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	1685							133		
128	123	491/2	511/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	1686							133		
128	123	244	254	0.0		0	0	Dynamic	2/4	2	1	0					p								
128	123	244	254	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	1687							134		
128	123	489/2	509/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	1688							134		
128	123	245	255	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	1689							134		
128	123	491/2	511/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	1690							134		
128	123	244	254	0.0		0	0	Dynamic	2/4	3	1	0					p						131		
128	123	244	254	1.0		0	0	Chord	2/4	3	1	1/4		1/4	1	1691							131		
128	123	245	255	1.0		1/4	1/4	Chord	2/4	3	1	1/4		1/4	1	1692									
128	123	244	254	0.0		0	0	Dynamic	2/4	4	1	0					p						132		
128	123	244	254	1.0		0	0	Chord	2/4	4	1	1/4		1/4	1	1693							132		
128	123	245	255	1.0		1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	1694							132		
129	124	246	256	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	1695							133		
129	124	493/2	513/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	1696							133		
129	124	247	257	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	1697							133		
129	124	495/2	515/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	1698									
129	124	246	256	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	1699							134		
129	124	493/2	513/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	1700							134		
129	124	247	257	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	1701							134		
129	124	495/2	515/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	1702									
129	124	246	256	1.0		0	0	Chord	2/4	3	1	1/4		1/4	1	1703							135		
129	124	247	257	1.0		1/4	1/4	Chord	2/4	3	1	1/4		1/4	1	1704							135		
129	124	246	256	1.0		0	0	Chord	2/4	4	1	1/4		1/4	1	1705							132		
129	124	247	257	1.0		1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	1706									
130	125	248	258	0.0		0	0	StaffText	2/4	1	1	0							<i>cresc.</i>						
130	125	248	258	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	1707							136		
130	125	497/2	517/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	1708							136		
130	125	249	259	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	1709							136		
130	125	499/2	519/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	1710							136		
130	125	248	258	0.0		0	0	StaffText	2/4	2	1	0							<i>cresc.</i>						
130	125	248	258	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	1711							137		
130	125	497/2	517/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	1712							137		
130	125	249	259	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	1713							137		
130	125	499/2	519/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	1714							137		
130	125	248	258	0.0		0	0	StaffText	2/4	3	1	0							<i>cresc.</i>						
130	125	248	258	1.0		0	0	Chord	2/4	3	1	1/4		1/4	1	1715									
130	125	249	259	1.0		1/4	1/4	Chord	2/4	3	1	1/4		1/4	1	1716							138		
130	125	248	258	0.0		0	0	StaffText	2/4	4	1	0							<i>cresc.</i>						
130	125	248	258	1.0		0	0	Chord	2/4	4	1	1/4		1/4	1	1717							139		
130	125	249	259	1.0		1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	1718							139		
131	126	250	260	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	1719							136		
131	126	501/2	521/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	1720							136		
131	126	251	261	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	1721							136		
131	126	503/2	523/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	1722							136		
131	126	250	260	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	1723							137		
131	126	501/2	521/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	1724							137		
131	126	251	261	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	1725							137		
131	126	503/2	523/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	1726							137		
131	126	250	260	1.0		0	0	Chord	2/4	3	1	1/4		1/4	1	1727							138		
131	126	251	261	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	1728							138		
131	126	503/2	523/2	0.5		3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	1729							138		
131	126	250	260	1.0		0	0	Chord	2/4	4	1	1/4		1/4	1	1730							139		
131	126	251	261	1.0		1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	1731							139		
132	127	252	262	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	1732							136		
132	127	505/2	525/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	1733							136		
132	127	253	263	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	1734							136		
132	127	507/2	527/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	1735							136		
132	127	252	262	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	1736							137		
132	127	505/2	525/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	1737							137		
132	127	253	263	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	1738							137		
132	127	507/2	527/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	1739							137		
132	127	252	262	1.0		0	0	Chord	2/4	3	1	1/4		1/4	1	1740							140		
132	127	253	263	1.0		1/4	1/4	Chord	2/4	3	1	1/4		1/4	1	1741							140		
132	127	252	262	1.0		0	0	Chord	2/4	4	1	1/4		1/4	1	1742							139		
132	127	253	263	1.0		1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	1743							139		
133	128	254	264	0.0		0	0	StaffText	2/4	1	1	0							<i>dim.</i>				136		
133	128	254	264	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	1744							136		
133	128	509/2	529/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	1745							136		
133	128	255	265	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	1746							136		
133	128	511/2	531/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	1747									
133	128	254	264	0.0		0	0	StaffText	2/4	2	1	0							<i>dim.</i>				137		
133	128	254	264	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	1748							137		
133	128	509/2	529/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	1749							137		
133	128	255	265	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	1750							137		
133	128	511/2	531/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	1751									
133	128	254	264	0.0		0	0	StaffText	2/4	3	1	0							<i>dim.</i>				140		
133	128	254	264	1.0		0	0	Chord	2/4	3	1	1/4		1/4	1	1752							140		
133	128	255	265	1.0		1/4	1/4	Chord	2/4	3	1	1/4		1/4	1	1753							141		
133	128	254	264	0.0		0	0	StaffText	2/4	4	1	0							<i>dim.</i>				139		
