mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	decrescendo_hairpin
23	21	54	66	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	222								
23	21	111/2	135/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	223		articStaccatoBelow						
23	21	56	68	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	224		articStaccatoBelow						
23	21	54	66	0.0		0	0	Dynamic	3/4	2	1	0					ff							
23	21	54	66	1.5		0	0	Chord	3/4	2	1	3/8		1/4	3/2	225								
23	21	111/2	135/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	226		articStaccatoBelow						
23	21	56	68	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	227		articStaccatoBelow						
23	21	54	66	0.0		0	0	Dynamic	3/4	3	1	0					ff							
23	21	54	66	0.5		0	0	Chord	3/4	3	1	1/8		1/8	1	228								
23	21	109/2	133/2	0.5		1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	229		articStaccatoBelow						
23	21	55	67	1.5		1/4	1/4	Chord	3/4	3	1	3/8		1/4	3/2	230							28	
23	21	113/2	137/2	0.5		5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	231								
23	21	109/2	133/2	0.0		1/8	1/8	Dynamic	3/4	4	1	0					ff							
23	21	109/2	133/2	0.5		1/8	1/8	Chord	3/4	4	1	1/8		1/8	1	232		articStaccatoBelow						
23	21	55	67	1.5		1/4	1/4	Chord	3/4	4	1	3/8		1/4	3/2	233							29	
23	21	113/2	137/2	0.5		5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	234								
24	22	57	69	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	235								
24	22	117/2	141/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	236		articStaccatoBelow						
