mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Trill:trill	decrescendo_hairpin	crescendo_hairpin
45	40	157/2	157/2	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	641													
45	40	79	79	0.5		1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	642													
45	40	159/2	159/2	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	643													
46	40	481/6	481/6	0.16666666666666666		1/24	5/12	Chord	2/4	1	1	1/24		1/16	2/3	644										60			
46	40	241/3	241/3	0.16666666666666666		1/12	11/24	Chord	2/4	1	1	1/24		1/16	2/3	645													
47	41	161/2	161/2	0.16666666666666666		0	0	Chord	2/4	1	1	1/24		1/16	2/3	646			articStaccatoAbove										
47	41	242/3	242/3	0.16666666666666666		1/24	1/24	Chord	2/4	1	1	1/24		1/16	2/3	647			articStaccatoAbove										
47	41	485/6	485/6	0.16666666666666666		1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	648			articStaccatoAbove										
47	41	81	81	0.16666666666666666		1/8	1/8	Chord	2/4	1	1	1/24		1/16	2/3	649			articStaccatoAbove										
47	41	487/6	487/6	0.16666666666666666		1/6	1/6	Chord	2/4	1	1	1/24		1/16	2/3	650			articStaccatoAbove										
47	41	244/3	244/3	0.16666666666666666		5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	651			articStaccatoAbove										
47	41	163/2	163/2	0.16666666666666666		1/4	1/4	Chord	2/4	1	1	1/24		1/16	2/3	652													
47	41	245/3	245/3	0.16666666666666666		7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	653													
47	41	491/6	491/6	0.16666666666666666		1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	654													
47	41	82	82	0.16666666666666666		3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	655													
47	41	493/6	493/6	0.16666666666666666		5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	656													
47	41	247/3	247/3	0.16666666666666666		11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	657													
47	41	161/2	161/2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	658			articStaccatoBelow										
47	41	81	81	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	659			articStaccatoBelow										
47	41	161/2	161/2	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	660			articStaccatoAbove										
47	41	81	81	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	661			articStaccatoAbove										
47	41	161/2	161/2	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	662			articStaccatoAbove										
47	41	81	81	0.5		1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	663			articStaccatoAbove										
48	42	165/2	165/2	0.0		0	0	Spanner	2/4	1	1	0																	0
48	42	165/2	165/2	0.75		0	0	Chord	2/4	1	1	3/16		1/8	3/2	664										61			0
48	42	333/4	333/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	665										61			0
48	42	167/2	167/2	0.0		1/4	1/4	Spanner	2/4	1	1	0														61			
48	42	167/2	167/2	0.0		1/4	1/4	Spanner	2/4	1	1	0														61		0	
48	42	167/2	167/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	666										61		0	
48	42	84	84	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	667												0	
48	42	165/2	165/2	0.0		0	0	Spanner	2/4	2	1	0																	1
48	42	165/2	165/2	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	668										62			1
48	42	333/4	333/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	669										62			1
48	42	167/2	167/2	0.0		1/4	1/4	Spanner	2/4	2	1	0														62			
48	42	167/2	167/2	0.0		1/4	1/4	Spanner	2/4	2	1	0														62		1	
48	42	167/2	167/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	670										62		1	
48	42	84	84	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	671												1	
48	42	165/2	165/2	0.0		0	0	Spanner	2/4	3	1	0																	2
48	42	165/2	165/2	0.16666666666666666		0	0	Chord	2/4	3	1	1/24		1/16	2/3	672													2
48	42	248/3	248/3	0.16666666666666666		1/24	1/24	Chord	2/4	3	1	1/24		1/16	2/3	673													2
48	42	497/6	497/6	0.16666666666666666		1/12	1/12	Chord	2/4	3	1	1/24		1/16	2/3	674													2
48	42	83	83	0.16666666666666666		1/8	1/8	Chord	2/4	3	1	1/24		1/16	2/3	675													2
48	42	499/6	499/6	0.16666666666666666		1/6	1/6	Chord	2/4	3	1	1/24		1/16	2/3	676													2
48	42	250/3	250/3	0.16666666666666666		5/24	5/24	Chord	2/4	3	1	1/24		1/16	2/3	677													2
48	42	167/2	167/2	0.0		1/4	1/4	Spanner	2/4	3	1	0																	
48	42	167/2	167/2	0.0		1/4	1/4	Spanner	2/4	3	1	0																2	
48	42	167/2	167/2	0.16666666666666666		1/4	1/4	Chord	2/4	3	1	1/24		1/16	2/3	678												2	
48	42	251/3	251/3	0.16666666666666666		7/24	7/24	Chord	2/4	3	1	1/24		1/16	2/3	679												2	
48	42	503/6	503/6	0.16666666666666666		1/3	1/3	Chord	2/4	3	1	1/24		1/16	2/3	680												2	
48	42	84	84	0.16666666666666666		3/8	3/8	Chord	2/4	3	1	1/24		1/16	2/3	681												2	
48	42	505/6	505/6	0.16666666666666666		5/12	5/12	Chord	2/4	3	1	1/24		1/16	2/3	682												2	
48	42	253/3	253/3	0.16666666666666666		11/24	11/24	Chord	2/4	3	1	1/24		1/16	2/3	683												2	
49	43	169/2	169/2	0.0		0	0	Spanner	2/4	1	1	0																	
49	43	169/2	169/2	0.16666666666666666		0	0	Chord	2/4	1	1	1/24		1/16	2/3	684			articStaccatoBelow										
49	43	254/3	254/3	0.16666666666666666		1/24	1/24	Chord	2/4	1	1	1/24		1/16	2/3	685			articStaccatoBelow										
49	43	509/6	509/6	0.16666666666666666		1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	686			articStaccatoBelow										
49	43	85	85	0.16666666666666666		1/8	1/8	Chord	2/4	1	1	1/24		1/16	2/3	687			articStaccatoBelow										
49	43	511/6	511/6	0.16666666666666666		1/6	1/6	Chord	2/4	1	1	1/24		1/16	2/3	688			articStaccatoBelow										
49	43	256/3	256/3	0.16666666666666666		5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	689			articStaccatoBelow										
49	43	171/2	171/2	0.16666666666666666		1/4	1/4	Chord	2/4	1	1	1/24		1/16	2/3	690			articStaccatoAbove										
49	43	257/3	257/3	0.16666666666666666		7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	691			articStaccatoAbove										
49	43	515/6	515/6	0.16666666666666666		1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	692			articStaccatoAbove										
49	43	86	86	0.16666666666666666		3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	693			articStaccatoAbove										
49	43	517/6	517/6	0.16666666666666666		5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	694			articStaccatoAbove										
49	43	259/3	259/3	0.16666666666666666		11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	695			articStaccatoAbove										
49	43	169/2	169/2	0.0		0	0	Spanner	2/4	2	1	0																	
49	43	169/2	169/2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	696													
49	43	85	85	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	697													
49	43	169/2	169/2	0.0		0	0	Spanner	2/4	3	1	0																	
49	43	169/2	169/2	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	698													
49	43	85	85	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	699													
49	43	169/2	169/2	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	700													
49	43	85	85	0.5		1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	701													
50	44	173/2	173/2	0.0		0	0	Spanner	2/4	1	1	0																	3
50	44	173/2	173/2	0.75		0	0	Chord	2/4	1	1	3/16		1/8	3/2	702										63			3
50	44	349/4	349/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	703										63			3
50	44	175/2	175/2	0.0		1/4	1/4	Spanner	2/4	1	1	0														63			
50	44	175/2	175/2	0.0		1/4	1/4	Spanner	2/4	1	1	0														63		3	
50	44	175/2	175/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	704										63		3	
50	44	88	88	0.16666666666666666		3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	705			articStaccatoAbove									3	
50	44	529/6	529/6	0.16666666666666666		5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	706										64		3	
50	44	265/3	265/3	0.16666666666666666		11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	707										64		3	
50	44	173/2	173/2	0.0		0	0	Spanner	2/4	2	1	0																	4
50	44	173/2	173/2	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	708										65			4
50	44	349/4	349/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	709										65			4
50	44	175/2	175/2	0.0		1/4	1/4	Spanner	2/4	2	1	0														65			
50	44	175/2	175/2	0.0		1/4	1/4	Spanner	2/4	2	1	0														65		4	
50	44	175/2	175/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	710										65		4	
50	44	88	88	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	711												4	
50	44	173/2	173/2	0.0		0	0	Spanner	2/4	3	1	0																	5
50	44	173/2	173/2	0.75		0	0	Chord	2/4	3	1	3/16		1/8	3/2	712										66			5
50	44	349/4	349/4	0.25		3/16	3/16	Chord	2/4	3	1	1/16		1/16	1	713										66			5
50	44	175/2	175/2	0.0		1/4	1/4	Spanner	2/4	3	1	0														66			
50	44	175/2	175/2	0.0		1/4	1/4	Spanner	2/4	3	1	0														66		5	
50	44	175/2	175/2	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	714										66		5	
50	44	88	88	0.25		3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	715												5	
50	44	173/2	173/2	0.0		0	0	Spanner	2/4	4	1	0																	6
50	44	173/2	173/2	0.16666666666666666		0	0	Chord	2/4	4	1	1/24		1/16	2/3	716													6
50	44	260/3	260/3	0.16666666666666666		1/24	1/24	Chord	2/4	4	1	1/24		1/16	2/3	717													6
50	44	521/6	521/6	0.16666666666666666		1/12	1/12	Chord	2/4	4	1	1/24		1/16	2/3	718													6
50	44	87	87	0.16666666666666666		1/8	1/8	Chord	2/4	4	1	1/24		1/16	2/3	719													6
50	44	523/6	523/6	0.16666666666666666		1/6	1/6	Chord	2/4	4	1	1/24		1/16	2/3	720													6
50	44	262/3	262/3	0.16666666666666666		5/24	5/24	Chord	2/4	4	1	1/24		1/16	2/3	721													6
50	44	175/2	175/2	0.0		1/4	1/4	Spanner	2/4	4	1	0																	
50	44	175/2	175/2	0.0		1/4	1/4	Spanner	2/4	4	1	0																6	
50	44	175/2	175/2	0.16666666666666666		1/4	1/4	Chord	2/4	4	1	1/24		1/16	2/3	722												6	
50	44	263/3	263/3	0.16666666666666666		7/24	7/24	Chord	2/4	4	1	1/24		1/16	2/3	723												6	
50	44	527/6	527/6	0.16666666666666666		1/3	1/3	Chord	2/4	4	1	1/24		1/16	2/3	724												6	
50	44	88	88	0.16666666666666666		3/8	3/8	Chord	2/4	4	1	1/24		1/16	2/3	725												6	
50	44	529/6	529/6	0.16666666666666666		5/12	5/12	Chord	2/4	4	1	1/24		1/16	2/3	726												6	
50	44	265/3	265/3	0.16666666666666666		11/24	11/24	Chord	2/4	4	1	1/24		1/16	2/3	727												6	
51	45	177/2	177/2	0.0		0	0	Dynamic	2/4	1	1	0						pp											
51	45	177/2	177/2	0.0		0	0	Spanner	2/4	1	1	0																	
51	45	177/2	177/2	0.16666666666666666		0	0	Chord	2/4	1	1	1/24		1/16	2/3	728													
51	45	266/3	266/3	0.16666666666666666		1/24	1/24	Chord	2/4	1	1	1/24		1/16	2/3	729													
51	45	533/6	533/6	0.16666666666666666		1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	730													
51	45	89	89	0.16666666666666666		1/8	1/8	Chord	2/4	1	1	1/24		1/16	2/3	731													
51	45	535/6	535/6	0.16666666666666666		1/6	1/6	Chord	2/4	1	1	1/24		1/16	2/3	732													
51	45	268/3	268/3	0.16666666666666666		5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	733													
51	45	179/2	179/2	0.16666666666666666		1/4	1/4	Chord	2/4	1	1	1/24		1/16	2/3	734													
51	45	269/3	269/3	0.16666666666666666		7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	735													
51	45	539/6	539/6	0.16666666666666666		1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	736													
51	45	90	90	0.16666666666666666		3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	737													
51	45	541/6	541/6	0.16666666666666666		5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	738													
51	45	271/3	271/3	0.16666666666666666		11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	739													
51	45	177/2	177/2	0.0		0	0	Dynamic	2/4	2	1	0						pp											
51	45	177/2	177/2	0.0		0	0	Spanner	2/4	2	1	0																	
51	45	177/2	177/2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	740													
51	45	89	89	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	741													
51	45	177/2	177/2	0.0		0	0	Dynamic	2/4	3	1	0						pp											
51	45	177/2	177/2	0.0		0	0	Spanner	2/4	3	1	0																	
51	45	177/2	177/2	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	742													
51	45	89	89	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	743													
51	45	177/2	177/2	0.0		0	0	Dynamic	2/4	4	1	0						pp											
51	45	177/2	177/2	0.0		0	0	Spanner	2/4	4	1	0																	
51	45	177/2	177/2	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	744													
51	45	89	89	0.5		1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	745													
52	46	181/2	181/2	0.16666666666666666		0	0	Chord	2/4	1	1	1/24		1/16	2/3	746													
52	46	272/3	272/3	0.16666666666666666		1/24	1/24	Chord	2/4	1	1	1/24		1/16	2/3	747													
52	46	545/6	545/6	0.16666666666666666		1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	748													
52	46	91	91	0.16666666666666666		1/8	1/8	Chord	2/4	1	1	1/24		1/16	2/3	749													
52	46	547/6	547/6	0.16666666666666666		1/6	1/6	Chord	2/4	1	1	1/24		1/16	2/3	750													
52	46	274/3	274/3	0.16666666666666666		5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	751													
52	46	183/2	183/2	0.16666666666666666		1/4	1/4	Chord	2/4	1	1	1/24		1/16	2/3	752													
52	46	275/3	275/3	0.16666666666666666		7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	753													
52	46	551/6	551/6	0.16666666666666666		1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	754													
52	46	92	92	0.16666666666666666		3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	755													
52	46	553/6	553/6	0.16666666666666666		5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	756													
52	46	277/3	277/3	0.16666666666666666		11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	757													
52	46	181/2	181/2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	758													
52	46	91	91	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	759													
52	46	181/2	181/2	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	760													
52	46	91	91	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	761													
52	46	181/2	181/2	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	762													
52	46	91	91	0.5		1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	763													
53	47	185/2	185/2	0.16666666666666666		0	0	Chord	2/4	1	1	1/24		1/16	2/3	764													
53	47	278/3	278/3	0.16666666666666666		1/24	1/24	Chord	2/4	1	1	1/24		1/16	2/3	765													
53	47	557/6	557/6	0.16666666666666666		1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	766													
53	47	93	93	0.16666666666666666		1/8	1/8	Chord	2/4	1	1	1/24		1/16	2/3	767													
53	47	559/6	559/6	0.16666666666666666		1/6	1/6	Chord	2/4	1	1	1/24		1/16	2/3	768													
53	47	280/3	280/3	0.16666666666666666		5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	769													
53	47	187/2	187/2	0.16666666666666666		1/4	1/4	Chord	2/4	1	1	1/24		1/16	2/3	770													
53	47	281/3	281/3	0.16666666666666666		7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	771													
53	47	563/6	563/6	0.16666666666666666		1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	772													
53	47	94	94	0.16666666666666666		3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	773													
53	47	565/6	565/6	0.16666666666666666		5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	774													
53	47	283/3	283/3	0.16666666666666666		11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	775													
53	47	185/2	185/2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	776													
53	47	187/2	187/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	777													
53	47	185/2	185/2	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	778													
53	47	187/2	187/2	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	779													
53	47	93	93	0.5		1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	780													
53	47	94	94	0.5		3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	781													
54	48	189/2	189/2	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	782										67			
54	48	191/2	191/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	783													
54	48	284/3	284/3	0.16666666666666666		1/24	1/24	Chord	2/4	2	1	1/24		1/16	2/3	784										68			
54	48	569/6	569/6	0.16666666666666666		1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	785										68			
54	48	95	95	0.16666666666666666		1/8	1/8	Chord	2/4	2	1	1/24		1/16	2/3	786										68			
54	48	571/6	571/6	0.16666666666666666		1/6	1/6	Chord	2/4	2	1	1/24		1/16	2/3	787										68			
54	48	286/3	286/3	0.16666666666666666		5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	788													
54	48	191/2	191/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	789													
54	48	95	95	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	790										69			
54	48	191/2	191/2	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	791													
54	48	189/2	189/2	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	792													
54	48	95	95	0.5		1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	793													
54	48	191/2	191/2	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	794													
55	48	96	96	0.0		0	3/8	StaffText	2/4	1	1	0								<b>Var. 3.</b>									
55	48	96	96	0.0		0	3/8	Dynamic	2/4	3	1	0						p											
55	48	96	96	0.5		0	3/8	Chord	2/4	3	1	1/8		1/8	1	795													
56	49	193/2	193/2	0.0		0	0	Dynamic	2/4	2	1	0						p											
56	49	193/2	193/2	0.125		0	0	Chord	2/4	2	1	1/32		1/32	1	796										70			
56	49	773/8	773/8	0.125		1/32	1/32	Chord	2/4	2	1	1/32		1/32	1	797													
56	49	387/4	387/4	0.125		1/16	1/16	Chord	2/4	2	1	1/32		1/32	1	798										71			
56	49	775/8	775/8	0.125		3/32	3/32	Chord	2/4	2	1	1/32		1/32	1	799													
56	49	97	97	0.125		1/8	1/8	Chord	2/4	2	1	1/32		1/32	1	800										72			
56	49	777/8	777/8	0.125		5/32	5/32	Chord	2/4	2	1	1/32		1/32	1	801													
56	49	389/4	389/4	0.125		3/16	3/16	Chord	2/4	2	1	1/32		1/32	1	802										73			
56	49	779/8	779/8	0.125		7/32	7/32	Chord	2/4	2	1	1/32		1/32	1	803													
56	49	195/2	195/2	0.125		1/4	1/4	Chord	2/4	2	1	1/32		1/32	1	804										74			
56	49	781/8	781/8	0.125		9/32	9/32	Chord	2/4	2	1	1/32		1/32	1	805													
56	49	391/4	391/4	0.125		5/16	5/16	Chord	2/4	2	1	1/32		1/32	1	806										75			
56	49	783/8	783/8	0.125		11/32	11/32	Chord	2/4	2	1	1/32		1/32	1	807													
56	49	98	98	0.125		3/8	3/8	Chord	2/4	2	1	1/32		1/32	1	808										76			
56	49	785/8	785/8	0.125		13/32	13/32	Chord	2/4	2	1	1/32		1/32	1	809													
56	49	393/4	393/4	0.125		7/16	7/16	Chord	2/4	2	1	1/32		1/32	1	810										77			
56	49	787/8	787/8	0.125		15/32	15/32	Chord	2/4	2	1	1/32		1/32	1	811													
56	49	193/2	193/2	1.0		0	0	Chord	2/4	3	1	1/4		1/4	1	812										78			
56	49	195/2	195/2	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	813										78			
56	49	98	98	0.5		3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	814										78			
56	49	193/2	193/2	0.0		0	0	Dynamic	2/4	4	1	0						p											
56	49	193/2	193/2	1.0		0	0	Chord	2/4	4	1	1/4		1/4	1	815										79			
56	49	195/2	195/2	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	816										79			
56	49	98	98	0.5		3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	817										79			
57	50	197/2	197/2	0.125		0	0	Chord	2/4	2	1	1/32		1/32	1	818										80			
57	50	789/8	789/8	0.125		1/32	1/32	Chord	2/4	2	1	1/32		1/32	1	819													
57	50	395/4	395/4	0.125		1/16	1/16	Chord	2/4	2	1	1/32		1/32	1	820										81			
57	50	791/8	791/8	0.125		3/32	3/32	Chord	2/4	2	1	1/32		1/32	1	821													
57	50	99	99	0.125		1/8	1/8	Chord	2/4	2	1	1/32		1/32	1	822										82			
57	50	793/8	793/8	0.125		5/32	5/32	Chord	2/4	2	1	1/32		1/32	1	823													
57	50	397/4	397/4	0.125		3/16	3/16	Chord	2/4	2	1	1/32		1/32	1	824										83			
57	50	795/8	795/8	0.125		7/32	7/32	Chord	2/4	2	1	1/32		1/32	1	825													
57	50	199/2	199/2	0.125		1/4	1/4	Chord	2/4	2	1	1/32		1/32	1	826										84			
57	50	797/8	797/8	0.125		9/32	9/32	Chord	2/4	2	1	1/32		1/32	1	827													
57	50	399/4	399/4	0.125		5/16	5/16	Chord	2/4	2	1	1/32		1/32	1	828										85			
57	50	799/8	799/8	0.125		11/32	11/32	Chord	2/4	2	1	1/32		1/32	1	829													
57	50	100	100	0.125		3/8	3/8	Chord	2/4	2	1	1/32		1/32	1	830										86			
57	50	801/8	801/8	0.125		13/32	13/32	Chord	2/4	2	1	1/32		1/32	1	831													
57	50	401/4	401/4	0.125		7/16	7/16	Chord	2/4	2	1	1/32		1/32	1	832										87			
57	50	803/8	803/8	0.125		15/32	15/32	Chord	2/4	2	1	1/32		1/32	1	833													
57	50	197/2	197/2	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	834													
57	50	197/2	197/2	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	835													
58	51	201/2	201/2	0.0		0	0	Dynamic	2/4	1	1	0						p											
58	51	201/2	201/2	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	836										88			
58	51	203/2	203/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	837										88			
58	51	102	102	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	838										88			
58	51	201/2	201/2	0.125		0	0	Chord	2/4	2	1	1/32		1/32	1	839										89			
58	51	805/8	805/8	0.125		1/32	1/32	Chord	2/4	2	1	1/32		1/32	1	840													
58	51	403/4	403/4	0.125		1/16	1/16	Chord	2/4	2	1	1/32		1/32	1	841										90			
58	51	807/8	807/8	0.125		3/32	3/32	Chord	2/4	2	1	1/32		1/32	1	842													
58	51	101	101	0.125		1/8	1/8	Chord	2/4	2	1	1/32		1/32	1	843										91			
58	51	809/8	809/8	0.125		5/32	5/32	Chord	2/4	2	1	1/32		1/32	1	844													
58	51	405/4	405/4	0.125		3/16	3/16	Chord	2/4	2	1	1/32		1/32	1	845										92			
58	51	811/8	811/8	0.125		7/32	7/32	Chord	2/4	2	1	1/32		1/32	1	846													
58	51	203/2	203/2	0.125		1/4	1/4	Chord	2/4	2	1	1/32		1/32	1	847										93			
58	51	813/8	813/8	0.125		9/32	9/32	Chord	2/4	2	1	1/32		1/32	1	848													
58	51	407/4	407/4	0.125		5/16	5/16	Chord	2/4	2	1	1/32		1/32	1	849										94			
58	51	815/8	815/8	0.125		11/32	11/32	Chord	2/4	2	1	1/32		1/32	1	850													
58	51	102	102	0.125		3/8	3/8	Chord	2/4	2	1	1/32		1/32	1	851										95			
58	51	817/8	817/8	0.125		13/32	13/32	Chord	2/4	2	1	1/32		1/32	1	852													
58	51	409/4	409/4	0.125		7/16	7/16	Chord	2/4	2	1	1/32		1/32	1	853										96			
58	51	819/8	819/8	0.125		15/32	15/32	Chord	2/4	2	1	1/32		1/32	1	854													
58	51	201/2	201/2	1.0		0	0	Chord	2/4	4	1	1/4		1/4	1	855										97			
58	51	203/2	203/2	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	856										97			
58	51	102	102	0.5		3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	857										97			
59	52	205/2	205/2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	858													
59	52	205/2	205/2	0.125		0	0	Chord	2/4	2	1	1/32		1/32	1	859										98			
59	52	821/8	821/8	0.125		1/32	1/32	Chord	2/4	2	1	1/32		1/32	1	860													
59	52	411/4	411/4	0.125		1/16	1/16	Chord	2/4	2	1	1/32		1/32	1	861										99			
59	52	823/8	823/8	0.125		3/32	3/32	Chord	2/4	2	1	1/32		1/32	1	862													
59	52	103	103	0.125		1/8	1/8	Chord	2/4	2	1	1/32		1/32	1	863										100			
59	52	825/8	825/8	0.125		5/32	5/32	Chord	2/4	2	1	1/32		1/32	1	864													
59	52	413/4	413/4	0.125		3/16	3/16	Chord	2/4	2	1	1/32		1/32	1	865										101			
59	52	827/8	827/8	0.125		7/32	7/32	Chord	2/4	2	1	1/32		1/32	1	866													
59	52	207/2	207/2	0.125		1/4	1/4	Chord	2/4	2	1	1/32		1/32	1	867										102			
59	52	829/8	829/8	0.125		9/32	9/32	Chord	2/4	2	1	1/32		1/32	1	868													
59	52	415/4	415/4	0.125		5/16	5/16	Chord	2/4	2	1	1/32		1/32	1	869										103			
59	52	831/8	831/8	0.125		11/32	11/32	Chord	2/4	2	1	1/32		1/32	1	870													
59	52	104	104	0.125		3/8	3/8	Chord	2/4	2	1	1/32		1/32	1	871										104			
59	52	833/8	833/8	0.125		13/32	13/32	Chord	2/4	2	1	1/32		1/32	1	872													
59	52	417/4	417/4	0.125		7/16	7/16	Chord	2/4	2	1	1/32		1/32	1	873										105			
59	52	835/8	835/8	0.125		15/32	15/32	Chord	2/4	2	1	1/32		1/32	1	874													
59	52	205/2	205/2	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	875													
60	53	209/2	209/2	0.125		0	0	Chord	2/4	1	1	1/32		1/32	1	876										106			
