mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
31	30	493/8	493/8	0.125	13/32	13/32	Chord	2/4	2	1	1/32			1/32	1	564								118		
31	30	247/4	247/4	0.125	7/16	7/16	Chord	2/4	2	1	1/32			1/32	1	565								118		
31	30	495/8	495/8	0.125	15/32	15/32	Chord	2/4	2	1	1/32			1/32	1	566										
31	30	481/8	481/8	0.125	1/32	1/32	Chord	2/4	3	1	1/32			1/32	1	567								119		
31	30	241/4	241/4	0.125	1/16	1/16	Chord	2/4	3	1	1/32			1/32	1	568								119		
31	30	483/8	483/8	0.125	3/32	3/32	Chord	2/4	3	1	1/32			1/32	1	569								119		
31	30	121/2	121/2	0.125	1/8	1/8	Chord	2/4	3	1	1/32			1/32	1	570								119		
31	30	485/8	485/8	0.125	5/32	5/32	Chord	2/4	3	1	1/32			1/32	1	571								119		
31	30	243/4	243/4	0.125	3/16	3/16	Chord	2/4	3	1	1/32			1/32	1	572								119		
31	30	487/8	487/8	0.125	7/32	7/32	Chord	2/4	3	1	1/32			1/32	1	573										
31	30	489/8	489/8	0.125	9/32	9/32	Chord	2/4	3	1	1/32			1/32	1	574								120		
31	30	245/4	245/4	0.125	5/16	5/16	Chord	2/4	3	1	1/32			1/32	1	575								120		
31	30	491/8	491/8	0.125	11/32	11/32	Chord	2/4	3	1	1/32			1/32	1	576								120		
31	30	123/2	123/2	0.125	3/8	3/8	Chord	2/4	3	1	1/32			1/32	1	577								120		
31	30	493/8	493/8	0.125	13/32	13/32	Chord	2/4	3	1	1/32			1/32	1	578								120		
31	30	247/4	247/4	0.125	7/16	7/16	Chord	2/4	3	1	1/32			1/32	1	579								120		
31	30	495/8	495/8	0.125	15/32	15/32	Chord	2/4	3	1	1/32			1/32	1	580										
31	30	60	60	0.5	0	0	Chord	2/4	4	1	1/8			1/8	1	581								121		
31	30	121/2	121/2	0.5	1/8	1/8	Chord	2/4	4	1	1/8			1/8	1	582								121		
31	30	61	61	0.0	1/4	1/4	Dynamic	2/4	4	1	0						sfp							121		
31	30	61	61	0.75	1/4	1/4	Chord	2/4	4	1	3/16			1/8	3/2	583								121		
31	30	247/4	247/4	0.25	7/16	7/16	Chord	2/4	4	1	1/16			1/16	1	584										
32	31	62	62	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	585								122		
32	31	125/2	125/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4			1/4	1	586										
32	31	62	62	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	587								123		
32	31	125/2	125/2	1.0	1/8	1/8	Chord	2/4	2	1	1/4			1/4	1	588										
32	31	62	62	1.5	0	0	Chord	2/4	3	1	3/8			1/4	3/2	589										
32	31	127/2	127/2	0.375	3/8	3/8	Chord	2/4	3	1	3/32			1/16	3/2	590								124		
32	31	511/8	511/8	0.125	15/32	15/32	Chord	2/4	3	1	1/32			1/32	1	591										
32	31	62	62	0.5	0	0	Chord	2/4	4	1	1/8			1/8	1	592										
32	31	125/2	125/2	0.125	1/8	1/8	Chord	2/4	4	1	1/32			1/32	1	593										
32	31	501/8	501/8	0.125	5/32	5/32	Chord	2/4	4	1	1/32			1/32	1	594										
32	31	251/4	251/4	0.125	3/16	3/16	Chord	2/4	4	1	1/32			1/32	1	595										
32	31	503/8	503/8	0.125	7/32	7/32	Chord	2/4	4	1	1/32			1/32	1	596										
32	31	63	63	0.125	1/4	1/4	Chord	2/4	4	1	1/32			1/32	1	597										
32	31	505/8	505/8	0.125	9/32	9/32	Chord	2/4	4	1	1/32			1/32	1	598										
32	31	253/4	253/4	0.125	5/16	5/16	Chord	2/4	4	1	1/32			1/32	1	599										
32	31	507/8	507/8	0.125	11/32	11/32	Chord	2/4	4	1	1/32			1/32	1	600										
32	31	127/2	127/2	0.25	3/8	3/8	Chord	2/4	4	1	1/16			1/16	1	601								125		
32	31	255/4	255/4	0.25	7/16	7/16	Chord	2/4	4	1	1/16			1/16	1	602										
33	32	64	64	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	603										
33	32	129/2	129/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4			1/4	1	604										
33	32	131/2	131/2	0.375	3/8	3/8	Chord	2/4	1	1	3/32			1/16	3/2	605								126		
33	32	527/8	527/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	606										
33	32	64	64	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	607										
33	32	129/2	129/2	1.0	1/8	1/8	Chord	2/4	2	1	1/4			1/4	1	608										
33	32	64	64	0.0	0	0	Chord	2/4	3	1	0	grace32		1/32	1	609										
33	32	64	64	0.0	0	0	Chord	2/4	3	1	0	grace32		1/32	1	610										
33	32	64	64	0.0	0	0	Chord	2/4	3	1	0	grace32		1/32	1	611										
33	32	64	64	0.5	0	0	Chord	2/4	3	1	1/8			1/8	1	612								127		
33	32	129/2	129/2	0.25	1/8	1/8	Chord	2/4	3	1	1/16			1/16	1	613										
33	32	64	64	0.5	0	0	Chord	2/4	4	1	1/8			1/8	1	614										
33	32	129/2	129/2	0.125	1/8	1/8	Chord	2/4	4	1	1/32			1/32	1	615										
33	32	517/8	517/8	0.125	5/32	5/32	Chord	2/4	4	1	1/32			1/32	1	616										
33	32	259/4	259/4	0.125	3/16	3/16	Chord	2/4	4	1	1/32			1/32	1	617										
33	32	519/8	519/8	0.125	7/32	7/32	Chord	2/4	4	1	1/32			1/32	1	618										
33	32	65	65	0.125	1/4	1/4	Chord	2/4	4	1	1/32			1/32	1	619										
33	32	521/8	521/8	0.125	9/32	9/32	Chord	2/4	4	1	1/32			1/32	1	620										
33	32	261/4	261/4	0.125	5/16	5/16	Chord	2/4	4	1	1/32			1/32	1	621										
33	32	523/8	523/8	0.125	11/32	11/32	Chord	2/4	4	1	1/32			1/32	1	622										
33	32	131/2	131/2	0.25	3/8	3/8	Chord	2/4	4	1	1/16			1/16	1	623								128		
33	32	263/4	263/4	0.25	7/16	7/16	Chord	2/4	4	1	1/16			1/16	1	624										
34	33	66	66	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	625								129		
34	33	265/4	265/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32			1/32	1	626										
34	33	133/2	133/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	627								130		
34	33	267/4	267/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32			1/32	1	628										
34	33	67	67	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	629								131		
34	33	269/4	269/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32			1/32	1	630										
34	33	135/2	135/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	631								132		
34	33	271/4	271/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32			1/32	1	632										
34	33	66	66	0.25	0	0	Chord	2/4	2	1	1/16			1/16	1	633								133		
34	33	265/4	265/4	0.125	1/16	1/16	Chord	2/4	2	1	1/32			1/32	1	634										
34	33	133/2	133/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16			1/16	1	635								134		
34	33	267/4	267/4	0.125	3/16	3/16	Chord	2/4	2	1	1/32			1/32	1	636										
34	33	67	67	0.25	1/4	1/4	Chord	2/4	2	1	1/16			1/16	1	637								135		
34	33	269/4	269/4	0.125	5/16	5/16	Chord	2/4	2	1	1/32			1/32	1	638										
34	33	135/2	135/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16			1/16	1	639								136		
34	33	271/4	271/4	0.125	7/16	7/16	Chord	2/4	2	1	1/32			1/32	1	640										
34	33	66	66	0.25	0	0	Chord	2/4	3	1	1/16			1/16	1	641								137		
34	33	265/4	265/4	0.125	1/16	1/16	Chord	2/4	3	1	1/32			1/32	1	642										
34	33	133/2	133/2	0.25	1/8	1/8	Chord	2/4	3	1	1/16			1/16	1	643								138		
34	33	267/4	267/4	0.125	3/16	3/16	Chord	2/4	3	1	1/32			1/32	1	644										
34	33	67	67	0.25	1/4	1/4	Chord	2/4	3	1	1/16			1/16	1	645								139		
34	33	269/4	269/4	0.125	5/16	5/16	Chord	2/4	3	1	1/32			1/32	1	646										
34	33	135/2	135/2	0.25	3/8	3/8	Chord	2/4	3	1	1/16			1/16	1	647								140		
34	33	271/4	271/4	0.125	7/16	7/16	Chord	2/4	3	1	1/32			1/32	1	648										
34	33	529/8	529/8	0.125	1/32	1/32	Chord	2/4	4	1	1/32			1/32	1	649								141		
34	33	265/4	265/4	0.125	1/16	1/16	Chord	2/4	4	1	1/32			1/32	1	650										
34	33	531/8	531/8	0.125	3/32	3/32	Chord	2/4	4	1	1/32			1/32	1	651		articStaccatoBelow								
34	33	533/8	533/8	0.125	5/32	5/32	Chord	2/4	4	1	1/32			1/32	1	652								142		
34	33	267/4	267/4	0.125	3/16	3/16	Chord	2/4	4	1	1/32			1/32	1	653										
34	33	535/8	535/8	0.125	7/32	7/32	Chord	2/4	4	1	1/32			1/32	1	654		articStaccatoBelow								
34	33	537/8	537/8	0.125	9/32	9/32	Chord	2/4	4	1	1/32			1/32	1	655								143		
34	33	269/4	269/4	0.125	5/16	5/16	Chord	2/4	4	1	1/32			1/32	1	656										
34	33	539/8	539/8	0.125	11/32	11/32	Chord	2/4	4	1	1/32			1/32	1	657		articStaccatoAbove								
34	33	541/8	541/8	0.125	13/32	13/32	Chord	2/4	4	1	1/32			1/32	1	658								144		
34	33	271/4	271/4	0.125	7/16	7/16	Chord	2/4	4	1	1/32			1/32	1	659										
34	33	543/8	543/8	0.125	15/32	15/32	Chord	2/4	4	1	1/32			1/32	1	660		articStaccatoAbove								
35	34	68	68	0.125	0	0	Chord	2/4	1	1	1/32			1/32	1	661								145		
35	34	545/8	545/8	0.125	1/32	1/32	Chord	2/4	1	1	1/32			1/32	1	662										
35	34	547/8	547/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32			1/32	1	663										
35	34	137/2	137/2	0.125	1/8	1/8	Chord	2/4	1	1	1/32			1/32	1	664								146		
35	34	549/8	549/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32			1/32	1	665										
35	34	551/8	551/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32			1/32	1	666										
35	34	69	69	0.125	1/4	1/4	Chord	2/4	1	1	1/32			1/32	1	667								147		
35	34	553/8	553/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32			1/32	1	668										
35	34	277/4	277/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32			1/32	1	669								148		
35	34	555/8	555/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32			1/32	1	670										
35	34	139/2	139/2	0.125	3/8	3/8	Chord	2/4	1	1	1/32			1/32	1	671								149		
35	34	557/8	557/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32			1/32	1	672										
35	34	279/4	279/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32			1/32	1	673								150		
35	34	559/8	559/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	674										
35	34	68	68	0.125	0	0	Chord	2/4	2	1	1/32			1/32	1	675								151		
35	34	545/8	545/8	0.125	1/32	1/32	Chord	2/4	2	1	1/32			1/32	1	676										
35	34	547/8	547/8	0.125	3/32	3/32	Chord	2/4	2	1	1/32			1/32	1	677										
35	34	137/2	137/2	0.125	1/8	1/8	Chord	2/4	2	1	1/32			1/32	1	678								152		
35	34	549/8	549/8	0.125	5/32	5/32	Chord	2/4	2	1	1/32			1/32	1	679										
35	34	69	69	0.0	1/4	1/4	StaffText	2/4	2	1	0								<i>cresc.</i>							
35	34	553/8	553/8	0.125	9/32	9/32	Chord	2/4	2	1	1/32			1/32	1	680										
35	34	277/4	277/4	0.0	5/16	5/16	StaffText	2/4	2	1	0								<i>cresc.</i>							
35	34	277/4	277/4	0.125	5/16	5/16	Chord	2/4	2	1	1/32			1/32	1	681								153		
35	34	555/8	555/8	0.125	11/32	11/32	Chord	2/4	2	1	1/32			1/32	1	682										
35	34	139/2	139/2	0.125	3/8	3/8	Chord	2/4	2	1	1/32			1/32	1	683								154		
35	34	557/8	557/8	0.125	13/32	13/32	Chord	2/4	2	1	1/32			1/32	1	684										
35	34	68	68	0.125	0	0	Chord	2/4	3	1	1/32			1/32	1	685								155		
35	34	545/8	545/8	0.125	1/32	1/32	Chord	2/4	3	1	1/32			1/32	1	686										
35	34	547/8	547/8	0.125	3/32	3/32	Chord	2/4	3	1	1/32			1/32	1	687										
35	34	137/2	137/2	0.125	1/8	1/8	Chord	2/4	3	1	1/32			1/32	1	688								156		
35	34	549/8	549/8	0.125	5/32	5/32	Chord	2/4	3	1	1/32			1/32	1	689										
35	34	551/8	551/8	0.125	7/32	7/32	Chord	2/4	3	1	1/32			1/32	1	690										
35	34	69	69	0.0	1/4	1/4	StaffText	2/4	3	1	0								<i>cresc.</i>							
35	34	69	69	0.125	1/4	1/4	Chord	2/4	3	1	1/32			1/32	1	691								157		
35	34	553/8	553/8	0.125	9/32	9/32	Chord	2/4	3	1	1/32			1/32	1	692										
35	34	277/4	277/4	0.125	5/16	5/16	Chord	2/4	3	1	1/32			1/32	1	693								158		
35	34	555/8	555/8	0.125	11/32	11/32	Chord	2/4	3	1	1/32			1/32	1	694										
35	34	139/2	139/2	0.125	3/8	3/8	Chord	2/4	3	1	1/32			1/32	1	695								159		
35	34	557/8	557/8	0.125	13/32	13/32	Chord	2/4	3	1	1/32			1/32	1	696										
35	34	279/4	279/4	0.125	7/16	7/16	Chord	2/4	3	1	1/32			1/32	1	697								160		
35	34	559/8	559/8	0.125	15/32	15/32	Chord	2/4	3	1	1/32			1/32	1	698										
35	34	68	68	0.125	0	0	Chord	2/4	4	1	1/32			1/32	1	699								161		
35	34	545/8	545/8	0.125	1/32	1/32	Chord	2/4	4	1	1/32			1/32	1	700										
35	34	547/8	547/8	0.125	3/32	3/32	Chord	2/4	4	1	1/32			1/32	1	701										
35	34	137/2	137/2	0.125	1/8	1/8	Chord	2/4	4	1	1/32			1/32	1	702								162		
35	34	549/8	549/8	0.125	5/32	5/32	Chord	2/4	4	1	1/32			1/32	1	703										
35	34	559/8	559/8	0.0	15/32	15/32	StaffText	2/4	4	1	0								<i>cresc.</i>							
35	34	559/8	559/8	0.125	15/32	15/32	Chord	2/4	4	1	1/32			1/32	1	704										
36	35	70	70	0.125	0	0	Chord	2/4	1	1	1/32			1/32	1	705								163		
36	35	561/8	561/8	0.125	1/32	1/32	Chord	2/4	1	1	1/32			1/32	1	706										
36	35	281/4	281/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32			1/32	1	707								164		
36	35	563/8	563/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32			1/32	1	708										
36	35	141/2	141/2	0.125	1/8	1/8	Chord	2/4	1	1	1/32			1/32	1	709								165		
36	35	565/8	565/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32			1/32	1	710										
36	35	283/4	283/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32			1/32	1	711								166		
36	35	567/8	567/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32			1/32	1	712										
36	35	71	71	0.125	1/4	1/4	Chord	2/4	1	1	1/32			1/32	1	713								167		
36	35	569/8	569/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32			1/32	1	714										
36	35	285/4	285/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32			1/32	1	715								168		
36	35	571/8	571/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32			1/32	1	716										
36	35	143/2	143/2	0.125	3/8	3/8	Chord	2/4	1	1	1/32			1/32	1	717								169		
36	35	573/8	573/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32			1/32	1	718										
36	35	287/4	287/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32			1/32	1	719								170		
36	35	575/8	575/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	720										
36	35	70	70	0.125	0	0	Chord	2/4	2	1	1/32			1/32	1	721								171		
36	35	561/8	561/8	0.125	1/32	1/32	Chord	2/4	2	1	1/32			1/32	1	722										
36	35	281/4	281/4	0.125	1/16	1/16	Chord	2/4	2	1	1/32			1/32	1	723								172		
36	35	563/8	563/8	0.125	3/32	3/32	Chord	2/4	2	1	1/32			1/32	1	724										
36	35	141/2	141/2	0.125	1/8	1/8	Chord	2/4	2	1	1/32			1/32	1	725								173		
36	35	565/8	565/8	0.125	5/32	5/32	Chord	2/4	2	1	1/32			1/32	1	726										
36	35	283/4	283/4	0.125	3/16	3/16	Chord	2/4	2	1	1/32			1/32	1	727								174		
36	35	567/8	567/8	0.125	7/32	7/32	Chord	2/4	2	1	1/32			1/32	1	728										
36	35	71	71	0.125	1/4	1/4	Chord	2/4	2	1	1/32			1/32	1	729								175		
36	35	569/8	569/8	0.125	9/32	9/32	Chord	2/4	2	1	1/32			1/32	1	730										
36	35	285/4	285/4	0.125	5/16	5/16	Chord	2/4	2	1	1/32			1/32	1	731								176		
36	35	571/8	571/8	0.125	11/32	11/32	Chord	2/4	2	1	1/32			1/32	1	732										
36	35	143/2	143/2	0.125	3/8	3/8	Chord	2/4	2	1	1/32			1/32	1	733								177		
36	35	573/8	573/8	0.125	13/32	13/32	Chord	2/4	2	1	1/32			1/32	1	734										
36	35	287/4	287/4	0.125	7/16	7/16	Chord	2/4	2	1	1/32			1/32	1	735								178		
36	35	575/8	575/8	0.125	15/32	15/32	Chord	2/4	2	1	1/32			1/32	1	736										
36	35	70	70	0.125	0	0	Chord	2/4	3	1	1/32			1/32	1	737								179		
36	35	561/8	561/8	0.125	1/32	1/32	Chord	2/4	3	1	1/32			1/32	1	738										
36	35	281/4	281/4	0.125	1/16	1/16	Chord	2/4	3	1	1/32			1/32	1	739								180		
36	35	563/8	563/8	0.125	3/32	3/32	Chord	2/4	3	1	1/32			1/32	1	740										
36	35	141/2	141/2	0.125	1/8	1/8	Chord	2/4	3	1	1/32			1/32	1	741								181		
36	35	565/8	565/8	0.125	5/32	5/32	Chord	2/4	3	1	1/32			1/32	1	742										
36	35	283/4	283/4	0.125	3/16	3/16	Chord	2/4	3	1	1/32			1/32	1	743								182		
36	35	567/8	567/8	0.125	7/32	7/32	Chord	2/4	3	1	1/32			1/32	1	744										
36	35	71	71	0.125	1/4	1/4	Chord	2/4	3	1	1/32			1/32	1	745								183		
36	35	569/8	569/8	0.125	9/32	9/32	Chord	2/4	3	1	1/32			1/32	1	746										
36	35	285/4	285/4	0.125	5/16	5/16	Chord	2/4	3	1	1/32			1/32	1	747								184		
36	35	571/8	571/8	0.125	11/32	11/32	Chord	2/4	3	1	1/32			1/32	1	748										
36	35	143/2	143/2	0.125	3/8	3/8	Chord	2/4	3	1	1/32			1/32	1	749								185		
36	35	573/8	573/8	0.125	13/32	13/32	Chord	2/4	3	1	1/32			1/32	1	750										
36	35	287/4	287/4	0.125	7/16	7/16	Chord	2/4	3	1	1/32			1/32	1	751								186		
36	35	575/8	575/8	0.125	15/32	15/32	Chord	2/4	3	1	1/32			1/32	1	752										
36	35	70	70	0.125	0	0	Chord	2/4	4	1	1/32			1/32	1	753								187		
36	35	561/8	561/8	0.125	1/32	1/32	Chord	2/4	4	1	1/32			1/32	1	754										
36	35	281/4	281/4	0.125	1/16	1/16	Chord	2/4	4	1	1/32			1/32	1	755								188		
36	35	563/8	563/8	0.125	3/32	3/32	Chord	2/4	4	1	1/32			1/32	1	756										
36	35	141/2	141/2	0.125	1/8	1/8	Chord	2/4	4	1	1/32			1/32	1	757								189		
36	35	565/8	565/8	0.125	5/32	5/32	Chord	2/4	4	1	1/32			1/32	1	758										
36	35	283/4	283/4	0.125	3/16	3/16	Chord	2/4	4	1	1/32			1/32	1	759								190		
36	35	567/8	567/8	0.125	7/32	7/32	Chord	2/4	4	1	1/32			1/32	1	760										
36	35	71	71	0.125	1/4	1/4	Chord	2/4	4	1	1/32			1/32	1	761								191		
36	35	569/8	569/8	0.125	9/32	9/32	Chord	2/4	4	1	1/32			1/32	1	762										
36	35	285/4	285/4	0.125	5/16	5/16	Chord	2/4	4	1	1/32			1/32	1	763								192		
36	35	571/8	571/8	0.125	11/32	11/32	Chord	2/4	4	1	1/32			1/32	1	764										
36	35	143/2	143/2	0.125	3/8	3/8	Chord	2/4	4	1	1/32			1/32	1	765								193		
36	35	573/8	573/8	0.125	13/32	13/32	Chord	2/4	4	1	1/32			1/32	1	766										
36	35	287/4	287/4	0.125	7/16	7/16	Chord	2/4	4	1	1/32			1/32	1	767								194		
36	35	575/8	575/8	0.125	15/32	15/32	Chord	2/4	4	1	1/32			1/32	1	768										
37	36	72	72	0.0	0	0	Dynamic	2/4	1	1	0						f									
37	36	72	72	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	769		articStaccatoAbove								
37	36	73	73	0.0	1/4	1/4	Dynamic	2/4	1	1	0						f									
37	36	73	73	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	770		articStaccatoBelow								
37	36	72	72	0.0	0	0	Dynamic	2/4	2	1	0						f									
37	36	72	72	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	771		articStaccatoAbove								
37	36	73	73	0.0	1/4	1/4	Dynamic	2/4	2	1	0						f									
37	36	73	73	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	772		articStaccatoBelow								
37	36	72	72	0.0	0	0	Dynamic	2/4	3	1	0						f									
37	36	72	72	0.5	0	0	Chord	2/4	3	1	1/8			1/8	1	773		articStaccatoAbove								
37	36	73	73	0.0	1/4	1/4	Dynamic	2/4	3	1	0						f									
37	36	73	73	0.5	1/4	1/4	Chord	2/4	3	1	1/8			1/8	1	774		articStaccatoBelow								
37	36	72	72	0.0	0	0	Dynamic	2/4	4	1	0						f									
37	36	72	72	0.5	0	0	Chord	2/4	4	1	1/8			1/8	1	775		articStaccatoBelow								
37	36	73	73	0.0	1/4	1/4	Dynamic	2/4	4	1	0						f									
37	36	73	73	0.5	1/4	1/4	Chord	2/4	4	1	1/8			1/8	1	776		articStaccatoBelow								
38	37	74	74	0.0	0	0	Dynamic	2/4	1	1	0						p									
38	37	74	74	0.75	0	0	Chord	2/4	1	1	3/16			1/8	3/2	777										
38	37	299/4	299/4	0.0	3/16	3/16	Chord	2/4	1	1	0	grace16		1/16	1	778										
38	37	299/4	299/4	0.0	3/16	3/16	Chord	2/4	1	1	0	grace16		1/16	1	779										
38	37	299/4	299/4	0.1875	3/16	3/16	Chord	2/4	1	1	3/64			1/32	3/2	780		articStaccatoAbove								
38	37	1199/16	1199/16	0.0625	15/64	15/64	Chord	2/4	1	1	1/64			1/64	1	781		articStaccatoAbove								
38	37	75	75	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	782										
38	37	301/4	301/4	0.0	5/16	5/16	Chord	2/4	1	1	0	grace16		1/16	1	783										
38	37	301/4	301/4	0.0	5/16	5/16	Chord	2/4	1	1	0	grace16		1/16	1	784										
38	37	301/4	301/4	0.1875	5/16	5/16	Chord	2/4	1	1	3/64			1/32	3/2	785		articStaccatoAbove								
38	37	1207/16	1207/16	0.0625	23/64	23/64	Chord	2/4	1	1	1/64			1/64	1	786		articStaccatoAbove								
38	37	151/2	151/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	787										
38	37	303/4	303/4	0.0	7/16	7/16	Chord	2/4	1	1	0	grace16		1/16	1	788										
38	37	303/4	303/4	0.0	7/16	7/16	Chord	2/4	1	1	0	grace16		1/16	1	789										
38	37	303/4	303/4	0.1875	7/16	7/16	Chord	2/4	1	1	3/64			1/32	3/2	790		articStaccatoAbove								
38	37	1215/16	1215/16	0.0625	31/64	31/64	Chord	2/4	1	1	1/64			1/64	1	791		articStaccatoAbove								
38	37	74	74	0.0	0	0	Dynamic	2/4	2	1	0						p									
38	37	74	74	0.25	0	0	Chord	2/4	2	1	1/16			1/16	1	792										
38	37	149/2	149/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	793								195		
38	37	75	75	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	794								195		
38	37	151/2	151/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	795										
38	37	74	74	0.0	0	0	Dynamic	2/4	3	1	0						p									
38	37	74	74	0.25	0	0	Chord	2/4	3	1	1/16			1/16	1	796										
38	37	149/2	149/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8			1/8	1	797								196		
38	37	75	75	0.5	1/4	1/4	Chord	2/4	3	1	1/8			1/8	1	798								196		
38	37	151/2	151/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8			1/8	1	799										
38	37	74	74	0.0	0	0	Dynamic	2/4	4	1	0						p									
38	37	74	74	0.5	0	0	Chord	2/4	4	1	1/8			1/8	1	800										
39	38	76	76	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	801										
39	38	153/2	153/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	802								197		
39	38	77	77	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	803								197		
39	38	155/2	155/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	804										
39	38	76	76	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	805								198		
39	38	153/2	153/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	806								198		
39	38	77	77	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	807								198		
39	38	155/2	155/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	808										
39	38	76	76	0.5	0	0	Chord	2/4	3	1	1/8			1/8	1	809								199		
39	38	153/2	153/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8			1/8	1	810								199		
39	38	77	77	0.5	1/4	1/4	Chord	2/4	3	1	1/8			1/8	1	811								199		
39	38	155/2	155/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8			1/8	1	812										
39	38	307/4	307/4	0.0	3/16	3/16	Chord	2/4	4	1	0	grace16		1/16	1	813										
39	38	307/4	307/4	0.0	3/16	3/16	Chord	2/4	4	1	0	grace16		1/16	1	814										
39	38	307/4	307/4	0.1875	3/16	3/16	Chord	2/4	4	1	3/64			1/32	3/2	815		articStaccatoBelow								
39	38	1231/16	1231/16	0.0625	15/64	15/64	Chord	2/4	4	1	1/64			1/64	1	816		articStaccatoBelow								
39	38	77	77	0.25	1/4	1/4	Chord	2/4	4	1	1/16			1/16	1	817										
39	38	309/4	309/4	0.0	5/16	5/16	Chord	2/4	4	1	0	grace16		1/16	1	818										
39	38	309/4	309/4	0.0	5/16	5/16	Chord	2/4	4	1	0	grace16		1/16	1	819										
39	38	309/4	309/4	0.1875	5/16	5/16	Chord	2/4	4	1	3/64			1/32	3/2	820		articStaccatoBelow								
39	38	1239/16	1239/16	0.0625	23/64	23/64	Chord	2/4	4	1	1/64			1/64	1	821		articStaccatoBelow								
39	38	155/2	155/2	0.25	3/8	3/8	Chord	2/4	4	1	1/16			1/16	1	822										
39	38	311/4	311/4	0.0	7/16	7/16	Chord	2/4	4	1	0	grace16		1/16	1	823										
39	38	311/4	311/4	0.0	7/16	7/16	Chord	2/4	4	1	0	grace16		1/16	1	824										
39	38	311/4	311/4	0.1875	7/16	7/16	Chord	2/4	4	1	3/64			1/32	3/2	825		articStaccatoBelow								
39	38	1247/16	1247/16	0.0625	31/64	31/64	Chord	2/4	4	1	1/64			1/64	1	826		articStaccatoBelow								
40	39	78	78	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	827										
40	39	627/8	627/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32			1/32	1	828										
