mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	decrescendo_hairpin	crescendo_hairpin
46	46	137	137	0.5		1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	589		articStaccatoAbove				
46	46	275/2	275/2	0.5		5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	590		articStaccatoAbove				
47	47	138	138	1.0		0	0	Chord	6/8	1	1	1/4		1/4	1	591						
47	47	138	138	1.0		0	0	Chord	6/8	2	1	1/4		1/4	1	592				81		
47	47	139	139	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	593						
47	47	279/2	279/2	0.5		3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	594		articStaccatoBelow				
47	47	140	140	0.5		1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	595		articStaccatoBelow				
47	47	281/2	281/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	596		articStaccatoBelow				
47	47	138	138	1.0		0	0	Chord	6/8	3	1	1/4		1/4	1	597		articStaccatoBelow				
47	47	139	139	0.5		1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	598		articStaccatoBelow				
47	47	279/2	279/2	1.0		3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	599		articStaccatoBelow				
48	48	141	141	0.0		0	0	Dynamic	6/8	1	1	0					f					
48	48	141	141	1.0		0	0	Chord	6/8	1	1	1/4		1/4	1	600				82		
48	48	142	142	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	601						
48	48	285/2	285/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	602		articStaccatoAbove				
48	48	143	143	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	603		articStaccatoAbove				
48	48	287/2	287/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	604		articStaccatoAbove				
48	48	141	141	0.0		0	0	Dynamic	6/8	2	1	0					f					
48	48	141	141	0.5		0	0	Chord	6/8	2	1	1/8		1/8	1	605				83		
48	48	283/2	283/2	0.5		1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	606						
48	48	142	142	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	607		articStaccatoBelow				
48	48	285/2	285/2	0.5		3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	608		articStaccatoBelow				
48	48	143	143	0.5		1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	609		articStaccatoBelow				
48	48	287/2	287/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	610		articStaccatoBelow				
48	48	141	141	0.0		0	0	Dynamic	6/8	3	1	0					f					
48	48	141	141	1.0		0	0	Chord	6/8	3	1	1/4		1/4	1	611						
48	48	142	142	0.5		1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	612		articStaccatoBelow				
48	48	285/2	285/2	0.5		3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	613		articStaccatoBelow				
48	48	143	143	0.5		1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	614		articStaccatoBelow				
48	48	287/2	287/2	0.5		5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	615		articStaccatoBelow				
48	48	141	141	0.0		0	0	Dynamic	6/8	4	1	0					f					
48	48	141	141	1.0		0	0	Chord	6/8	4	1	1/4		1/4	1	616				84		
48	48	142	142	0.5		1/4	1/4	Chord	6/8	4	1	1/8		1/8	1	617						
48	48	285/2	285/2	0.5		3/8	3/8	Chord	6/8	4	1	1/8		1/8	1	618		articStaccatoAbove				
48	48	143	143	0.5		1/2	1/2	Chord	6/8	4	1	1/8		1/8	1	619		articStaccatoAbove				
48	48	287/2	287/2	0.5		5/8	5/8	Chord	6/8	4	1	1/8		1/8	1	620		articStaccatoAbove				
49	49	144	144	0.0		0	0	Dynamic	6/8	1	1	0					p					
49	49	144	144	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	621				85		
49	49	289/2	289/2	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	622						
49	49	145	145	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	623		articStaccatoAbove				
49	49	146	146	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	624				86		
49	49	293/2	293/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	625						
49	49	144	144	0.0		0	0	Dynamic	6/8	2	1	0					p					
49	49	144	144	0.5		0	0	Chord	6/8	2	1	1/8		1/8	1	626		articStaccatoAbove				
49	49	289/2	289/2	0.5		1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	627				87		
49	49	145	145	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	628						
49	49	146	146	0.5		1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	629				88		
49	49	293/2	293/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	630						
49	49	144	144	0.0		0	0	Dynamic	6/8	3	1	0					p					
49	49	144	144	0.5		0	0	Chord	6/8	3	1	1/8		1/8	1	631				89		
49	49	289/2	289/2	0.5		1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	632						
49	49	291/2	291/2	0.5		3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	633				90		
49	49	146	146	0.5		1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	634						
49	49	144	144	0.0		0	0	Dynamic	6/8	4	1	0					p					
49	49	144	144	0.5		0	0	Chord	6/8	4	1	1/8		1/8	1	635				91		
49	49	289/2	289/2	0.5		1/8	1/8	Chord	6/8	4	1	1/8		1/8	1	636						
49	49	291/2	291/2	0.5		3/8	3/8	Chord	6/8	4	1	1/8		1/8	1	637				92		
49	49	146	146	0.5		1/2	1/2	Chord	6/8	4	1	1/8		1/8	1	638						
50	50	295/2	295/2	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	639				93		
50	50	148	148	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	640						
50	50	149	149	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	641				94		
50	50	299/2	299/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	642						
50	50	295/2	295/2	0.5		1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	643				95		
50	50	148	148	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	644						
50	50	149	149	0.5		1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	645				96		
50	50	299/2	299/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	646						
50	50	147	147	0.5		0	0	Chord	6/8	3	1	1/8		1/8	1	647				97		
50	50	295/2	295/2	0.5		1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	648						
50	50	297/2	297/2	0.5		3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	649				98		
50	50	149	149	0.5		1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	650						
50	50	147	147	0.5		0	0	Chord	6/8	4	1	1/8		1/8	1	651				99		
50	50	295/2	295/2	0.5		1/8	1/8	Chord	6/8	4	1	1/8		1/8	1	652						
50	50	297/2	297/2	0.5		3/8	3/8	Chord	6/8	4	1	1/8		1/8	1	653				100		
50	50	149	149	0.5		1/2	1/2	Chord	6/8	4	1	1/8		1/8	1	654						
51	51	150	150	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	655						
51	51	301/2	301/2	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	656		articStaccatoAbove				
51	51	151	151	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	657		articStaccatoAbove				
51	51	303/2	303/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	658		articStaccatoAbove				
51	51	152	152	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	659		articStaccatoAbove				
51	51	305/2	305/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	660		articStaccatoAbove				
51	51	150	150	0.0		0	0	Dynamic	6/8	2	1	0					f					
51	51	150	150	0.0		0	0	Dynamic	6/8	2	1	0					f					
51	51	150	150	0.5		0	0	Chord	6/8	2	1	1/8		1/8	1	661						
51	51	301/2	301/2	0.5		1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	662		articStaccatoBelow				
51	51	151	151	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	663		articStaccatoBelow				
51	51	303/2	303/2	0.5		3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	664		articStaccatoBelow				
51	51	152	152	0.5		1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	665		articStaccatoBelow				
51	51	305/2	305/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	666		articStaccatoBelow				
51	51	150	150	0.0		0	0	Dynamic	6/8	3	1	0					f					
51	51	150	150	1.0		0	0	Chord	6/8	3	1	1/4		1/4	1	667						
51	51	150	150	0.0		0	0	Dynamic	6/8	4	1	0					f					
51	51	150	150	1.0		0	0	Chord	6/8	4	1	1/4		1/4	1	668						
52	52	153	153	1.0		0	0	Chord	6/8	1	1	1/4		1/4	1	669		articStaccatoAbove				
52	52	154	154	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	670		articStaccatoAbove				
52	52	309/2	309/2	1.0		3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	671		articStaccatoAbove				
52	52	153	153	1.0		0	0	Chord	6/8	2	1	1/4		1/4	1	672		articStaccatoBelow				
52	52	154	154	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	673		articStaccatoBelow				
52	52	309/2	309/2	1.0		3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	674		articStaccatoBelow				
52	52	153	153	0.0		0	0	Dynamic	6/8	3	1	0					sf					
52	52	153	153	1.0		0	0	Chord	6/8	3	1	1/4		1/4	1	675				101		
52	52	154	154	0.5		1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	676						
52	52	309/2	309/2	0.5		3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	677		articStaccatoAbove				
52	52	155	155	0.5		1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	678		articStaccatoAbove				
52	52	311/2	311/2	0.5		5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	679		articStaccatoAbove				
52	52	153	153	0.0		0	0	Dynamic	6/8	4	1	0					sf					
52	52	153	153	1.0		0	0	Chord	6/8	4	1	1/4		1/4	1	680				102		
52	52	154	154	0.5		1/4	1/4	Chord	6/8	4	1	1/8		1/8	1	681						
52	52	309/2	309/2	0.5		3/8	3/8	Chord	6/8	4	1	1/8		1/8	1	682		articStaccatoBelow				
52	52	155	155	0.5		1/2	1/2	Chord	6/8	4	1	1/8		1/8	1	683		articStaccatoBelow				
52	52	311/2	311/2	0.5		5/8	5/8	Chord	6/8	4	1	1/8		1/8	1	684		articStaccatoBelow				
53	53	156	156	0.0		0	0	Dynamic	6/8	1	1	0					sf					
53	53	156	156	1.0		0	0	Chord	6/8	1	1	1/4		1/4	1	685				103		
53	53	157	157	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	686						
53	53	315/2	315/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	687		articStaccatoAbove				
53	53	158	158	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	688		articStaccatoAbove				
53	53	317/2	317/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	689		articStaccatoAbove				
53	53	156	156	0.0		0	0	Dynamic	6/8	2	1	0					sf					
53	53	156	156	1.0		0	0	Chord	6/8	2	1	1/4		1/4	1	690				104		
53	53	157	157	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	691						
53	53	315/2	315/2	0.5		3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	692		articStaccatoBelow				
53	53	158	158	0.5		1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	693		articStaccatoBelow				
53	53	317/2	317/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	694		articStaccatoBelow				
53	53	156	156	1.0		0	0	Chord	6/8	3	1	1/4		1/4	1	695		articStaccatoBelow				
53	53	157	157	0.5		1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	696		articStaccatoBelow				
53	53	315/2	315/2	1.0		3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	697		articStaccatoBelow				
53	53	156	156	1.0		0	0	Chord	6/8	4	1	1/4		1/4	1	698		articStaccatoBelow				
53	53	157	157	0.5		1/4	1/4	Chord	6/8	4	1	1/8		1/8	1	699		articStaccatoBelow				
53	53	315/2	315/2	1.0		3/8	3/8	Chord	6/8	4	1	1/4		1/4	1	700		articStaccatoBelow				
54	54	159	159	1.0		0	0	Chord	6/8	1	1	1/4		1/4	1	701		articStaccatoAbove				
54	54	160	160	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	702		articStaccatoAbove				
54	54	321/2	321/2	1.0		3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	703		articStaccatoAbove				
54	54	159	159	1.0		0	0	Chord	6/8	2	1	1/4		1/4	1	704		articStaccatoBelow				
54	54	160	160	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	705		articStaccatoBelow				
54	54	321/2	321/2	1.0		3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	706		articStaccatoBelow				
54	54	159	159	0.0		0	0	Dynamic	6/8	3	1	0					sf					
54	54	159	159	1.0		0	0	Chord	6/8	3	1	1/4		1/4	1	707				105		
54	54	160	160	0.5		1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	708						
54	54	321/2	321/2	0.5		3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	709		articStaccatoAbove				
54	54	161	161	0.5		1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	710		articStaccatoAbove				
54	54	323/2	323/2	0.5		5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	711		articStaccatoAbove				
54	54	159	159	0.0		0	0	Dynamic	6/8	4	1	0					sf					
54	54	159	159	1.0		0	0	Chord	6/8	4	1	1/4		1/4	1	712				106		
54	54	160	160	0.5		1/4	1/4	Chord	6/8	4	1	1/8		1/8	1	713						
54	54	321/2	321/2	0.5		3/8	3/8	Chord	6/8	4	1	1/8		1/8	1	714		articStaccatoAbove				
54	54	161	161	0.5		1/2	1/2	Chord	6/8	4	1	1/8		1/8	1	715		articStaccatoAbove				
54	54	323/2	323/2	0.5		5/8	5/8	Chord	6/8	4	1	1/8		1/8	1	716		articStaccatoAbove				
55	55	162	162	0.0		0	0	Dynamic	6/8	1	1	0					f					
55	55	162	162	1.0		0	0	Chord	6/8	1	1	1/4		1/4	1	717				107		
55	55	163	163	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	718						
55	55	327/2	327/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	719		articStaccatoAbove				
55	55	164	164	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	720		articStaccatoAbove				
55	55	329/2	329/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	721		articStaccatoAbove				
55	55	162	162	0.0		0	0	Dynamic	6/8	2	1	0					f					
55	55	162	162	1.0		0	0	Chord	6/8	2	1	1/4		1/4	1	722				108		
55	55	163	163	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	723						
55	55	327/2	327/2	0.5		3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	724		articStaccatoBelow				
55	55	164	164	0.5		1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	725		articStaccatoBelow				
55	55	329/2	329/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	726		articStaccatoBelow				
55	55	162	162	1.0		0	0	Chord	6/8	3	1	1/4		1/4	1	727		articStaccatoBelow				
55	55	163	163	0.5		1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	728		articStaccatoBelow				
55	55	327/2	327/2	1.0		3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	729		articStaccatoBelow				
55	55	162	162	1.0		0	0	Chord	6/8	4	1	1/4		1/4	1	730		articStaccatoBelow				
55	55	163	163	0.5		1/4	1/4	Chord	6/8	4	1	1/8		1/8	1	731		articStaccatoBelow				
55	55	327/2	327/2	1.0		3/8	3/8	Chord	6/8	4	1	1/4		1/4	1	732		articStaccatoBelow				
56	56	165	165	0.0		0	0	Dynamic	6/8	1	1	0					sf					
56	56	165	165	3.0		0	0	Chord	6/8	1	1	3/4		1/2	3/2	733						
56	56	165	165	0.0		0	0	Dynamic	6/8	2	1	0					sf					
56	56	165	165	1.0		0	0	Chord	6/8	2	1	1/4		1/4	1	734						
56	56	166	166	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	735		articStaccatoBelow				
56	56	333/2	333/2	0.5		3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	736		articStaccatoBelow				
56	56	167	167	0.5		1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	737		articStaccatoBelow				
56	56	335/2	335/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	738		articStaccatoBelow				
56	56	165	165	0.0		0	0	Dynamic	6/8	3	1	0					sf					
56	56	165	165	1.0		0	0	Chord	6/8	3	1	1/4		1/4	1	739						
56	56	166	166	0.5		1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	740		articStaccatoAbove				
56	56	333/2	333/2	0.5		3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	741		articStaccatoAbove				
56	56	167	167	0.5		1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	742		articStaccatoAbove				
56	56	335/2	335/2	0.5		5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	743		articStaccatoAbove				
56	56	165	165	0.0		0	0	Dynamic	6/8	4	1	0					sf					
56	56	165	165	1.0		0	0	Chord	6/8	4	1	1/4		1/4	1	744						
56	56	166	166	0.5		1/4	1/4	Chord	6/8	4	1	1/8		1/8	1	745		articStaccatoBelow				
56	56	333/2	333/2	0.5		3/8	3/8	Chord	6/8	4	1	1/8		1/8	1	746		articStaccatoAbove				
56	56	167	167	0.5		1/2	1/2	Chord	6/8	4	1	1/8		1/8	1	747		articStaccatoAbove				
56	56	335/2	335/2	0.5		5/8	5/8	Chord	6/8	4	1	1/8		1/8	1	748		articStaccatoAbove				
57	57	168	168	0.0		0	0	Dynamic	6/8	1	1	0					sf					
57	57	168	168	3.0		0	0	Chord	6/8	1	1	3/4		1/2	3/2	749						
57	57	168	168	0.0		0	0	Dynamic	6/8	2	1	0					sf					
57	57	168	168	1.0		0	0	Chord	6/8	2	1	1/4		1/4	1	750						
57	57	169	169	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	751		articStaccatoBelow				
57	57	339/2	339/2	0.5		3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	752		articStaccatoBelow				
57	57	170	170	0.5		1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	753		articStaccatoBelow				
57	57	341/2	341/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	754		articStaccatoBelow				
57	57	168	168	0.0		0	0	Dynamic	6/8	3	1	0					sf					
57	57	168	168	1.0		0	0	Chord	6/8	3	1	1/4		1/4	1	755						
57	57	169	169	0.5		1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	756		articStaccatoAbove				
57	57	339/2	339/2	0.5		3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	757		articStaccatoAbove				
57	57	170	170	0.5		1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	758		articStaccatoAbove				
57	57	341/2	341/2	0.5		5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	759		articStaccatoAbove				
57	57	168	168	0.0		0	0	Dynamic	6/8	4	1	0					sf					
57	57	168	168	1.0		0	0	Chord	6/8	4	1	1/4		1/4	1	760						
57	57	169	169	0.5		1/4	1/4	Chord	6/8	4	1	1/8		1/8	1	761		articStaccatoBelow				
57	57	339/2	339/2	0.5		3/8	3/8	Chord	6/8	4	1	1/8		1/8	1	762		articStaccatoAbove				
57	57	170	170	0.5		1/2	1/2	Chord	6/8	4	1	1/8		1/8	1	763		articStaccatoAbove				
57	57	341/2	341/2	0.5		5/8	5/8	Chord	6/8	4	1	1/8		1/8	1	764		articStaccatoAbove				
58	58	171	171	0.0		0	0	Dynamic	6/8	1	1	0					sf					
58	58	171	171	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	765						
58	58	343/2	343/2	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	766						
58	58	172	172	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	767						
58	58	345/2	345/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	768						
58	58	173	173	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	769						
58	58	347/2	347/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	770						
58	58	171	171	0.0		0	0	Dynamic	6/8	2	1	0					sf					
58	58	171	171	0.5		0	0	Chord	6/8	2	1	1/8		1/8	1	771						
58	58	343/2	343/2	0.5		1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	772						
58	58	172	172	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	773						
58	58	345/2	345/2	0.5		3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	774						
58	58	173	173	0.5		1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	775						
58	58	347/2	347/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	776						
58	58	171	171	0.0		0	0	Dynamic	6/8	3	1	0					sf					
58	58	171	171	0.5		0	0	Chord	6/8	3	1	1/8		1/8	1	777						
58	58	343/2	343/2	0.5		1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	778						
58	58	172	172	0.5		1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	779						
58	58	345/2	345/2	0.5		3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	780						
58	58	173	173	0.5		1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	781						
58	58	347/2	347/2	0.5		5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	782						
58	58	171	171	0.0		0	0	Dynamic	6/8	4	1	0					sf					
58	58	171	171	0.5		0	0	Chord	6/8	4	1	1/8		1/8	1	783						
58	58	343/2	343/2	0.5		1/8	1/8	Chord	6/8	4	1	1/8		1/8	1	784						
58	58	172	172	0.5		1/4	1/4	Chord	6/8	4	1	1/8		1/8	1	785						
58	58	345/2	345/2	0.5		3/8	3/8	Chord	6/8	4	1	1/8		1/8	1	786						
58	58	173	173	0.5		1/2	1/2	Chord	6/8	4	1	1/8		1/8	1	787						
58	58	347/2	347/2	0.5		5/8	5/8	Chord	6/8	4	1	1/8		1/8	1	788						
59	59	174	174	1.5		0	0	Chord	6/8	1	1	3/8		1/4	3/2	789						
59	59	351/2	351/2	1.5		3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	790						
59	59	174	174	0.5		0	0	Chord	6/8	2	1	1/8		1/8	1	791						
59	59	349/2	349/2	0.5		1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	792				109		
59	59	175	175	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	793						
59	59	176	176	0.5		1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	794				110		
59	59	353/2	353/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	795						
59	59	174	174	1.0		0	0	Chord	6/8	3	1	1/4		1/4	1	796						
59	59	351/2	351/2	1.0		3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	797						
59	59	174	174	1.0		0	0	Chord	6/8	4	1	1/4		1/4	1	798						
59	59	351/2	351/2	1.0		3/8	3/8	Chord	6/8	4	1	1/4		1/4	1	799						
60	60	177	177	1.5		0	0	Chord	6/8	1	1	3/8		1/4	3/2	800						
60	60	357/2	357/2	1.5		3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	801						
60	60	355/2	355/2	0.5		1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	802				111		
60	60	178	178	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	803						
60	60	179	179	0.5		1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	804				112		
60	60	359/2	359/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	805						
60	60	177	177	1.0		0	0	Chord	6/8	3	1	1/4		1/4	1	806						
60	60	357/2	357/2	1.0		3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	807						
60	60	177	177	1.0		0	0	Chord	6/8	4	1	1/4		1/4	1	808						
60	60	357/2	357/2	1.0		3/8	3/8	Chord	6/8	4	1	1/4		1/4	1	809						
61	61	180	180	1.5		0	0	Chord	6/8	1	1	3/8		1/4	3/2	810						
61	61	363/2	363/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	811						
61	61	182	182	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	812		articStaccatoBelow				
61	61	365/2	365/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	813		articStaccatoBelow				
61	61	180	180	0.0		0	0	Dynamic	6/8	2	1	0					sf					
61	61	180	180	0.0		0	0	Dynamic	6/8	2	1	0					sf					
61	61	180	180	1.5		0	0	Chord	6/8	2	1	3/8		1/4	3/2	814						
61	61	363/2	363/2	0.5		3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	815						
61	61	182	182	0.5		1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	816		articStaccatoBelow				
61	61	365/2	365/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	817		articStaccatoBelow				
61	61	180	180	0.0		0	0	Dynamic	6/8	3	1	0					sf					
61	61	180	180	1.5		0	0	Chord	6/8	3	1	3/8		1/4	3/2	818						
61	61	363/2	363/2	0.5		3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	819						
61	61	182	182	0.5		1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	820		articStaccatoAbove				
61	61	365/2	365/2	0.5		5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	821		articStaccatoAbove				
61	61	180	180	0.0		0	0	Dynamic	6/8	4	1	0					sf					
61	61	180	180	0.5		0	0	Chord	6/8	4	1	1/8		1/8	1	822				113		
61	61	361/2	361/2	0.5		1/8	1/8	Chord	6/8	4	1	1/8		1/8	1	823				113		
61	61	181	181	0.5		1/4	1/4	Chord	6/8	4	1	1/8		1/8	1	824						
61	61	363/2	363/2	0.5		3/8	3/8	Chord	6/8	4	1	1/8		1/8	1	825						
61	61	182	182	0.5		1/2	1/2	Chord	6/8	4	1	1/8		1/8	1	826						
61	61	365/2	365/2	0.5		5/8	5/8	Chord	6/8	4	1	1/8		1/8	1	827						
62	62	183	183	0.25		0	0	Chord	6/8	1	1	1/16		1/16	1	828				114		
62	62	733/4	733/4	0.25		1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	829						
62	62	367/2	367/2	0.25		1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	830		articStaccatoAbove				
62	62	735/4	735/4	0.25		3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	831		articStaccatoAbove				
62	62	184	184	0.25		1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	832		articStaccatoAbove				
62	62	737/4	737/4	0.25		5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	833		articStaccatoAbove				
62	62	369/2	369/2	0.25		3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	834		articStaccatoBelow				
62	62	739/4	739/4	0.25		7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	835		articStaccatoBelow				
