mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	crescendo_hairpin	decrescendo_hairpin
69	69	298	298	2.0		1/2	1/2	Chord	4/4	2	1	1/2			1/2	1	661		articStaccatoBelow				
69	69	296	296	0.0		0	0	StaffText	4/4	3	1	0								"<font size=""10""/><i>cresc.</i>"			
69	69	296	296	2.0		0	0	Chord	4/4	3	1	1/2			1/2	1	662		articStaccatoAbove				
69	69	298	298	2.0		1/2	1/2	Chord	4/4	3	1	1/2			1/2	1	663		articStaccatoBelow				
69	69	296	296	0.0		0	0	StaffText	4/4	4	1	0								"<font size=""10""/><i>cresc.</i>"			
69	69	296	296	1.0		0	0	Chord	4/4	4	1	1/4			1/4	1	664						
69	69	298	298	1.0		1/2	1/2	Chord	4/4	4	1	1/4			1/4	1	665						
70	70	300	300	1.0		0	0	Chord	4/4	1	1	1/4			1/4	1	666						
70	70	301	301	1.0		1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	667						
70	70	302	302	1.0		1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	668						
70	70	303	303	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	669						
70	70	303	303	1.0		3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	670						
70	70	303	303	1.0		3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	671						
70	70	300	300	1.0		0	0	Chord	4/4	4	1	1/4			1/4	1	672						
70	70	302	302	1.0		1/2	1/2	Chord	4/4	4	1	1/4			1/4	1	673						
71	71	304	304	3.0		0	0	Chord	4/4	1	1	3/4			1/2	3/2	674						
71	71	307	307	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	675		articStaccatoAbove				
71	71	304	304	2.0		0	0	Chord	4/4	2	1	1/2			1/2	1	676		articStaccatoAbove				
71	71	306	306	2.0		1/2	1/2	Chord	4/4	2	1	1/2			1/2	1	677		articStaccatoBelow				
71	71	304	304	2.0		0	0	Chord	4/4	3	1	1/2			1/2	1	678		articStaccatoBelow				
71	71	306	306	2.0		1/2	1/2	Chord	4/4	3	1	1/2			1/2	1	679		articStaccatoAbove				
71	71	304	304	1.0		0	0	Chord	4/4	4	1	1/4			1/4	1	680						
71	71	306	306	1.0		1/2	1/2	Chord	4/4	4	1	1/4			1/4	1	681						
72	72	308	308	1.0		0	0	Chord	4/4	1	1	1/4			1/4	1	682						
72	72	309	309	1.0		1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	683						
72	72	310	310	1.0		1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	684						
72	72	311	311	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	685						
72	72	308	308	1.0		0	0	Chord	4/4	4	1	1/4			1/4	1	686						
72	72	310	310	1.0		1/2	1/2	Chord	4/4	4	1	1/4			1/4	1	687						
72	72	311	311	1.0		3/4	3/4	Chord	4/4	4	1	1/4			1/4	1	688						
73	73	312	312	0.0		0	0	StaffText	4/4	1	1	0								"<font size=""12""/><b><i>f</i></b>"			
73	73	312	312	0.0		0	0	StaffText	4/4	1	1	0								"<font size=""12""/><b><i>f</i></b>"			
73	73	312	312	0.0		0	0	StaffText	4/4	1	1	0								"<font size=""10""/><i>piu</i>"			
73	73	312	312	2.0		0	0	Chord	4/4	1	1	1/2			1/2	1	689		articStaccatoAbove				
73	73	314	314	2.0		1/2	1/2	Chord	4/4	1	1	1/2			1/2	1	690		articStaccatoAbove				
73	73	315	315	1.0		3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	691						
73	73	315	315	1.0		3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	692						
73	73	312	312	0.0		0	0	StaffText	4/4	4	1	0								"<font size=""12""/><b><i>f</i></b>"			
73	73	312	312	0.0		0	0	StaffText	4/4	4	1	0								"<font size=""10""/><i>piu</i>"			
73	73	312	312	2.0		0	0	Chord	4/4	4	1	1/2			1/2	1	693		articStaccatoAbove				
73	73	314	314	2.0		1/2	1/2	Chord	4/4	4	1	1/2			1/2	1	694		articStaccatoAbove				
74	74	319	319	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	695						
74	74	316	316	0.0		0	0	StaffText	4/4	2	1	0								"<font size=""12""/><b><i>f</i></b>"			
74	74	316	316	2.0		0	0	Chord	4/4	2	1	1/2			1/2	1	696		articStaccatoAbove				
74	74	318	318	2.0		1/2	1/2	Chord	4/4	2	1	1/2			1/2	1	697		articStaccatoAbove				
74	74	316	316	0.0		0	0	StaffText	4/4	3	1	0								"<font size=""10""/><i>piu</i>"			
74	74	316	316	2.0		0	0	Chord	4/4	3	1	1/2			1/2	1	698		articStaccatoAbove				
74	74	318	318	2.0		1/2	1/2	Chord	4/4	3	1	1/2			1/2	1	699		articStaccatoBelow				
74	74	316	316	0.0		0	0	StaffText	4/4	4	1	0								"<font size=""12""/><b><i>f</i></b>"			
74	74	316	316	0.0		0	0	StaffText	4/4	4	1	0								"<font size=""10""/><i>piu</i>"			
74	74	319	319	1.0		3/4	3/4	Chord	4/4	4	1	1/4			1/4	1	700						
75	75	320	320	2.0		0	0	Chord	4/4	1	1	1/2			1/2	1	701		articStaccatoAbove				
75	75	322	322	2.0		1/2	1/2	Chord	4/4	1	1	1/2			1/2	1	702		articStaccatoAbove				
75	75	323	323	1.0		3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	703						
75	75	323	323	1.0		3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	704						
75	75	320	320	2.0		0	0	Chord	4/4	4	1	1/2			1/2	1	705		articStaccatoAbove				
75	75	322	322	2.0		1/2	1/2	Chord	4/4	4	1	1/2			1/2	1	706		articStaccatoAbove				
76	76	324	324	0.0		0	0	StaffText	4/4	1	1	0								"<font size=""12""/><b><i>ff</i></b>"			
76	76	327	327	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	707		articStaccatoAbove				
76	76	324	324	2.0		0	0	Chord	4/4	2	1	1/2			1/2	1	708		articStaccatoAbove				
76	76	326	326	1.0		1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	709		articStaccatoAbove				
76	76	327	327	1.0		3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	710		articStaccatoBelow				
76	76	324	324	0.0		0	0	StaffText	4/4	3	1	0								"<font size=""12""/><b><i>ff</i></b>"			
76	76	324	324	0.0		0	0	StaffText	4/4	3	1	0								"<font size=""12""/><b><i>ff</i></b>"			
76	76	324	324	2.0		0	0	Chord	4/4	3	1	1/2			1/2	1	711		articStaccatoAbove				
76	76	326	326	1.0		1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	712		articStaccatoBelow				
76	76	327	327	1.0		3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	713		articStaccatoBelow				
76	76	324	324	0.0		0	0	StaffText	4/4	4	1	0								"<font size=""12""/><b><i>ff</i></b>"			
76	76	327	327	1.0		3/4	3/4	Chord	4/4	4	1	1/4			1/4	1	714						
77	77	328	328	1.0		0	0	Chord	4/4	1	1	1/4			1/4	1	715		articStaccatoBelow				
77	77	329	329	1.0		1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	716		articStaccatoAbove				
77	77	330	330	1.0		1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	717		articStaccatoAbove				
77	77	331	331	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	718		articStaccatoAbove				
77	77	328	328	1.0		0	0	Chord	4/4	2	1	1/4			1/4	1	719						
77	77	329	329	1.0		1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	720						
77	77	330	330	1.0		1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	721						
77	77	331	331	1.0		3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	722						
77	77	328	328	1.0		0	0	Chord	4/4	3	1	1/4			1/4	1	723						
77	77	329	329	1.0		1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	724						
77	77	330	330	1.0		1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	725						
77	77	331	331	1.0		3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	726						
77	77	328	328	2.0		0	0	Chord	4/4	4	1	1/2			1/2	1	727						
77	77	330	330	1.0		1/2	1/2	Chord	4/4	4	1	1/4			1/4	1	728						
77	77	331	331	1.0		3/4	3/4	Chord	4/4	4	1	1/4			1/4	1	729						
78	78	332	332	1.0		0	0	Chord	4/4	1	1	1/4			1/4	1	730						
78	78	333	333	1.0		1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	731						
78	78	334	334	1.0		1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	732						
78	78	335	335	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	733						
78	78	332	332	1.0		0	0	Chord	4/4	2	1	1/4			1/4	1	734						
78	78	333	333	1.0		1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	735						
78	78	334	334	1.0		1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	736						
78	78	335	335	1.0		3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	737						
78	78	332	332	1.0		0	0	Chord	4/4	3	1	1/4			1/4	1	738						
78	78	333	333	1.0		1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	739						
78	78	334	334	1.0		1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	740						
78	78	335	335	1.0		3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	741						
78	78	332	332	2.0		0	0	Chord	4/4	4	1	1/2			1/2	1	742						
78	78	334	334	1.0		1/2	1/2	Chord	4/4	4	1	1/4			1/4	1	743						
78	78	335	335	1.0		3/4	3/4	Chord	4/4	4	1	1/4			1/4	1	744						
79	79	336	336	0.0		0	0	StaffText	4/4	1	1	0								"<font size=""12""/><b><i>sf</i></b>"			
79	79	336	336	2.0		0	0	Chord	4/4	1	1	1/2			1/2	1	745						
79	79	338	338	2.0		1/2	1/2	Chord	4/4	1	1	1/2			1/2	1	746						
79	79	336	336	2.0		0	0	Chord	4/4	2	1	1/2			1/2	1	747						
79	79	338	338	2.0		1/2	1/2	Chord	4/4	2	1	1/2			1/2	1	748						
79	79	336	336	0.0		0	0	StaffText	4/4	3	1	0								"<font size=""12""/><b><i>sf</i></b>"			
79	79	336	336	0.0		0	0	StaffText	4/4	3	1	0								"<font size=""12""/><b><i>sf</i></b>"			
79	79	336	336	2.0		0	0	Chord	4/4	3	1	1/2			1/2	1	749						
79	79	338	338	2.0		1/2	1/2	Chord	4/4	3	1	1/2			1/2	1	750						
79	79	336	336	2.0		0	0	Chord	4/4	4	1	1/2			1/2	1	751						
79	79	338	338	2.0		1/2	1/2	Chord	4/4	4	1	1/2			1/2	1	752						
80	80		340	1.0	1	0	0	Chord	4/4	1	1	1/4			1/4	1	753						
80	80		343	1.0	1	3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	754						
80	80		340	1.0	1	0	0	Chord	4/4	2	1	1/4			1/4	1	755						
80	80		343	1.0	1	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	756						
80	80		340	1.0	1	0	0	Chord	4/4	3	1	1/4			1/4	1	757						
80	80		343	1.0	1	3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	758						
80	80		340	1.0	1	0	0	Chord	4/4	4	1	1/4			1/4	1	759						
80	80		343	1.0	1	3/4	3/4	Chord	4/4	4	1	1/4			1/4	1	760						
81	81		344	0.0	1	0	0	StaffText	4/4	1	1	0								"<font size=""12""/><b><i>p</i></b>"			
81	81		344	2.0	1	0	0	Chord	4/4	1	1	1/2			1/2	1	761		articStaccatoAbove				
81	81		346	2.0	1	1/2	1/2	Chord	4/4	1	1	1/2			1/2	1	762		articStaccatoBelow				
81	81		344	2.0	1	0	0	Chord	4/4	2	1	1/2			1/2	1	763		articStaccatoBelow				
81	81		346	2.0	1	1/2	1/2	Chord	4/4	2	1	1/2			1/2	1	764		articStaccatoBelow				
81	81		344	0.0	1	0	0	StaffText	4/4	3	1	0								"<font size=""12""/><b><i>p</i></b>"			
81	81		344	2.0	1	0	0	Chord	4/4	3	1	1/2			1/2	1	765		articStaccatoBelow				
81	81		346	2.0	1	1/2	1/2	Chord	4/4	3	1	1/2			1/2	1	766		articStaccatoBelow				
81	81		344	0.0	1	0	0	StaffText	4/4	4	1	0								"<font size=""12""/><b><i>p</i></b>"			
81	81		344	2.0	1	0	0	Chord	4/4	4	1	1/2			1/2	1	767		articStaccatoBelow				
81	81		346	2.0	1	1/2	1/2	Chord	4/4	4	1	1/2			1/2	1	768		articStaccatoBelow				
82	82		348	0.0	1	0	0	StaffText	4/4	1	1	0								"<font size=""12""/><b><i>f</i></b>"			
82	82		351	1.0	1	3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	769						
82	82		351	1.0	1	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	770						
82	82		348	0.0	1	0	0	StaffText	4/4	3	1	0								"<font size=""12""/><b><i>f</i></b>"			
82	82		348	0.0	1	0	0	StaffText	4/4	3	1	0								"<font size=""12""/><b><i>f</i></b>"			
82	82		351	1.0	1	3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	771						
82	82		351	1.0	1	3/4	3/4	Chord	4/4	4	1	1/4			1/4	1	772						
83	83		352	2.0	1	0	0	Chord	4/4	1	1	1/2			1/2	1	773		articStaccatoAbove				
83	83		354	2.0	1	1/2	1/2	Chord	4/4	1	1	1/2			1/2	1	774		articStaccatoAbove				
83	83		352	2.0	1	0	0	Chord	4/4	2	1	1/2			1/2	1	775		articStaccatoAbove				
83	83		354	2.0	1	1/2	1/2	Chord	4/4	2	1	1/2			1/2	1	776		articStaccatoBelow				
83	83		352	1.0	1	0	0	Chord	4/4	3	1	1/4			1/4	1	777		articStaccatoBelow				
83	83		353	1.0	1	1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	778		articStaccatoBelow				
83	83		354	1.0	1	1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	779		articStaccatoBelow				
83	83		355	1.0	1	3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	780		articStaccatoBelow				
83	83		352	1.0	1	0	0	Chord	4/4	4	1	1/4			1/4	1	781		articStaccatoBelow				
83	83		353	1.0	1	1/4	1/4	Chord	4/4	4	1	1/4			1/4	1	782		articStaccatoBelow				
83	83		354	1.0	1	1/2	1/2	Chord	4/4	4	1	1/4			1/4	1	783		articStaccatoBelow				
83	83		355	1.0	1	3/4	3/4	Chord	4/4	4	1	1/4			1/4	1	784		articStaccatoBelow				
84	84		356	1.0	1	0	0	Chord	4/4	1	1	1/4			1/4	1	785						
84	84		359	1.0	1	3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	786						
84	84		356	1.0	1	0	0	Chord	4/4	2	1	1/4			1/4	1	787						
84	84		359	1.0	1	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	788						
84	84		356	1.0	1	0	0	Chord	4/4	3	1	1/4			1/4	1	789						
84	84		359	1.0	1	3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	790						
84	84		356	1.0	1	0	0	Chord	4/4	4	1	1/4			1/4	1	791						
85	85	340	360	0.0		0	0	StaffText	4/4	1	1	0								"<font size=""12""/><b><i>p</i></b>"			
85	85	340	360	2.0		0	0	Chord	4/4	1	1	1/2			1/2	1	792		articStaccatoAbove				
85	85	342	362	2.0		1/2	1/2	Chord	4/4	1	1	1/2			1/2	1	793		articStaccatoBelow				
85	85	340	360	2.0		0	0	Chord	4/4	2	1	1/2			1/2	1	794		articStaccatoBelow				
85	85	342	362	2.0		1/2	1/2	Chord	4/4	2	1	1/2			1/2	1	795		articStaccatoBelow				
85	85	340	360	0.0		0	0	StaffText	4/4	3	1	0								"<font size=""12""/><b><i>p</i></b>"			
85	85	340	360	0.0		0	0	StaffText	4/4	3	1	0								"<font size=""12""/><b><i>p</i></b>"			
85	85	340	360	2.0		0	0	Chord	4/4	3	1	1/2			1/2	1	796		articStaccatoBelow				
85	85	342	362	2.0		1/2	1/2	Chord	4/4	3	1	1/2			1/2	1	797		articStaccatoBelow				
85	85	343	363	1.0		3/4	3/4	Chord	4/4	4	1	1/4			1/4	1	798						
86	86	344	364	0.0		0	0	StaffText	4/4	4	1	0								"<font size=""12""/><b><i>p</i></b>"			
86	86	344	364	2.0		0	0	Chord	4/4	4	1	1/2			1/2	1	799		articStaccatoAbove				
86	86	346	366	1.0		1/2	1/2	Chord	4/4	4	1	1/4			1/4	1	800		articStaccatoBelow				
87	86	347	367	0.0		0	3/4	StaffText	4/4	1	1	0								"<font size=""12""/><b><i>f</i></b>"			
87	86	347	367	1.0		0	3/4	Chord	4/4	1	1	1/4			1/4	1	801						
87	86	347	367	1.0		0	3/4	Chord	4/4	2	1	1/4			1/4	1	802						
87	86	347	367	0.0		0	3/4	StaffText	4/4	3	1	0								"<font size=""12""/><b><i>f</i></b>"			
87	86	347	367	0.0		0	3/4	StaffText	4/4	3	1	0								"<font size=""12""/><b><i>f</i></b>"			
87	86	347	367	1.0		0	3/4	Chord	4/4	3	1	1/4			1/4	1	803						
87	86	347	367	0.0		0	3/4	StaffText	4/4	4	1	0								"<font size=""12""/><b><i>f</i></b>"			
87	86	347	367	1.0		0	3/4	Chord	4/4	4	1	1/4			1/4	1	804						
88	87	348	368	0.0		0	0	StaffText	4/4	1	1	0								"<font size=""12""/><b><i>sf</i></b>"			
88	87	348	368	2.0		0	0	Chord	4/4	1	1	1/2			1/2	1	805						
88	87	350	370	1.0		1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	806						
88	87	351	371	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	807						
88	87	348	368	2.0		0	0	Chord	4/4	2	1	1/2			1/2	1	808						
88	87	350	370	1.0		1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	809						
88	87	351	371	1.0		3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	810						
88	87	348	368	0.0		0	0	StaffText	4/4	3	1	0								"<font size=""12""/><b><i>sf</i></b>"			
88	87	348	368	2.0		0	0	Chord	4/4	3	1	1/2			1/2	1	811						
88	87	350	370	1.0		1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	812						
88	87	351	371	1.0		3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	813						
88	87	348	368	0.0		0	0	StaffText	4/4	4	1	0								"<font size=""12""/><b><i>sf</i></b>"			
88	87	348	368	0.0		0	0	StaffText	4/4	4	1	0								"<font size=""12""/><b><i>sf</i></b>"			
88	87	348	368	2.0		0	0	Chord	4/4	4	1	1/2			1/2	1	814						
88	87	350	370	1.0		1/2	1/2	Chord	4/4	4	1	1/4			1/4	1	815						
88	87	351	371	1.0		3/4	3/4	Chord	4/4	4	1	1/4			1/4	1	816						
89	88	352	372	0.0		0	0	StaffText	4/4	1	1	0								"<font size=""12""/><b><i>sf</i></b>"			
89	88	352	372	2.0		0	0	Chord	4/4	1	1	1/2			1/2	1	817						
89	88	354	374	1.0		1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	818						
89	88	355	375	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	819						
89	88	352	372	0.0		0	0	StaffText	4/4	2	1	0								"<font size=""12""/><b><i>sf</i></b>"			
89	88	352	372	2.0		0	0	Chord	4/4	2	1	1/2			1/2	1	820						
89	88	354	374	1.0		1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	821						
89	88	355	375	1.0		3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	822						
89	88	352	372	0.0		0	0	StaffText	4/4	3	1	0								"<font size=""12""/><b><i>sf</i></b>"			
89	88	352	372	2.0		0	0	Chord	4/4	3	1	1/2			1/2	1	823						
89	88	354	374	1.0		1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	824						
89	88	355	375	1.0		3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	825						
89	88	352	372	0.0		0	0	StaffText	4/4	4	1	0								"<font size=""12""/><b><i>sf</i></b>"			
89	88	352	372	2.0		0	0	Chord	4/4	4	1	1/2			1/2	1	826						
89	88	354	374	1.0		1/2	1/2	Chord	4/4	4	1	1/4			1/4	1	827						
89	88	355	375	1.0		3/4	3/4	Chord	4/4	4	1	1/4			1/4	1	828						
90	89	356	376	0.0		0	0	StaffText	4/4	1	1	0								"<font size=""12""/><b><i>sf</i></b>"			
90	89	356	376	2.0		0	0	Chord	4/4	1	1	1/2			1/2	1	829						
90	89	358	378	1.0		1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	830						
90	89	356	376	0.0		0	0	StaffText	4/4	2	1	0								"<font size=""12""/><b><i>sf</i></b>"			
90	89	356	376	2.0		0	0	Chord	4/4	2	1	1/2			1/2	1	831						
90	89	358	378	1.0		1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	832						
90	89	356	376	0.0		0	0	StaffText	4/4	3	1	0								"<font size=""12""/><b><i>sf</i></b>"			
90	89	356	376	2.0		0	0	Chord	4/4	3	1	1/2			1/2	1	833						
90	89	358	378	1.0		1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	834						
90	89	356	376	0.0		0	0	StaffText	4/4	4	1	0								"<font size=""12""/><b><i>sf</i></b>"			
90	89	356	376	2.0		0	0	Chord	4/4	4	1	1/2			1/2	1	835						
90	89	358	378	1.0		1/2	1/2	Chord	4/4	4	1	1/4			1/4	1	836						
91	90	363	383	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	837						
91	90	363	383	1.0		3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	838						
91	90	363	383	1.0		3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	839						
91	90	363	383	1.0		3/4	3/4	Chord	4/4	4	1	1/4			1/4	1	840						
92	91	364	384	0.0		0	0	StaffText	4/4	1	1	0								"<font size=""12""/><b><i>sf</i></b>"			
92	91	364	384	2.0		0	0	Chord	4/4	1	1	1/2			1/2	1	841						
92	91	366	386	2.0		1/2	1/2	Chord	4/4	1	1	1/2			1/2	1	842						
92	91	364	384	0.0		0	0	StaffText	4/4	2	1	0								"<font size=""12""/><b><i>sf</i></b>"			
92	91	364	384	2.0		0	0	Chord	4/4	2	1	1/2			1/2	1	843						
92	91	366	386	2.0		1/2	1/2	Chord	4/4	2	1	1/2			1/2	1	844						
92	91	364	384	0.0		0	0	StaffText	4/4	3	1	0								"<font size=""12""/><b><i>sf</i></b>"			
92	91	364	384	2.0		0	0	Chord	4/4	3	1	1/2			1/2	1	845						
92	91	366	386	2.0		1/2	1/2	Chord	4/4	3	1	1/2			1/2	1	846						
92	91	364	384	0.0		0	0	StaffText	4/4	4	1	0								"<font size=""12""/><b><i>sf</i></b>"			
92	91	364	384	2.0		0	0	Chord	4/4	4	1	1/2			1/2	1	847						
92	91	366	386	2.0		1/2	1/2	Chord	4/4	4	1	1/2			1/2	1	848						
93	92	368	388	0.0		0	0	StaffText	4/4	2	1	0								"<font size=""12""/><b><i>p</i></b>"			
93	92	369	389	1.0		1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	849				69		
93	92	370	390	1.0		1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	850				69		
93	92	371	391	1.0		3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	851				69		
93	92	368	388	0.0		0	0	StaffText	4/4	3	1	0								"<font size=""12""/><b><i>p</i></b>"			
93	92	371	391	1.0		3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	852						
93	92	368	388	0.0		0	0	StaffText	4/4	4	1	0								"<font size=""12""/><b><i>p</i></b>"			
93	92	371	391	1.0		3/4	3/4	Chord	4/4	4	1	1/4			1/4	1	853						
94	93	372	392	0.0		0	0	StaffText	4/4	1	1	0								"<font size=""12""/><b><i>p</i></b>"			
94	93	373	393	1.0		1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	854				70		
94	93	374	394	1.0		1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	855				70		
94	93	375	395	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	856				70		
94	93	372	392	1.0		0	0	Chord	4/4	2	1	1/4			1/4	1	857				69		
94	93	373	393	1.0		1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	858				69		
94	93	374	394	2.0		1/2	1/2	Chord	4/4	2	1	1/2			1/2	1	859						
94	93	372	392	1.0		0	0	Chord	4/4	3	1	1/4			1/4	1	860						
94	93	374	394	1.0		1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	861						
94	93	372	392	2.0		0	0	Chord	4/4	4	1	1/2			1/2	1	862		articStaccatoAbove				
94	93	374	394	2.0		1/2	1/2	Chord	4/4	4	1	1/2			1/2	1	863		articStaccatoAbove				
95	94	376	396	1.0		0	0	Chord	4/4	1	1	1/4			1/4	1	864				70		
95	94	377	397	1.0		1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	865				70		
95	94	378	398	2.0		1/2	1/2	Chord	4/4	1	1	1/2			1/2	1	866						
95	94	377	397	1.0		1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	867				71		
95	94	378	398	1.0		1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	868				71		
95	94	379	399	1.0		3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	869				71		
95	94	376	396	0.0		0	0	StaffText	4/4	3	1	0								"<font size=""10""/><i>sempre</i>"			
95	94	379	399	1.0		3/4	3/4	Chord	4/4	4	1	1/4			1/4	1	870						
96	95	380	400	0.0		0	0	StaffText	4/4	1	1	0								"<font size=""10""/><i>sempre</i>"			
96	95	381	401	1.0		1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	871				72		
96	95	382	402	1.0		1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	872				72		
96	95	383	403	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	873				72		
96	95	380	400	0.0		0	0	StaffText	4/4	2	1	0								<b><i>p</i></b>	71		
96	95	380	400	1.0		0	0	Chord	4/4	2	1	1/4			1/4	1	874				71		
96	95	381	401	1.0		1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	875				71		
96	95	382	402	1.0		1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	876				71		
96	95	383	403	1.0		3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	877				71		
96	95	380	400	0.0		0	0	StaffText	4/4	3	1	0								"<font size=""10""/><i>sempre</i>"			
96	95	381	401	1.0		1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	878				73		
96	95	382	402	1.0		1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	879				73		
96	95	383	403	1.0		3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	880				73		
96	95	380	400	2.0		0	0	Chord	4/4	4	1	1/2			1/2	1	881		articStaccatoAbove				
96	95	382	402	2.0		1/2	1/2	Chord	4/4	4	1	1/2			1/2	1	882		articStaccatoAbove				
97	96	384	404	0.0		0	0	StaffText	4/4	1	1	0								"<font size=""12""/><b><i>p</i></b>"	72		
97	96	384	404	1.0		0	0	Chord	4/4	1	1	1/4			1/4	1	883				72		
97	96	385	405	1.0		1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	884				72		
97	96	386	406	1.0		1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	885						
97	96	387	407	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	886		articStaccatoAbove				
97	96	384	404	1.0		0	0	Chord	4/4	2	1	1/4			1/4	1	887				71		
97	96	385	405	1.0		1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	888				71		
97	96	386	406	1.0		1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	889						
97	96	387	407	1.0		3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	890						
97	96	384	404	1.0		0	0	Chord	4/4	3	1	1/4			1/4	1	891				73		
