mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	Trill:trill
54	54	80	80	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	632		articStaccatoBelow			
54	54	161/2	161/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	633		articStaccatoBelow			
54	54	159/2	159/2	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	634		articStaccatoAbove			
54	54	80	80	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	635		articStaccatoAbove			
54	54	161/2	161/2	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	636		articStaccatoAbove			
54	54	159/2	159/2	0.5	0	0	Chord	3/8	4	1	1/8		1/8	1	637		articStaccatoAbove			
54	54	80	80	0.5	1/8	1/8	Chord	3/8	4	1	1/8		1/8	1	638		articStaccatoAbove			
54	54	161/2	161/2	0.5	1/4	1/4	Chord	3/8	4	1	1/8		1/8	1	639		articStaccatoAbove			
55	55	81	81	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	640					
55	55	81	81	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	641		articStaccatoBelow			
55	55	325/4	325/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	642		articStaccatoBelow			
55	55	163/2	163/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	643		articStaccatoBelow			
55	55	327/4	327/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	644		articStaccatoBelow			
55	55	82	82	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	645		articStaccatoBelow			
55	55	329/4	329/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	646		articStaccatoBelow			
55	55	81	81	0.25	0	0	Chord	3/8	3	1	1/16		1/16	1	647		articStaccatoAbove			
55	55	325/4	325/4	0.25	1/16	1/16	Chord	3/8	3	1	1/16		1/16	1	648		articStaccatoAbove			
55	55	163/2	163/2	0.25	1/8	1/8	Chord	3/8	3	1	1/16		1/16	1	649		articStaccatoAbove			
55	55	327/4	327/4	0.25	3/16	3/16	Chord	3/8	3	1	1/16		1/16	1	650		articStaccatoAbove			
55	55	82	82	0.25	1/4	1/4	Chord	3/8	3	1	1/16		1/16	1	651		articStaccatoAbove			
55	55	329/4	329/4	0.25	5/16	5/16	Chord	3/8	3	1	1/16		1/16	1	652		articStaccatoAbove			
55	55	81	81	0.5	0	0	Chord	3/8	4	1	1/8		1/8	1	653					
56	56	165/2	165/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	654		articStaccatoAbove			
56	56	331/4	331/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	655		articStaccatoAbove			
56	56	83	83	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	656		articStaccatoAbove			
56	56	333/4	333/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	657		articStaccatoAbove			
56	56	167/2	167/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	658		articStaccatoAbove			
56	56	335/4	335/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	659		articStaccatoAbove			
56	56	165/2	165/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	660		articStaccatoBelow			
56	56	331/4	331/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	661		articStaccatoBelow			
56	56	83	83	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	662		articStaccatoBelow			
56	56	333/4	333/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	663		articStaccatoBelow			
56	56	167/2	167/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	664		articStaccatoBelow			
56	56	335/4	335/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	665		articStaccatoBelow			
56	56	165/2	165/2	0.25	0	0	Chord	3/8	3	1	1/16		1/16	1	666		articStaccatoAbove			
56	56	331/4	331/4	0.25	1/16	1/16	Chord	3/8	3	1	1/16		1/16	1	667		articStaccatoAbove			
56	56	83	83	0.25	1/8	1/8	Chord	3/8	3	1	1/16		1/16	1	668		articStaccatoAbove			
56	56	333/4	333/4	0.25	3/16	3/16	Chord	3/8	3	1	1/16		1/16	1	669		articStaccatoAbove			
56	56	167/2	167/2	0.25	1/4	1/4	Chord	3/8	3	1	1/16		1/16	1	670		articStaccatoAbove			
56	56	335/4	335/4	0.25	5/16	5/16	Chord	3/8	3	1	1/16		1/16	1	671		articStaccatoAbove			
57	57	84	84	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	672		articStaccatoAbove			
57	57	337/4	337/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	673		articStaccatoAbove			
57	57	169/2	169/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	674		articStaccatoAbove			
57	57	339/4	339/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	675		articStaccatoAbove			
57	57	85	85	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	676		articStaccatoAbove			
57	57	341/4	341/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	677		articStaccatoAbove			
57	57	84	84	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	678		articStaccatoBelow			
57	57	337/4	337/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	679		articStaccatoBelow			
57	57	169/2	169/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	680		articStaccatoBelow			
57	57	339/4	339/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	681		articStaccatoBelow			
57	57	85	85	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	682		articStaccatoBelow			
57	57	341/4	341/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	683		articStaccatoBelow			
57	57	84	84	0.25	0	0	Chord	3/8	3	1	1/16		1/16	1	684		articStaccatoBelow			
57	57	337/4	337/4	0.25	1/16	1/16	Chord	3/8	3	1	1/16		1/16	1	685		articStaccatoBelow			
57	57	169/2	169/2	0.25	1/8	1/8	Chord	3/8	3	1	1/16		1/16	1	686		articStaccatoBelow			
57	57	339/4	339/4	0.25	3/16	3/16	Chord	3/8	3	1	1/16		1/16	1	687		articStaccatoBelow			
57	57	85	85	0.25	1/4	1/4	Chord	3/8	3	1	1/16		1/16	1	688		articStaccatoBelow			
57	57	341/4	341/4	0.25	5/16	5/16	Chord	3/8	3	1	1/16		1/16	1	689		articStaccatoBelow			
58	58	171/2	171/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	690		articStaccatoBelow			
58	58	86	86	0.0	1/8	1/8	Dynamic	3/8	1	1	0					sf				
58	58	86	86	1.0	1/8	1/8	Chord	3/8	1	1	1/4		1/4	1	691					
58	58	171/2	171/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	692		articStaccatoBelow			
58	58	86	86	0.0	1/8	1/8	Dynamic	3/8	2	1	0					sf				
58	58	86	86	1.0	1/8	1/8	Chord	3/8	2	1	1/4		1/4	1	693					
58	58	171/2	171/2	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	694		articStaccatoBelow			
58	58	86	86	0.0	1/8	1/8	Dynamic	3/8	3	1	0					sf				
58	58	86	86	1.0	1/8	1/8	Chord	3/8	3	1	1/4		1/4	1	695					
59	59	87	87	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	696		articStaccatoBelow			
59	59	175/2	175/2	0.0	1/8	1/8	Dynamic	3/8	1	1	0					sf				
59	59	175/2	175/2	1.0	1/8	1/8	Chord	3/8	1	1	1/4		1/4	1	697					
59	59	87	87	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	698		articStaccatoBelow			
59	59	175/2	175/2	0.0	1/8	1/8	Dynamic	3/8	2	1	0					sf				
59	59	175/2	175/2	1.0	1/8	1/8	Chord	3/8	2	1	1/4		1/4	1	699					
59	59	87	87	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	700		articStaccatoBelow			
59	59	175/2	175/2	0.0	1/8	1/8	Dynamic	3/8	3	1	0					sf				
59	59	175/2	175/2	1.0	1/8	1/8	Chord	3/8	3	1	1/4		1/4	1	701					
60	60	177/2	177/2	0.375	0	0	Chord	3/8	1	1	3/32		1/16	3/2	702				47	
60	60	711/8	711/8	0.125	3/32	3/32	Chord	3/8	1	1	1/32		1/32	1	703					
60	60	89	89	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	704		articStaccatoBelow		48	
60	60	179/2	179/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	705		articStaccatoBelow			
60	60	177/2	177/2	0.375	0	0	Chord	3/8	2	1	3/32		1/16	3/2	706				49	
60	60	711/8	711/8	0.125	3/32	3/32	Chord	3/8	2	1	1/32		1/32	1	707					
60	60	89	89	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	708		articStaccatoBelow		50	
60	60	179/2	179/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	709		articStaccatoBelow			
60	60	177/2	177/2	0.375	0	0	Chord	3/8	3	1	3/32		1/16	3/2	710				51	
60	60	711/8	711/8	0.125	3/32	3/32	Chord	3/8	3	1	1/32		1/32	1	711					
60	60	89	89	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	712		articStaccatoBelow		52	
60	60	179/2	179/2	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	713		articStaccatoBelow			
61	61	90	90	0.0	0	0	StaffText	3/8	1	1	0							cresc.		
61	61	90	90	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	714		articStaccatoAbove			
61	61	361/4	361/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	715		articStaccatoAbove			
61	61	181/2	181/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	716		articStaccatoAbove			
61	61	363/4	363/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	717		articStaccatoAbove			
61	61	91	91	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	718		articStaccatoAbove			
61	61	365/4	365/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	719		articStaccatoAbove			
61	61	90	90	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	720		articStaccatoBelow			
61	61	361/4	361/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	721		articStaccatoBelow			
61	61	181/2	181/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	722		articStaccatoBelow			
61	61	363/4	363/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	723		articStaccatoBelow			
61	61	91	91	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	724		articStaccatoBelow			
61	61	365/4	365/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	725		articStaccatoBelow			
61	61	90	90	0.0	0	0	StaffText	3/8	3	1	0							cresc.		
61	61	90	90	0.25	0	0	Chord	3/8	3	1	1/16		1/16	1	726		articStaccatoAbove			
61	61	361/4	361/4	0.25	1/16	1/16	Chord	3/8	3	1	1/16		1/16	1	727		articStaccatoAbove			
61	61	181/2	181/2	0.25	1/8	1/8	Chord	3/8	3	1	1/16		1/16	1	728		articStaccatoAbove			
61	61	363/4	363/4	0.25	3/16	3/16	Chord	3/8	3	1	1/16		1/16	1	729		articStaccatoAbove			
61	61	91	91	0.25	1/4	1/4	Chord	3/8	3	1	1/16		1/16	1	730		articStaccatoAbove			
61	61	365/4	365/4	0.25	5/16	5/16	Chord	3/8	3	1	1/16		1/16	1	731		articStaccatoAbove			
61	61	90	90	0.0	0	0	StaffText	3/8	4	1	0							cresc.		
61	61	90	90	0.0	0	0	StaffText	3/8	4	1	0							cresc.		
61	61	90	90	0.25	0	0	Chord	3/8	4	1	1/16		1/16	1	732		articStaccatoAbove			
61	61	361/4	361/4	0.25	1/16	1/16	Chord	3/8	4	1	1/16		1/16	1	733		articStaccatoAbove			
61	61	181/2	181/2	0.25	1/8	1/8	Chord	3/8	4	1	1/16		1/16	1	734		articStaccatoAbove			
61	61	363/4	363/4	0.25	3/16	3/16	Chord	3/8	4	1	1/16		1/16	1	735		articStaccatoAbove			
61	61	91	91	0.25	1/4	1/4	Chord	3/8	4	1	1/16		1/16	1	736		articStaccatoAbove			
61	61	365/4	365/4	0.25	5/16	5/16	Chord	3/8	4	1	1/16		1/16	1	737		articStaccatoAbove			
62	62	183/2	183/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	738		articStaccatoAbove			
62	62	367/4	367/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	739		articStaccatoAbove			
62	62	92	92	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	740		articStaccatoAbove			
62	62	369/4	369/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	741		articStaccatoAbove			
62	62	185/2	185/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	742		articStaccatoAbove			
62	62	371/4	371/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	743		articStaccatoAbove			
62	62	183/2	183/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	744		articStaccatoBelow			
62	62	367/4	367/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	745		articStaccatoBelow			
62	62	92	92	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	746		articStaccatoBelow			
62	62	369/4	369/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	747		articStaccatoBelow			
62	62	185/2	185/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	748		articStaccatoBelow			
62	62	371/4	371/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	749		articStaccatoBelow			
62	62	183/2	183/2	0.25	0	0	Chord	3/8	3	1	1/16		1/16	1	750		articStaccatoBelow			
62	62	367/4	367/4	0.25	1/16	1/16	Chord	3/8	3	1	1/16		1/16	1	751		articStaccatoBelow			
62	62	92	92	0.25	1/8	1/8	Chord	3/8	3	1	1/16		1/16	1	752		articStaccatoBelow			
62	62	369/4	369/4	0.25	3/16	3/16	Chord	3/8	3	1	1/16		1/16	1	753		articStaccatoBelow			
62	62	185/2	185/2	0.25	1/4	1/4	Chord	3/8	3	1	1/16		1/16	1	754		articStaccatoBelow			
62	62	371/4	371/4	0.25	5/16	5/16	Chord	3/8	3	1	1/16		1/16	1	755		articStaccatoBelow			
62	62	183/2	183/2	0.25	0	0	Chord	3/8	4	1	1/16		1/16	1	756		articStaccatoBelow			
62	62	367/4	367/4	0.25	1/16	1/16	Chord	3/8	4	1	1/16		1/16	1	757		articStaccatoBelow			
62	62	92	92	0.25	1/8	1/8	Chord	3/8	4	1	1/16		1/16	1	758		articStaccatoBelow			
62	62	369/4	369/4	0.25	3/16	3/16	Chord	3/8	4	1	1/16		1/16	1	759		articStaccatoBelow			
62	62	185/2	185/2	0.25	1/4	1/4	Chord	3/8	4	1	1/16		1/16	1	760		articStaccatoBelow			
62	62	371/4	371/4	0.25	5/16	5/16	Chord	3/8	4	1	1/16		1/16	1	761		articStaccatoBelow			
63	63	93	93	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	762		articStaccatoAbove			
63	63	373/4	373/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	763		articStaccatoAbove			
63	63	187/2	187/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	764		articStaccatoAbove			
63	63	375/4	375/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	765		articStaccatoAbove			
63	63	94	94	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	766		articStaccatoAbove			
63	63	377/4	377/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	767		articStaccatoAbove			
63	63	93	93	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	768		articStaccatoBelow			
63	63	373/4	373/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	769		articStaccatoBelow			
63	63	187/2	187/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	770		articStaccatoBelow			
63	63	375/4	375/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	771		articStaccatoBelow			
63	63	94	94	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	772		articStaccatoBelow			
63	63	377/4	377/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	773		articStaccatoBelow			
63	63	93	93	0.25	0	0	Chord	3/8	3	1	1/16		1/16	1	774		articStaccatoAbove			
63	63	373/4	373/4	0.25	1/16	1/16	Chord	3/8	3	1	1/16		1/16	1	775		articStaccatoAbove			
63	63	187/2	187/2	0.25	1/8	1/8	Chord	3/8	3	1	1/16		1/16	1	776		articStaccatoAbove			
63	63	375/4	375/4	0.25	3/16	3/16	Chord	3/8	3	1	1/16		1/16	1	777		articStaccatoAbove			
63	63	94	94	0.25	1/4	1/4	Chord	3/8	3	1	1/16		1/16	1	778		articStaccatoAbove			
63	63	377/4	377/4	0.25	5/16	5/16	Chord	3/8	3	1	1/16		1/16	1	779		articStaccatoAbove			
63	63	93	93	0.25	0	0	Chord	3/8	4	1	1/16		1/16	1	780		articStaccatoBelow			
63	63	373/4	373/4	0.25	1/16	1/16	Chord	3/8	4	1	1/16		1/16	1	781		articStaccatoBelow			
63	63	187/2	187/2	0.25	1/8	1/8	Chord	3/8	4	1	1/16		1/16	1	782		articStaccatoBelow			
63	63	375/4	375/4	0.25	3/16	3/16	Chord	3/8	4	1	1/16		1/16	1	783		articStaccatoBelow			
63	63	94	94	0.25	1/4	1/4	Chord	3/8	4	1	1/16		1/16	1	784		articStaccatoBelow			
63	63	377/4	377/4	0.25	5/16	5/16	Chord	3/8	4	1	1/16		1/16	1	785		articStaccatoBelow			
64	64	189/2	189/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	786		articStaccatoBelow			
64	64	95	95	0.0	1/8	1/8	Dynamic	3/8	1	1	0					sf				
64	64	95	95	1.0	1/8	1/8	Chord	3/8	1	1	1/4		1/4	1	787					
64	64	189/2	189/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	788		articStaccatoBelow			
64	64	95	95	0.0	1/8	1/8	Dynamic	3/8	2	1	0					sf				
64	64	95	95	1.0	1/8	1/8	Chord	3/8	2	1	1/4		1/4	1	789					
64	64	189/2	189/2	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	790		articStaccatoAbove			
64	64	95	95	0.0	1/8	1/8	Dynamic	3/8	3	1	0					sf				
64	64	95	95	1.0	1/8	1/8	Chord	3/8	3	1	1/4		1/4	1	791					
64	64	189/2	189/2	0.5	0	0	Chord	3/8	4	1	1/8		1/8	1	792		articStaccatoAbove			
64	64	95	95	0.0	1/8	1/8	Dynamic	3/8	4	1	0					sf				
64	64	95	95	1.0	1/8	1/8	Chord	3/8	4	1	1/4		1/4	1	793					
65	65	96	96	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	794		articStaccatoAbove			
65	65	193/2	193/2	0.0	1/8	1/8	Dynamic	3/8	1	1	0					sf				
65	65	193/2	193/2	1.0	1/8	1/8	Chord	3/8	1	1	1/4		1/4	1	795					
65	65	96	96	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	796		articStaccatoBelow			
65	65	193/2	193/2	0.0	1/8	1/8	Dynamic	3/8	2	1	0					sf				
65	65	193/2	193/2	1.0	1/8	1/8	Chord	3/8	2	1	1/4		1/4	1	797					
65	65	96	96	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	798		articStaccatoBelow			
65	65	193/2	193/2	0.0	1/8	1/8	Dynamic	3/8	3	1	0					sf				
65	65	193/2	193/2	1.0	1/8	1/8	Chord	3/8	3	1	1/4		1/4	1	799					
65	65	96	96	0.5	0	0	Chord	3/8	4	1	1/8		1/8	1	800		articStaccatoAbove			
65	65	193/2	193/2	0.0	1/8	1/8	Dynamic	3/8	4	1	0					sf				
65	65	193/2	193/2	1.0	1/8	1/8	Chord	3/8	4	1	1/4		1/4	1	801					
66	66	195/2	195/2	0.375	0	0	Chord	3/8	1	1	3/32		1/16	3/2	802				53	
66	66	783/8	783/8	0.125	3/32	3/32	Chord	3/8	1	1	1/32		1/32	1	803					
66	66	98	98	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	804		articStaccatoBelow			
66	66	197/2	197/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	805		ornamentTrill			
66	66	195/2	195/2	0.375	0	0	Chord	3/8	2	1	3/32		1/16	3/2	806				54	
66	66	783/8	783/8	0.125	3/32	3/32	Chord	3/8	2	1	1/32		1/32	1	807					
66	66	98	98	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	808		articStaccatoBelow			
66	66	197/2	197/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	809		articStaccatoBelow			
66	66	195/2	195/2	0.375	0	0	Chord	3/8	3	1	3/32		1/16	3/2	810				55	
66	66	783/8	783/8	0.125	3/32	3/32	Chord	3/8	3	1	1/32		1/32	1	811					
66	66	98	98	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	812		articStaccatoAbove			
66	66	197/2	197/2	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	813		articStaccatoAbove			
66	66	195/2	195/2	0.375	0	0	Chord	3/8	4	1	3/32		1/16	3/2	814				56	
66	66	783/8	783/8	0.125	3/32	3/32	Chord	3/8	4	1	1/32		1/32	1	815					
66	66	98	98	0.5	1/8	1/8	Chord	3/8	4	1	1/8		1/8	1	816		articStaccatoBelow			
66	66	197/2	197/2	0.5	1/4	1/4	Chord	3/8	4	1	1/8		1/8	1	817		articStaccatoBelow			
67	67	99	99	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	818					
67	67	99	99	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	819		articStaccatoBelow			
67	67	397/4	397/4	0.0	1/16	1/16	Dynamic	3/8	2	1	0					p				
67	67	397/4	397/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	820		articStaccatoBelow			
67	67	199/2	199/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	821		articStaccatoBelow			
67	67	399/4	399/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	822		articStaccatoBelow			
67	67	100	100	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	823		articStaccatoBelow			
67	67	401/4	401/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	824		articStaccatoBelow			
67	67	99	99	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	825					
67	67	99	99	0.5	0	0	Chord	3/8	4	1	1/8		1/8	1	826					
68	68	201/2	201/2	0.0	0	0	Dynamic	3/8	1	1	0					p				
68	68	201/2	201/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	827					
68	68	101	101	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	828					
68	68	203/2	203/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	829					
68	68	201/2	201/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	830		articStaccatoBelow			
68	68	403/4	403/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	831		articStaccatoBelow			
68	68	101	101	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	832		articStaccatoBelow			
68	68	405/4	405/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	833		articStaccatoBelow			
68	68	203/2	203/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	834		articStaccatoBelow			
68	68	407/4	407/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	835		articStaccatoBelow			
69	69	102	102	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	836					
69	69	102	102	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	837		articStaccatoBelow			
69	69	409/4	409/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	838		articStaccatoBelow			
69	69	205/2	205/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	839		articStaccatoBelow			
69	69	411/4	411/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	840		articStaccatoBelow			
69	69	103	103	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	841		articStaccatoBelow			
69	69	413/4	413/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	842		articStaccatoBelow			
69	69	205/2	205/2	0.0	1/8	1/8	Dynamic	3/8	3	1	0					p				
69	69	205/2	205/2	0.25	1/8	1/8	Chord	3/8	3	1	1/16		1/16	1	843		articStaccatoBelow			
69	69	411/4	411/4	0.25	3/16	3/16	Chord	3/8	3	1	1/16		1/16	1	844		articStaccatoBelow			
69	69	103	103	0.25	1/4	1/4	Chord	3/8	3	1	1/16		1/16	1	845		articStaccatoBelow			
69	69	413/4	413/4	0.25	5/16	5/16	Chord	3/8	3	1	1/16		1/16	1	846		articStaccatoBelow			
70	70	207/2	207/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	847					
70	70	104	104	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	848					
70	70	209/2	209/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	849					
70	70	207/2	207/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	850		articStaccatoBelow			
70	70	415/4	415/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	851		articStaccatoBelow			
70	70	104	104	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	852		articStaccatoBelow			
70	70	417/4	417/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	853		articStaccatoBelow			
70	70	209/2	209/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	854		articStaccatoBelow			
70	70	419/4	419/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	855		articStaccatoBelow			
70	70	207/2	207/2	0.25	0	0	Chord	3/8	3	1	1/16		1/16	1	856		articStaccatoAbove			
70	70	415/4	415/4	0.25	1/16	1/16	Chord	3/8	3	1	1/16		1/16	1	857		articStaccatoAbove			
70	70	104	104	0.25	1/8	1/8	Chord	3/8	3	1	1/16		1/16	1	858		articStaccatoAbove			
70	70	417/4	417/4	0.25	3/16	3/16	Chord	3/8	3	1	1/16		1/16	1	859		articStaccatoAbove			
70	70	209/2	209/2	0.25	1/4	1/4	Chord	3/8	3	1	1/16		1/16	1	860		articStaccatoAbove			
70	70	419/4	419/4	0.25	5/16	5/16	Chord	3/8	3	1	1/16		1/16	1	861		articStaccatoAbove			
71	71	105	105	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	862		articStaccatoAbove			
71	71	421/4	421/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	863		articStaccatoAbove			
71	71	211/2	211/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	864		articStaccatoAbove			
71	71	423/4	423/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	865		articStaccatoAbove			
71	71	106	106	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	866		articStaccatoAbove			
71	71	425/4	425/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	867		articStaccatoAbove			
