mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible
50	49	199	199	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	790		articStaccatoBelow				
50	49	399/2	399/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	791		articStaccatoBelow				
50	49	196	196	0.5	0	0	Chord	2/2	3	1	1/8		1/8	1	792						
50	49	393/2	393/2	0.5	1/8	1/8	Chord	2/2	3	1	1/8		1/8	1	793						
50	49	197	197	0.5	1/4	1/4	Chord	2/2	3	1	1/8		1/8	1	794		articStaccatoAbove				
50	49	395/2	395/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8		1/8	1	795		articStaccatoAbove				
50	49	198	198	0.5	1/2	1/2	Chord	2/2	3	1	1/8		1/8	1	796						
50	49	397/2	397/2	0.5	5/8	5/8	Chord	2/2	3	1	1/8		1/8	1	797						
50	49	199	199	0.5	3/4	3/4	Chord	2/2	3	1	1/8		1/8	1	798		articStaccatoAbove				
50	49	399/2	399/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8		1/8	1	799		articStaccatoAbove				
50	49	196	196	4.0	0	0	Chord	2/2	4	1	1		1	1	800						
51	50	200	200	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	801						
51	50	401/2	401/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	802						
51	50	201	201	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	803		articStaccatoAbove				
51	50	403/2	403/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	804		articStaccatoAbove				
51	50	202	202	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	805						
51	50	405/2	405/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	806						
51	50	203	203	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	807		articStaccatoAbove				
51	50	407/2	407/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	808		articStaccatoAbove				
51	50	200	200	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	809						
51	50	202	202	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	810						
51	50	200	200	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	811						
51	50	202	202	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	812						
51	50	200	200	1.0	0	0	Chord	2/2	4	1	1/4		1/4	1	813						
51	50	202	202	1.0	1/2	1/2	Chord	2/2	4	1	1/4		1/4	1	814						
52	51	204	204	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	815						
52	51	409/2	409/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	816						
52	51	205	205	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	817		articStaccatoAbove				
52	51	411/2	411/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	818		articStaccatoAbove				
52	51	206	206	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	819						
52	51	413/2	413/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	820						
52	51	207	207	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	821		articStaccatoAbove				
52	51	415/2	415/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	822		articStaccatoAbove				
52	51	204	204	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	823						
52	51	206	206	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	824						
52	51	204	204	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	825						
52	51	206	206	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	826						
52	51	204	204	1.0	0	0	Chord	2/2	4	1	1/4		1/4	1	827						
52	51	206	206	1.0	1/2	1/2	Chord	2/2	4	1	1/4		1/4	1	828						
53	52	208	208	0.0	0	0	Dynamic	2/2	1	1	0					sf					
53	52	208	208	4.0	0	0	Chord	2/2	1	1	1		1	1	829						
53	52	208	208	0.0	0	0	Dynamic	2/2	2	1	0					sf					
53	52	208	208	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	830						
53	52	417/2	417/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	831						
53	52	209	209	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	832		articStaccatoBelow				
53	52	419/2	419/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	833		articStaccatoBelow				
53	52	210	210	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	834						
53	52	421/2	421/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	835						
53	52	211	211	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	836		articStaccatoBelow				
53	52	423/2	423/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	837		articStaccatoBelow				
53	52	208	208	0.5	0	0	Chord	2/2	3	1	1/8		1/8	1	838						
53	52	417/2	417/2	0.5	1/8	1/8	Chord	2/2	3	1	1/8		1/8	1	839						
53	52	209	209	0.5	1/4	1/4	Chord	2/2	3	1	1/8		1/8	1	840		articStaccatoAbove				
53	52	419/2	419/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8		1/8	1	841		articStaccatoAbove				
53	52	210	210	0.5	1/2	1/2	Chord	2/2	3	1	1/8		1/8	1	842						
53	52	421/2	421/2	0.5	5/8	5/8	Chord	2/2	3	1	1/8		1/8	1	843						
53	52	211	211	0.5	3/4	3/4	Chord	2/2	3	1	1/8		1/8	1	844		articStaccatoAbove				
53	52	423/2	423/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8		1/8	1	845		articStaccatoAbove				
53	52	208	208	0.0	0	0	Dynamic	2/2	4	1	0					sf					
53	52	208	208	0.0	0	0	Dynamic	2/2	4	1	0					sf					
53	52	208	208	4.0	0	0	Chord	2/2	4	1	1		1	1	846						
54	53	212	212	4.0	0	0	Chord	2/2	1	1	1		1	1	847						
54	53	212	212	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	848						
54	53	425/2	425/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	849						
54	53	213	213	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	850		articStaccatoBelow				
54	53	427/2	427/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	851		articStaccatoBelow				
54	53	214	214	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	852						
54	53	429/2	429/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	853						
54	53	215	215	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	854		articStaccatoBelow				
54	53	431/2	431/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	855		articStaccatoBelow				
54	53	212	212	0.5	0	0	Chord	2/2	3	1	1/8		1/8	1	856						
54	53	425/2	425/2	0.5	1/8	1/8	Chord	2/2	3	1	1/8		1/8	1	857						
54	53	213	213	0.5	1/4	1/4	Chord	2/2	3	1	1/8		1/8	1	858		articStaccatoAbove				
54	53	427/2	427/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8		1/8	1	859		articStaccatoAbove				
54	53	214	214	0.5	1/2	1/2	Chord	2/2	3	1	1/8		1/8	1	860						
54	53	429/2	429/2	0.5	5/8	5/8	Chord	2/2	3	1	1/8		1/8	1	861						
54	53	215	215	0.5	3/4	3/4	Chord	2/2	3	1	1/8		1/8	1	862		articStaccatoAbove				
54	53	431/2	431/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8		1/8	1	863		articStaccatoAbove				
54	53	212	212	4.0	0	0	Chord	2/2	4	1	1		1	1	864						
55	54	216	216	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	865						
55	54	433/2	433/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	866						
55	54	217	217	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	867		articStaccatoAbove				
55	54	435/2	435/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	868		articStaccatoAbove				
55	54	216	216	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	869						
55	54	218	218	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	870						
55	54	437/2	437/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	871						
55	54	219	219	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	872		articStaccatoBelow				
55	54	439/2	439/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	873		articStaccatoBelow				
55	54	216	216	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	874						
55	54	218	218	0.5	1/2	1/2	Chord	2/2	3	1	1/8		1/8	1	875						
55	54	437/2	437/2	0.5	5/8	5/8	Chord	2/2	3	1	1/8		1/8	1	876						
55	54	219	219	0.5	3/4	3/4	Chord	2/2	3	1	1/8		1/8	1	877		articStaccatoBelow				
55	54	439/2	439/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8		1/8	1	878		articStaccatoBelow				
55	54	216	216	1.0	0	0	Chord	2/2	4	1	1/4		1/4	1	879						
55	54	218	218	1.0	1/2	1/2	Chord	2/2	4	1	1/4		1/4	1	880						
56	55	220	220	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	881						
56	55	441/2	441/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	882						
56	55	221	221	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	883		articStaccatoAbove				
56	55	443/2	443/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	884		articStaccatoAbove				
56	55	220	220	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	885						
56	55	222	222	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	886						
56	55	445/2	445/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	887						
56	55	223	223	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	888		articStaccatoBelow				
56	55	447/2	447/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	889		articStaccatoBelow				
56	55	220	220	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	890						
56	55	222	222	0.5	1/2	1/2	Chord	2/2	3	1	1/8		1/8	1	891						
56	55	445/2	445/2	0.5	5/8	5/8	Chord	2/2	3	1	1/8		1/8	1	892						
56	55	223	223	0.5	3/4	3/4	Chord	2/2	3	1	1/8		1/8	1	893		articStaccatoBelow				
56	55	447/2	447/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8		1/8	1	894		articStaccatoBelow				
56	55	220	220	1.0	0	0	Chord	2/2	4	1	1/4		1/4	1	895						
56	55	222	222	1.0	1/2	1/2	Chord	2/2	4	1	1/4		1/4	1	896						
57	56	224	224	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	897						
57	56	449/2	449/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	898						
57	56	225	225	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	899		articStaccatoAbove				
57	56	451/2	451/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	900		articStaccatoAbove				
57	56	226	226	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	901						
57	56	453/2	453/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	902						
57	56	227	227	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	903		articStaccatoAbove				
57	56	455/2	455/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	904		articStaccatoAbove				
57	56	225	225	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	905						
57	56	227	227	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	906						
57	56	225	225	1.0	1/4	1/4	Chord	2/2	3	1	1/4		1/4	1	907						
57	56	227	227	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	908						
57	56	224	224	1.0	0	0	Chord	2/2	4	1	1/4		1/4	1	909						
57	56	226	226	1.0	1/2	1/2	Chord	2/2	4	1	1/4		1/4	1	910						
58	57	228	228	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	911						
58	57	457/2	457/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	912						
58	57	229	229	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	913		articStaccatoAbove				
58	57	459/2	459/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	914		articStaccatoAbove				
58	57	230	230	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	915						
58	57	461/2	461/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	916						
58	57	231	231	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	917		articStaccatoAbove				
58	57	463/2	463/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	918		articStaccatoAbove				
58	57	229	229	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	919						
58	57	231	231	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	920						
58	57	229	229	1.0	1/4	1/4	Chord	2/2	3	1	1/4		1/4	1	921						
58	57	231	231	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	922						
58	57	228	228	1.0	0	0	Chord	2/2	4	1	1/4		1/4	1	923						
58	57	230	230	1.0	1/2	1/2	Chord	2/2	4	1	1/4		1/4	1	924						
59	58	232	232	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	925						
59	58	465/2	465/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	926						
59	58	233	233	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	927		articStaccatoAbove				
59	58	467/2	467/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	928		articStaccatoAbove				
59	58	234	234	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	929						
59	58	469/2	469/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	930						
59	58	235	235	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	931		articStaccatoAbove				
59	58	471/2	471/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	932		articStaccatoAbove				
59	58	233	233	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	933						
59	58	235	235	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	934						
59	58	233	233	1.0	1/4	1/4	Chord	2/2	3	1	1/4		1/4	1	935						
59	58	235	235	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	936						
59	58	232	232	1.0	0	0	Chord	2/2	4	1	1/4		1/4	1	937						
59	58	234	234	1.0	1/2	1/2	Chord	2/2	4	1	1/4		1/4	1	938						
60	59	236	236	0.0	0	0	Dynamic	2/2	1	1	0					f					
60	59	236	236	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	939						
60	59	473/2	473/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	940						
60	59	237	237	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	941						
60	59	475/2	475/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	942						
60	59	238	238	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	943						
60	59	477/2	477/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	944						
60	59	239	239	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	945						
60	59	479/2	479/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	946						
60	59	236	236	0.0	0	0	Dynamic	2/2	2	1	0					f					
60	59	236	236	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	947						
60	59	236	236	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	948						
60	59	236	236	0.0	0	0	Dynamic	2/2	4	1	0					f					
60	59	236	236	0.0	0	0	Dynamic	2/2	4	1	0					f					
60	59	236	236	1.0	0	0	Chord	2/2	4	1	1/4		1/4	1	949						
61	60	240	240	0.0	0	0	StaffText	2/2	1	1	0							<i>dim.</i>			
61	60	240	240	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	950						
61	60	481/2	481/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	951						
61	60	241	241	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	952						
61	60	483/2	483/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	953						
61	60	242	242	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	954						
61	60	485/2	485/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	955						
61	60	243	243	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	956						
61	60	487/2	487/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	957						
62	61	244	244	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	958						
62	61	489/2	489/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	959						
62	61	245	245	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	960						
62	61	491/2	491/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	961						
62	61	246	246	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	962						
62	61	493/2	493/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	963						
62	61	247	247	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	964						
62	61	495/2	495/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	965						
63	62	248	248	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	966						
63	62	497/2	497/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	967						
63	62	249	249	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	968						
63	62	499/2	499/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	969						
63	62	250	250	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	970						
63	62	501/2	501/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	971						
63	62	251	251	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	972						
63	62	503/2	503/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	973						
64	63	252	252	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	974						
64	63	505/2	505/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	975						
64	63	253	253	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	976						
64	63	507/2	507/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	977						
64	63	254	254	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	978						
64	63	255	255	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	979						
64	63	252	252	0.0	0	0	Dynamic	2/2	2	1	0					p					
64	63	252	252	4.0	0	0	Chord	2/2	2	1	1		1	1	980						
64	63	252	252	0.0	0	0	Dynamic	2/2	3	1	0					p					
64	63	254	254	0.0	1/2	1/2	Dynamic	2/2	3	1	0					p					
64	63	254	254	0.5	1/2	1/2	Chord	2/2	3	1	1/8		1/8	1	981						
64	63	509/2	509/2	0.5	5/8	5/8	Chord	2/2	3	1	1/8		1/8	1	982						
64	63	255	255	0.5	3/4	3/4	Chord	2/2	3	1	1/8		1/8	1	983						
64	63	511/2	511/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8		1/8	1	984						
65	64	256	256	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	985						
65	64	513/2	513/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	986						
65	64	257	257	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	987						
65	64	515/2	515/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	988						
65	64	258	258	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	989						
65	64	259	259	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	990						
65	64	256	256	4.0	0	0	Chord	2/2	2	1	1		1	1	991						
65	64	258	258	0.0	1/2	1/2	Dynamic	2/2	4	1	0					p					
65	64	258	258	0.5	1/2	1/2	Chord	2/2	4	1	1/8		1/8	1	992						
65	64	517/2	517/2	0.5	5/8	5/8	Chord	2/2	4	1	1/8		1/8	1	993						
65	64	259	259	0.5	3/4	3/4	Chord	2/2	4	1	1/8		1/8	1	994						
65	64	519/2	519/2	0.5	7/8	7/8	Chord	2/2	4	1	1/8		1/8	1	995						
66	65	262	262	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	996						
66	65	525/2	525/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	997						
66	65	263	263	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	998						
66	65	527/2	527/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	999						
66	65	260	260	4.0	0	0	Chord	2/2	2	1	1		1	1	1000						
66	65	260	260	0.5	0	0	Chord	2/2	4	1	1/8		1/8	1	1001						
66	65	521/2	521/2	0.5	1/8	1/8	Chord	2/2	4	1	1/8		1/8	1	1002						
66	65	261	261	0.5	1/4	1/4	Chord	2/2	4	1	1/8		1/8	1	1003						
66	65	523/2	523/2	0.5	3/8	3/8	Chord	2/2	4	1	1/8		1/8	1	1004						
66	65	262	262	1.0	1/2	1/2	Chord	2/2	4	1	1/4		1/4	1	1005						
66	65	263	263	1.0	3/4	3/4	Chord	2/2	4	1	1/4		1/4	1	1006						
67	66	266	266	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	1007						
67	66	533/2	533/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	1008						
67	66	267	267	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	1009						
67	66	535/2	535/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	1010						
67	66	264	264	4.0	0	0	Chord	2/2	2	1	1		1	1	1011						
67	66	264	264	0.5	0	0	Chord	2/2	3	1	1/8		1/8	1	1012						
67	66	529/2	529/2	0.5	1/8	1/8	Chord	2/2	3	1	1/8		1/8	1	1013						
67	66	265	265	0.5	1/4	1/4	Chord	2/2	3	1	1/8		1/8	1	1014						
67	66	531/2	531/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8		1/8	1	1015						
67	66	266	266	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	1016						
67	66	267	267	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	1017						
68	67	268	268	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	1018						
68	67	537/2	537/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	1019						
68	67	269	269	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	1020						
68	67	539/2	539/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	1021						
68	67	270	270	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	1022						
68	67	271	271	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	1023						
68	67	268	268	4.0	0	0	Chord	2/2	2	1	1		1	1	1024						
68	67	270	270	0.5	1/2	1/2	Chord	2/2	3	1	1/8		1/8	1	1025						
68	67	541/2	541/2	0.5	5/8	5/8	Chord	2/2	3	1	1/8		1/8	1	1026						
68	67	271	271	0.5	3/4	3/4	Chord	2/2	3	1	1/8		1/8	1	1027						
68	67	543/2	543/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8		1/8	1	1028						
69	68	272	272	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	1029						
69	68	545/2	545/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	1030						
69	68	273	273	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	1031						
69	68	547/2	547/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	1032						
69	68	274	274	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	1033						
69	68	275	275	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	1034						
69	68	272	272	4.0	0	0	Chord	2/2	2	1	1		1	1	1035						
69	68	274	274	0.5	1/2	1/2	Chord	2/2	4	1	1/8		1/8	1	1036						
69	68	549/2	549/2	0.5	5/8	5/8	Chord	2/2	4	1	1/8		1/8	1	1037						
69	68	275	275	0.5	3/4	3/4	Chord	2/2	4	1	1/8		1/8	1	1038						
69	68	551/2	551/2	0.5	7/8	7/8	Chord	2/2	4	1	1/8		1/8	1	1039						
70	69	278	278	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	1040						
70	69	557/2	557/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	1041						
70	69	279	279	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	1042						
70	69	559/2	559/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	1043						
70	69	276	276	4.0	0	0	Chord	2/2	2	1	1		1	1	1044						
70	69	276	276	0.5	0	0	Chord	2/2	4	1	1/8		1/8	1	1045						
70	69	553/2	553/2	0.5	1/8	1/8	Chord	2/2	4	1	1/8		1/8	1	1046						
70	69	277	277	0.5	1/4	1/4	Chord	2/2	4	1	1/8		1/8	1	1047						
70	69	555/2	555/2	0.5	3/8	3/8	Chord	2/2	4	1	1/8		1/8	1	1048						
70	69	278	278	1.0	1/2	1/2	Chord	2/2	4	1	1/4		1/4	1	1049						
70	69	279	279	1.0	3/4	3/4	Chord	2/2	4	1	1/4		1/4	1	1050						
71	70	282	282	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	1051						
71	70	565/2	565/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	1052						
71	70	283	283	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	1053						
71	70	567/2	567/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	1054						
71	70	280	280	1.5	0	0	Chord	2/2	2	1	3/8		1/4	3/2	1055						
71	70	563/2	563/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	1056						
71	70	282	282	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	1057						
71	70	565/2	565/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	1058						
71	70	283	283	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	1059						
71	70	567/2	567/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	1060						
71	70	280	280	0.5	0	0	Chord	2/2	3	1	1/8		1/8	1	1061						
71	70	561/2	561/2	0.5	1/8	1/8	Chord	2/2	3	1	1/8		1/8	1	1062						
71	70	281	281	0.5	1/4	1/4	Chord	2/2	3	1	1/8		1/8	1	1063						
71	70	563/2	563/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8		1/8	1	1064						
71	70	282	282	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	1065						
71	70	283	283	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	1066						
72	71	284	284	2.0	0	0	Chord	2/2	1	1	1/2		1/2	1	1067						
72	71	286	286	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	1068						
72	71	573/2	573/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	1069						
72	71	287	287	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	1070						
