mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
17	17	97/2	97/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	216						58		
17	17	49	49	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	217								
17	17	50	50	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	218								
17	17	101/2	101/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	219								
17	17	48	48	0.0	0	0	StaffText	6/8	4	1	0					"<font size=""12""/><b><i>rfz</i></b>"						
17	17	48	48	1.0	0	0	Chord	6/8	4	1	1/4	1/4	1	220						59		
17	17	49	49	0.5	1/4	1/4	Chord	6/8	4	1	1/8	1/8	1	221								
17	17	50	50	0.5	1/2	1/2	Chord	6/8	4	1	1/8	1/8	1	222						60		
17	17	101/2	101/2	0.5	5/8	5/8	Chord	6/8	4	1	1/8	1/8	1	223								
18	18	51	51	0.0	0	0	StaffText	6/8	1	1	0					"<font size=""12""/><b><i>p</i></b>"						
18	18	51	51	0.0	0	0	StaffText	6/8	1	1	0					"<font size=""12""/><b><i>rfz</i></b>"						
18	18	51	51	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	224						61		
18	18	52	52	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	225								
18	18	105/2	105/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	226						62		
18	18	107/2	107/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	227								
18	18	51	51	0.0	0	0	StaffText	6/8	2	1	0					"<font size=""12""/><b><i>rfz</i></b>"						
18	18	51	51	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	228						63		
18	18	52	52	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	229								
18	18	53	53	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	230						64		
18	18	107/2	107/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	231								
18	18	51	51	0.0	0	0	StaffText	6/8	3	1	0					"<font size=""12""/><b><i>p</i></b>"						
18	18	51	51	0.0	0	0	StaffText	6/8	3	1	0					"<font size=""12""/><b><i>p</i></b>"						
18	18	51	51	0.0	0	0	StaffText	6/8	3	1	0					"<font size=""12""/><b><i>rfz</i></b>"						
18	18	51	51	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	232						65		
18	18	52	52	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	233								
18	18	53	53	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	234						66		
18	18	107/2	107/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	235								
18	18	51	51	0.0	0	0	StaffText	6/8	4	1	0					"<font size=""12""/><b><i>p</i></b>"						
18	18	51	51	0.0	0	0	StaffText	6/8	4	1	0					"<font size=""12""/><b><i>rfz</i></b>"						
18	18	51	51	1.0	0	0	Chord	6/8	4	1	1/4	1/4	1	236						67		
18	18	52	52	0.5	1/4	1/4	Chord	6/8	4	1	1/8	1/8	1	237								
18	18	53	53	0.5	1/2	1/2	Chord	6/8	4	1	1/8	1/8	1	238						68		
18	18	107/2	107/2	0.5	5/8	5/8	Chord	6/8	4	1	1/8	1/8	1	239								
19	19	54	54	0.0	0	0	StaffText	6/8	1	1	0					"<font size=""12""/><b><i>p</i></b>"						
19	19	54	54	0.0	0	0	StaffText	6/8	1	1	0					"<font size=""12""/><b><i>rfz</i></b>"						
19	19	54	54	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	240						69		
19	19	55	55	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	241								
19	19	111/2	111/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	242								
19	19	113/2	113/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	243								
19	19	54	54	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	244						70		
19	19	55	55	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	245								
19	19	111/2	111/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	246						71		
19	19	113/2	113/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	247								
19	19	54	54	0.0	0	0	StaffText	6/8	3	1	0					"<font size=""12""/><b><i>p</i></b>"						
19	19	54	54	0.0	0	0	StaffText	6/8	3	1	0					"<font size=""12""/><b><i>p</i></b>"						
19	19	54	54	0.0	0	0	StaffText	6/8	3	1	0					"<font size=""12""/><b><i>rfz</i></b>"						
19	19	54	54	0.0	0	0	StaffText	6/8	3	1	0					"<font size=""12""/><b><i>rfz</i></b>"						
19	19	54	54	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	248						72		
19	19	55	55	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	249								
19	19	111/2	111/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4	1/4	1	250						73		
19	19	113/2	113/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	251								
19	19	54	54	0.0	0	0	StaffText	6/8	4	1	0					"<font size=""12""/><b><i>p</i></b>"						
19	19	54	54	0.0	0	0	StaffText	6/8	4	1	0					"<font size=""12""/><b><i>rfz</i></b>"						
19	19	54	54	1.0	0	0	Chord	6/8	4	1	1/4	1/4	1	252						74		
19	19	55	55	0.5	1/4	1/4	Chord	6/8	4	1	1/8	1/8	1	253								
19	19	111/2	111/2	1.0	3/8	3/8	Chord	6/8	4	1	1/4	1/4	1	254						75		
19	19	113/2	113/2	0.5	5/8	5/8	Chord	6/8	4	1	1/8	1/8	1	255								
20	20	57	57	0.0	0	0	StaffText	6/8	1	1	0					"<font size=""12""/><b><i>p</i></b>"						
20	20	57	57	0.0	0	0	Spanner	6/8	1	1	0										16	
20	20	57	57	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	256							16	
20	20	117/2	117/2	0.0	3/8	3/8	Spanner	6/8	1	1	0											
20	20	117/2	117/2	0.0	3/8	3/8	Spanner	6/8	1	1	0											8
20	20	117/2	117/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	257								8
20	20	119/2	119/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	258								8
20	20	57	57	0.0	0	0	StaffText	6/8	2	1	0					"<font size=""12""/><b><i>p</i></b>"						
20	20	57	57	0.0	0	0	Spanner	6/8	2	1	0										17	
20	20	115/2	115/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	259						76	17	
20	20	58	58	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	260							17	
20	20	117/2	117/2	0.0	3/8	3/8	Spanner	6/8	2	1	0											
20	20	117/2	117/2	0.0	3/8	3/8	Spanner	6/8	2	1	0											9
20	20	117/2	117/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	261						77		9
20	20	59	59	1.0	1/2	1/2	Chord	6/8	2	1	1/4	1/4	1	262								9
20	20	57	57	0.0	0	0	StaffText	6/8	3	1	0					"<font size=""12""/><b><i>p</i></b>"						
20	20	57	57	0.0	0	0	Spanner	6/8	3	1	0										18	
20	20	115/2	115/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	263						78	18	
20	20	58	58	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	264							18	
20	20	117/2	117/2	0.0	3/8	3/8	Spanner	6/8	3	1	0											
20	20	117/2	117/2	0.0	3/8	3/8	Spanner	6/8	3	1	0											10
20	20	117/2	117/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	265						79		10
20	20	59	59	1.0	1/2	1/2	Chord	6/8	3	1	1/4	1/4	1	266								10
20	20	57	57	0.0	0	0	StaffText	6/8	4	1	0					"<font size=""12""/><b><i>p</i></b>"						
20	20	57	57	0.0	0	0	Spanner	6/8	4	1	0										19	
20	20	115/2	115/2	0.5	1/8	1/8	Chord	6/8	4	1	1/8	1/8	1	267						80	19	
20	20	58	58	0.5	1/4	1/4	Chord	6/8	4	1	1/8	1/8	1	268							19	
20	20	117/2	117/2	0.0	3/8	3/8	Spanner	6/8	4	1	0											
20	20	117/2	117/2	0.0	3/8	3/8	Spanner	6/8	4	1	0											11
20	20	117/2	117/2	0.5	3/8	3/8	Chord	6/8	4	1	1/8	1/8	1	269						81		11
20	20	59	59	1.0	1/2	1/2	Chord	6/8	4	1	1/4	1/4	1	270								11
21	21	60	60	0.0	0	0	Spanner	6/8	1	1	0											
21	21	121/2	121/2	0.0	1/8	1/8	Spanner	6/8	1	1	0										20	
21	21	121/2	121/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	271						82	20	
21	21	61	61	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	272							20	
21	21	123/2	123/2	0.0	3/8	3/8	Spanner	6/8	1	1	0											
21	21	123/2	123/2	0.0	3/8	3/8	Spanner	6/8	1	1	0											12
21	21	123/2	123/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	273						83		12
21	21	62	62	1.0	1/2	1/2	Chord	6/8	1	1	1/4	1/4	1	274								12
21	21	60	60	0.0	0	0	Spanner	6/8	2	1	0											
21	21	121/2	121/2	0.0	1/8	1/8	Spanner	6/8	2	1	0										21	
21	21	121/2	121/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	275						84	21	
21	21	61	61	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	276							21	
21	21	123/2	123/2	0.0	3/8	3/8	Spanner	6/8	2	1	0											
21	21	123/2	123/2	0.0	3/8	3/8	Spanner	6/8	2	1	0											13
21	21	123/2	123/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	277						85		13
21	21	62	62	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	278								13
21	21	125/2	125/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	279								13
21	21	60	60	0.0	0	0	Spanner	6/8	3	1	0											
21	21	60	60	0.0	0	0	Spanner	6/8	3	1	0										22	
21	21	60	60	1.5	0	0	Chord	6/8	3	1	3/8	1/4	3/2	280							22	
21	21	123/2	123/2	0.0	3/8	3/8	Spanner	6/8	3	1	0										22	14
21	21	123/2	123/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4	1/4	1	281						86	22	14
21	21	125/2	125/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	282							22	14
21	21	60	60	0.0	0	0	Spanner	6/8	4	1	0											
21	21	121/2	121/2	0.0	1/8	1/8	Spanner	6/8	4	1	0										23	
21	21	121/2	121/2	0.5	1/8	1/8	Chord	6/8	4	1	1/8	1/8	1	283						87	23	
21	21	61	61	0.5	1/4	1/4	Chord	6/8	4	1	1/8	1/8	1	284							23	
21	21	123/2	123/2	0.0	3/8	3/8	Spanner	6/8	4	1	0											
21	21	123/2	123/2	0.0	3/8	3/8	Spanner	6/8	4	1	0											15
21	21	123/2	123/2	0.5	3/8	3/8	Chord	6/8	4	1	1/8	1/8	1	285						88		15
21	21	62	62	1.0	1/2	1/2	Chord	6/8	4	1	1/4	1/4	1	286								15
22	22	63	63	0.0	0	0	Spanner	6/8	1	1	0										24	
22	22	63	63	0.0	0	0	Spanner	6/8	1	1	0										24	
22	22	63	63	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	287							24	
22	22	129/2	129/2	0.0	3/8	3/8	Spanner	6/8	1	1	0											
22	22	129/2	129/2	0.0	3/8	3/8	Spanner	6/8	1	1	0											16
22	22	129/2	129/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	288						89		16
22	22	131/2	131/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	289								16
22	22	63	63	0.0	0	0	Spanner	6/8	2	1	0										25	
22	22	63	63	0.0	0	0	Spanner	6/8	2	1	0										25	
22	22	63	63	1.5	0	0	Chord	6/8	2	1	3/8	1/4	3/2	290							25	
22	22	129/2	129/2	0.0	3/8	3/8	Spanner	6/8	2	1	0											
22	22	129/2	129/2	0.0	3/8	3/8	Spanner	6/8	2	1	0											17
22	22	129/2	129/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	291						90		17
22	22	131/2	131/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	292								17
22	22	63	63	0.0	0	0	Spanner	6/8	3	1	0										26	
22	22	63	63	0.0	0	0	Spanner	6/8	3	1	0										26	
22	22	63	63	0.0	0	0	Spanner	6/8	3	1	0										26	
22	22	127/2	127/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	293						91	26	
22	22	64	64	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	294							26	
22	22	129/2	129/2	0.0	3/8	3/8	Spanner	6/8	3	1	0											
22	22	129/2	129/2	0.0	3/8	3/8	Spanner	6/8	3	1	0											18
22	22	129/2	129/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	295						92		18
22	22	65	65	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	296						92		18
22	22	131/2	131/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	297								18
22	22	63	63	0.0	0	0	Spanner	6/8	4	1	0											
22	22	127/2	127/2	0.5	1/8	1/8	Chord	6/8	4	1	1/8	1/8	1	298						93		
22	22	64	64	0.5	1/4	1/4	Chord	6/8	4	1	1/8	1/8	1	299								
22	22	129/2	129/2	0.5	3/8	3/8	Chord	6/8	4	1	1/8	1/8	1	300						94		
22	22	65	65	1.0	1/2	1/2	Chord	6/8	4	1	1/4	1/4	1	301								
23	23	66	66	0.0	0	0	Tempo	6/8	1	1	0						Piulento	84.0	1.0			
23	23	66	66	0.0	0	0	StaffText	6/8	1	1	0					<b><i>pp</i></b>						
23	23	66	66	0.0	0	0	StaffText	6/8	1	1	0					"<font size=""10""/><b><i>dim.</i></b>"						
23	23	66	66	0.0	0	0	Spanner	6/8	1	1	0											
23	23	66	66	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	302								
23	23	269/4	269/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16	1/16	1	303								
23	23	135/2	135/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	304								
23	23	275/4	275/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16	1/16	1	305								
23	23	66	66	0.0	0	0	Spanner	6/8	2	1	0											
23	23	66	66	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	306								
23	23	269/4	269/4	0.25	5/16	5/16	Chord	6/8	2	1	1/16	1/16	1	307								
23	23	135/2	135/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	308								
23	23	275/4	275/4	0.25	11/16	11/16	Chord	6/8	2	1	1/16	1/16	1	309								
23	23	66	66	0.0	0	0	StaffText	6/8	3	1	0					<b><i>pp</i></b>						
23	23	66	66	0.0	0	0	StaffText	6/8	3	1	0					<b><i>pp</i></b>						
23	23	66	66	0.0	0	0	StaffText	6/8	3	1	0					"<font size=""10""/><b><i>dim.</i></b>"						
23	23	66	66	0.0	0	0	Spanner	6/8	3	1	0											
23	23	66	66	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	310								
23	23	269/4	269/4	0.25	5/16	5/16	Chord	6/8	3	1	1/16	1/16	1	311								
23	23	135/2	135/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4	1/4	1	312								
23	23	275/4	275/4	0.25	11/16	11/16	Chord	6/8	3	1	1/16	1/16	1	313								
23	23	66	66	0.0	0	0	StaffText	6/8	4	1	0					<b><i>pp</i></b>						
23	23	66	66	0.0	0	0	StaffText	6/8	4	1	0					"<font size=""10""/><b><i>dim.</i></b>"						
23	23	66	66	1.0	0	0	Chord	6/8	4	1	1/4	1/4	1	314								
23	23	269/4	269/4	0.25	5/16	5/16	Chord	6/8	4	1	1/16	1/16	1	315								
23	23	135/2	135/2	1.0	3/8	3/8	Chord	6/8	4	1	1/4	1/4	1	316								
23	23	275/4	275/4	0.25	11/16	11/16	Chord	6/8	4	1	1/16	1/16	1	317								
24	24	69	69	0.0	0	0	StaffText	6/8	1	1	0					"<font size=""10""/><i>cresc.</i>"						
24	24	69	69	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	318								
24	24	281/4	281/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16	1/16	1	319								
24	24	141/2	141/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	320								
24	24	285/4	285/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16	1/16	1	321	articStaccatoBelow					95		
24	24	143/2	143/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16	1/16	1	322	articStaccatoBelow					95		
24	24	287/4	287/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16	1/16	1	323	articStaccatoBelow							
24	24	69	69	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	324								
24	24	281/4	281/4	0.25	5/16	5/16	Chord	6/8	2	1	1/16	1/16	1	325								
24	24	141/2	141/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	326								
24	24	285/4	285/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16	1/16	1	327	articStaccatoBelow					96		
24	24	143/2	143/2	0.25	5/8	5/8	Chord	6/8	2	1	1/16	1/16	1	328	articStaccatoBelow					96		
24	24	287/4	287/4	0.25	11/16	11/16	Chord	6/8	2	1	1/16	1/16	1	329	articStaccatoBelow							
24	24	69	69	0.0	0	0	StaffText	6/8	3	1	0					"<font size=""10""/><i>cresc.</i>"						
24	24	69	69	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	330								
24	24	281/4	281/4	0.25	5/16	5/16	Chord	6/8	3	1	1/16	1/16	1	331								
24	24	141/2	141/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	332								
24	24	285/4	285/4	0.25	9/16	9/16	Chord	6/8	3	1	1/16	1/16	1	333	articStaccatoBelow					97		
24	24	143/2	143/2	0.25	5/8	5/8	Chord	6/8	3	1	1/16	1/16	1	334	articStaccatoBelow					97		
24	24	287/4	287/4	0.25	11/16	11/16	Chord	6/8	3	1	1/16	1/16	1	335	articStaccatoBelow							
24	24	69	69	0.0	0	0	StaffText	6/8	4	1	0					"<font size=""10""/><i>cresc.</i>"						
24	24	69	69	1.0	0	0	Chord	6/8	4	1	1/4	1/4	1	336								
24	24	281/4	281/4	0.25	5/16	5/16	Chord	6/8	4	1	1/16	1/16	1	337								
24	24	141/2	141/2	0.5	3/8	3/8	Chord	6/8	4	1	1/8	1/8	1	338								
24	24	285/4	285/4	0.25	9/16	9/16	Chord	6/8	4	1	1/16	1/16	1	339	articStaccatoBelow					98		
24	24	143/2	143/2	0.25	5/8	5/8	Chord	6/8	4	1	1/16	1/16	1	340	articStaccatoBelow					98		
24	24	287/4	287/4	0.25	11/16	11/16	Chord	6/8	4	1	1/16	1/16	1	341	articStaccatoBelow							
25	25	72	72	0.0	0	0	StaffText	6/8	1	1	0					"<font size=""12""/><b><i>pp</i></b>"						
25	25	72	72	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	342								
25	25	293/4	293/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16	1/16	1	343								
25	25	147/2	147/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	344								
25	25	299/4	299/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16	1/16	1	345								
25	25	72	72	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	346								
25	25	293/4	293/4	0.25	5/16	5/16	Chord	6/8	2	1	1/16	1/16	1	347								
25	25	147/2	147/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	348								
25	25	299/4	299/4	0.25	11/16	11/16	Chord	6/8	2	1	1/16	1/16	1	349								
25	25	72	72	0.0	0	0	StaffText	6/8	3	1	0					"<font size=""12""/><b><i>pp</i></b>"						
25	25	72	72	0.0	0	0	StaffText	6/8	3	1	0					"<font size=""12""/><b><i>pp</i></b>"						
25	25	72	72	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	350								
25	25	293/4	293/4	0.25	5/16	5/16	Chord	6/8	3	1	1/16	1/16	1	351								
25	25	147/2	147/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4	1/4	1	352								
25	25	299/4	299/4	0.25	11/16	11/16	Chord	6/8	3	1	1/16	1/16	1	353								
25	25	72	72	0.0	0	0	StaffText	6/8	4	1	0					"<font size=""12""/><b><i>pp</i></b>"						
25	25	72	72	1.0	0	0	Chord	6/8	4	1	1/4	1/4	1	354								
25	25	293/4	293/4	0.25	5/16	5/16	Chord	6/8	4	1	1/16	1/16	1	355								
25	25	147/2	147/2	1.0	3/8	3/8	Chord	6/8	4	1	1/4	1/4	1	356								
25	25	299/4	299/4	0.25	11/16	11/16	Chord	6/8	4	1	1/16	1/16	1	357								
26	26	75	75	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	358								
26	26	305/4	305/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16	1/16	1	359								
26	26	153/2	153/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	360								
26	26	309/4	309/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16	1/16	1	361	articStaccatoAbove					99		
26	26	155/2	155/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16	1/16	1	362	articStaccatoAbove					99		
26	26	311/4	311/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16	1/16	1	363	articStaccatoAbove							
26	26	75	75	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	364								
26	26	305/4	305/4	0.25	5/16	5/16	Chord	6/8	2	1	1/16	1/16	1	365								
26	26	153/2	153/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	366								
26	26	309/4	309/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16	1/16	1	367	articStaccatoBelow					100		
26	26	155/2	155/2	0.25	5/8	5/8	Chord	6/8	2	1	1/16	1/16	1	368	articStaccatoBelow					100		
26	26	311/4	311/4	0.25	11/16	11/16	Chord	6/8	2	1	1/16	1/16	1	369	articStaccatoBelow							
26	26	75	75	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	370								
26	26	305/4	305/4	0.25	5/16	5/16	Chord	6/8	3	1	1/16	1/16	1	371								
26	26	153/2	153/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	372								
26	26	309/4	309/4	0.25	9/16	9/16	Chord	6/8	3	1	1/16	1/16	1	373	articStaccatoBelow					101		
26	26	155/2	155/2	0.25	5/8	5/8	Chord	6/8	3	1	1/16	1/16	1	374	articStaccatoBelow					101		
26	26	311/4	311/4	0.25	11/16	11/16	Chord	6/8	3	1	1/16	1/16	1	375	articStaccatoBelow							
26	26	75	75	1.0	0	0	Chord	6/8	4	1	1/4	1/4	1	376								
26	26	305/4	305/4	0.25	5/16	5/16	Chord	6/8	4	1	1/16	1/16	1	377								
26	26	153/2	153/2	0.5	3/8	3/8	Chord	6/8	4	1	1/8	1/8	1	378								
26	26	309/4	309/4	0.25	9/16	9/16	Chord	6/8	4	1	1/16	1/16	1	379	articStaccatoBelow					102		
26	26	155/2	155/2	0.25	5/8	5/8	Chord	6/8	4	1	1/16	1/16	1	380	articStaccatoBelow					102		
26	26	311/4	311/4	0.25	11/16	11/16	Chord	6/8	4	1	1/16	1/16	1	381	articStaccatoBelow							
27	27	78	78	0.0	0	0	StaffText	6/8	1	1	0					"<font size=""12""/><b><i>pp</i></b>"						
27	27	78	78	0.0	0	0	Spanner	6/8	1	1	0										27	
27	27	78	78	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	382							27	
27	27	317/4	317/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16	1/16	1	383							27	
27	27	159/2	159/2	0.0	3/8	3/8	Spanner	6/8	1	1	0											
27	27	159/2	159/2	0.0	3/8	3/8	Spanner	6/8	1	1	0											19
27	27	159/2	159/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	384								19
27	27	323/4	323/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16	1/16	1	385								19
27	27	78	78	0.0	0	0	StaffText	6/8	2	1	0					"<font size=""10""/><i>cresc.</i>"						
27	27	78	78	0.0	0	0	Spanner	6/8	2	1	0										28	
27	27	78	78	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	386							28	
27	27	317/4	317/4	0.25	5/16	5/16	Chord	6/8	2	1	1/16	1/16	1	387							28	
27	27	159/2	159/2	0.0	3/8	3/8	Spanner	6/8	2	1	0											
27	27	159/2	159/2	0.0	3/8	3/8	Spanner	6/8	2	1	0											20
27	27	159/2	159/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	388								20
27	27	323/4	323/4	0.25	11/16	11/16	Chord	6/8	2	1	1/16	1/16	1	389								20
27	27	78	78	0.0	0	0	StaffText	6/8	3	1	0					"<font size=""12""/><b><i>pp</i></b>"						
27	27	78	78	0.0	0	0	StaffText	6/8	3	1	0					"<font size=""12""/><b><i>pp</i></b>"						
27	27	78	78	0.0	0	0	StaffText	6/8	3	1	0					"<font size=""10""/><i>cresc.</i>"						
27	27	78	78	0.0	0	0	Spanner	6/8	3	1	0										29	
27	27	78	78	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	390							29	
27	27	317/4	317/4	0.25	5/16	5/16	Chord	6/8	3	1	1/16	1/16	1	391							29	
27	27	159/2	159/2	0.0	3/8	3/8	Spanner	6/8	3	1	0											
27	27	159/2	159/2	0.0	3/8	3/8	Spanner	6/8	3	1	0											21
27	27	159/2	159/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4	1/4	1	392								21
27	27	323/4	323/4	0.25	11/16	11/16	Chord	6/8	3	1	1/16	1/16	1	393								21
27	27	78	78	0.0	0	0	StaffText	6/8	4	1	0					"<font size=""12""/><b><i>pp</i></b>"						
27	27	78	78	0.0	0	0	StaffText	6/8	4	1	0					"<font size=""10""/><i>cresc.</i>"						
27	27	78	78	0.0	0	0	StaffText	6/8	4	1	0					"<font size=""10""/><i>cresc.</i>"						
27	27	78	78	0.0	0	0	Spanner	6/8	4	1	0										30	
27	27	78	78	1.0	0	0	Chord	6/8	4	1	1/4	1/4	1	394							30	
27	27	317/4	317/4	0.25	5/16	5/16	Chord	6/8	4	1	1/16	1/16	1	395							30	
27	27	159/2	159/2	0.0	3/8	3/8	Spanner	6/8	4	1	0											
27	27	159/2	159/2	0.0	3/8	3/8	Spanner	6/8	4	1	0											22
27	27	159/2	159/2	1.0	3/8	3/8	Chord	6/8	4	1	1/4	1/4	1	396								22
27	27	323/4	323/4	0.25	11/16	11/16	Chord	6/8	4	1	1/16	1/16	1	397								22
28	28	81	81	0.0	0	0	Spanner	6/8	1	1	0											
28	28	81	81	0.0	0	0	Spanner	6/8	1	1	0										31	
28	28	81	81	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	398							31	
28	28	329/4	329/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16	1/16	1	399							31	
28	28	165/2	165/2	0.0	3/8	3/8	Spanner	6/8	1	1	0											
28	28	165/2	165/2	0.0	3/8	3/8	Spanner	6/8	1	1	0											23
28	28	165/2	165/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	400								23
28	28	335/4	335/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16	1/16	1	401								23
28	28	81	81	0.0	0	0	Spanner	6/8	2	1	0											
28	28	81	81	0.0	0	0	Spanner	6/8	2	1	0										32	
