mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	crescendo_hairpin	decrescendo_hairpin
60	59	471/2	471/2	1.0		1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	714		articStaccatoBelow				
60	59	473/2	473/2	0.0		3/4	3/4	Dynamic	2/2	2	1	0				sf					
60	59	473/2	473/2	1.0		3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	715		articStaccatoBelow				
60	59	467/2	467/2	0.0		0	0	Dynamic	2/2	4	1	0				p					
60	59	467/2	467/2	1.0		0	0	Chord	2/2	4	1	1/4	1/4	1	716		articStaccatoAbove				
60	59	469/2	469/2	0.0		1/4	1/4	Dynamic	2/2	4	1	0				sf					
60	59	469/2	469/2	1.0		1/4	1/4	Chord	2/2	4	1	1/4	1/4	1	717		articStaccatoAbove				
60	59	471/2	471/2	1.0		1/2	1/2	Chord	2/2	4	1	1/4	1/4	1	718		articStaccatoAbove				
60	59	473/2	473/2	0.0		3/4	3/4	Dynamic	2/2	4	1	0				sf					
60	59	473/2	473/2	1.0		3/4	3/4	Chord	2/2	4	1	1/4	1/4	1	719		articStaccatoAbove				
61	60	475/2	475/2	1.0		0	0	Chord	2/2	1	1	1/4	1/4	1	720		articStaccatoAbove				
61	60	477/2	477/2	0.0		1/4	1/4	Dynamic	2/2	1	1	0				sf					
61	60	477/2	477/2	1.0		1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	721		articStaccatoAbove				
61	60	479/2	479/2	1.0		1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	722		articStaccatoAbove				
61	60	481/2	481/2	0.0		3/4	3/4	Dynamic	2/2	1	1	0				sf					
61	60	481/2	481/2	1.0		3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	723		articStaccatoAbove				
61	60	475/2	475/2	1.0		0	0	Chord	2/2	2	1	1/4	1/4	1	724		articStaccatoBelow				
61	60	477/2	477/2	0.0		1/4	1/4	Dynamic	2/2	2	1	0				sf					
61	60	477/2	477/2	1.0		1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	725		articStaccatoBelow				
61	60	479/2	479/2	1.0		1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	726		articStaccatoBelow				
61	60	481/2	481/2	0.0		3/4	3/4	Dynamic	2/2	2	1	0				sf					
61	60	481/2	481/2	1.0		3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	727		articStaccatoBelow				
61	60	479/2	479/2	0.0		1/2	1/2	Dynamic	2/2	3	1	0				p					
61	60	479/2	479/2	1.0		1/2	1/2	Chord	2/2	3	1	1/4	1/4	1	728		articStaccatoBelow				
61	60	481/2	481/2	0.0		3/4	3/4	Dynamic	2/2	3	1	0				sf					
61	60	481/2	481/2	1.0		3/4	3/4	Chord	2/2	3	1	1/4	1/4	1	729		articStaccatoBelow				
61	60	475/2	475/2	1.0		0	0	Chord	2/2	4	1	1/4	1/4	1	730		articStaccatoAbove				
61	60	477/2	477/2	0.0		1/4	1/4	Dynamic	2/2	4	1	0				sf					
61	60	477/2	477/2	1.0		1/4	1/4	Chord	2/2	4	1	1/4	1/4	1	731		articStaccatoAbove				
61	60	479/2	479/2	1.0		1/2	1/2	Chord	2/2	4	1	1/4	1/4	1	732		articStaccatoAbove				
61	60	481/2	481/2	0.0		3/4	3/4	Dynamic	2/2	4	1	0				sf					
61	60	481/2	481/2	1.0		3/4	3/4	Chord	2/2	4	1	1/4	1/4	1	733		articStaccatoAbove				
62	61	483/2	483/2	0.0		0	0	Dynamic	2/2	1	1	0				sf					
62	61	483/2	483/2	2.0		0	0	Chord	2/2	1	1	1/2	1/2	1	734				128		
62	61	487/2	487/2	0.5		1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	735				128		
62	61	244	244	0.5		5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	736				128		
62	61	489/2	489/2	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	737				128		
62	61	245	245	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	738						
62	61	483/2	483/2	0.0		0	0	Dynamic	2/2	2	1	0				sf					
62	61	483/2	483/2	4.0		0	0	Chord	2/2	2	1	1	1	1	739				129		
62	61	483/2	483/2	0.0		0	0	Dynamic	2/2	3	1	0				sf					
62	61	483/2	483/2	4.0		0	0	Chord	2/2	3	1	1	1	1	740						
62	61	483/2	483/2	0.0		0	0	Dynamic	2/2	4	1	0				sf					
62	61	483/2	483/2	4.0		0	0	Chord	2/2	4	1	1	1	1	741				130		
63	62	491/2	491/2	0.5		0	0	Chord	2/2	1	1	1/8	1/8	1	742				131		
63	62	246	246	0.5		1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	743						
63	62	493/2	493/2	0.5		1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	744		articStaccatoBelow				
63	62	247	247	0.5		3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	745		articStaccatoBelow				
63	62	495/2	495/2	0.5		1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	746				132		
63	62	248	248	0.5		5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	747						
63	62	497/2	497/2	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	748		articStaccatoBelow				
63	62	249	249	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	749		articStaccatoBelow				
63	62	491/2	491/2	1.0		0	0	Chord	2/2	2	1	1/4	1/4	1	750						
63	62	493/2	493/2	1.0		1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	751						
63	62	495/2	495/2	1.0		1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	752						
63	62	497/2	497/2	1.0		3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	753						
63	62	491/2	491/2	1.0		0	0	Chord	2/2	3	1	1/4	1/4	1	754						
63	62	491/2	491/2	1.0		0	0	Chord	2/2	4	1	1/4	1/4	1	755						
63	62	493/2	493/2	1.0		1/4	1/4	Chord	2/2	4	1	1/4	1/4	1	756						
63	62	495/2	495/2	1.0		1/2	1/2	Chord	2/2	4	1	1/4	1/4	1	757						
63	62	497/2	497/2	1.0		3/4	3/4	Chord	2/2	4	1	1/4	1/4	1	758						
64	63	503/2	503/2	0.0		1/2	1/2	Dynamic	2/2	1	1	0				p					
64	63	503/2	503/2	1.0		1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	759		articStaccatoAbove				
64	63	505/2	505/2	0.0		3/4	3/4	Dynamic	2/2	1	1	0				sf					
64	63	505/2	505/2	1.0		3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	760		articStaccatoAbove				
64	63	499/2	499/2	1.0		0	0	Chord	2/2	2	1	1/4	1/4	1	761		articStaccatoBelow				
64	63	501/2	501/2	0.0		1/4	1/4	Dynamic	2/2	2	1	0				sf					
64	63	501/2	501/2	1.0		1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	762		articStaccatoBelow				
64	63	503/2	503/2	1.0		1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	763		articStaccatoBelow				
64	63	505/2	505/2	0.0		3/4	3/4	Dynamic	2/2	2	1	0				sf					
64	63	505/2	505/2	1.0		3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	764		articStaccatoBelow				
64	63	499/2	499/2	1.0		0	0	Chord	2/2	3	1	1/4	1/4	1	765		articStaccatoAbove				
64	63	501/2	501/2	0.0		1/4	1/4	Dynamic	2/2	3	1	0				sf					
64	63	501/2	501/2	1.0		1/4	1/4	Chord	2/2	3	1	1/4	1/4	1	766		articStaccatoAbove				
64	63	503/2	503/2	1.0		1/2	1/2	Chord	2/2	3	1	1/4	1/4	1	767		articStaccatoAbove				
64	63	505/2	505/2	0.0		3/4	3/4	Dynamic	2/2	3	1	0				sf					
64	63	505/2	505/2	1.0		3/4	3/4	Chord	2/2	3	1	1/4	1/4	1	768		articStaccatoAbove				
64	63	503/2	503/2	0.0		1/2	1/2	Dynamic	2/2	4	1	0				p					
64	63	503/2	503/2	1.0		1/2	1/2	Chord	2/2	4	1	1/4	1/4	1	769		articStaccatoAbove				
64	63	505/2	505/2	0.0		3/4	3/4	Dynamic	2/2	4	1	0				sf					
64	63	505/2	505/2	1.0		3/4	3/4	Chord	2/2	4	1	1/4	1/4	1	770		articStaccatoAbove				
65	64	507/2	507/2	1.0		0	0	Chord	2/2	1	1	1/4	1/4	1	771		articStaccatoAbove				
65	64	509/2	509/2	0.0		1/4	1/4	Dynamic	2/2	1	1	0				sf					
65	64	509/2	509/2	1.0		1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	772		articStaccatoAbove				
65	64	511/2	511/2	1.0		1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	773		articStaccatoAbove				
65	64	513/2	513/2	0.0		3/4	3/4	Dynamic	2/2	1	1	0				sf					
65	64	513/2	513/2	1.0		3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	774		articStaccatoAbove				
65	64	507/2	507/2	1.0		0	0	Chord	2/2	2	1	1/4	1/4	1	775		articStaccatoAbove				
65	64	509/2	509/2	0.0		1/4	1/4	Dynamic	2/2	2	1	0				sf					
65	64	509/2	509/2	1.0		1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	776		articStaccatoAbove				
65	64	511/2	511/2	1.0		1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	777		articStaccatoBelow				
65	64	513/2	513/2	0.0		3/4	3/4	Dynamic	2/2	2	1	0				sf					
65	64	513/2	513/2	1.0		3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	778		articStaccatoBelow				
65	64	507/2	507/2	1.0		0	0	Chord	2/2	3	1	1/4	1/4	1	779		articStaccatoAbove				
65	64	509/2	509/2	0.0		1/4	1/4	Dynamic	2/2	3	1	0				sf					
65	64	509/2	509/2	1.0		1/4	1/4	Chord	2/2	3	1	1/4	1/4	1	780		articStaccatoAbove				
65	64	511/2	511/2	1.0		1/2	1/2	Chord	2/2	3	1	1/4	1/4	1	781		articStaccatoBelow				
65	64	513/2	513/2	0.0		3/4	3/4	Dynamic	2/2	3	1	0				sf					
65	64	513/2	513/2	1.0		3/4	3/4	Chord	2/2	3	1	1/4	1/4	1	782		articStaccatoBelow				
65	64	507/2	507/2	1.0		0	0	Chord	2/2	4	1	1/4	1/4	1	783		articStaccatoAbove				
65	64	509/2	509/2	0.0		1/4	1/4	Dynamic	2/2	4	1	0				sf					
65	64	509/2	509/2	1.0		1/4	1/4	Chord	2/2	4	1	1/4	1/4	1	784		articStaccatoAbove				
65	64	511/2	511/2	1.0		1/2	1/2	Chord	2/2	4	1	1/4	1/4	1	785		articStaccatoAbove				
65	64	513/2	513/2	0.0		3/4	3/4	Dynamic	2/2	4	1	0				sf					
65	64	513/2	513/2	1.0		3/4	3/4	Chord	2/2	4	1	1/4	1/4	1	786		articStaccatoAbove				
66	65	515/2	515/2	0.0		0	0	Dynamic	2/2	1	1	0				f					
66	65	515/2	515/2	4.0		0	0	Chord	2/2	1	1	1	1	1	787				133		
66	65	515/2	515/2	0.0		0	0	Dynamic	2/2	2	1	0				f					
66	65	515/2	515/2	1.0		0	0	Chord	2/2	2	1	1/4	1/4	1	788						
66	65	515/2	515/2	0.0		0	0	Dynamic	2/2	3	1	0				f					
66	65	515/2	515/2	1.0		0	0	Chord	2/2	3	1	1/4	1/4	1	789						
66	65	515/2	515/2	0.0		0	0	Dynamic	2/2	4	1	0				f					
66	65	515/2	515/2	1.0		0	0	Chord	2/2	4	1	1/4	1/4	1	790						
67	66	523/2	523/2	0.0		0	0	Spanner	2/2	1	1	0							133		0
67	66	523/2	523/2	1.0		0	0	Chord	2/2	1	1	1/4	1/4	1	791				133		0
67	66	525/2	525/2	1.0		1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	792				133		0
67	66	527/2	527/2	1.0		1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	793				133		0
67	66	529/2	529/2	1.0		3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	794						0
68	67	531/2	531/2	0.0		0	0	Dynamic	2/2	1	1	0				pp					
68	67	531/2	531/2	0.0		0	0	Spanner	2/2	1	1	0									
68	67	531/2	531/2	1.0		0	0	Chord	2/2	1	1	1/4	1/4	1	795				134		
68	67	533/2	533/2	1.0		1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	796				134		
68	67	535/2	535/2	1.0		1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	797				134		
68	67	537/2	537/2	1.0		3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	798				134		
68	67	531/2	531/2	0.0		0	0	Dynamic	2/2	2	1	0				pp					
68	67	531/2	531/2	1.0		0	0	Chord	2/2	2	1	1/4	1/4	1	799				135		
68	67	533/2	533/2	1.0		1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	800				135		
68	67	535/2	535/2	1.0		1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	801				135		
68	67	537/2	537/2	1.0		3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	802				135		
68	67	531/2	531/2	0.0		0	0	Dynamic	2/2	3	1	0				pp					
68	67	531/2	531/2	1.0		0	0	Chord	2/2	3	1	1/4	1/4	1	803				136		
68	67	533/2	533/2	1.0		1/4	1/4	Chord	2/2	3	1	1/4	1/4	1	804				136		
68	67	535/2	535/2	1.0		1/2	1/2	Chord	2/2	3	1	1/4	1/4	1	805				136		
68	67	537/2	537/2	1.0		3/4	3/4	Chord	2/2	3	1	1/4	1/4	1	806				136		
68	67	531/2	531/2	0.0		0	0	Dynamic	2/2	4	1	0				pp					
68	67	531/2	531/2	2.0		0	0	Chord	2/2	4	1	1/2	1/2	1	807				137		
68	67	535/2	535/2	2.0		1/2	1/2	Chord	2/2	4	1	1/2	1/2	1	808				137		
69	68	539/2	539/2	1.0		0	0	Chord	2/2	1	1	1/4	1/4	1	809				134		
69	68	541/2	541/2	1.0		1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	810				134		
69	68	543/2	543/2	1.0		1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	811				134		
69	68	545/2	545/2	1.0		3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	812				134		
69	68	539/2	539/2	1.0		0	0	Chord	2/2	2	1	1/4	1/4	1	813				135		
69	68	541/2	541/2	1.0		1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	814				135		
69	68	543/2	543/2	1.0		1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	815				135		
69	68	545/2	545/2	1.0		3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	816				135		
69	68	539/2	539/2	1.0		0	0	Chord	2/2	3	1	1/4	1/4	1	817				136		
69	68	541/2	541/2	1.0		1/4	1/4	Chord	2/2	3	1	1/4	1/4	1	818				136		
69	68	543/2	543/2	1.0		1/2	1/2	Chord	2/2	3	1	1/4	1/4	1	819				136		
69	68	545/2	545/2	1.0		3/4	3/4	Chord	2/2	3	1	1/4	1/4	1	820				136		
69	68	539/2	539/2	2.0		0	0	Chord	2/2	4	1	1/2	1/2	1	821				137		
69	68	543/2	543/2	2.0		1/2	1/2	Chord	2/2	4	1	1/2	1/2	1	822				137		
70	69	547/2	547/2	1.0		0	0	Chord	2/2	1	1	1/4	1/4	1	823				134		
70	69	549/2	549/2	1.0		1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	824				134		
70	69	551/2	551/2	1.0		1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	825				134		
70	69	553/2	553/2	1.0		3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	826				134		
70	69	547/2	547/2	1.0		0	0	Chord	2/2	2	1	1/4	1/4	1	827				135		
70	69	549/2	549/2	1.0		1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	828				135		
70	69	551/2	551/2	1.0		1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	829				135		
70	69	553/2	553/2	1.0		3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	830				135		
70	69	547/2	547/2	1.0		0	0	Chord	2/2	3	1	1/4	1/4	1	831				136		
70	69	549/2	549/2	1.0		1/4	1/4	Chord	2/2	3	1	1/4	1/4	1	832				136		
70	69	551/2	551/2	1.0		1/2	1/2	Chord	2/2	3	1	1/4	1/4	1	833				136		
70	69	553/2	553/2	1.0		3/4	3/4	Chord	2/2	3	1	1/4	1/4	1	834				136		
70	69	547/2	547/2	2.0		0	0	Chord	2/2	4	1	1/2	1/2	1	835				137		
70	69	551/2	551/2	2.0		1/2	1/2	Chord	2/2	4	1	1/2	1/2	1	836				137		
71	70	555/2	555/2	1.0		0	0	Chord	2/2	1	1	1/4	1/4	1	837				134		
71	70	557/2	557/2	1.0		1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	838				134		
71	70	559/2	559/2	1.0		1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	839				134		
71	70	561/2	561/2	1.0		3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	840						
71	70	555/2	555/2	1.0		0	0	Chord	2/2	2	1	1/4	1/4	1	841				135		
71	70	557/2	557/2	1.0		1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	842				135		
71	70	559/2	559/2	1.0		1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	843				135		
71	70	561/2	561/2	1.0		3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	844						
71	70	555/2	555/2	1.0		0	0	Chord	2/2	3	1	1/4	1/4	1	845				136		
71	70	557/2	557/2	1.0		1/4	1/4	Chord	2/2	3	1	1/4	1/4	1	846				136		
71	70	559/2	559/2	1.0		1/2	1/2	Chord	2/2	3	1	1/4	1/4	1	847				136		
71	70	561/2	561/2	1.0		3/4	3/4	Chord	2/2	3	1	1/4	1/4	1	848						
71	70	555/2	555/2	2.0		0	0	Chord	2/2	4	1	1/2	1/2	1	849				137		
71	70	559/2	559/2	2.0		1/2	1/2	Chord	2/2	4	1	1/2	1/2	1	850						
72	71	563/2	563/2	0.0		0	0	Dynamic	2/2	1	1	0				p					
72	71	563/2	563/2	0.5		0	0	Chord	2/2	1	1	1/8	1/8	1	851						
72	71	282	282	0.5		1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	852						
72	71	565/2	565/2	0.5		1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	853						
72	71	283	283	0.5		3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	854						
72	71	567/2	567/2	0.5		1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	855						
72	71	284	284	0.5		5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	856						
72	71	569/2	569/2	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	857						
72	71	285	285	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	858						
72	71	563/2	563/2	0.0		0	0	Dynamic	2/2	2	1	0				p					
72	71	563/2	563/2	1.0		0	0	Chord	2/2	2	1	1/4	1/4	1	859						
72	71	563/2	563/2	0.0		0	0	Dynamic	2/2	3	1	0				p					
72	71	563/2	563/2	1.0		0	0	Chord	2/2	3	1	1/4	1/4	1	860						
72	71	563/2	563/2	0.0		0	0	Dynamic	2/2	4	1	0				p					
72	71	563/2	563/2	1.0		0	0	Chord	2/2	4	1	1/4	1/4	1	861						
73	72	571/2	571/2	3.0		0	0	Chord	2/2	1	1	3/4	1/2	3/2	862				138		
73	72	577/2	577/2	1.0		3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	863						
73	72	573/2	573/2	1.0		1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	864						
73	72	575/2	575/2	1.0		1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	865						
73	72	577/2	577/2	1.0		3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	866						
73	72	573/2	573/2	1.0		1/4	1/4	Chord	2/2	3	1	1/4	1/4	1	867						
73	72	575/2	575/2	1.0		1/2	1/2	Chord	2/2	3	1	1/4	1/4	1	868						
73	72	577/2	577/2	1.0		3/4	3/4	Chord	2/2	3	1	1/4	1/4	1	869						
73	72	573/2	573/2	1.0		1/4	1/4	Chord	2/2	4	1	1/4	1/4	1	870						
73	72	575/2	575/2	1.0		1/2	1/2	Chord	2/2	4	1	1/4	1/4	1	871						
73	72	577/2	577/2	1.0		3/4	3/4	Chord	2/2	4	1	1/4	1/4	1	872						
74	73	579/2	579/2	1.0		0	0	Chord	2/2	1	1	1/4	1/4	1	873						
74	73	581/2	581/2	0.5		1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	874						
74	73	291	291	0.5		3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	875						
74	73	583/2	583/2	0.5		1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	876						
74	73	292	292	0.5		5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	877						
74	73	585/2	585/2	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	878						
74	73	293	293	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	879						
74	73	579/2	579/2	1.0		0	0	Chord	2/2	2	1	1/4	1/4	1	880						
74	73	579/2	579/2	1.0		0	0	Chord	2/2	3	1	1/4	1/4	1	881						
74	73	579/2	579/2	1.0		0	0	Chord	2/2	4	1	1/4	1/4	1	882						
75	74	587/2	587/2	3.0		0	0	Chord	2/2	1	1	3/4	1/2	3/2	883				139		
75	74	593/2	593/2	1.0		3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	884						
75	74	589/2	589/2	1.0		1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	885						
75	74	591/2	591/2	1.0		1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	886						
75	74	593/2	593/2	1.0		3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	887						
75	74	589/2	589/2	1.0		1/4	1/4	Chord	2/2	3	1	1/4	1/4	1	888						
75	74	591/2	591/2	1.0		1/2	1/2	Chord	2/2	3	1	1/4	1/4	1	889						
75	74	593/2	593/2	1.0		3/4	3/4	Chord	2/2	3	1	1/4	1/4	1	890						
75	74	589/2	589/2	1.0		1/4	1/4	Chord	2/2	4	1	1/4	1/4	1	891						
75	74	591/2	591/2	1.0		1/2	1/2	Chord	2/2	4	1	1/4	1/4	1	892						
75	74	593/2	593/2	1.0		3/4	3/4	Chord	2/2	4	1	1/4	1/4	1	893						
76	75	595/2	595/2	0.5		0	0	Chord	2/2	1	1	1/8	1/8	1	894						
76	75	298	298	0.5		1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	895						
76	75	597/2	597/2	0.5		1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	896						
76	75	299	299	0.5		3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	897						
76	75	599/2	599/2	0.5		1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	898						
76	75	300	300	0.5		5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	899						
76	75	601/2	601/2	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	900						
76	75	301	301	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	901						
76	75	595/2	595/2	1.0		0	0	Chord	2/2	2	1	1/4	1/4	1	902						
76	75	595/2	595/2	1.0		0	0	Chord	2/2	3	1	1/4	1/4	1	903						
76	75	595/2	595/2	1.0		0	0	Chord	2/2	4	1	1/4	1/4	1	904						
77	76	603/2	603/2	3.0		0	0	Chord	2/2	1	1	3/4	1/2	3/2	905				140		
77	76	609/2	609/2	1.0		3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	906						
77	76	605/2	605/2	1.0		1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	907						
77	76	607/2	607/2	1.0		1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	908						
77	76	609/2	609/2	1.0		3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	909						
77	76	605/2	605/2	1.0		1/4	1/4	Chord	2/2	3	1	1/4	1/4	1	910						
77	76	607/2	607/2	1.0		1/2	1/2	Chord	2/2	3	1	1/4	1/4	1	911						
77	76	609/2	609/2	1.0		3/4	3/4	Chord	2/2	3	1	1/4	1/4	1	912						
77	76	605/2	605/2	1.0		1/4	1/4	Chord	2/2	4	1	1/4	1/4	1	913						
77	76	607/2	607/2	1.0		1/2	1/2	Chord	2/2	4	1	1/4	1/4	1	914						
77	76	609/2	609/2	1.0		3/4	3/4	Chord	2/2	4	1	1/4	1/4	1	915						
78	77	611/2	611/2	1.0		0	0	Chord	2/2	1	1	1/4	1/4	1	916						
78	77	613/2	613/2	0.5		1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	917						
78	77	307	307	0.5		3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	918						
78	77	615/2	615/2	0.5		1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	919						
78	77	308	308	0.5		5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	920						
78	77	617/2	617/2	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	921						
78	77	309	309	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	922						
78	77	611/2	611/2	1.0		0	0	Chord	2/2	2	1	1/4	1/4	1	923						
78	77	611/2	611/2	1.0		0	0	Chord	2/2	3	1	1/4	1/4	1	924						
78	77	611/2	611/2	1.0		0	0	Chord	2/2	4	1	1/4	1/4	1	925						
79	78	619/2	619/2	3.0		0	0	Chord	2/2	1	1	3/4	1/2	3/2	926				141		
79	78	625/2	625/2	1.0		3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	927						
79	78	621/2	621/2	1.0		1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	928						
79	78	623/2	623/2	1.0		1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	929						
79	78	625/2	625/2	1.0		3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	930						
79	78	621/2	621/2	1.0		1/4	1/4	Chord	2/2	3	1	1/4	1/4	1	931						
79	78	623/2	623/2	1.0		1/2	1/2	Chord	2/2	3	1	1/4	1/4	1	932						
79	78	625/2	625/2	1.0		3/4	3/4	Chord	2/2	3	1	1/4	1/4	1	933						
79	78	621/2	621/2	1.0		1/4	1/4	Chord	2/2	4	1	1/4	1/4	1	934						
79	78	623/2	623/2	1.0		1/2	1/2	Chord	2/2	4	1	1/4	1/4	1	935						
79	78	625/2	625/2	1.0		3/4	3/4	Chord	2/2	4	1	1/4	1/4	1	936						
80	79	627/2	627/2	1.0		0	0	Chord	2/2	1	1	1/4	1/4	1	937						
80	79	627/2	627/2	1.0		0	0	Chord	2/2	2	1	1/4	1/4	1	938						
80	79	627/2	627/2	0.5		0	0	Chord	2/2	3	1	1/8	1/8	1	939						
80	79	314	314	0.5		1/8	1/8	Chord	2/2	3	1	1/8	1/8	1	940						
80	79	629/2	629/2	0.5		1/4	1/4	Chord	2/2	3	1	1/8	1/8	1	941						
80	79	315	315	0.5		3/8	3/8	Chord	2/2	3	1	1/8	1/8	1	942						
80	79	631/2	631/2	0.5		1/2	1/2	Chord	2/2	3	1	1/8	1/8	1	943				142		
80	79	316	316	0.5		5/8	5/8	Chord	2/2	3	1	1/8	1/8	1	944						
80	79	633/2	633/2	0.5		3/4	3/4	Chord	2/2	3	1	1/8	1/8	1	945		articStaccatoAbove				
80	79	317	317	0.5		7/8	7/8	Chord	2/2	3	1	1/8	1/8	1	946		articStaccatoAbove				
80	79	627/2	627/2	1.0		0	0	Chord	2/2	4	1	1/4	1/4	1	947						
81	80	637/2	637/2	0.5		1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	948				143		
81	80	319	319	0.5		3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	949				143		
81	80	639/2	639/2	0.5		1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	950				143		
