mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	diminuendo_line	decrescendo_hairpin	crescendo_hairpin	crescendo_line
105	105	314	314	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	1122		articStaccatoAbove									52		
105	105	629/2	629/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	1123		articStaccatoAbove									52		
105	105	312	312	0.0	0	0	Spanner	3/4	2	1	0															53		
105	105	625/2	625/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	1124									257		53		
105	105	313	313	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	1125									257		53		
105	105	314	314	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	1126											53		
105	105	312	312	0.0	0	0	Spanner	3/4	3	1	0															54		
105	105	313	313	2.0	1/4	1/4	Chord	3/4	3	1	1/2		1/2	1	1127											54		
105	105	312	312	0.0	0	0	Spanner	3/4	4	1	0															55		
105	105	312	312	2.0	0	0	Chord	3/4	4	1	1/2		1/2	1	1128									258		55		
105	105	314	314	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	1129									258		55		
105	105	629/2	629/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	1130											55		
106	106	315	315	0.0	0	0	Dynamic	3/4	1	1	0					p												
106	106	315	315	0.0	0	0	Spanner	3/4	1	1	0																	
106	106	315	315	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	1131									259				
106	106	317	317	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	1132									259				
106	106	635/2	635/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	1133													
106	106	315	315	0.0	0	0	Spanner	3/4	2	1	0																	
106	106	631/2	631/2	0.0	1/8	1/8	Dynamic	3/4	2	1	0					p												
106	106	631/2	631/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	1134									260				
106	106	316	316	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	1135													
106	106	315	315	0.0	0	0	Spanner	3/4	3	1	0																	
106	106	316	316	0.0	1/4	1/4	Dynamic	3/4	3	1	0					p												
106	106	316	316	2.0	1/4	1/4	Chord	3/4	3	1	1/2		1/2	1	1136													
106	106	315	315	0.0	0	0	Dynamic	3/4	4	1	0					p												
106	106	315	315	0.0	0	0	Spanner	3/4	4	1	0																	
106	106	315	315	2.0	0	0	Chord	3/4	4	1	1/2		1/2	1	1137									261				
106	106	317	317	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	1138									261				
106	106	635/2	635/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	1139													
107	107	318	318	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	1140													
107	107	637/2	637/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	1141									262				
107	107	319	319	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	1142									262				
107	107	320	320	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	1143									262				
107	107	641/2	641/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	1144													
107	107	318	318	0.0	0	0	Spanner	3/4	3	1	0																39	
107	107	319	319	0.0	1/4	1/4	Spanner	3/4	3	1	0																	
107	107	319	319	0.0	1/4	1/4	Spanner	3/4	3	1	0															56		
107	107	319	319	1.5	1/4	1/4	Chord	3/4	3	1	3/8		1/4	3/2	1145									263		56		
107	107	641/2	641/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	1146											56		
107	107	319	319	2.0	1/4	1/4	Chord	3/4	3	2	1/2		1/2	1	1147											56		
107	107	318	318	0.0	0	0	Spanner	3/4	4	1	0																40	
107	107	318	318	2.0	0	0	Chord	3/4	4	1	1/2		1/2	1	1148									264			40	
107	107	320	320	0.0	1/2	1/2	Spanner	3/4	4	1	0													264				
107	107	320	320	0.0	1/2	1/2	Spanner	3/4	4	1	0													264		57		
107	107	320	320	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	1149									264		57		
107	107	641/2	641/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	1150											57		
108	108	322	322	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	1151									265				
108	108	323	323	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	1152													
108	108	643/2	643/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	1153									266				
108	108	322	322	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	1154													
108	108	321	321	0.0	0	0	Spanner	3/4	3	1	0																	
108	108	322	322	2.0	1/4	1/4	Chord	3/4	3	1	1/2		1/2	1	1155													
108	108	321	321	0.0	0	0	Spanner	3/4	4	1	0																	
108	108	321	321	2.0	0	0	Chord	3/4	4	1	1/2		1/2	1	1156									267				
108	108	323	323	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	1157									267				
108	108	647/2	647/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	1158													
109	109	324	324	0.0	0	0	StaffText	3/4	1	1	0							"<font size=""9.7197""/><font face=""Times New Roman""/><i>cresc.</i>"										
109	109	324	324	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	1159													
109	109	649/2	649/2	0.0	1/8	1/8	StaffText	3/4	2	1	0							"<font size=""9.7197""/><font face=""Times New Roman""/><i>cresc.</i>"										
109	109	649/2	649/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	1160									268				
109	109	325	325	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	1161													
109	109	325	325	0.0	1/4	1/4	StaffText	3/4	3	1	0							"<font size=""9.7197""/><font face=""Times New Roman""/><i>cresc.</i>"										
109	109	325	325	2.0	1/4	1/4	Chord	3/4	3	1	1/2		1/2	1	1162													
109	109	324	324	0.0	0	0	StaffText	3/4	4	1	0							"<font size=""9.7197""/><font face=""Times New Roman""/><i>cresc.</i>"										
109	109	324	324	2.0	0	0	Chord	3/4	4	1	1/2		1/2	1	1163									269				
109	109	326	326	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	1164									269				
109	109	653/2	653/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	1165													
110	110	328	328	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	1166									270				
110	110	329	329	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	1167													
110	110	655/2	655/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	1168									271				
110	110	328	328	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	1169													
110	110	328	328	2.0	1/4	1/4	Chord	3/4	3	1	1/2		1/2	1	1170													
110	110	327	327	2.0	0	0	Chord	3/4	4	1	1/2		1/2	1	1171									272				
110	110	329	329	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	1172									272				
110	110	659/2	659/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	1173													
111	111	330	330	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	1174													
111	111	661/2	661/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	1175									273				
111	111	331	331	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	1176													
111	111	332	332	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	1177									274				
111	111	665/2	665/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	1178													
111	111	331	331	1.0	1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	1179									275				
111	111	332	332	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	1180									275				
111	111	665/2	665/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	1181													
111	111	330	330	2.0	0	0	Chord	3/4	4	1	1/2		1/2	1	1182									276				
111	111	332	332	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	1183									276				
111	111	665/2	665/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	1184													
112	112	334	334	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	1185													
112	112	335	335	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	1186													
112	112	333	333	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	1187													
112	112	667/2	667/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	1188									277				
112	112	334	334	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	1189													
112	112	333	333	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	1190													
112	112	334	334	2.0	1/4	1/4	Chord	3/4	3	1	1/2		1/2	1	1191													
112	112	333	333	2.0	0	0	Chord	3/4	4	1	1/2		1/2	1	1192									278				
112	112	335	335	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	1193									278				
112	112	671/2	671/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	1194													
113	113	336	336	0.0	0	0	Dynamic	3/4	1	1	0					rf												
113	113	336	336	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	1195													
113	113	338	338	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	1196													
113	113	336	336	0.0	0	0	Dynamic	3/4	2	1	0					rf												
113	113	673/2	673/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	1197									279				
113	113	337	337	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	1198													
113	113	337	337	0.0	1/4	1/4	Dynamic	3/4	3	1	0					rf												
113	113	337	337	1.0	1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	1199									280				
113	113	338	338	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	1200													
113	113	336	336	0.0	0	0	Dynamic	3/4	4	1	0					rf												
113	113	336	336	2.0	0	0	Chord	3/4	4	1	1/2		1/2	1	1201									281				
113	113	338	338	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	1202									281				
113	113	677/2	677/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	1203													
114	114	339	339	0.0	0	0	Spanner	3/4	1	1	0															58		
114	114	339	339	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	1204									282		58		
114	114	681/2	681/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	1205									282		58		
114	114	341	341	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	1206									282		58		
114	114	683/2	683/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	1207											58		
114	114	339	339	0.0	0	0	Spanner	3/4	2	1	0															59		
114	114	679/2	679/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	1208									283		59		
114	114	340	340	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	1209											59		
114	114	339	339	0.0	0	0	Spanner	3/4	3	1	0															60		
114	114	340	340	2.0	1/4	1/4	Chord	3/4	3	1	1/2		1/2	1	1210											60		
114	114	339	339	0.0	0	0	Spanner	3/4	4	1	0															61		
114	114	339	339	2.0	0	0	Chord	3/4	4	1	1/2		1/2	1	1211									284		61		
114	114	341	341	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	1212									284		61		
114	114	683/2	683/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	1213											61		
115	115	342	342	0.0	0	0	Dynamic	3/4	1	1	0					p												
115	115	342	342	0.0	0	0	Spanner	3/4	1	1	0																	
115	115	342	342	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	1214													
115	115	342	342	0.0	0	0	Dynamic	3/4	2	1	0					p												
115	115	342	342	0.0	0	0	Spanner	3/4	2	1	0																	
115	115	342	342	0.0	0	0	Spanner	3/4	2	1	0																41	
115	115	342	342	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	1215									285			41	
115	115	685/2	685/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	1216									285			41	
115	115	343	343	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	1217									285			41	
115	115	344	344	0.0	1/2	1/2	Spanner	3/4	2	1	0													285				
115	115	344	344	0.0	1/2	1/2	Spanner	3/4	2	1	0													285		62		
115	115	344	344	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	1218									285		62		
115	115	689/2	689/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	1219											62		
115	115	342	342	0.0	0	0	Spanner	3/4	3	1	0																	
115	115	343	343	0.0	1/4	1/4	Dynamic	3/4	3	1	0					p												
115	115	343	343	0.0	1/4	1/4	Spanner	3/4	3	1	0																42	
115	115	343	343	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	1220									286			42	
115	115	687/2	687/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	1221									286			42	
115	115	344	344	0.0	1/2	1/2	Spanner	3/4	3	1	0													286				
115	115	344	344	0.0	1/2	1/2	Spanner	3/4	3	1	0													286		63		
115	115	344	344	0.0	1/2	1/2	Spanner	3/4	3	1	0													286		63, 64		
115	115	344	344	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	1222									286		63, 64		
115	115	689/2	689/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	1223											63, 64		
115	115	342	342	0.0	0	0	Dynamic	3/4	4	1	0					p												
115	115	342	342	0.0	0	0	Spanner	3/4	4	1	0																	
115	115	342	342	0.0	0	0	Spanner	3/4	4	1	0																43	
115	115	342	342	2.0	0	0	Chord	3/4	4	1	1/2		1/2	1	1224									287			43	
115	115	344	344	0.0	1/2	1/2	Spanner	3/4	4	1	0													287				
115	115	344	344	0.0	1/2	1/2	Spanner	3/4	4	1	0													287		65		
115	115	344	344	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	1225									287		65		
115	115	689/2	689/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	1226											65		
116	116	346	346	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	1227									288				
116	116	347	347	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	1228													
116	116	345	345	0.0	0	0	Spanner	3/4	2	1	0																	
116	116	691/2	691/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	1229									289				
116	116	346	346	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	1230													
116	116	345	345	0.0	0	0	Spanner	3/4	3	1	0																	
116	116	345	345	0.0	0	0	Spanner	3/4	3	1	0																	
116	116	346	346	1.0	1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	1231									290				
116	116	347	347	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	1232													
116	116	345	345	0.0	0	0	Spanner	3/4	4	1	0																	
116	116	345	345	2.0	0	0	Chord	3/4	4	1	1/2		1/2	1	1233									291				
116	116	347	347	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	1234									291				
116	116	695/2	695/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	1235													
117	117	348	348	0.0	0	0	StaffText	3/4	1	1	0							"<font size=""9.7197""/><font face=""Times New Roman""/><i>cresc.</i>"										
117	117	348	348	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	1236													
117	117	697/2	697/2	0.0	1/8	1/8	StaffText	3/4	2	1	0							"<font size=""9.7197""/><font face=""Times New Roman""/><i>cresc.</i>"										
117	117	697/2	697/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	1237									292				
117	117	349	349	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	1238													
117	117	348	348	0.0	0	0	StaffText	3/4	3	1	0							"<font size=""9.7197""/><font face=""Times New Roman""/><i>cresc.</i>"										
117	117	348	348	3.0	0	0	Chord	3/4	3	1	3/4		1/2	3/2	1239													
117	117	348	348	0.0	0	0	StaffText	3/4	4	1	0							"<font size=""9.7197""/><font face=""Times New Roman""/><i>cresc.</i>"										
117	117	348	348	2.0	0	0	Chord	3/4	4	1	1/2		1/2	1	1240													
117	117	350	350	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	1241													
117	117	701/2	701/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	1242													
118	118	352	352	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	1243									293				
118	118	353	353	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	1244													
118	118	703/2	703/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	1245									294				
118	118	352	352	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	1246													
118	118	352	352	1.0	1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	1247									295				
118	118	353	353	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	1248													
118	118	351	351	2.0	0	0	Chord	3/4	4	1	1/2		1/2	1	1249									296				
118	118	353	353	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	1250									296				
118	118	707/2	707/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	1251													
119	119	354	354	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	1252													
119	119	709/2	709/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	1253									297				
119	119	355	355	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	1254									297				
119	119	356	356	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	1255									297				
119	119	713/2	713/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	1256													
119	119	354	354	2.0	0	0	Chord	3/4	3	1	1/2		1/2	1	1257									298				
119	119	356	356	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	1258									298				
119	119	713/2	713/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	1259													
119	119	354	354	2.0	0	0	Chord	3/4	4	1	1/2		1/2	1	1260									299				
119	119	356	356	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	1261									299				
119	119	713/2	713/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	1262													
120	120	358	358	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	1263									300				
120	120	359	359	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	1264													
120	120	715/2	715/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	1265									301				
120	120	358	358	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	1266													
120	120	358	358	1.0	1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	1267									302				
120	120	359	359	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	1268													
120	120	357	357	2.0	0	0	Chord	3/4	4	1	1/2		1/2	1	1269									303				
120	120	359	359	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	1270									303				
120	120	719/2	719/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	1271													
121	121	360	360	0.0	0	0	Dynamic	3/4	1	1	0					rf												
121	121	360	360	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	1272													
121	121	362	362	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	1273													
121	121	721/2	721/2	0.0	1/8	1/8	Dynamic	3/4	2	1	0					rf												
121	121	721/2	721/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	1274									304				
121	121	361	361	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	1275													
121	121	361	361	1.5	1/4	1/4	Chord	3/4	2	2	3/8		1/4	3/2	1276									305				
121	121	725/2	725/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	1277													
121	121	360	360	0.0	0	0	Dynamic	3/4	3	1	0					rf												
121	121	360	360	2.0	0	0	Chord	3/4	3	1	1/2		1/2	1	1278													
121	121	362	362	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	1279													
121	121	360	360	0.0	0	0	Dynamic	3/4	4	1	0					rf												
121	121	360	360	2.0	0	0	Chord	3/4	4	1	1/2		1/2	1	1280									306				
121	121	362	362	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	1281									306				
121	121	725/2	725/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	1282													
122	122	363	363	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	1283									307				
122	122	729/2	729/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	1284									307				
122	122	365	365	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	1285									307				
122	122	731/2	731/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	1286													
122	122	727/2	727/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	1287									308				
122	122	364	364	0.0	1/4	1/4	Dynamic	3/4	2	1	0					f												
122	122	364	364	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	1288													
122	122	363	363	1.5	0	0	Chord	3/4	3	1	3/8		1/4	3/2	1289									309				
122	122	729/2	729/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	1290									309				
122	122	365	365	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	1291									309				
122	122	731/2	731/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	1292													
122	122	363	363	2.0	0	0	Chord	3/4	4	1	1/2		1/2	1	1293									310				
122	122	365	365	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	1294									310				
122	122	731/2	731/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	1295													
123	123	366	366	0.0	0	0	Dynamic	3/4	1	1	0					f												
123	123	366	366	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	1296		articStaccatoAbove											
123	123	367	367	0.0	1/4	1/4	Dynamic	3/4	1	1	0					sf												
123	123	367	367	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	1297													
123	123	368	368	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	1298													
123	123	366	366	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	1299		articStaccatoBelow											
123	123	367	367	0.0	1/4	1/4	Dynamic	3/4	2	1	0					sf												
123	123	367	367	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	1300													
123	123	368	368	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	1301													
123	123	366	366	0.0	0	0	Dynamic	3/4	3	1	0					f												
123	123	366	366	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	1302		articStaccatoAbove											
123	123	367	367	0.0	1/4	1/4	Dynamic	3/4	3	1	0					sf												
123	123	367	367	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	1303													
123	123	368	368	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	1304													
123	123	366	366	0.0	0	0	Dynamic	3/4	4	1	0					f												
123	123	366	366	1.0	0	0	Chord	3/4	4	1	1/4		1/4	1	1305		articStaccatoBelow											
123	123	367	367	0.0	1/4	1/4	Dynamic	3/4	4	1	0					sf												
123	123	367	367	0.5	1/4	1/4	Chord	3/4	4	1	1/8		1/8	1	1306													
123	123	368	368	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	1307													
124	124	369	369	0.0	0	0	Dynamic	3/4	1	1	0					f												
124	124	369	369	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	1308													
124	124	741/2	741/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	1309									311				
124	124	371	371	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	1310									311				
124	124	743/2	743/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	1311													
124	124	369	369	0.0	0	0	Dynamic	3/4	2	1	0					f												
124	124	369	369	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	1312													
124	124	370	370	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	1313													
124	124	371	371	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	1314													
124	124	369	369	0.0	0	0	Dynamic	3/4	3	1	0					f												
124	124	369	369	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	1315									312				
124	124	739/2	739/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	1316									312				
124	124	370	370	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	1317													
124	124	371	371	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	1318													
124	124	369	369	0.0	0	0	Dynamic	3/4	4	1	0					f												
124	124	369	369	0.5	0	0	Chord	3/4	4	1	1/8		1/8	1	1319									313				
124	124	739/2	739/2	0.5	1/8	1/8	Chord	3/4	4	1	1/8		1/8	1	1320									313				
124	124	370	370	0.5	1/4	1/4	Chord	3/4	4	1	1/8		1/8	1	1321													
124	124	371	371	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	1322													
125	125	372	372	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	1323									314				
125	125	745/2	745/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	1324									314				
125	125	373	373	0.0	1/4	1/4	Dynamic	3/4	1	1	0					sf												
125	125	373	373	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	1325													
125	125	747/2	747/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	1326									315				
125	125	374	374	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	1327									315				
125	125	749/2	749/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	1328													
125	125	745/2	745/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	1329									316				
125	125	373	373	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	1330													
125	125	374	374	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	1331									317				
125	125	749/2	749/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	1332													
125	125	747/2	747/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	1333									318				
125	125	374	374	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	1334													
125	125	373	373	0.0	1/4	1/4	Dynamic	3/4	4	1	0					sf												
125	125	373	373	1.0	1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	1335													
126	126	375	375	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	1336									319				
126	126	751/2	751/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	1337									319				
126	126	376	376	0.0	1/4	1/4	Dynamic	3/4	1	1	0					sf												
126	126	376	376	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	1338													
126	126	753/2	753/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	1339									320				
126	126	377	377	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	1340									320				
126	126	755/2	755/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	1341													
126	126	751/2	751/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	1342									321				
126	126	376	376	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	1343													
126	126	377	377	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	1344									322				
126	126	755/2	755/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	1345													
