mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	Trill:trill
77	76	271	271	0.5		0	0	Chord	4/4	4	1	1/8		1/8	1	1016										
78	77	275	275	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	1017										
78	77	276	276	0.25		1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	1018							153			
78	77	1105/4	1105/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	1019							153			
78	77	553/2	553/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	1020							153			
78	77	1107/4	1107/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	1021							153			
78	77	277	277	0.25		1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	1022							153			
78	77	1109/4	1109/4	0.25		9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	1023							153			
78	77	555/2	555/2	0.25		5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	1024							153			
78	77	1111/4	1111/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	1025										
78	77	278	278	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	1026		articStaccatoAbove								
78	77	557/2	557/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	1027		articStaccatoAbove								
78	77	275	275	0.0		0	0	Dynamic	4/4	2	1	0					f									
78	77	275	275	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	1028										
78	77	276	276	0.0		1/4	1/4	Dynamic	4/4	2	1	0					p									
78	77	275	275	0.0		0	0	Dynamic	4/4	3	1	0					f									
78	77	275	275	0.5		0	0	Chord	4/4	3	1	1/8		1/8	1	1029										
78	77	275	275	0.0		0	0	Dynamic	4/4	4	1	0					f									
78	77	275	275	0.0		0	0	Dynamic	4/4	4	1	0					f									
78	77	275	275	0.5		0	0	Chord	4/4	4	1	1/8		1/8	1	1030										
79	78	279	279	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	1031							154			
79	78	280	280	3.0		1/4	1/4	Chord	4/4	1	1	3/4		1/2	3/2	1032										
79	78	279	279	0.0		0	0	Dynamic	4/4	2	1	0					p									
79	78	279	279	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	1033										
79	78	280	280	0.0		1/4	1/4	Dynamic	4/4	3	1	0					p									
79	78	280	280	0.25		1/4	1/4	Chord	4/4	3	1	1/16		1/16	1	1034							155			
79	78	1121/4	1121/4	0.25		5/16	5/16	Chord	4/4	3	1	1/16		1/16	1	1035							155			
79	78	561/2	561/2	0.25		3/8	3/8	Chord	4/4	3	1	1/16		1/16	1	1036							155			
79	78	1123/4	1123/4	0.25		7/16	7/16	Chord	4/4	3	1	1/16		1/16	1	1037							155			
79	78	281	281	0.25		1/2	1/2	Chord	4/4	3	1	1/16		1/16	1	1038							155			
79	78	1125/4	1125/4	0.25		9/16	9/16	Chord	4/4	3	1	1/16		1/16	1	1039							155			
79	78	563/2	563/2	0.25		5/8	5/8	Chord	4/4	3	1	1/16		1/16	1	1040							155			
79	78	1127/4	1127/4	0.25		11/16	11/16	Chord	4/4	3	1	1/16		1/16	1	1041										
79	78	282	282	0.5		3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	1042		articStaccatoAbove								
79	78	565/2	565/2	0.5		7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	1043		articStaccatoAbove								
79	78	279	279	0.0		0	0	Dynamic	4/4	4	1	0					p									
79	78	279	279	0.5		0	0	Chord	4/4	4	1	1/8		1/8	1	1044										
80	79	283	283	3.0		0	0	Chord	4/4	1	1	3/4		1/2	3/2	1045										
80	79	286	286	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	1046							156			
80	79	286	286	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	1047							157			
80	79	573/2	573/2	0.25		7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	1048							157			
80	79	1147/4	1147/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	1049										
80	79	283	283	1.0		0	0	Chord	4/4	3	1	1/4		1/4	1	1050							158			
80	79	284	284	2.0		1/4	1/4	Chord	4/4	3	1	1/2		1/2	1	1051										
80	79	286	286	1.0		3/4	3/4	Chord	4/4	3	1	1/4		1/4	1	1052							159			
80	79	284	284	0.25		1/4	1/4	Chord	4/4	4	1	1/16		1/16	1	1053							160			
80	79	1137/4	1137/4	0.25		5/16	5/16	Chord	4/4	4	1	1/16		1/16	1	1054							160			
80	79	569/2	569/2	0.25		3/8	3/8	Chord	4/4	4	1	1/16		1/16	1	1055							160			
80	79	1139/4	1139/4	0.25		7/16	7/16	Chord	4/4	4	1	1/16		1/16	1	1056							160			
80	79	285	285	0.25		1/2	1/2	Chord	4/4	4	1	1/16		1/16	1	1057							160			
80	79	1141/4	1141/4	0.25		9/16	9/16	Chord	4/4	4	1	1/16		1/16	1	1058							160			
80	79	571/2	571/2	0.25		5/8	5/8	Chord	4/4	4	1	1/16		1/16	1	1059							160			
80	79	1143/4	1143/4	0.25		11/16	11/16	Chord	4/4	4	1	1/16		1/16	1	1060										
80	79	286	286	0.25		3/4	3/4	Chord	4/4	4	1	1/16		1/16	1	1061							161			
80	79	1145/4	1145/4	0.25		13/16	13/16	Chord	4/4	4	1	1/16		1/16	1	1062							161			
80	79	573/2	573/2	0.25		7/8	7/8	Chord	4/4	4	1	1/16		1/16	1	1063							161			
80	79	1147/4	1147/4	0.25		15/16	15/16	Chord	4/4	4	1	1/16		1/16	1	1064										
81	80	287	287	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	1065		articStaccatoAbove								
81	80	288	288	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	1066										
81	80	289	289	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	1067										
81	80	290	290	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	1068										
81	80	287	287	0.25		0	0	Chord	4/4	2	1	1/16		1/16	1	1069							162			
81	80	1149/4	1149/4	0.25		1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	1070							162			
81	80	575/2	575/2	0.25		1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	1071							162			
81	80	1151/4	1151/4	0.25		3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	1072							162			
81	80	288	288	0.25		1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	1073							162			
81	80	1153/4	1153/4	0.25		5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	1074							162			
81	80	577/2	577/2	0.25		3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	1075							162			
81	80	1155/4	1155/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	1076										
81	80	289	289	0.25		1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	1077							163			
81	80	1157/4	1157/4	0.25		9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	1078							163			
81	80	579/2	579/2	0.25		5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	1079							163			
81	80	1159/4	1159/4	0.25		11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	1080							163			
81	80	290	290	0.25		3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	1081							163			
81	80	1161/4	1161/4	0.25		13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	1082							163			
81	80	581/2	581/2	0.25		7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	1083							163			
81	80	1163/4	1163/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	1084										
81	80	287	287	0.5		0	0	Chord	4/4	3	1	1/8		1/8	1	1085										
81	80	288	288	0.5		1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	1086										
81	80	289	289	0.5		1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	1087										
81	80	290	290	0.5		3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	1088										
81	80	287	287	0.5		0	0	Chord	4/4	4	1	1/8		1/8	1	1089										
81	80	288	288	0.5		1/4	1/4	Chord	4/4	4	1	1/8		1/8	1	1090										
81	80	289	289	0.5		1/2	1/2	Chord	4/4	4	1	1/8		1/8	1	1091										
81	80	290	290	0.5		3/4	3/4	Chord	4/4	4	1	1/8		1/8	1	1092										
82	81	291	291	0.0		0	0	Dynamic	4/4	1	1	0					f									
82	81	291	291	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	1093										
82	81	291	291	0.0		0	0	Dynamic	4/4	2	1	0					f									
82	81	291	291	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	1094										
82	81	291	291	0.0		0	0	Dynamic	4/4	3	1	0					f									
82	81	291	291	0.5		0	0	Chord	4/4	3	1	1/8		1/8	1	1095										
82	81	292	292	0.25		1/4	1/4	Chord	4/4	3	1	1/16		1/16	1	1096							164			
82	81	1169/4	1169/4	0.25		5/16	5/16	Chord	4/4	3	1	1/16		1/16	1	1097							164			
82	81	585/2	585/2	0.25		3/8	3/8	Chord	4/4	3	1	1/16		1/16	1	1098							164			
82	81	1171/4	1171/4	0.25		7/16	7/16	Chord	4/4	3	1	1/16		1/16	1	1099							164			
82	81	293	293	0.25		1/2	1/2	Chord	4/4	3	1	1/16		1/16	1	1100							164			
82	81	1173/4	1173/4	0.25		9/16	9/16	Chord	4/4	3	1	1/16		1/16	1	1101							164			
82	81	587/2	587/2	0.25		5/8	5/8	Chord	4/4	3	1	1/16		1/16	1	1102							164			
82	81	1175/4	1175/4	0.25		11/16	11/16	Chord	4/4	3	1	1/16		1/16	1	1103										
82	81	294	294	0.5		3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	1104		articStaccatoAbove								
82	81	589/2	589/2	0.5		7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	1105		articStaccatoAbove								
82	81	291	291	0.0		0	0	Dynamic	4/4	4	1	0					f									
82	81	291	291	0.5		0	0	Chord	4/4	4	1	1/8		1/8	1	1106										
82	81	292	292	0.0		1/4	1/4	Dynamic	4/4	4	1	0					p									
83	82	296	296	0.0		1/4	1/4	Dynamic	4/4	1	1	0					p									
83	82	296	296	0.25		1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	1107							165			
83	82	1185/4	1185/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	1108							165			
83	82	593/2	593/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	1109							165			
83	82	1187/4	1187/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	1110							165			
83	82	297	297	0.25		1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	1111							165			
83	82	1189/4	1189/4	0.25		9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	1112							165			
83	82	595/2	595/2	0.25		5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	1113							165			
83	82	1191/4	1191/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	1114										
83	82	298	298	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	1115		articStaccatoAbove								
83	82	597/2	597/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	1116		articStaccatoAbove								
83	82	295	295	1.0		0	0	Chord	4/4	3	1	1/4		1/4	1	1117							166			
83	82	296	296	3.0		1/4	1/4	Chord	4/4	3	1	3/4		1/2	3/2	1118										
84	83	299	299	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	1119							167			
84	83	300	300	3.0		1/4	1/4	Chord	4/4	1	1	3/4		1/2	3/2	1120										
84	83	300	300	0.0		1/4	1/4	Dynamic	4/4	2	1	0					p									
84	83	300	300	0.25		1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	1121							168			
84	83	1201/4	1201/4	0.25		5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	1122							168			
84	83	601/2	601/2	0.25		3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	1123							168			
84	83	1203/4	1203/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	1124							168			
84	83	301	301	0.25		1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	1125							168			
84	83	1205/4	1205/4	0.25		9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	1126							168			
84	83	603/2	603/2	0.25		5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	1127							168			
84	83	1207/4	1207/4	0.25		11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	1128										
84	83	302	302	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	1129		articStaccatoAbove								
84	83	605/2	605/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	1130		articStaccatoAbove								
84	83	299	299	2.0		0	0	Chord	4/4	3	1	1/2		1/2	1	1131										
84	83	301	301	2.0		1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	1132										
85	84	303	303	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	1133							169			
85	84	304	304	3.0		1/4	1/4	Chord	4/4	1	1	3/4		1/2	3/2	1134										
85	84	303	303	2.0		0	0	Chord	4/4	2	1	1/2		1/2	1	1135							170			
85	84	305	305	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	1136							170			
85	84	306	306	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	1137							171			
85	84	303	303	3.0		0	0	Chord	4/4	3	1	3/4		1/2	3/2	1138							172			
85	84	306	306	1.0		3/4	3/4	Chord	4/4	3	1	1/4		1/4	1	1139										
85	84	304	304	0.0		1/4	1/4	Dynamic	4/4	4	1	0					p									
85	84	304	304	0.25		1/4	1/4	Chord	4/4	4	1	1/16		1/16	1	1140							173			
85	84	1217/4	1217/4	0.25		5/16	5/16	Chord	4/4	4	1	1/16		1/16	1	1141							173			
85	84	609/2	609/2	0.25		3/8	3/8	Chord	4/4	4	1	1/16		1/16	1	1142							173			
85	84	1219/4	1219/4	0.25		7/16	7/16	Chord	4/4	4	1	1/16		1/16	1	1143							173			
85	84	305	305	0.25		1/2	1/2	Chord	4/4	4	1	1/16		1/16	1	1144							173			
85	84	1221/4	1221/4	0.25		9/16	9/16	Chord	4/4	4	1	1/16		1/16	1	1145							173			
85	84	611/2	611/2	0.25		5/8	5/8	Chord	4/4	4	1	1/16		1/16	1	1146							173			
85	84	1223/4	1223/4	0.25		11/16	11/16	Chord	4/4	4	1	1/16		1/16	1	1147										
85	84	306	306	0.5		3/4	3/4	Chord	4/4	4	1	1/8		1/8	1	1148		articStaccatoAbove								
85	84	613/2	613/2	0.5		7/8	7/8	Chord	4/4	4	1	1/8		1/8	1	1149		articStaccatoAbove								
86	85	307	307	0.0		0	0	Dynamic	4/4	1	1	0					pp									
86	85	307	307	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	1150							174			
86	85	308	308	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	1151							174			
86	85	309	309	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	1152							174			
86	85	310	310	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	1153							174			
86	85	307	307	0.0		0	0	Dynamic	4/4	2	1	0					pp									
86	85	307	307	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	1154							175			
86	85	308	308	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	1155							175			
86	85	309	309	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	1156							175			
86	85	310	310	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	1157										
86	85	307	307	2.0		0	0	Chord	4/4	3	1	1/2		1/2	1	1158							176			
86	85	309	309	1.0		1/2	1/2	Chord	4/4	3	1	1/4		1/4	1	1159							176			
86	85	310	310	1.0		3/4	3/4	Chord	4/4	3	1	1/4		1/4	1	1160										
86	85	307	307	0.0		0	0	Dynamic	4/4	4	1	0					pp									
86	85	307	307	0.0		0	0	Dynamic	4/4	4	1	0					pp									
86	85	307	307	4.0		0	0	Chord	4/4	4	1	1		1	1	1161										
87	86	311	311	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	1162							174			
87	86	312	312	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	1163							174			
87	86	313	313	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	1164							174			
87	86	314	314	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	1165										
87	86	311	311	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	1166							177			
87	86	312	312	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	1167							177			
87	86	313	313	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	1168							177			
87	86	314	314	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	1169										
87	86	311	311	1.0		0	0	Chord	4/4	3	1	1/4		1/4	1	1170							178			
87	86	312	312	1.0		1/4	1/4	Chord	4/4	3	1	1/4		1/4	1	1171							178			
87	86	313	313	1.0		1/2	1/2	Chord	4/4	3	1	1/4		1/4	1	1172							178			
87	86	314	314	1.0		3/4	3/4	Chord	4/4	3	1	1/4		1/4	1	1173										
87	86	311	311	1.0		0	0	Chord	4/4	4	1	1/4		1/4	1	1174										
87	86	312	312	3.0		1/4	1/4	Chord	4/4	4	1	3/4		1/2	3/2	1175										
88	87	315	315	0.0		0	0	StaffText	4/4	1	1	0							<i>cresc.</i>							
88	87	315	315	4.0		0	0	Chord	4/4	1	1	1		1	1	1176										
88	87	315	315	0.0		0	0	StaffText	4/4	2	1	0							<i>cresc.</i>							
88	87	315	315	4.0		0	0	Chord	4/4	2	1	1		1	1	1177										
88	87	315	315	0.0		0	0	StaffText	4/4	3	1	0							<i>cresc.</i>							
88	87	315	315	4.0		0	0	Chord	4/4	3	1	1		1	1	1178										
88	87	315	315	1.0		0	0	Chord	4/4	4	1	1/4		1/4	1	1179							179			
88	87	316	316	0.0		1/4	1/4	StaffText	4/4	4	1	0							<i>cresc.</i>							
88	87	316	316	0.25		1/4	1/4	Chord	4/4	4	1	1/16		1/16	1	1180							180			
88	87	1265/4	1265/4	0.25		5/16	5/16	Chord	4/4	4	1	1/16		1/16	1	1181							180			
88	87	633/2	633/2	0.25		3/8	3/8	Chord	4/4	4	1	1/16		1/16	1	1182							180			
88	87	1267/4	1267/4	0.25		7/16	7/16	Chord	4/4	4	1	1/16		1/16	1	1183							180			
88	87	317	317	0.25		1/2	1/2	Chord	4/4	4	1	1/16		1/16	1	1184							180			
88	87	1269/4	1269/4	0.25		9/16	9/16	Chord	4/4	4	1	1/16		1/16	1	1185							180			
88	87	635/2	635/2	0.25		5/8	5/8	Chord	4/4	4	1	1/16		1/16	1	1186							180			
88	87	1271/4	1271/4	0.25		11/16	11/16	Chord	4/4	4	1	1/16		1/16	1	1187							180			
88	87	318	318	0.25		3/4	3/4	Chord	4/4	4	1	1/16		1/16	1	1188							180			
88	87	1273/4	1273/4	0.25		13/16	13/16	Chord	4/4	4	1	1/16		1/16	1	1189							180			
88	87	637/2	637/2	0.25		7/8	7/8	Chord	4/4	4	1	1/16		1/16	1	1190							180			
88	87	1275/4	1275/4	0.25		15/16	15/16	Chord	4/4	4	1	1/16		1/16	1	1191										
89	88	319	319	2.0		0	0	Chord	4/4	1	1	1/2		1/2	1	1192										
89	88	321	321	2.0		1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	1193										
89	88	319	319	2.0		0	0	Chord	4/4	2	1	1/2		1/2	1	1194										
89	88	321	321	2.0		1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	1195										
89	88	319	319	2.0		0	0	Chord	4/4	3	1	1/2		1/2	1	1196										
89	88	321	321	2.0		1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	1197										
89	88	319	319	0.25		0	0	Chord	4/4	4	1	1/16		1/16	1	1198							181			
89	88	1277/4	1277/4	0.25		1/16	1/16	Chord	4/4	4	1	1/16		1/16	1	1199							181			
89	88	639/2	639/2	0.25		1/8	1/8	Chord	4/4	4	1	1/16		1/16	1	1200							181			
89	88	1279/4	1279/4	0.25		3/16	3/16	Chord	4/4	4	1	1/16		1/16	1	1201							181			
89	88	320	320	0.25		1/4	1/4	Chord	4/4	4	1	1/16		1/16	1	1202							181			
89	88	1281/4	1281/4	0.25		5/16	5/16	Chord	4/4	4	1	1/16		1/16	1	1203							181			
89	88	641/2	641/2	0.25		3/8	3/8	Chord	4/4	4	1	1/16		1/16	1	1204							181			
89	88	1283/4	1283/4	0.25		7/16	7/16	Chord	4/4	4	1	1/16		1/16	1	1205							181			
89	88	321	321	0.25		1/2	1/2	Chord	4/4	4	1	1/16		1/16	1	1206							181			
89	88	1285/4	1285/4	0.25		9/16	9/16	Chord	4/4	4	1	1/16		1/16	1	1207							181			
89	88	643/2	643/2	0.25		5/8	5/8	Chord	4/4	4	1	1/16		1/16	1	1208							181			
89	88	1287/4	1287/4	0.25		11/16	11/16	Chord	4/4	4	1	1/16		1/16	1	1209							181			
89	88	322	322	0.25		3/4	3/4	Chord	4/4	4	1	1/16		1/16	1	1210							181			
89	88	1289/4	1289/4	0.25		13/16	13/16	Chord	4/4	4	1	1/16		1/16	1	1211							181			
89	88	645/2	645/2	0.25		7/8	7/8	Chord	4/4	4	1	1/16		1/16	1	1212							181			
89	88	1291/4	1291/4	0.25		15/16	15/16	Chord	4/4	4	1	1/16		1/16	1	1213										
90	89	323	323	2.0		0	0	Chord	4/4	1	1	1/2		1/2	1	1214										
90	89	325	325	0.0		1/2	1/2	Dynamic	4/4	1	1	0					f									
90	89	325	325	2.0		1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	1215										
90	89	323	323	0.0		0	0	Dynamic	4/4	2	1	0					f									
90	89	323	323	0.25		0	0	Chord	4/4	2	1	1/16		1/16	1	1216										
90	89	1293/4	1293/4	0.25		1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	1217										
90	89	647/2	647/2	0.25		1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	1218										
90	89	1295/4	1295/4	0.25		3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	1219										
90	89	324	324	0.25		1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	1220										
90	89	1297/4	1297/4	0.25		5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	1221										
90	89	649/2	649/2	0.25		3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	1222										
90	89	1299/4	1299/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	1223										
90	89	325	325	0.0		1/2	1/2	Dynamic	4/4	2	1	0					f									
90	89	325	325	0.25		1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	1224										
90	89	1301/4	1301/4	0.25		9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	1225							182			
90	89	651/2	651/2	0.25		5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	1226							182			
90	89	1303/4	1303/4	0.25		11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	1227							182			
90	89	326	326	0.25		3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	1228							182			
90	89	1305/4	1305/4	0.25		13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	1229							182			
90	89	653/2	653/2	0.25		7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	1230							182			
90	89	1307/4	1307/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	1231										
90	89	323	323	0.0		0	0	Dynamic	4/4	3	1	0					f									
90	89	323	323	0.0		0	0	Dynamic	4/4	3	1	0					f									
90	89	323	323	0.25		0	0	Chord	4/4	3	1	1/16		1/16	1	1232										
90	89	1293/4	1293/4	0.25		1/16	1/16	Chord	4/4	3	1	1/16		1/16	1	1233										
90	89	647/2	647/2	0.25		1/8	1/8	Chord	4/4	3	1	1/16		1/16	1	1234										
90	89	1295/4	1295/4	0.25		3/16	3/16	Chord	4/4	3	1	1/16		1/16	1	1235										
90	89	324	324	0.25		1/4	1/4	Chord	4/4	3	1	1/16		1/16	1	1236										
90	89	1297/4	1297/4	0.25		5/16	5/16	Chord	4/4	3	1	1/16		1/16	1	1237										
90	89	649/2	649/2	0.25		3/8	3/8	Chord	4/4	3	1	1/16		1/16	1	1238										
90	89	1299/4	1299/4	0.25		7/16	7/16	Chord	4/4	3	1	1/16		1/16	1	1239										
90	89	325	325	0.0		1/2	1/2	Dynamic	4/4	3	1	0					f									
90	89	325	325	0.25		1/2	1/2	Chord	4/4	3	1	1/16		1/16	1	1240										
90	89	1301/4	1301/4	0.25		9/16	9/16	Chord	4/4	3	1	1/16		1/16	1	1241							183			
90	89	651/2	651/2	0.25		5/8	5/8	Chord	4/4	3	1	1/16		1/16	1	1242							183			
90	89	1303/4	1303/4	0.25		11/16	11/16	Chord	4/4	3	1	1/16		1/16	1	1243							183			
90	89	326	326	0.25		3/4	3/4	Chord	4/4	3	1	1/16		1/16	1	1244							183			
90	89	1305/4	1305/4	0.25		13/16	13/16	Chord	4/4	3	1	1/16		1/16	1	1245							183			
90	89	653/2	653/2	0.25		7/8	7/8	Chord	4/4	3	1	1/16		1/16	1	1246							183			
90	89	1307/4	1307/4	0.25		15/16	15/16	Chord	4/4	3	1	1/16		1/16	1	1247										
90	89	323	323	0.0		0	0	Dynamic	4/4	4	1	0					f									
90	89	323	323	0.5		0	0	Chord	4/4	4	1	1/8		1/8	1	1248										
90	89	647/2	647/2	0.5		1/8	1/8	Chord	4/4	4	1	1/8		1/8	1	1249										
90	89	324	324	0.5		1/4	1/4	Chord	4/4	4	1	1/8		1/8	1	1250										
90	89	649/2	649/2	0.5		3/8	3/8	Chord	4/4	4	1	1/8		1/8	1	1251										
90	89	325	325	0.0		1/2	1/2	Dynamic	4/4	4	1	0					f									
90	89	325	325	0.5		1/2	1/2	Chord	4/4	4	1	1/8		1/8	1	1252										
90	89	651/2	651/2	0.5		5/8	5/8	Chord	4/4	4	1	1/8		1/8	1	1253										
90	89	326	326	0.5		3/4	3/4	Chord	4/4	4	1	1/8		1/8	1	1254										
90	89	653/2	653/2	0.5		7/8	7/8	Chord	4/4	4	1	1/8		1/8	1	1255										
91	90	327	327	0.0		0	0	Dynamic	4/4	1	1	0					f									
91	90	327	327	2.0		0	0	Chord	4/4	1	1	1/2		1/2	1	1256										
91	90	329	329	0.0		1/2	1/2	Dynamic	4/4	1	1	0					f									
91	90	329	329	2.0		1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	1257										
91	90	327	327	0.0		0	0	Dynamic	4/4	2	1	0					f									
91	90	1309/4	1309/4	0.25		1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	1258							184			
91	90	655/2	655/2	0.25		1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	1259							184			
91	90	1311/4	1311/4	0.25		3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	1260							184			
91	90	328	328	0.25		1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	1261							184			
91	90	1313/4	1313/4	0.25		5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	1262							184			
91	90	657/2	657/2	0.25		3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	1263							184			
91	90	1315/4	1315/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	1264										
91	90	1317/4	1317/4	0.25		9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	1265							185			
91	90	659/2	659/2	0.25		5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	1266							185			
91	90	1319/4	1319/4	0.25		11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	1267							185			
91	90	330	330	0.25		3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	1268							185			
