mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	Ottava:8va
28	26	77	77	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	253				41	
28	26	78	78	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	254					
28	26	76	76	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	255				42	
28	26	77	77	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	256				42	
28	26	78	78	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	257					
29	27	79	79	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	258					
29	27	81	81	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	259				43	
29	27	79	79	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	260				44	
29	27	80	80	2.0		1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	261					
29	27	79	79	2.0		0	0	Chord	3/4	3	1	1/2		1/2	1	262				45	
29	27	81	81	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	263				45	
29	27	79	79	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	264					
30	28	82	82	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	265				43	
30	28	83	83	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	266					
30	28	84	84	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	267				46	
30	28	82	82	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	268				47	
30	28	84	84	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	269					
30	28	82	82	2.0		0	0	Chord	3/4	3	1	1/2		1/2	1	270				45	
30	28	84	84	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	271					
30	28	82	82	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	272					
31	29	85	85	0.0		0	0	StaffText	3/4	1	1	0							decresc.	46	
31	29	85	85	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	273				46	
31	29	86	86	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	274					
31	29	87	87	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	275				48	
31	29	85	85	0.0		0	0	StaffText	3/4	2	1	0							decresc.		
31	29	85	85	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	276				49	
31	29	87	87	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	277				49	
31	29	85	85	0.0		0	0	StaffText	3/4	3	1	0							decresc.		
31	29	85	85	2.0		0	0	Chord	3/4	3	1	1/2		1/2	1	278				50	
31	29	87	87	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	279				50	
31	29	85	85	0.0		0	0	StaffText	3/4	4	1	0							decresc.		
31	29	85	85	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	280					
32	30	88	88	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	281				48	
32	30	89	89	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	282					
32	30	90	90	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	283				51	
32	30	88	88	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	284					
32	30	90	90	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	285				52	
32	30	88	88	2.0		0	0	Chord	3/4	3	1	1/2		1/2	1	286				50	
32	30	90	90	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	287					
32	30	88	88	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	288					
33	31	91	91	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	289				51	
33	31	92	92	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	290					
33	31	93	93	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	291				53	
33	31	91	91	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	292				52	
33	31	92	92	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	293					
33	31	93	93	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	294					
33	31	91	91	2.0		0	0	Chord	3/4	3	1	1/2		1/2	1	295				54	
33	31	93	93	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	296				54	
33	31	91	91	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	297					
33	31	92	92	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	298					
33	31	93	93	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	299					
34	32	94	94	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	300				53	
34	32	95	95	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	301					
34	32	96	96	0.75		1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	302				55	
34	32	387/4	387/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	303					
34	32	94	94	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	304					
34	32	95	95	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	305					
34	32	94	94	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	306					
34	32	94	94	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	307					
35	33	97	97	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	308					
35	33	99	99	0.0		1/2	1/2	Dynamic	3/4	1	1	0					sf				
35	33	99	99	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	309					
35	33	97	97	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	310					
35	33	99	99	0.0		1/2	1/2	Dynamic	3/4	2	1	0					sf				
35	33	99	99	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	311					
35	33	97	97	2.0		0	0	Chord	3/4	3	1	1/2		1/2	1	312					
35	33	99	99	0.0		1/2	1/2	Dynamic	3/4	3	1	0					sf				
35	33	99	99	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	313					
35	33	97	97	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	314		articStaccatoBelow			
35	33	98	98	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	315		articStaccatoBelow			
35	33	99	99	0.0		1/2	1/2	Dynamic	3/4	4	1	0					sf				
35	33	99	99	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	316					
36	34	100	100	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	317					
36	34	102	102	0.0		1/2	1/2	Dynamic	3/4	1	1	0					sf				
36	34	102	102	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	318					
36	34	100	100	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	319					
36	34	102	102	0.0		1/2	1/2	Dynamic	3/4	2	1	0					sf				
36	34	102	102	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	320					
36	34	100	100	2.0		0	0	Chord	3/4	3	1	1/2		1/2	1	321					
36	34	102	102	0.0		1/2	1/2	Dynamic	3/4	3	1	0					sf				
36	34	102	102	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	322					
36	34	100	100	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	323		articStaccatoAbove			
36	34	101	101	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	324		articStaccatoBelow			
36	34	102	102	0.0		1/2	1/2	Dynamic	3/4	4	1	0					sf				
36	34	102	102	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	325					
37	35	103	103	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	326					
37	35	105	105	0.0		1/2	1/2	Dynamic	3/4	1	1	0					sf				
37	35	105	105	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	327				56	
37	35	103	103	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	328					
37	35	105	105	0.0		1/2	1/2	Dynamic	3/4	2	1	0					sf				
37	35	105	105	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	329				57	
37	35	103	103	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	330					
37	35	104	104	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	331				58	
37	35	105	105	0.0		1/2	1/2	Dynamic	3/4	3	1	0					sf			58	
37	35	105	105	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	332				58	
37	35	103	103	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	333					
37	35	104	104	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	334				59	
37	35	105	105	0.0		1/2	1/2	Dynamic	3/4	4	1	0					sf			59	
37	35	105	105	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	335				59	
38	36	106	106	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	336				56	
38	36	107	107	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	337				56	
38	36	108	108	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	338					
38	36	106	106	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	339				57	
38	36	107	107	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	340					
38	36	108	108	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	341				60	
38	36	106	106	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	342				58	
38	36	107	107	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	343					
38	36	108	108	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	344				61	
38	36	106	106	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	345				59	
38	36	107	107	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	346					
38	36	108	108	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	347				62	
39	37	109	109	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	348					
39	37	111	111	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	349				63	
39	37	109	109	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	350				60	
39	37	110	110	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	351					
39	37	111	111	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	352				64	
39	37	109	109	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	353				61	
39	37	110	110	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	354					
39	37	111	111	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	355				65	
39	37	109	109	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	356				62	
39	37	110	110	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	357					
39	37	111	111	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	358				66	
40	38	112	112	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	359				63	
40	38	113	113	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	360				63	
40	38	114	114	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	361					
40	38	112	112	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	362				64	
40	38	113	113	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	363					
40	38	114	114	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	364				67	
40	38	112	112	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	365				65	
40	38	113	113	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	366					
40	38	114	114	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	367				68	
40	38	112	112	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	368				66	
40	38	113	113	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	369					
40	38	114	114	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	370				69	
41	39	115	115	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	371					
41	39	117	117	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	372					
41	39	115	115	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	373				67	
41	39	116	116	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	374					
41	39	117	117	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	375				70	
41	39	115	115	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	376				68	
41	39	116	116	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	377					
41	39	117	117	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	378				71	
41	39	115	115	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	379				69	
41	39	116	116	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	380					
41	39	117	117	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	381				72	
42	40	118	118	0.0		0	0	StaffText	3/4	1	1	0							cresc.		
42	40	118	118	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	382				73	
42	40	119	119	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	383				73	
42	40	120	120	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	384				73	
42	40	118	118	0.0		0	0	StaffText	3/4	2	1	0							cresc.	70	
42	40	118	118	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	385				70	
42	40	119	119	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	386					
42	40	120	120	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	387				74	
42	40	118	118	0.0		0	0	StaffText	3/4	3	1	0							cresc.	71	
42	40	118	118	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	388				71	
42	40	119	119	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	389					
42	40	120	120	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	390				75	
42	40	118	118	0.0		0	0	StaffText	3/4	4	1	0							cresc.	72	
42	40	118	118	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	391				72	
42	40	119	119	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	392					
42	40	120	120	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	393				76	
43	41	121	121	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	394				73	
43	41	122	122	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	395				73	
43	41	123	123	0.0		1/2	1/2	Dynamic	3/4	1	1	0					sf				
43	41	123	123	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	396					
43	41	121	121	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	397				74	
43	41	122	122	0.0		1/4	1/4	Dynamic	3/4	2	1	0					sf				
43	41	122	122	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	398					
43	41	123	123	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	399				77	
43	41	121	121	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	400				75	
43	41	122	122	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	401					
43	41	123	123	0.0		1/2	1/2	Dynamic	3/4	3	1	0					sf				
43	41	123	123	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	402				78	
43	41	121	121	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	403				76	
43	41	122	122	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	404					
43	41	123	123	0.0		1/2	1/2	Dynamic	3/4	4	1	0					sf				
43	41	123	123	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	405				79	
44	42	124	124	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	406				80	
44	42	249/2	249/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	407					
44	42	125	125	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	408		articStaccatoAbove			
44	42	126	126	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	409		articStaccatoAbove			
44	42	124	124	0.5		0	0	Chord	3/4	2	1	1/8		1/8	1	410				77	
44	42	249/2	249/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	411					
44	42	125	125	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	412		articStaccatoBelow			
44	42	126	126	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	413		articStaccatoBelow			
44	42	124	124	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	414				78	
44	42	125	125	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	415					
44	42	126	126	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	416		articStaccatoAbove			
44	42	124	124	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	417				79	
44	42	125	125	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	418					
44	42	126	126	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	419		articStaccatoBelow			
45	43	127	127	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	420		articStaccatoAbove			
45	43	127	127	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	421		articStaccatoBelow			
45	43	129	129	0.0		1/2	1/2	Dynamic	3/4	2	1	0					sf				
45	43	129	129	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	422					
45	43	127	127	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	423		articStaccatoAbove			
45	43	129	129	0.0		1/2	1/2	Dynamic	3/4	3	1	0					sf				
45	43	129	129	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	424				81	
45	43	127	127	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	425		articStaccatoBelow			
45	43	128	128	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	426					
45	43	129	129	0.0		1/2	1/2	Dynamic	3/4	4	1	0					sf				
45	43	129	129	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	427					
46	44	130	130	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	428					
46	44	131	131	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	429					
46	44	132	132	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	430		articStaccatoBelow			
46	44	130	130	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	431				81	
46	44	131	131	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	432					
46	44	132	132	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	433		articStaccatoBelow			
46	44	130	130	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	434					
46	44	131	131	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	435					
46	44	132	132	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	436					
47	45	133	133	0.0		0	0	Dynamic	3/4	1	1	0					sf				
47	45	133	133	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	437				82	
47	45	134	134	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	438					
47	45	133	133	2.0		0	0	Chord	3/4	1	2	1/2		1/2	1	439					
47	45	133	133	0.0		0	0	Dynamic	3/4	2	1	0					sf				
47	45	133	133	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	440				83	
47	45	134	134	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	441					
47	45	133	133	0.0		0	0	Dynamic	3/4	3	1	0					sf				
47	45	133	133	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	442				84	
47	45	134	134	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	443					
47	45	133	133	0.0		0	0	Dynamic	3/4	4	1	0					sf				
47	45	133	133	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	444				85	
47	45	134	134	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	445					
48	46	136	136	0.0		0	0	Dynamic	3/4	1	1	0					sf				
48	46	136	136	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	446				86	
48	46	137	137	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	447					
48	46	136	136	2.0		0	0	Chord	3/4	1	2	1/2		1/2	1	448					
48	46	136	136	0.0		0	0	Dynamic	3/4	2	1	0					sf				
48	46	136	136	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	449				87	
48	46	137	137	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	450					
48	46	136	136	0.0		0	0	Dynamic	3/4	3	1	0					sf				
48	46	136	136	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	451				88	
48	46	137	137	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	452					
48	46	136	136	0.0		0	0	Dynamic	3/4	4	1	0					sf				
48	46	136	136	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	453				89	
48	46	137	137	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	454					
49	47	141	141	0.0		1/2	1/2	Dynamic	3/4	2	1	0					sf				
49	47	141	141	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	455				90	
49	47	141	141	0.0		1/2	1/2	Dynamic	3/4	3	1	0					sf				
49	47	141	141	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	456				91	
49	47	139	139	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	457					
49	47	140	140	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	458					
49	47	141	141	0.0		1/2	1/2	Dynamic	3/4	4	1	0					sf				
49	47	141	141	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	459					
50	48	142	142	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	460				90	
50	48	143	143	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	461					
50	48	144	144	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	462		articStaccatoBelow			
50	48	145	145	0.0		3/4	3/4	Dynamic	3/4	2	1	0					sf				
50	48	142	142	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	463				91	
50	48	143	143	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	464					
50	48	144	144	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	465		articStaccatoAbove			
50	48	142	142	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	466					
50	48	143	143	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	467					
50	48	144	144	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	468					
51	49	145	145	0.0		0	0	Dynamic	3/4	1	1	0					sf				
51	49	145	145	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	469				92	
51	49	293/2	293/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	470				92	
51	49	147	147	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	471				92	
51	49	295/2	295/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	472					
51	49	145	145	1.5		0	0	Chord	3/4	2	1	3/8		1/4	3/2	473				93	
51	49	293/2	293/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	474				93	
51	49	147	147	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	475				93	
51	49	295/2	295/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	476					
51	49	145	145	3.0		0	0	Chord	3/4	2	2	3/4		1/2	3/2	477					
51	49	145	145	0.0		0	0	Dynamic	3/4	3	1	0					sf				
51	49	145	145	1.5		0	0	Chord	3/4	3	1	3/8		1/4	3/2	478				94	
51	49	293/2	293/2	0.5		3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	479				94	
51	49	147	147	0.5		1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	480				94	
51	49	295/2	295/2	0.5		5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	481					
51	49	145	145	0.0		0	0	Dynamic	3/4	4	1	0					sf				
51	49	145	145	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	482					
52	50		148	1.0	1	0	0	Chord	3/4	1	1	1/4		1/4	1	483					
52	50		148	1.0	1	0	0	Chord	3/4	2	1	1/4		1/4	1	484					
52	50		148	1.0	1	0	0	Chord	3/4	3	1	1/4		1/4	1	485					
52	50		148	1.0	1	0	0	Chord	3/4	4	1	1/4		1/4	1	486					
53	50	148	150	1.0	2	0	0	Chord	3/4	1	1	1/4		1/4	1	487					
53	50	148	150	1.0	2	0	0	Chord	3/4	2	1	1/4		1/4	1	488					
53	50	148	150	1.0	2	0	0	Chord	3/4	3	1	1/4		1/4	1	489					
53	50	148	150	1.0	2	0	0	Chord	3/4	4	1	1/4		1/4	1	490					
54	51	151	153	0.0		0	0	Dynamic	3/4	1	1	0					p				
54	51	151	153	0.0		0	0	StaffText	3/4	1	1	0							Trio		
54	51	151	153	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	491					
54	51	454/3	460/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	492					
54	51	455/3	461/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	493					
54	51	152	154	0.3333333333333333		1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	494					
54	51	457/3	463/3	0.3333333333333333		1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	495					
54	51	458/3	464/3	0.3333333333333333		5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	496					
54	51	153	155	0.3333333333333333		1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	497					
54	51	460/3	466/3	0.3333333333333333		7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	498					
54	51	461/3	467/3	0.3333333333333333		2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	499					
54	51	152	154	0.0		1/4	1/4	Dynamic	3/4	2	1	0					p				
54	51	152	154	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	500		articStaccatoAbove			
54	51	153	155	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	501		articStaccatoAbove			
54	51	151	153	0.0		0	0	Dynamic	3/4	3	1	0					p				
54	51	151	153	3.0		0	0	Chord	3/4	3	1	3/4		1/2	3/2	502					
54	51	151	153	0.0		0	0	Dynamic	3/4	4	1	0					p				
54	51	151	153	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	503					
55	52	154	156	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	504					
55	52	463/3	469/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	505					
55	52	464/3	470/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	506					
55	52	155	157	0.3333333333333333		1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	507					
55	52	466/3	472/3	0.3333333333333333		1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	508					
55	52	467/3	473/3	0.3333333333333333		5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	509					
55	52	156	158	0.3333333333333333		1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	510					
55	52	469/3	475/3	0.3333333333333333		7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	511					
55	52	470/3	476/3	0.3333333333333333		2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	512					
55	52	154	156	1.5		0	0	Chord	3/4	2	1	3/8		1/4	3/2	513				95	
55	52	311/2	315/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	514					
55	52	156	158	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	515					
