quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	harmony_layer	label	regex_match	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
186	1.0	47	47	1/2	1/2	4/4	4	1		1	V(64)	dcml	a	VI		V(64)		V			64				M	1	0	1, 0, 4		1	1
187	0.75	47	47	3/4	3/4	4/4	4	1		1	V7(6)	dcml	a	VI		V7(6)		V		7	6				Mm7	1	0	1, 5, 4, -1		1	1
751/4	0.25	47	47	15/16	15/16	4/4	4	1		1	V7	dcml	a	VI		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
188	1.0	48	48	0	0	4/4	4	1		1	I\\	dcml	a	VI		I		I						\\	M	1	0	0, 4, 1		0	0
189	3.0	48	48	1/4	1/4	4/4	4	1		1	I	dcml	a	VI		I		I							M	1	0	0, 4, 1		0	0
192	4.0	49	49	0	0	4/4	4	1		1	V65	dcml	a	VI		V65		V		65					Mm7	1	0	5, 2, -1, 1		1	5
196	1.0	50	50	0	0	4/4	4	1		1	I(4)	dcml	a	VI		I(4)		I			4				M	1	0	0, -1, 1		0	0
197	3.0	50	50	1/4	1/4	4/4	4	1		1	I	dcml	a	VI		I		I							M	1	0	0, 4, 1		0	0
200	2.0	51	51	0	0	4/4	4	1		1	V/V	dcml	a	VI		V/V		V				V			M	1	0	2, 6, 3		2	2
202	2.0	51	51	1/2	1/2	4/4	4	1		1	V7/V	dcml	a	VI		V7/V		V		7		V			Mm7	1	0	2, 6, 3, 0		2	2
204	4.0	52	52	0	0	4/4	4	1		1	V	dcml	a	VI		V		V							M	1	0	1, 5, 2		1	1
208	2.0	53	53	0	0	4/4	4	1		1	V65/IV	dcml	a	VI		V65/IV		V		65		IV			Mm7	1	0	4, 1, -2, 0		0	4
210	2.0	53	53	1/2	1/2	4/4	4	1		1	I6(#5)	dcml	a	VI		I6(#5)		I		6	#5				M	1	0	4, 8, 0		0	4
212	1.0	54	54	0	0	4/4	4	1		1	IV(4)	dcml	a	VI		IV(4)		IV			4				M	1	0	-1, 5, 0		-1	-1
213	3.0	54	54	1/4	1/4	4/4	4	1		1	IV	dcml	a	VI		IV		IV							M	1	0	-1, 3, 0		-1	-1
216	1.5	55	55	0	0	4/4	4	1		1	V7	dcml	a	VI		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
435/2	0.5	55	55	3/8	3/8	4/4	4	1		1	V(64)	dcml	a	VI		V(64)		V			64				M	1	0	1, 0, 4		1	1
218	2.0	55	55	1/2	1/2	4/4	4	1		1	V7	dcml	a	VI		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
220	2.0	56	56	0	0	4/4	4	1		1	V(64)	dcml	a	VI		V(64)		V			64				M	1	0	1, 0, 4		1	1
222	1.5	56	56	1/2	1/2	4/4	4	1		1	V2	dcml	a	VI		V2		V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
447/2	0.5	56	56	7/8	7/8	4/4	4	1		1	V65	dcml	a	VI		V65		V		65					Mm7	1	0	5, 2, -1, 1		1	5
224	1.0	57	57	0	0	4/4	4	1		1	I	dcml	a	VI		I		I							M	1	0	0, 4, 1		0	0
225	1.0	57	57	1/4	1/4	4/4	4	1		1	viio	dcml	a	VI		viio		vii	o						o	1	0	5, 2, -1		5	5
226	1.0	57	57	1/2	1/2	4/4	4	1		1	I6	dcml	a	VI		I6		I		6					M	1	0	4, 1, 0		0	4
227	1.0	57	57	3/4	3/4	4/4	4	1		1	V43	dcml	a	VI		V43		V		43					Mm7	1	0	2, -1, 1, 5		1	2
228	1.0	58	58	0	0	4/4	4	1		1	I6	dcml	a	VI		I6		I		6					M	1	0	4, 1, 0		0	4
229	1.0	58	58	1/4	1/4	4/4	4	1		1	viio6	dcml	a	VI		viio6		vii	o	6					o	1	0	2, -1, 5		5	2
230	1.0	58	58	1/2	1/2	4/4	4	1		1	I	dcml	a	VI		I		I							M	1	0	0, 4, 1		0	0
231	1.0	58	58	3/4	3/4	4/4	4	1		1	V7	dcml	a	VI		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
