quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	harmony_layer	label	alt_label	regex_match	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
495/2	1.0	137	124	1/8	1/8	2/4	4	1		1	IV		dcml	Eb	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
497/2	0.5	137	124	3/8	3/8	2/4	4	1		1	I64		dcml	Eb	I		I64		I		64						M	0	0	1, 0, 4		0	1
249	0.5	138	125	0	0	2/4	4	1		1	vi7		dcml	Eb	I		vi7		vi		7						mm7	0	0	3, 0, 4, 1		3	3
499/2	0.5	138	125	1/8	1/8	2/4	4	1		1	viio		dcml	Eb	I		viio		vii	o							o	0	0	5, 2, -1		5	5
250	0.5	138	125	1/4	1/4	2/4	4	1		1	viio6		dcml	Eb	I		viio6		vii	o	6						o	0	0	2, -1, 5		5	2
501/2	1.0	138	125	3/8	3/8	2/4	4	1		1	I6		dcml	Eb	I		I6		I		6						M	0	0	4, 1, 0		0	4
503/2	1.0	139	126	1/8	1/8	2/4	4	1		1	viio64		dcml	Eb	I		viio64		vii	o	64						o	0	0	-1, 5, 2		5	-1
505/2	0.5	139	126	3/8	3/8	2/4	4	1		1	I6		dcml	Eb	I		I6		I		6						M	0	0	4, 1, 0		0	4
253	0.5	140	127	0	0	2/4	4	1		1	viio64		dcml	Eb	I		viio64		vii	o	64						o	0	0	-1, 5, 2		5	-1
507/2	1.0	140	127	1/8	1/8	2/4	4	1		1	I6		dcml	Eb	I		I6		I		6						M	0	0	4, 1, 0		0	4
509/2	0.5	140	127	3/8	3/8	2/4	4	1		1	viio6		dcml	Eb	I		viio6		vii	o	6						o	0	0	2, -1, 5		5	2
255	0.5	141	128	0	0	2/4	4	1		1	I6		dcml	Eb	I		I6		I		6						M	0	0	4, 1, 0		0	4
511/2	0.5	141	128	1/8	1/8	2/4	4	1		1	viio6		dcml	Eb	I		viio6		vii	o	6						o	0	0	2, -1, 5		5	2
256	0.5	141	128	1/4	1/4	2/4	4	1		1	I		dcml	Eb	I		I		I								M	0	0	0, 4, 1		0	0
513/2	0.5	141	128	3/8	3/8	2/4	4	1		1	I+6		dcml	Eb	I		I+6		I	+	6						+	0	0	4, 8, 0		0	4
257	0.5	142	129	0	0	2/4	4	1		1	IV		dcml	Eb	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
515/2	0.5	142	129	1/8	1/8	2/4	4	1		1	viio		dcml	Eb	I		viio		vii	o							o	0	0	5, 2, -1		5	5
258	0.5	142	129	1/4	1/4	2/4	4	1		1	I6		dcml	Eb	I		I6		I		6						M	0	0	4, 1, 0		0	4
517/2	0.5	142	129	3/8	3/8	2/4	4	1		1	V6		dcml	Eb	I		V6		V		6						M	0	0	5, 2, 1		1	5
259	1.0	143	130	0	0	2/4	4	1		1	I]\\		dcml	Eb	I		I		I					]		\\	M	0	0	0, 4, 1		0	0
260	0.5	144	130	0	1/4	2/4	4	1		1	bVII.vi6(4)		dcml	Eb	bVII		vi6(4)		vi		6	4					m	0	0	2, 4, 3		3	2
521/2	0.5	144	130	1/8	3/8	2/4	4	1		1	vi6		dcml	Eb	bVII		vi6		vi		6						m	0	0	0, 4, 3		3	0
261	2.0	145	131	0	0	2/4	4	1		1	I[I64		dcml	Eb	bVII	I	I64		I		64						M	0	0	1, 0, 4		0	1
263	0.5	146	132	0	0	2/4	4	1		1	ii6		dcml	Eb	bVII		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
527/2	1.0	146	132	1/8	1/8	2/4	4	1		1	I6		dcml	Eb	bVII		I6		I		6						M	0	0	4, 1, 0		0	4
529/2	0.5	146	132	3/8	3/8	2/4	4	1		1	ii6		dcml	Eb	bVII		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
265	1.0	147	133	0	0	2/4	4	1		1	viio6		dcml	Eb	bVII		viio6		vii	o	6						o	0	0	2, -1, 5		5	2
266	2.5	147	133	1/4	1/4	2/4	4	1		1	I6		dcml	Eb	bVII		I6		I		6						M	0	0	4, 1, 0		0	4
537/2	1.0	148	134	3/8	3/8	2/4	4	1		1	V		dcml	Eb	bVII		V		V								M	0	0	1, 5, 2		1	1
539/2	0.5	149	135	1/8	1/8	2/4	4	1		1	IV		dcml	Eb	bVII		IV		IV								M	0	0	-1, 3, 0		-1	-1
270	0.5	149	135	1/4	1/4	2/4	4	1		1	I6		dcml	Eb	bVII		I6		I		6						M	0	0	4, 1, 0		0	4
541/2	1.0	149	135	3/8	3/8	2/4	4	1		1	V		dcml	Eb	bVII		V		V								M	0	0	1, 5, 2		1	1
543/2	1.0	150	136	1/8	1/8	2/4	4	1		1	I		dcml	Eb	bVII		I		I								M	0	0	0, 4, 1		0	0
545/2	1.0	150	136	3/8	3/8	2/4	4	1		1	ii6		dcml	Eb	bVII		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
547/2	0.5	151	137	1/8	1/8	2/4	4	1		1	I6		dcml	Eb	bVII		I6		I		6						M	0	0	4, 1, 0		0	4
274	0.5	151	137	1/4	1/4	2/4	4	1		1	I		dcml	Eb	bVII		I		I								M	0	0	0, 4, 1		0	0
549/2	0.5	151	137	3/8	3/8	2/4	4	1		1	ii		dcml	Eb	bVII		ii		ii								m	0	0	2, -1, 3		2	2
275	0.5	152	138	0	0	2/4	4	1		1	I6]		dcml	Eb	bVII		I6		I		6			]			M	0	0	4, 1, 0		0	4
551/2	0.5	152	138	1/8	1/8	2/4	4	1		1	I.V65		dcml	Eb	I		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
276	0.5	152	138	1/4	1/4	2/4	4	1		1	I[I6		dcml	Eb	I	I	I6		I		6						M	0	0	4, 1, 0		0	4
553/2	0.5	152	138	3/8	3/8	2/4	4	1		1	vii%43		dcml	Eb	I		vii%43		vii	%	43						%7	0	0	-1, 3, 5, 2		5	-1
277	0.5	153	139	0	0	2/4	4	1		1	I6		dcml	Eb	I		I6		I		6						M	0	0	4, 1, 0		0	4
555/2	0.5	153	139	1/8	1/8	2/4	4	1		1	vii%43		dcml	Eb	I		vii%43		vii	%	43						%7	0	0	-1, 3, 5, 2		5	-1
278	1.5	153	139	1/4	1/4	2/4	4	1		1	I6		dcml	Eb	I		I6		I		6						M	0	0	4, 1, 0		0	4
559/2	0.5	154	140	1/8	1/8	2/4	4	1		1	IV		dcml	Eb	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
280	0.5	154	140	1/4	1/4	2/4	4	1		1	vii%7		dcml	Eb	I		vii%7		vii	%	7						%7	0	0	5, 2, -1, 3		5	5
561/2	0.5	154	140	3/8	3/8	2/4	4	1		1	I		dcml	Eb	I		I		I								M	0	0	0, 4, 1		0	0
281	0.5	155	141	0	0	2/4	4	1		1	viio6		dcml	Eb	I		viio6		vii	o	6						o	0	0	2, -1, 5		5	2
563/2	0.5	155	141	1/8	1/8	2/4	4	1		1	viio/IV		dcml	Eb	I		viio/IV		vii	o			IV				o	0	0	4, 1, -2		4	4
282	0.5	155	141	1/4	1/4	2/4	4	1		1	IV		dcml	Eb	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
565/2	0.5	155	141	3/8	3/8	2/4	4	1		1	V7		dcml	Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
		156	142	0	0	2/4	4	1	1	1	I]\\		dcml	Eb	I		I		I					]		\\	M	0	0	0, 4, 1		0	0
283	2.0	157	142	0	0	2/4	4	1	2	1	I]		dcml	Eb	I		I		I					]			M	0	0	0, 4, 1		0	0
285	2.0	158	143	0	0	2/4	4	1		1	I6		dcml	Eb	I		I6		I		6						M	0	0	4, 1, 0		0	4
287	2.0	159	144	0	0	2/4	4	1		1	V2		dcml	Eb	I		V2		V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
289	2.0	160	145	0	0	2/4	4	1		1	V43		dcml	Eb	I		V43		V		43						Mm7	0	0	2, -1, 1, 5		1	2
291	1.0	161	146	0	0	2/4	4	1		1	V6		dcml	Eb	I		V6		V		6						M	0	0	5, 2, 1		1	5
292	1.0	161	146	1/4	1/4	2/4	4	1		1	V2		dcml	Eb	I		V2		V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
293	2.0	162	147	0	0	2/4	4	1		1	I6		dcml	Eb	I		I6		I		6						M	0	0	4, 1, 0		0	4
295	2.0	163	148	0	0	2/4	4	1		1	V2		dcml	Eb	I		V2		V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
297	2.0	164	149	0	0	2/4	4	1		1	V43		dcml	Eb	I		V43		V		43						Mm7	0	0	2, -1, 1, 5		1	2
299	1.0	165	150	0	0	2/4	4	1		1	V6		dcml	Eb	I		V6		V		6						M	0	0	5, 2, 1		1	5
300	3.0	165	150	1/4	1/4	2/4	4	1		1	I64		dcml	Eb	I		I64		I		64						M	0	0	1, 0, 4		0	1
303	2.0	167	152	0	0	2/4	4	1		1	V65		dcml	Eb	I		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
305	1.5	168	153	0	0	2/4	4	1		1	V		dcml	Eb	I		V		V								M	0	0	1, 5, 2		1	1
613/2	0.5	168	153	3/8	3/8	2/4	4	1		1	V2		dcml	Eb	I		V2		V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
307	0.5	169	154	0	0	2/4	4	1		1	I6		dcml	Eb	I		I6		I		6						M	0	0	4, 1, 0		0	4
615/2	0.5	169	154	1/8	1/8	2/4	4	1		1	V43		dcml	Eb	I		V43		V		43						Mm7	0	0	2, -1, 1, 5		1	2
308	1.0	169	154	1/4	1/4	2/4	4	1		1	V65/ii		dcml	Eb	I		V65/ii		V		65		ii				Mm7	0	0	7, 4, 1, 3		3	7
309	1.0	170	155	0	0	2/4	4	1		1	V65/ii		dcml	Eb	I		V65/ii		V		65		ii				Mm7	0	0	7, 4, 1, 3		3	7
310	1.0	170	155	1/4	1/4	2/4	4	1		1	ii		dcml	Eb	I		ii		ii								m	0	0	2, -1, 3		2	2
311	1.0	171	156	0	0	2/4	4	1		1	#vii6/ii		dcml	Eb	I		#vii6/ii		#vii		6		ii				m	0	0	4, 8, 7		7	4
312	1.0	171	156	1/4	1/4	2/4	4	1		1	ii6		dcml	Eb	I		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
313	1.0	172	157	0	0	2/4	4	1		1	V(64)		dcml	Eb	I		V(64)		V			64					M	0	0	1, 0, 4		1	1
314	1.0	172	157	1/4	1/4	2/4	4	1		1	V2		dcml	Eb	I		V2		V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
315	1.0	173	158	0	0	2/4	4	1		1	I6		dcml	Eb	I		I6		I		6						M	0	0	4, 1, 0		0	4
316	1.0	173	158	1/4	1/4	2/4	4	1		1	#viio7/ii		dcml	Eb	I		#viio7/ii		#vii	o	7		ii				o7	0	0	7, 4, 1, -2		7	7
317	1.0	174	159	0	0	2/4	4	1		1	V65/ii		dcml	Eb	I		V65/ii		V		65		ii				Mm7	0	0	7, 4, 1, 3		3	7
318	1.0	174	159	1/4	1/4	2/4	4	1		1	ii		dcml	Eb	I		ii		ii								m	0	0	2, -1, 3		2	2
319	1.0	175	160	0	0	2/4	4	1		1	V65/ii		dcml	Eb	I		V65/ii		V		65		ii				Mm7	0	0	7, 4, 1, 3		3	7
320	1.0	175	160	1/4	1/4	2/4	4	1		1	ii6		dcml	Eb	I		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
321	1.0	176	161	0	0	2/4	4	1		1	V(64)		dcml	Eb	I		V(64)		V			64					M	0	0	1, 0, 4		1	1
322	1.0	176	161	1/4	1/4	2/4	4	1		1	V7		dcml	Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
323	2.0	177	162	0	0	2/4	4	1		1	I\\		dcml	Eb	I		I		I							\\	M	0	0	0, 4, 1		0	0
325	2.0	178	163	0	0	2/4	4	1		1	#viio2/ii		dcml	Eb	I		#viio2/ii		#vii	o	2		ii				o7	0	0	-2, 7, 4, 1		7	-2
327	2.0	179	164	0	0	2/4	4	1		1	I		dcml	Eb	I		I		I								M	0	0	0, 4, 1		0	0
329	2.0	180	165	0	0	2/4	4	1		1	V7		dcml	Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
331	2.0	181	166	0	0	2/4	4	1		1	I		dcml	Eb	I		I		I								M	0	0	0, 4, 1		0	0
333	2.0	182	167	0	0	2/4	4	1		1	#viio2/ii		dcml	Eb	I		#viio2/ii		#vii	o	2		ii				o7	0	0	-2, 7, 4, 1		7	-2
335	2.0	183	168	0	0	2/4	4	1		1	I		dcml	Eb	I		I		I								M	0	0	0, 4, 1		0	0
337	2.0	184	169	0	0	2/4	4	1		1	V7		dcml	Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
339	2.0	185	170	0	0	2/4	4	1		1	I		dcml	Eb	I		I		I								M	0	0	0, 4, 1		0	0
341	2.0	186	171	0	0	2/4	4	1		1	IV		dcml	Eb	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
343	2.0	187	172	0	0	2/4	4	1		1	ii		dcml	Eb	I		ii		ii								m	0	0	2, -1, 3		2	2
345	2.0	188	173	0	0	2/4	4	1		1	V65		dcml	Eb	I		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
347	2.0	189	174	0	0	2/4	4	1		1	V7		dcml	Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
349	2.0	190	175	0	0	2/4	4	1		1	I		dcml	Eb	I		I		I								M	0	0	0, 4, 1		0	0
351	1.0	191	176	0	0	2/4	4	1		1	ii		dcml	Eb	I		ii		ii								m	0	0	2, -1, 3		2	2
352	0.5	191	176	1/4	1/4	2/4	4	1		1	ii6		dcml	Eb	I		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
705/2	0.5	191	176	3/8	3/8	2/4	4	1		1	V7		dcml	Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
353	2.0	192	177	0	0	2/4	4	1		1	I		dcml	Eb	I		I		I								M	0	0	0, 4, 1		0	0
355	2.0	193	178	0	0	2/4	4	1		1	I		dcml	Eb	I		I		I								M	0	0	0, 4, 1		0	0
357	2.0	194	179	0	0	2/4	4	1		1	IV		dcml	Eb	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
359	2.0	195	180	0	0	2/4	4	1		1	ii		dcml	Eb	I		ii		ii								m	0	0	2, -1, 3		2	2
361	2.0	196	181	0	0	2/4	4	1		1	V65		dcml	Eb	I		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
363	2.0	197	182	0	0	2/4	4	1		1	V7		dcml	Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
365	2.0	198	183	0	0	2/4	4	1		1	I		dcml	Eb	I		I		I								M	0	0	0, 4, 1		0	0
367	2.0	199	184	0	0	2/4	4	1		1	V7		dcml	Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
369	4.0	200	185	0	0	2/4	4	1		1	I\\		dcml	Eb	I		I		I							\\	M	0	0	0, 4, 1		0	0
373	2.0	202	187	0	0	2/4	4	1		1	vi		dcml	Eb	I		vi		vi								m	0	0	3, 0, 4		3	3
375	2.0	203	188	0	0	2/4	4	1		1	V7		dcml	Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
377	3.0	204	189	0	0	2/4	4	1		1	ii		dcml	Eb	I		ii		ii								m	0	0	2, -1, 3		2	2
380	1.0	205	190	1/4	1/4	2/4	4	1		1	V7		dcml	Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
381	1.25	206	191	0	0	2/4	4	1		1	I		dcml	Eb	I		I		I								M	0	0	0, 4, 1		0	0
1529/4	0.5	206	191	5/16	5/16	2/4	4	1		1	V6		dcml	Eb	I		V6		V		6						M	0	0	5, 2, 1		1	5
1531/4	0.25	206	191	7/16	7/16	2/4	4	1		1	#viio/ii		dcml	Eb	I		#viio/ii		#vii	o			ii				o	0	0	7, 4, 1		7	7
383	0.5	207	192	0	0	2/4	4	1		1	ii		dcml	Eb	I		ii		ii								m	0	0	2, -1, 3		2	2
767/2	0.25	207	192	1/8	1/8	2/4	4	1		1	ii6		dcml	Eb	I		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
1535/4	0.25	207	192	3/16	3/16	2/4	4	1		1	V6/V		dcml	Eb	I		V6/V		V		6		V				M	0	0	6, 3, 2		2	6
384	1.0	207	192	1/4	1/4	2/4	4	1		1	V7		dcml	Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
385	2.0	208	193	0	0	2/4	4	1		1	I		dcml	Eb	I		I		I								M	0	0	0, 4, 1		0	0
387	2.0	209	194	0	0	2/4	4	1		1	V		dcml	Eb	I		V		V								M	0	0	1, 5, 2		1	1
389	1.0	210	195	0	0	2/4	4	1		1	I\\		dcml	Eb	I		I		I							\\	M	0	0	0, 4, 1		0	0
