quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
314	1.0	111	110	1/2	1/2	4/4	4	1		VI	A	I		VI	VI							M	0	0	3, 7, 4		3	3
315	1.0	111	110	3/4	3/4	4/4	4	1		vi	A	I		vi	vi							m	0	0	3, 0, 4		3	3
316	0.75	112	111	0	0	4/4	4	1		V(4)/V	A	I		V(4)/V	V			4	V			M	0	0	2, 1, 3		2	2
1267/4	0.25	112	111	3/16	3/16	4/4	4	1		V/V	A	I		V/V	V				V			M	0	0	2, 6, 3		2	2
317	1.0	112	111	1/4	1/4	4/4	4	1		V43	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
318	0.5	112	111	1/2	1/2	4/4	4	1		V[V7	A	I	V	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
637/2	1.0	112	111	5/8	5/8	4/4	4	1		I64	A	I	V	I64	I		64					M	0	0	1, 0, 4		0	1
639/2	1.0	112	111	7/8	7/8	4/4	4	1		V7	A	I	V	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
641/2	0.5	113	112	1/8	1/8	4/4	4	1		I64	A	I	V	I64	I		64					M	0	0	1, 0, 4		0	1
321	1.0	113	112	1/4	1/4	4/4	4	1		V43/V	A	I	V	V43/V	V		43		V			Mm7	0	0	3, 0, 2, 6		2	3
322	1.0	113	112	1/2	1/2	4/4	4	1		V]	A	I	V	V	V							M	0	0	1, 5, 2		1	1
323	1.0	113	112	3/4	3/4	4/4	4	1		V6/V	A	I		V6/V	V		6		V			M	0	0	6, 3, 2		2	6
324	4.0	114	113	0	0	4/4	4	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
328	1.0	115	114	0	0	4/4	4	1		vi	A	I		vi	vi							m	0	0	3, 0, 4		3	3
329	1.0	115	114	1/4	1/4	4/4	4	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
330	2.0	115	114	1/2	1/2	4/4	4	1		IV	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
332	1.0	116	115	0	0	4/4	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
333	1.0	116	115	1/4	1/4	4/4	4	1		V/V	A	I		V/V	V				V			M	0	0	2, 6, 3		2	2
334	2.0	116	115	1/2	1/2	4/4	4	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
336	1.0	117	116	0	0	4/4	4	1		ii6	A	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
337	1.0	117	116	1/4	1/4	4/4	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
338	2.0	117	116	1/2	1/2	4/4	4	1		vii	A	I		vii	vii							m	0	0	5, 2, 6		5	5
340	1.0	118	117	0	0	4/4	4	1		IV6	A	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
341	1.0	118	117	1/4	1/4	4/4	4	1		V6	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
342	2.0	118	117	1/2	1/2	4/4	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
344	1.0	119	118	0	0	4/4	4	1		V65	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
345	1.0	119	118	1/4	1/4	4/4	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
346	1.0	119	118	1/2	1/2	4/4	4	1		V65	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
347	1.0	119	118	3/4	3/4	4/4	4	1		V43	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
348	1.0	120	119	0	0	4/4	4	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
349	1.0	120	119	1/4	1/4	4/4	4	1		V2	A	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
350	1.0	120	119	1/2	1/2	4/4	4	1		V(64)	A	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
351	1.0	120	119	3/4	3/4	4/4	4	1		vi64	A	I		vi64	vi		64					m	0	0	4, 3, 0		3	4
352	1.0	121	120	0	0	4/4	4	1		IV6	A	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
353	1.0	121	120	1/4	1/4	4/4	4	1		V2/IV	A	I		V2/IV	V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
354	1.0	121	120	1/2	1/2	4/4	4	1		IV64	A	I		IV64	IV		64					M	0	0	0, -1, 3		-1	0
355	1.0	121	120	3/4	3/4	4/4	4	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
356	2.0	122	121	0	0	4/4	4	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
358	1.0	122	121	1/2	1/2	4/4	4	1		V6	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
359	1.0	122	121	3/4	3/4	4/4	4	1		IV6	A	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
360	1.0	123	122	0	0	4/4	4	1		IV6	A	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
361	1.0	123	122	1/4	1/4	4/4	4	1		iii43	A	I		iii43	iii		43					mm7	0	0	5, 2, 4, 1		4	5
362	1.0	123	122	1/2	1/2	4/4	4	1		@none	A	I		@none	@none							m	0	0				
363	1.0	123	122	3/4	3/4	4/4	4	1		ii	A	I		ii	ii							m	0	0	2, -1, 3		2	2
364	1.0	124	123	0	0	4/4	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
365	1.0	124	123	1/4	1/4	4/4	4	1		viio	A	I		viio	vii	o						o	0	0	5, 2, -1		5	5
366	1.0	124	123	1/2	1/2	4/4	4	1		V6/vi	A	I		V6/vi	V		6		vi			M	0	0	8, 5, 4		4	8
367	1.0	124	123	3/4	3/4	4/4	4	1		IV	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
368	1.0	125	124	0	0	4/4	4	1		ii	A	I		ii	ii							m	0	0	2, -1, 3		2	2
369	1.0	125	124	1/4	1/4	4/4	4	1		vi43	A	I		vi43	vi		43					mm7	0	0	4, 1, 3, 0		3	4
370	2.0	125	124	1/2	1/2	4/4	4	1		vii2	A	I		vii2	vii		2					mm7	0	0	3, 5, 2, 6		5	3
372	1.0	126	125	0	0	4/4	4	1		IV	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
373	1.0	126	125	1/4	1/4	4/4	4	1		V43	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
374	1.0	126	125	1/2	1/2	4/4	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
375	1.0	126	125	3/4	3/4	4/4	4	1		IV6	A	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
376	1.0	127	126	0	0	4/4	4	1		vii%7	A	I		vii%7	vii	%	7					%7	0	0	5, 2, -1, 3		5	5
377	1.0	127	126	1/4	1/4	4/4	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
378	1.0	127	126	1/2	1/2	4/4	4	1		V43	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
379	1.0	127	126	3/4	3/4	4/4	4	1		iii%7	A	I		iii%7	iii	%	7					%7	0	0	4, 1, -2, 2		4	4
380	1.0	128	127	0	0	4/4	4	1		V(64)	A	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
381	1.0	128	127	1/4	1/4	4/4	4	1		V43	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
382	1.0	128	127	1/2	1/2	4/4	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
383	1.0	128	127	3/4	3/4	4/4	4	1		IV	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
384	1.0	129	128	0	0	4/4	4	1		IV	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
385	1.0	129	128	1/4	1/4	4/4	4	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
386	1.0	129	128	1/2	1/2	4/4	4	1		IV6	A	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
387	1.0	129	128	3/4	3/4	4/4	4	1		V65	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
388	0.5	130	129	0	0	6/8	4	1		V2	A	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
777/2	0.25	130	129	1/8	1/8	6/8	4	1		I(4)	A	I		I(4)	I			4				M	0	0	0, -1, 1		0	0
1555/4	1.25	130	129	3/16	3/16	6/8	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
390	0.5	130	129	1/2	1/2	6/8	4	1		viio6	A	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
781/2	0.5	130	129	5/8	5/8	6/8	4	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
391	3.0	131	130	0	0	6/8	4	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
394	3.0	132	131	0	0	6/8	4	1		V65	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
397	1.5	133	132	0	0	6/8	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
797/2	1.5	133	132	3/8	3/8	6/8	4	1		I\\	A	I		I	I						\\	M	0	0	0, 4, 1		0	0
400	1.5	134	133	0	0	6/8	4	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
803/2	1.5	134	133	3/8	3/8	6/8	4	1		I64	A	I		I64	I		64					M	0	0	1, 0, 4		0	1
403	1.5	135	134	0	0	6/8	4	1		V43/IV	A	I		V43/IV	V		43		IV			Mm7	0	0	1, -2, 0, 4		0	1
809/2	1.0	135	134	3/8	3/8	6/8	4	1		V43/IV	A	I		V43/IV	V		43		IV			Mm7	0	0	1, -2, 0, 4		0	1
811/2	1.5	135	134	5/8	5/8	6/8	4	1		V7/ii	A	I		V7/ii	V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
407	0.5	136	135	1/4	1/4	6/8	4	1		V/V	A	I		V/V	V				V			M	0	0	2, 6, 3		2	2
815/2	1.0	136	135	3/8	3/8	6/8	4	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
817/2	0.5	136	135	5/8	5/8	6/8	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
409	1.5	137	136	0	0	6/8	4	1		viio7/V	A	I		viio7/V	vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
821/2	1.0	137	136	3/8	3/8	6/8	4	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
823/2	0.5	137	136	5/8	5/8	6/8	4	1		V6	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
412	1.5	138	137	0	0	6/8	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
827/2	1.5	138	137	3/8	3/8	6/8	4	1		I64	A	I		I64	I		64					M	0	0	1, 0, 4		0	1
415	3.0	139	138	0	0	6/8	4	1		V2	A	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
418	1.5	140	139	0	0	6/8	4	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
839/2	1.0	140	139	3/8	3/8	6/8	4	1		V65	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
841/2	0.5	140	139	5/8	5/8	6/8	4	1		V43	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
421	3.0	141	140	0	0	6/8	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
424	1.5	142	141	0	0	6/8	4	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
851/2	1.5	142	141	3/8	3/8	6/8	4	1		V65/IV	A	I		V65/IV	V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
427	1.5	143	142	0	0	6/8	4	1		V6/ii	A	I		V6/ii	V		6		ii			M	0	0	7, 4, 3		3	7
857/2	1.5	143	142	3/8	3/8	6/8	4	1		VI65	A	I		VI65	VI		65					Mm7	0	0	7, 4, 1, 3		3	7
430	0.25	144	143	0	0	6/8	4	1		V2/V	A	I		V2/V	V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
1721/4	0.5	144	143	1/16	1/16	6/8	4	1		V65	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
1723/4	0.75	144	143	3/16	3/16	6/8	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
863/2	0.5	144	143	3/8	3/8	6/8	4	1		V7/vi	A	I		V7/vi	V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
432	1.0	144	143	1/2	1/2	6/8	4	1		vi	A	I		vi	vi							m	0	0	3, 0, 4		3	3
433	1.5	145	144	0	0	6/8	4	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
869/2	1.5	145	144	3/8	3/8	6/8	4	1		V65	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
436	2.5	146	145	0	0	6/8	4	1		V7(+9)	A	I		V7(+9)	V		7	+9				Mm7	0	0	1, 5, 2, -1	3	1	1
877/2	0.5	146	145	5/8	5/8	6/8	4	1		V65	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
439	1.5	147	146	0	0	6/8	4	1		I(42)	A	I		I(42)	I			42				M	0	0	2, -1, 1		0	2
881/2	0.5	147	146	3/8	3/8	6/8	4	1		V43	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
441	0.5	147	146	1/2	1/2	6/8	4	1		V(64)	A	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
883/2	0.5	147	146	5/8	5/8	6/8	4	1		V65	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
442	2.0	148	147	0	0	6/8	4	1		V7(+9)/ii	A	I		V7(+9)/ii	V		7	+9	ii			Mm7	0	0	3, 7, 4, 1	-2	3	3
444	0.5	148	147	1/2	1/2	6/8	4	1		V(64)/ii	A	I		V(64)/ii	V			64	ii			M	0	0	3, 2, -1		3	3
889/2	2.5	148	147	5/8	5/8	6/8	4	1		V7/ii	A	I		V7/ii	V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
447	0.5	149	148	1/2	1/2	6/8	4	1		ii64	A	I		ii64	ii		64					m	0	0	3, 2, -1		2	3
895/2	0.5	149	148	5/8	5/8	6/8	4	1		#io2	A	I		#io2	#i	o	2					o7	0	0	-2, 7, 4, 1		7	-2
448	1.25	150	149	0	0	6/8	4	1		V2/IV	A	I		V2/IV	V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
1797/4	0.25	150	149	5/16	5/16	6/8	4	1		IV	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
899/2	1.25	150	149	3/8	3/8	6/8	4	1		IV	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
1803/4	0.25	150	149	11/16	11/16	6/8	4	1		V43/ii	A	I		V43/ii	V		43		ii			Mm7	0	0	4, 1, 3, 7		3	4
451	1.25	151	150	0	0	6/8	4	1		V2(+9)/ii	A	I		V2(+9)/ii	V		2	+9	ii			Mm7	0	0	1, 3, 7, 4	-2	3	1
1809/4	0.25	151	150	5/16	5/16	6/8	4	1		ii	A	I		ii	ii							m	0	0	2, -1, 3		2	2
905/2	1.25	151	150	3/8	3/8	6/8	4	1		ii6	A	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
1815/4	0.75	151	150	11/16	11/16	6/8	4	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
909/2	0.25	152	151	1/8	1/8	6/8	4	1		viio65/V	A	I		viio65/V	vii	o	65		V			o7	0	0	3, 0, -3, 6		6	3
1819/4	0.5	152	151	3/16	3/16	6/8	4	1		viio7	A	I		viio7	vii	o	7					o7	0	0	5, 2, -1, -4		5	5
1821/4	0.25	152	151	5/16	5/16	6/8	4	1		#viio7/vi	A	I		#viio7/vi	#vii	o	7		vi			o7	0	0	8, 5, 2, -1		8	8
911/2	0.5	152	151	3/8	3/8	6/8	4	1		vi	A	I		vi	vi							m	0	0	3, 0, 4		3	3
456	0.25	152	151	1/2	1/2	6/8	4	1		viio7/V	A	I		viio7/V	vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
1825/4	0.25	152	151	9/16	9/16	6/8	4	1		V(4)	A	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
913/2	0.5	152	151	5/8	5/8	6/8	4	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
457	0.5	153	152	0	0	6/8	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
915/2	1.0	153	152	1/8	1/8	6/8	4	1		V65/V	A	I		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
917/2	1.5	153	152	3/8	3/8	6/8	4	1		V65	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
460	2.0	154	153	0	0	6/8	4	1		vii%7	A	I		vii%7	vii	%	7					%7	0	0	5, 2, -1, 3		5	5
462	0.5	154	153	1/2	1/2	6/8	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
925/2	0.5	154	153	5/8	5/8	6/8	4	1		V43	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
463	2.0	155	154	0	0	6/8	4	1		V43	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
465	0.5	155	154	1/2	1/2	6/8	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
931/2	0.25	155	154	5/8	5/8	6/8	4	1		V6	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
1863/4	0.25	155	154	11/16	11/16	6/8	4	1		v6	A	I		v6	v		6					m	0	0	-2, 2, 1		1	-2
466	3.0	156	155	0	0	6/8	4	1		V7(+9)/ii	A	I		V7(+9)/ii	V		7	+9	ii			Mm7	0	0	3, 7, 4, 1	-2	3	3
469	3.0	157	156	0	0	6/8	4	1		V7(+9)/ii	A	I		V7(+9)/ii	V		7	+9	ii			Mm7	0	0	3, 7, 4, 1	-2	3	3
472	1.25	158	157	0	0	6/8	4	1		V43/IV	A	I		V43/IV	V		43		IV			Mm7	0	0	1, -2, 0, 4		0	1
1893/4	1.5	158	157	5/16	5/16	6/8	4	1		IV	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
1899/4	0.25	158	157	11/16	11/16	6/8	4	1		V43/ii	A	I		V43/ii	V		43		ii			Mm7	0	0	4, 1, 3, 7		3	4
475	1.25	159	158	0	0	6/8	4	1		V7/ii	A	I		V7/ii	V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
1905/4	0.25	159	158	5/16	5/16	6/8	4	1		ii64	A	I		ii64	ii		64					m	0	0	3, 2, -1		2	3
953/2	1.25	159	158	3/8	3/8	6/8	4	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
1911/4	1.0	159	158	11/16	11/16	6/8	4	1		I64	A	I		I64	I		64					M	0	0	1, 0, 4		0	1
1915/4	0.5	160	159	3/16	3/16	6/8	4	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
1917/4	0.25	160	159	5/16	5/16	6/8	4	1		V7/vi	A	I		V7/vi	V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
959/2	0.5	160	159	3/8	3/8	6/8	4	1		vi64	A	I		vi64	vi		64					m	0	0	4, 3, 0		3	4
480	0.25	160	159	1/2	1/2	6/8	4	1		V7/V	A	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
1921/4	0.75	160	159	9/16	9/16	6/8	4	1		V64	A	I		V64	V		64					M	0	0	2, 1, 5		1	2
481	3.0	161	160	0	0	6/8	4	1		I\\	A	I		I	I						\\	M	0	0	0, 4, 1		0	0
484	2.0	162	161	0	0	2/4	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
486	2.0	163	162	0	0	2/4	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
488	2.5	164	163	0	0	2/4	4	1		V43	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
981/2	2.5	165	164	1/8	1/8	2/4	4	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
493	0.5	166	165	1/4	1/4	2/4	4	1		IV	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
987/2	0.5	166	165	3/8	3/8	2/4	4	1		V6/ii	A	I		V6/ii	V		6		ii			M	0	0	7, 4, 3		3	7
494	0.5	167	166	0	0	2/4	4	1		ii	A	I		ii	ii							m	0	0	2, -1, 3		2	2
989/2	0.5	167	166	1/8	1/8	2/4	4	1		IV	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
495	1.0	167	166	1/4	1/4	2/4	4	1		V65	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
496	1.0	168	167	0	0	2/4	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
497	1.0	168	167	1/4	1/4	2/4	4	1		V7/V	A	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
498	1.0	169	168	0	0	2/4	4	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
499	1.0	169	168	1/4	1/4	2/4	4	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
500	2.0	170	169	0	0	2/4	4	1		I64	A	I		I64	I		64					M	0	0	1, 0, 4		0	1
502	3.0	171	170	0	0	2/4	4	1		V6	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
505	1.0	172	171	1/4	1/4	2/4	4	1		V43	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
506	3.0	173	172	0	0	2/4	4	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
509	0.5	174	173	1/4	1/4	2/4	4	1		VI	A	I		VI	VI							M	0	0	3, 7, 4		3	3
1019/2	0.5	174	173	3/8	3/8	2/4	4	1		V/ii	A	I		V/ii	V				ii			M	0	0	3, 7, 4		3	3
510	1.0	175	174	0	0	2/4	4	1		ii64	A	I		ii64	ii		64					m	0	0	3, 2, -1		2	3
511	1.0	175	174	1/4	1/4	2/4	4	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
512	1.5	176	175	0	0	2/4	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
1027/2	1.0	176	175	3/8	3/8	2/4	4	1		V43/V	A	I		V43/V	V		43		V			Mm7	0	0	3, 0, 2, 6		2	3
1029/2	1.5	177	176	1/8	1/8	2/4	4	1		V64\\	A	I		V64	V		64				\\	M	0	0	2, 1, 5		1	2
516	4.0	178	177	0	0	2/4	4	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
520	2.0	180	179	0	0	2/4	4	1		I64	A	I		I64	I		64					M	0	0	1, 0, 4		0	1
522	1.0	181	180	0	0	2/4	4	1		V64/IV	A	I		V64/IV	V		64		IV			M	0	0	1, 0, 4		0	1
523	1.0	181	180	1/4	1/4	2/4	4	1		V2/IV	A	I		V2/IV	V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
524	2.0	182	181	0	0	2/4	4	1		V65/IV	A	I		V65/IV	V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
526	1.5	183	182	0	0	2/4	4	1		IV	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
1055/2	0.5	183	182	3/8	3/8	2/4	4	1		V43	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
528	1.0	184	183	0	0	2/4	4	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
529	1.0	184	183	1/4	1/4	2/4	4	1		V65	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
530	1.0	185	184	0	0	2/4	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
531	1.0	185	184	1/4	1/4	2/4	4	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
		186	185	0	0	2/4	4	1	1	I\\	A	I		I	I						\\	M	0	0	0, 4, 1		0	0
		186	185	1/4	1/4	2/4	4	1	1	V	A	I		V	V							M	0	0	1, 5, 2		1	1
532	1.0	187	185	0	0	2/4	4	1	2	I	A	I		I	I							M	0	0	0, 4, 1		0	0
533	2.0	187	185	1/4	1/4	2/4	4	1	2	V65	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
535	3.0	188	186	1/4	1/4	9/4	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
538	1.0	188	186	1	1	9/4	4	1		V65	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
539	2.0	188	186	5/4	5/4	9/4	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
541	1.0	188	186	7/4	7/4	9/4	4	1		V65	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
542	2.0	188	186	2	2	9/4	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
544	3.0	189	187	1/4	1/4	9/4	4	1		V65	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
547	1.0	189	187	1	1	9/4	4	1		#viio7/vii	A	I		#viio7/vii	#vii	o	7		vii			o7	0	0	10, 7, 4, 1		10	10
548	2.0	189	187	5/4	5/4	9/4	4	1		V65	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
550	1.0	189	187	7/4	7/4	9/4	4	1		#viio7/vii	A	I		#viio7/vii	#vii	o	7		vii			o7	0	0	10, 7, 4, 1		10	10
551	2.0	189	187	2	2	9/4	4	1		V65	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
553	3.0	190	188	1/4	1/4	9/4	4	1		V2	A	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
556	1.0	190	188	1	1	9/4	4	1		#viio65/ii	A	I		#viio65/ii	#vii	o	65		ii			o7	0	0	4, 1, -2, 7		7	4
557	2.0	190	188	5/4	5/4	9/4	4	1		V2	A	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
559	1.0	190	188	7/4	7/4	9/4	4	1		#viio65/ii	A	I		#viio65/ii	#vii	o	65		ii			o7	0	0	4, 1, -2, 7		7	4
560	2.0	190	188	2	2	9/4	4	1		V2	A	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
562	3.0	191	189	1/4	1/4	9/4	4	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
565	1.0	191	189	1	1	9/4	4	1		#vio7/iii	A	I		#vio7/iii	#vi	o	7		iii			o7	0	0	7, 4, 1, -2		7	7
566	2.0	191	189	5/4	5/4	9/4	4	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
568	1.0	191	189	7/4	7/4	9/4	4	1		#viio7/iii	A	I		#viio7/iii	#vii	o	7		iii			o7	0	0	9, 6, 3, 0		9	9
569	2.0	191	189	2	2	9/4	4	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
571	8.0	192	190	1/4	1/4	9/4	4	1		V2/IV	A	I		V2/IV	V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
579	9.0	193	191	0	0	9/4	4	1		viio7/V	A	I		viio7/V	vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
588	3.0	194	192	0	0	9/4	4	1		V65	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
591	4.0	194	192	3/4	3/4	9/4	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
595	1.0	194	192	7/4	7/4	9/4	4	1		ii6	A	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
596	1.0	194	192	2	2	9/4	4	1		vii%7/V	A	I		vii%7/V	vii	%	7		V			%7	0	0	6, 3, 0, 4		6	6
597	1.0	195	193	0	0	9/4	4	1		V(64)	A	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
598	1.0	195	193	1/4	1/4	9/4	4	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
