quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
500	4.0	126	126	0	0	4/4	4	1		V43	f	I	I	V43		V		43					Mm7	1	0	2, -1, 1, 5		1	2
504	2.0	127	127	0	0	4/4	4	1		I]	f	I	I	I		I							M	1	0	0, 4, 1		0	0
506	2.0	127	127	1/2	1/2	4/4	4	1		V	f	I		V		V							M	1	0	1, 5, 2		1	1
508	2.0	128	128	0	0	4/4	4	1		I	f	I		I		I							M	1	0	0, 4, 1		0	0
510	2.0	128	128	1/2	1/2	4/4	4	1		V	f	I		V		V							M	1	0	1, 5, 2		1	1
512	10.0	129	129	0	0	4/4	4	1		i.VI	f	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
522	2.0	131	131	1/2	1/2	4/4	4	1		VI6	f	i		VI6		VI		6					M	1	1	0, -3, -4		-4	0
524	4.0	132	132	0	0	4/4	4	1		VI64	f	i		VI64		VI		64					M	1	1	-3, -4, 0		-4	-3
528	4.0	133	133	0	0	4/4	4	1		viio7/V	f	i		viio7/V		vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6
532	3.0	134	134	0	0	4/4	4	1		V7/V	f	i		V7/V		V		7		V			Mm7	1	1	2, 6, 3, 0		2	2
535	3.0	134	134	3/4	3/4	4/4	4	1		V	f	i		V		V							M	1	1	1, 5, 2		1	1
538	4.0	135	135	1/2	1/2	4/4	4	1		#viio65/iv	f	i		#viio65/iv		#vii	o	65		iv			o7	1	1	1, -2, -5, 4		4	1
542	4.0	136	136	1/2	1/2	4/4	4	1		iio65	f	i		iio65		ii	o	65					o7	1	1	-1, -4, -7, 2		2	-1
546	1.0	137	137	1/2	1/2	4/4	4	1		V(64)	f	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
547	1.0	137	137	3/4	3/4	4/4	4	1		V	f	i		V		V							M	1	1	1, 5, 2		1	1
548	2.0	138	138	0	0	4/4	4	1		i[i	f	i	i	i		i							m	1	1	0, -3, 1		0	0
550	2.0	138	138	1/2	1/2	4/4	4	1		V7(+9)/iv	f	i	i	V7(+9)/iv		V		7	+9	iv			Mm7	1	1	0, 4, 1, -2	-5	0	0
