mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset:x	offset:y	label_type	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
76	76	1/2	1/2	3/4	1	1	I6			dcml	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
77	77	0	0	3/4	1	1	vi(11)			dcml	A	I		vi(11)	vi			11				m	0	0	3, 0, 4	2	3	3
77	77	1/4	1/4	3/4	1	1	vi			dcml	A	I		vi	vi							m	0	0	3, 0, 4		3	3
78	78	0	0	3/4	1	1	V64(2)/V			dcml	A	I		V64(2)/V	V		64	2	V			M	0	0	3, 4, 6		2	3
78	78	1/2	1/2	3/4	1	1	V/V	-2.13982	-2.5	dcml	A	I		V/V	V				V			M	0	0	2, 6, 3		2	2
79	79	0	0	3/4	1	1	V(4)			dcml	A	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
79	79	1/4	1/4	3/4	1	1	V			dcml	A	I		V	V							M	0	0	1, 5, 2		1	1
80	80	0	0	3/4	1	1	vi	0	-3.16396	dcml	A	I		vi	vi							m	0	0	3, 0, 4		3	3
80	80	1/2	1/2	3/4	1	1	vi6	0.134827	-2.95	dcml	A	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
81	81	0	0	3/4	1	1	#viio/ii	-1.91457	-2.61262	dcml	A	I		#viio/ii	#vii	o			ii			o	0	0	7, 4, 1		7	7
81	81	1/4	1/4	3/4	1	1	ii(9)			dcml	A	I		ii(9)	ii			9				m	0	0	2, -1, 3	4	2	2
81	81	1/2	1/2	3/4	1	1	ii6			dcml	A	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
82	82	0	0	3/4	1	1	#viio6/V	-1.46408	-2.51262	dcml	A	I		#viio6/V	#vii	o	6		V			o	0	0	10, 7, 13		13	10
82	82	1/4	1/4	3/4	1	1	V6(9)			dcml	A	I		V6(9)	V		6	9				M	0	0	5, 2, 1	3	1	5
82	82	1/2	1/2	3/4	1	1	V64			dcml	A	I		V64	V		64					M	0	0	2, 1, 5		1	2
83	83	0	0	3/4	1	1	viio			dcml	A	I		viio	vii	o						o	0	0	5, 2, -1		5	5
