mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	chord_tones	added_tones	root	bass_note
192	191	0	0	3/8	1	1		ii6				ii6		ii		6						m	-1, 3, 2		2	-1
192	191	1/8	1/8	3/8	1	1		ii				ii		ii								m	2, -1, 3		2	2
192	191	1/4	1/4	3/8	1	1		V7				V7		V		7						Mm7	1, 5, 2, -1		1	1
193	192	0	0	3/8	1	1		I\\				I		I							\\	M	0, 4, 1		0	0
194	193	0	0	3/8	1	1		I				I		I								M	0, 4, 1		0	0
195	194	0	0	3/8	1	1		viio6				viio6		vii	o	6						o	-5, -8, -2		-2	-5
197	196	0	0	3/8	1	1		I6				I6		I		6						M	4, 1, 0		0	4
197	196	1/4	1/4	3/8	1	1		I				I		I								M	0, 4, 1		0	0
198	197	0	0	3/8	1	1		I6				I6		I		6						M	4, 1, 0		0	4
199	198	0	0	3/8	1	1		ii6				ii6		ii		6						m	-1, 3, 2		2	-1
199	198	1/4	1/4	3/8	1	1		V65/V				V65/V		V		65		V				Mm7	6, 3, 0, 2		2	6
200	199	0	0	3/8	1	1		V				V		V								M	1, 5, 2		1	1
200	199	1/4	1/4	3/8	1	1		#viio7/vi				#viio7/vi		#vii	o	7		vi				o7	1, -2, -5, -8		1	1
201	200	0	0	3/8	1	1		vi				vi		vi								m	-4, -7, -3		-4	-4
201	200	1/4	1/4	3/8	1	1		V65/IV				V65/IV		V		65		IV				Mm7	4, 1, -2, 0		0	4
202	201	0	0	3/8	1	1		IV				IV		IV								M	-1, 3, 0		-1	-1
202	201	1/16	1/16	3/8	1	1		V65/V				V65/V		V		65		V				Mm7	6, 3, 0, 2		2	6
202	201	1/8	1/8	3/8	1	1		V(64)				V(64)		V			64					M	1, 0, -3		1	1
202	201	1/4	1/4	3/8	1	1		V7				V7		V		7						Mm7	1, 5, 2, -1		1	1
203	202	0	0	3/8	1	1		I\\				I		I							\\	M	0, 4, 1		0	0
204	203	0	0	3/8	1	1		vi				vi		vi								m	-4, -7, -3		-4	-4
204	203	1/4	1/4	3/8	1	1		I64				I64		I		64						M	1, 0, 4		0	1
205	204	0	0	3/8	1	1		viio6				viio6		vii	o	6						o	-5, -8, -2		-2	-5
206	205	0	0	3/8	1	1		V65				V65		V		65						Mm7	5, 2, -1, 1		1	5
206	205	1/4	1/4	3/8	1	1		V2				V2		V		2						Mm7	-1, 1, 5, 2		1	-1
207	206	0	0	3/8	1	1		I6				I6		I		6						M	4, 1, 0		0	4
208	207	0	0	3/8	1	1		I				I		I								M	0, 4, 1		0	0
208	207	1/8	1/8	3/8	1	1		V2/IV				V2/IV		V		2		IV				Mm7	-2, 0, 4, 1		0	-2
208	207	1/4	1/4	3/8	1	1		IV6				IV6		IV		6						M	3, 0, -1		-1	3
209	208	0	0	3/8	1	1		IV				IV		IV								M	-1, 3, 0		-1	-1
210	209	1/8	1/8	3/8	1	1		ii6				ii6		ii		6						m	-1, 3, 2		2	-1
210	209	1/4	1/4	3/8	1	1		V65/V				V65/V		V		65		V				Mm7	6, 3, 0, 2		2	6
211	210	0	0	3/8	1	1		V				V		V								M	1, 5, 2		1	1
211	210	1/4	1/4	3/8	1	1		#viio7/vi				#viio7/vi		#vii	o	7		vi				o7	1, -2, -5, -8		1	1
212	211	0	0	3/8	1	1		vi				vi		vi								m	-4, -7, -3		-4	-4
212	211	1/8	1/8	3/8	1	1		V2/IV				V2/IV		V		2		IV				Mm7	-2, 0, 4, 1		0	-2
212	211	1/4	1/4	3/8	1	1		V65/IV				V65/IV		V		65		IV				Mm7	4, 1, -2, 0		0	4
213	212	0	0	3/8	1	1		IV				IV		IV								M	-1, 3, 0		-1	-1
214	213	0	0	3/8	1	1		V65/V				V65/V		V		65		V				Mm7	6, 3, 0, 2		2	6
215	214	0	0	3/8	1	1		V(64)				V(64)		V			64					M	1, 0, -3		1	1
216	215	0	0	3/8	1	1		V7				V7		V		7						Mm7	1, 5, 2, -1		1	1
217	216	0	0	3/8	1	1		I\\				I		I							\\	M	0, 4, 1		0	0
217	216	1/4	1/4	3/8	1	1		I64				I64		I		64						M	1, 0, 4		0	1
218	217	0	0	3/8	1	1		I				I		I								M	0, 4, 1		0	0
218	217	1/4	1/4	3/8	1	1		I64				I64		I		64						M	1, 0, 4		0	1
219	218	0	0	3/8	1	1		V43				V43		V		43						Mm7	2, -1, 1, 5		1	2
219	218	1/4	1/4	3/8	1	1		V7				V7		V		7						Mm7	1, 5, 2, -1		1	1
220	219	0	0	3/8	1	1		V43				V43		V		43						Mm7	2, -1, 1, 5		1	2
220	219	1/4	1/4	3/8	1	1		V7				V7		V		7						Mm7	1, 5, 2, -1		1	1
221	220	0	0	3/8	1	1		I				I		I								M	0, 4, 1		0	0
223	222	0	0	3/8	1	1		V65				V65		V		65						Mm7	5, 2, -1, 1		1	5
223	222	1/4	1/4	3/8	1	1		V7				V7		V		7						Mm7	1, 5, 2, -1		1	1
224	223	0	0	3/8	1	1		V7				V7		V		7						Mm7	1, 5, 2, -1		1	1
226	225	0	0	3/8	1	1		V2				V2		V		2						Mm7	-1, 1, 5, 2		1	-1
227	226	0	0	3/8	1	1		V7				V7		V		7						Mm7	1, 5, 2, -1		1	1
229	228	0	0	3/8	1	1		I				I		I								M	0, 4, 1		0	0
230	229	0	0	3/8	1	1		V65				V65		V		65						Mm7	5, 2, -1, 1		1	5
232	231	0	0	3/8	1	1		I				I		I								M	0, 4, 1		0	0
233	232	0	0	3/8	1	1		I64				I64		I		64						M	1, 0, 4		0	1
234	233	0	0	3/8	1	1		V7				V7		V		7						Mm7	1, 5, 2, -1		1	1
236	235	0	0	3/8	1	1		I				I		I								M	0, 4, 1		0	0
237	236	0	0	3/8	1	1		V2/IV				V2/IV		V		2		IV				Mm7	-2, 0, 4, 1		0	-2
238	237	0	0	3/8	1	1		IV6				IV6		IV		6						M	3, 0, -1		-1	3
238	237	1/4	1/4	3/8	1	1		IV				IV		IV								M	-1, 3, 0		-1	-1
239	238	0	0	3/8	1	1		I6				I6		I		6						M	4, 1, 0		0	4
239	238	1/8	1/8	3/8	1	1		ii6				ii6		ii		6						m	-1, 3, 2		2	-1
239	238	1/4	1/4	3/8	1	1		V6/V				V6/V		V		6		V				M	6, 3, 2		2	6
240	239	0	0	3/8	1	1		V7				V7		V		7						Mm7	1, 5, 2, -1		1	1
240	239	1/4	1/4	3/8	1	1		V6				V6		V		6						M	5, 2, 1		1	5
241	240	0	0	3/8	1	1		I\\				I		I							\\	M	0, 4, 1		0	0
241	240	1/4	1/4	3/8	1	1		V2/IV				V2/IV		V		2		IV				Mm7	-2, 0, 4, 1		0	-2
242	241	0	0	3/8	1	1		IV6				IV6		IV		6						M	3, 0, -1		-1	3
242	241	1/4	1/4	3/8	1	1		IV				IV		IV								M	-1, 3, 0		-1	-1
243	242	0	0	3/8	1	1		I6				I6		I		6						M	4, 1, 0		0	4
243	242	1/8	1/8	3/8	1	1		ii6				ii6		ii		6						m	-1, 3, 2		2	-1
243	242	1/4	1/4	3/8	1	1		V6/V				V6/V		V		6		V				M	6, 3, 2		2	6
244	243	0	0	3/8	1	1		V				V		V								M	1, 5, 2		1	1
244	243	1/8	1/8	3/8	1	1		IV6				IV6		IV		6						M	3, 0, -1		-1	3
244	243	1/4	1/4	3/8	1	1		V6				V6		V		6						M	5, 2, 1		1	5
245	244	0	0	3/8	1	1		I				I		I								M	0, 4, 1		0	0
245	244	1/4	1/4	3/8	1	1		V2/IV				V2/IV		V		2		IV				Mm7	-2, 0, 4, 1		0	-2
246	245	0	0	3/8	1	1		IV6				IV6		IV		6						M	3, 0, -1		-1	3
246	245	1/8	1/8	3/8	1	1		V7				V7		V		7						Mm7	1, 5, 2, -1		1	1
246	245	1/4	1/4	3/8	1	1		IV				IV		IV								M	-1, 3, 0		-1	-1
247	246	0	0	3/8	1	1		I6				I6		I		6						M	4, 1, 0		0	4
247	246	1/8	1/8	3/8	1	1		ii6				ii6		ii		6						m	-1, 3, 2		2	-1
247	246	1/4	1/4	3/8	1	1		V6/V				V6/V		V		6		V				M	6, 3, 2		2	6
248	247	0	0	3/8	1	1		V7				V7		V		7						Mm7	1, 5, 2, -1		1	1
248	247	1/8	1/8	3/8	1	1		vi7				vi7		vi		7						mm7	-4, -7, -3, -6		-4	-4
248	247	1/4	1/4	3/8	1	1		V6				V6		V		6						M	5, 2, 1		1	5
249	248	0	0	3/8	1	1		I\\				I		I							\\	M	0, 4, 1		0	0
250	249	0	0	3/8	1	1		V				V		V								M	1, 5, 2		1	1
251	250	0	0	3/8	1	1		I				I		I								M	0, 4, 1		0	0
252	251	0	0	3/8	1	1		V7				V7		V		7						Mm7	1, 5, 2, -1		1	1
253	252	0	0	3/8	1	1		I\\				I		I							\\	M	0, 4, 1		0	0
