mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
111	110	315	1.0	3/4	3/4	4/4	4	1	vi	A	I		vi	vi								m	0	0	3, 0, 4		3	3
112	111	316	0.75	0	0	4/4	4	1	V(4)/V	A	I		V(4)/V	V			4	V				M	0	0	2, 1, 3		2	2
112	111	1267/4	0.25	3/16	3/16	4/4	4	1	V/V	A	I		V/V	V				V				M	0	0	2, 6, 3		2	2
112	111	317	1.0	1/4	1/4	4/4	4	1	V43	A	I		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
112	111	318	2.5	1/2	1/2	4/4	4	1	V7	A	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
113	112	641/2	0.5	1/8	1/8	4/4	4	1	I64	A	I		I64	I		64						M	0	0	1, 0, 4		0	1
113	112	321	1.0	1/4	1/4	4/4	4	1	V43(7)/V	A	I		V43(7)/V	V		43	7	V				Mm7	0	0	3, 0, 2, 6		2	3
113	112	322	1.0	1/2	1/2	4/4	4	1	V	A	I		V	V								M	0	0	1, 5, 2		1	1
113	112	323	1.0	3/4	3/4	4/4	4	1	V6/V	A	I		V6/V	V		6		V				M	0	0	6, 3, 2		2	6
114	113	324	4.0	0	0	4/4	4	1	V	A	I		V	V								M	0	0	1, 5, 2		1	1
115	114	328	1.0	0	0	4/4	4	1	vi	A	I		vi	vi								m	0	0	3, 0, 4		3	3
115	114	329	1.0	1/4	1/4	4/4	4	1	V	A	I		V	V								M	0	0	1, 5, 2		1	1
115	114	330	2.0	1/2	1/2	4/4	4	1	IV	A	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
116	115	332	1.0	0	0	4/4	4	1	I	A	I		I	I								M	0	0	0, 4, 1		0	0
116	115	333	1.0	1/4	1/4	4/4	4	1	V/V	A	I		V/V	V				V				M	0	0	2, 6, 3		2	2
116	115	334	2.0	1/2	1/2	4/4	4	1	I6	A	I		I6	I		6						M	0	0	4, 1, 0		0	4
117	116	336	1.0	0	0	4/4	4	1	ii6	A	I		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
117	116	337	1.0	1/4	1/4	4/4	4	1	I	A	I		I	I								M	0	0	0, 4, 1		0	0
117	116	338	2.0	1/2	1/2	4/4	4	1	vii	A	I		vii	vii								m	0	0	5, 2, 6		5	5
118	117	340	1.0	0	0	4/4	4	1	IV6	A	I		IV6	IV		6						M	0	0	3, 0, -1		-1	3
118	117	341	1.0	1/4	1/4	4/4	4	1	V6	A	I		V6	V		6						M	0	0	5, 2, 1		1	5
118	117	342	2.0	1/2	1/2	4/4	4	1	I	A	I		I	I								M	0	0	0, 4, 1		0	0
119	118	344	1.0	0	0	4/4	4	1	V65	A	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
119	118	345	1.0	1/4	1/4	4/4	4	1	I	A	I		I	I								M	0	0	0, 4, 1		0	0
119	118	346	1.0	1/2	1/2	4/4	4	1	V65	A	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
119	118	347	1.0	3/4	3/4	4/4	4	1	V43	A	I		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
120	119	348	1.0	0	0	4/4	4	1	I6	A	I		I6	I		6						M	0	0	4, 1, 0		0	4
120	119	349	1.0	1/4	1/4	4/4	4	1	V2	A	I		V2	V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
120	119	350	1.0	1/2	1/2	4/4	4	1	V(64)	A	I		V(64)	V			64					M	0	0	1, 0, 4		1	1
120	119	351	1.0	3/4	3/4	4/4	4	1	vi64	A	I		vi64	vi		64						m	0	0	4, 3, 0		3	4
121	120	352	1.0	0	0	4/4	4	1	IV6	A	I		IV6	IV		6						M	0	0	3, 0, -1		-1	3
121	120	353	1.0	1/4	1/4	4/4	4	1	V2/IV	A	I		V2/IV	V		2		IV				Mm7	0	0	-2, 0, 4, 1		0	-2
121	120	354	1.0	1/2	1/2	4/4	4	1	IV64	A	I		IV64	IV		64						M	0	0	0, -1, 3		-1	0
121	120	355	1.0	3/4	3/4	4/4	4	1	V	A	I		V	V								M	0	0	1, 5, 2		1	1
122	121	356	2.0	0	0	4/4	4	1	V	A	I		V	V								M	0	0	1, 5, 2		1	1
122	121	358	1.0	1/2	1/2	4/4	4	1	V6	A	I		V6	V		6						M	0	0	5, 2, 1		1	5
122	121	359	1.0	3/4	3/4	4/4	4	1	IV6	A	I		IV6	IV		6						M	0	0	3, 0, -1		-1	3
123	122	360	1.0	0	0	4/4	4	1	IV6	A	I		IV6	IV		6						M	0	0	3, 0, -1		-1	3
123	122	361	1.0	1/4	1/4	4/4	4	1	iii43	A	I		iii43	iii		43						mm7	0	0	5, 2, 4, 1		4	5
123	122	362	1.0	1/2	1/2	4/4	4	1	@none	A	I		@none	@none								m	0	0				
123	122	363	1.0	3/4	3/4	4/4	4	1	ii	A	I		ii	ii								m	0	0	2, -1, 3		2	2
124	123	364	1.0	0	0	4/4	4	1	I	A	I		I	I								M	0	0	0, 4, 1		0	0
124	123	365	1.0	1/4	1/4	4/4	4	1	viio	A	I		viio	vii	o							o	0	0	5, 2, -1		5	5
124	123	366	1.0	1/2	1/2	4/4	4	1	V6/vi	A	I		V6/vi	V		6		vi				M	0	0	8, 5, 4		4	8
124	123	367	1.0	3/4	3/4	4/4	4	1	IV	A	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
125	124	368	1.0	0	0	4/4	4	1	ii	A	I		ii	ii								m	0	0	2, -1, 3		2	2
125	124	369	1.0	1/4	1/4	4/4	4	1	vi43	A	I		vi43	vi		43						mm7	0	0	4, 1, 3, 0		3	4
125	124	370	2.0	1/2	1/2	4/4	4	1	vii2	A	I		vii2	vii		2						mm7	0	0	3, 5, 2, 6		5	3
126	125	372	1.0	0	0	4/4	4	1	IV	A	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
126	125	373	1.0	1/4	1/4	4/4	4	1	V43	A	I		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
126	125	374	1.0	1/2	1/2	4/4	4	1	I	A	I		I	I								M	0	0	0, 4, 1		0	0
126	125	375	1.0	3/4	3/4	4/4	4	1	IV6	A	I		IV6	IV		6						M	0	0	3, 0, -1		-1	3
127	126	376	1.0	0	0	4/4	4	1	vii%7	A	I		vii%7	vii	%	7						%7	0	0	5, 2, -1, 3		5	5
127	126	377	1.0	1/4	1/4	4/4	4	1	I	A	I		I	I								M	0	0	0, 4, 1		0	0
127	126	378	1.0	1/2	1/2	4/4	4	1	V43	A	I		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
127	126	379	1.0	3/4	3/4	4/4	4	1	iii%7	A	I		iii%7	iii	%	7						%7	0	0	4, 1, -2, 2		4	4
128	127	380	1.0	0	0	4/4	4	1	V(64)	A	I		V(64)	V			64					M	0	0	1, 0, 4		1	1
128	127	381	1.0	1/4	1/4	4/4	4	1	V43	A	I		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
128	127	382	1.0	1/2	1/2	4/4	4	1	I	A	I		I	I								M	0	0	0, 4, 1		0	0
128	127	383	1.0	3/4	3/4	4/4	4	1	IV	A	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
129	128	384	1.0	0	0	4/4	4	1	IV	A	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
129	128	385	1.0	1/4	1/4	4/4	4	1	V	A	I		V	V								M	0	0	1, 5, 2		1	1
129	128	386	1.0	1/2	1/2	4/4	4	1	IV6	A	I		IV6	IV		6						M	0	0	3, 0, -1		-1	3
129	128	387	1.0	3/4	3/4	4/4	4	1	V65	A	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
130	129	388	0.5	0	0	6/8	4	1	V2	A	I		V2	V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
130	129	777/2	0.25	1/8	1/8	6/8	4	1	I(4)	A	I		I(4)	I			4					M	0	0	0, -1, 1		0	0
130	129	1555/4	1.25	3/16	3/16	6/8	4	1	I	A	I		I	I								M	0	0	0, 4, 1		0	0
130	129	390	0.5	1/2	1/2	6/8	4	1	viio6	A	I		viio6	vii	o	6						o	0	0	2, -1, 5		5	2
130	129	781/2	0.5	5/8	5/8	6/8	4	1	I6	A	I		I6	I		6						M	0	0	4, 1, 0		0	4
131	130	391	3.0	0	0	6/8	4	1	V7	A	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
132	131	394	3.0	0	0	6/8	4	1	V65	A	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
133	132	397	1.5	0	0	6/8	4	1	I	A	I		I	I								M	0	0	0, 4, 1		0	0
133	132	797/2	1.5	3/8	3/8	6/8	4	1	I\\	A	I		I	I							\\	M	0	0	0, 4, 1		0	0
134	133	400	1.5	0	0	6/8	4	1	I6	A	I		I6	I		6						M	0	0	4, 1, 0		0	4
134	133	803/2	1.5	3/8	3/8	6/8	4	1	I64	A	I		I64	I		64						M	0	0	1, 0, 4		0	1
135	134	403	1.5	0	0	6/8	4	1	V43/IV	A	I		V43/IV	V		43		IV				Mm7	0	0	1, -2, 0, 4		0	1
135	134	809/2	1.0	3/8	3/8	6/8	4	1	V43/IV	A	I		V43/IV	V		43		IV				Mm7	0	0	1, -2, 0, 4		0	1
135	134	811/2	1.5	5/8	5/8	6/8	4	1	V7/ii	A	I		V7/ii	V		7		ii				Mm7	0	0	3, 7, 4, 1		3	3
136	135	407	0.5	1/4	1/4	6/8	4	1	V/V	A	I		V/V	V				V				M	0	0	2, 6, 3		2	2
136	135	815/2	1.0	3/8	3/8	6/8	4	1	V7	A	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
136	135	817/2	0.5	5/8	5/8	6/8	4	1	I	A	I		I	I								M	0	0	0, 4, 1		0	0
137	136	409	1.5	0	0	6/8	4	1	#viio7/V	A	I		#viio7/V	#vii	o	7		V				o7	0	0	6, 3, 0, -3		6	6
137	136	821/2	1.0	3/8	3/8	6/8	4	1	V	A	I		V	V								M	0	0	1, 5, 2		1	1
137	136	823/2	0.5	5/8	5/8	6/8	4	1	V6	A	I		V6	V		6						M	0	0	5, 2, 1		1	5
138	137	412	1.5	0	0	6/8	4	1	I	A	I		I	I								M	0	0	0, 4, 1		0	0
138	137	827/2	1.5	3/8	3/8	6/8	4	1	I64	A	I		I64	I		64						M	0	0	1, 0, 4		0	1
139	138	415	3.0	0	0	6/8	4	1	V2	A	I		V2	V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
140	139	418	1.5	0	0	6/8	4	1	V	A	I		V	V								M	0	0	1, 5, 2		1	1
140	139	839/2	1.0	3/8	3/8	6/8	4	1	V65	A	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
140	139	841/2	0.5	5/8	5/8	6/8	4	1	V43	A	I		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
141	140	421	3.0	0	0	6/8	4	1	I	A	I		I	I								M	0	0	0, 4, 1		0	0
142	141	424	1.5	0	0	6/8	4	1	I6	A	I		I6	I		6						M	0	0	4, 1, 0		0	4
142	141	851/2	1.5	3/8	3/8	6/8	4	1	V65/IV	A	I		V65/IV	V		65		IV				Mm7	0	0	4, 1, -2, 0		0	4
143	142	427	1.5	0	0	6/8	4	1	V6/ii	A	I		V6/ii	V		6		ii				M	0	0	7, 4, 3		3	7
143	142	857/2	1.5	3/8	3/8	6/8	4	1	VI65	A	I		VI65	VI		65						Mm7	0	0	7, 4, 1, 3		3	7
144	143	430	0.25	0	0	6/8	4	1	V2/V	A	I		V2/V	V		2		V				Mm7	0	0	0, 2, 6, 3		2	0
144	143	1721/4	0.5	1/16	1/16	6/8	4	1	V65	A	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
144	143	1723/4	0.75	3/16	3/16	6/8	4	1	I	A	I		I	I								M	0	0	0, 4, 1		0	0
144	143	863/2	0.5	3/8	3/8	6/8	4	1	V7/vi	A	I		V7/vi	V		7		vi				Mm7	0	0	4, 8, 5, 2		4	4
144	143	432	1.0	1/2	1/2	6/8	4	1	vi	A	I		vi	vi								m	0	0	3, 0, 4		3	3
145	144	433	1.5	0	0	6/8	4	1	V	A	I		V	V								M	0	0	1, 5, 2		1	1
145	144	869/2	1.5	3/8	3/8	6/8	4	1	V65	A	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
146	145	436	2.5	0	0	6/8	4	1	V7(+9)	A	I		V7(+9)	V		7	+9					Mm7	0	0	1, 5, 2, -1	3	1	1
146	145	877/2	0.5	5/8	5/8	6/8	4	1	V65	A	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
147	146	439	1.5	0	0	6/8	4	1	I(42)	A	I		I(42)	I			42					M	0	0	2, -1, 1		0	2
147	146	881/2	0.5	3/8	3/8	6/8	4	1	V43	A	I		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
147	146	441	0.5	1/2	1/2	6/8	4	1	V(64)	A	I		V(64)	V			64					M	0	0	1, 0, 4		1	1
147	146	883/2	0.5	5/8	5/8	6/8	4	1	V65	A	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
148	147	442	2.0	0	0	6/8	4	1	V7(+9)/ii	A	I		V7(+9)/ii	V		7	+9	ii				Mm7	0	0	3, 7, 4, 1	-2	3	3
148	147	444	0.5	1/2	1/2	6/8	4	1	V(64)/ii	A	I		V(64)/ii	V			64	ii				M	0	0	3, 2, -1		3	3
148	147	889/2	2.5	5/8	5/8	6/8	4	1	V7/ii	A	I		V7/ii	V		7		ii				Mm7	0	0	3, 7, 4, 1		3	3
149	148	447	0.5	1/2	1/2	6/8	4	1	ii64	A	I		ii64	ii		64						m	0	0	3, 2, -1		2	3
149	148	895/2	0.5	5/8	5/8	6/8	4	1	#io2	A	I		#io2	#i	o	2						o7	0	0	-2, 7, 4, 1		7	-2
150	149	448	1.25	0	0	6/8	4	1	V2/IV	A	I		V2/IV	V		2		IV				Mm7	0	0	-2, 0, 4, 1		0	-2
150	149	1797/4	0.25	5/16	5/16	6/8	4	1	IV	A	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
150	149	899/2	1.25	3/8	3/8	6/8	4	1	IV	A	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
150	149	1803/4	0.25	11/16	11/16	6/8	4	1	V43/ii	A	I		V43/ii	V		43		ii				Mm7	0	0	4, 1, 3, 7		3	4
151	150	451	1.25	0	0	6/8	4	1	V2(+9)/ii	A	I		V2(+9)/ii	V		2	+9	ii				Mm7	0	0	1, 3, 7, 4	-2	3	1
151	150	1809/4	0.25	5/16	5/16	6/8	4	1	ii	A	I		ii	ii								m	0	0	2, -1, 3		2	2
151	150	905/2	1.25	3/8	3/8	6/8	4	1	ii6	A	I		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
151	150	1815/4	0.75	11/16	11/16	6/8	4	1	I6	A	I		I6	I		6						M	0	0	4, 1, 0		0	4
152	151	909/2	0.25	1/8	1/8	6/8	4	1	#viio65/V	A	I		#viio65/V	#vii	o	65		V				o7	0	0	3, 0, -3, 6		6	3
152	151	1819/4	0.5	3/16	3/16	6/8	4	1	viio7	A	I		viio7	vii	o	7						o7	0	0	5, 2, -1, -4		5	5
152	151	1821/4	0.25	5/16	5/16	6/8	4	1	#viio7/vi	A	I		#viio7/vi	#vii	o	7		vi				o7	0	0	8, 5, 2, -1		8	8
152	151	911/2	0.5	3/8	3/8	6/8	4	1	vi	A	I		vi	vi								m	0	0	3, 0, 4		3	3
152	151	456	0.25	1/2	1/2	6/8	4	1	#viio7/V	A	I		#viio7/V	#vii	o	7		V				o7	0	0	6, 3, 0, -3		6	6
152	151	1825/4	0.25	9/16	9/16	6/8	4	1	V(4)	A	I		V(4)	V			4					M	0	0	1, 0, 2		1	1
152	151	913/2	0.5	5/8	5/8	6/8	4	1	V	A	I		V	V								M	0	0	1, 5, 2		1	1
153	152	457	0.5	0	0	6/8	4	1	I	A	I		I	I								M	0	0	0, 4, 1		0	0
153	152	915/2	1.0	1/8	1/8	6/8	4	1	V65/V	A	I		V65/V	V		65		V				Mm7	0	0	6, 3, 0, 2		2	6
153	152	917/2	1.5	3/8	3/8	6/8	4	1	V65	A	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
154	153	460	2.0	0	0	6/8	4	1	#vii%7	A	I		#vii%7	#vii	%	7						%7	0	0	5, 2, -1, 3		5	5
154	153	462	0.5	1/2	1/2	6/8	4	1	I	A	I		I	I								M	0	0	0, 4, 1		0	0
154	153	925/2	0.5	5/8	5/8	6/8	4	1	V43	A	I		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
155	154	463	2.0	0	0	6/8	4	1	V43	A	I		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
155	154	465	0.5	1/2	1/2	6/8	4	1	I	A	I		I	I								M	0	0	0, 4, 1		0	0
155	154	931/2	0.25	5/8	5/8	6/8	4	1	V6	A	I		V6	V		6						M	0	0	5, 2, 1		1	5
155	154	1863/4	0.25	11/16	11/16	6/8	4	1	v6	A	I		v6	v		6						m	0	0	-2, 2, 1		1	-2
156	155	466	3.0	0	0	6/8	4	1	V7(+9)/ii	A	I		V7(+9)/ii	V		7	+9	ii				Mm7	0	0	3, 7, 4, 1	-2	3	3
157	156	469	3.0	0	0	6/8	4	1	V7(+9)/ii	A	I		V7(+9)/ii	V		7	+9	ii				Mm7	0	0	3, 7, 4, 1	-2	3	3
158	157	472	1.25	0	0	6/8	4	1	V43/IV	A	I		V43/IV	V		43		IV				Mm7	0	0	1, -2, 0, 4		0	1
158	157	1893/4	1.5	5/16	5/16	6/8	4	1	IV	A	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
158	157	1899/4	0.25	11/16	11/16	6/8	4	1	V43/ii	A	I		V43/ii	V		43		ii				Mm7	0	0	4, 1, 3, 7		3	4
159	158	475	1.25	0	0	6/8	4	1	V7/ii	A	I		V7/ii	V		7		ii				Mm7	0	0	3, 7, 4, 1		3	3
159	158	1905/4	0.25	5/16	5/16	6/8	4	1	ii64	A	I		ii64	ii		64						m	0	0	3, 2, -1		2	3
159	158	953/2	1.25	3/8	3/8	6/8	4	1	V7	A	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
159	158	1911/4	1.0	11/16	11/16	6/8	4	1	I64	A	I		I64	I		64						M	0	0	1, 0, 4		0	1
160	159	1915/4	0.5	3/16	3/16	6/8	4	1	V7	A	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
160	159	1917/4	0.25	5/16	5/16	6/8	4	1	V7/vi	A	I		V7/vi	V		7		vi				Mm7	0	0	4, 8, 5, 2		4	4
160	159	959/2	0.5	3/8	3/8	6/8	4	1	vi64	A	I		vi64	vi		64						m	0	0	4, 3, 0		3	4
160	159	480	0.25	1/2	1/2	6/8	4	1	V7/V	A	I		V7/V	V		7		V				Mm7	0	0	2, 6, 3, 0		2	2
160	159	1921/4	0.75	9/16	9/16	6/8	4	1	V64	A	I		V64	V		64						M	0	0	2, 1, 5		1	2
161	160	481	3.0	0	0	6/8	4	1	I\\	A	I		I	I							\\	M	0	0	0, 4, 1		0	0
162	161	484	2.0	0	0	2/4	4	1	I	A	I		I	I								M	0	0	0, 4, 1		0	0
163	162	486	2.0	0	0	2/4	4	1	I	A	I		I	I								M	0	0	0, 4, 1		0	0
164	163	488	2.5	0	0	2/4	4	1	V43	A	I		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
165	164	981/2	2.5	1/8	1/8	2/4	4	1	I6	A	I		I6	I		6						M	0	0	4, 1, 0		0	4
166	165	493	0.5	1/4	1/4	2/4	4	1	IV	A	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
166	165	987/2	0.5	3/8	3/8	2/4	4	1	V6/ii	A	I		V6/ii	V		6		ii				M	0	0	7, 4, 3		3	7
167	166	494	0.5	0	0	2/4	4	1	ii	A	I		ii	ii								m	0	0	2, -1, 3		2	2
167	166	989/2	0.5	1/8	1/8	2/4	4	1	IV	A	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
167	166	495	1.0	1/4	1/4	2/4	4	1	V65	A	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
168	167	496	1.0	0	0	2/4	4	1	I	A	I		I	I								M	0	0	0, 4, 1		0	0
168	167	497	1.0	1/4	1/4	2/4	4	1	V7/V	A	I		V7/V	V		7		V				Mm7	0	0	2, 6, 3, 0		2	2
169	168	498	1.0	0	0	2/4	4	1	V	A	I		V	V								M	0	0	1, 5, 2		1	1
169	168	499	1.0	1/4	1/4	2/4	4	1	V7	A	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
170	169	500	2.0	0	0	2/4	4	1	I64	A	I		I64	I		64						M	0	0	1, 0, 4		0	1
171	170	502	3.0	0	0	2/4	4	1	V6	A	I		V6	V		6						M	0	0	5, 2, 1		1	5
172	171	505	1.0	1/4	1/4	2/4	4	1	V43	A	I		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
173	172	506	3.0	0	0	2/4	4	1	I6	A	I		I6	I		6						M	0	0	4, 1, 0		0	4
174	173	509	0.5	1/4	1/4	2/4	4	1	VI	A	I		VI	VI								M	0	0	3, 7, 4		3	3
174	173	1019/2	0.5	3/8	3/8	2/4	4	1	V/ii	A	I		V/ii	V				ii				M	0	0	3, 7, 4		3	3
175	174	510	1.0	0	0	2/4	4	1	ii64	A	I		ii64	ii		64						m	0	0	3, 2, -1		2	3
175	174	511	1.0	1/4	1/4	2/4	4	1	V7	A	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
176	175	512	1.5	0	0	2/4	4	1	I	A	I		I	I								M	0	0	0, 4, 1		0	0
176	175	1027/2	1.0	3/8	3/8	2/4	4	1	V43/V	A	I		V43/V	V		43		V				Mm7	0	0	3, 0, 2, 6		2	3
177	176	1029/2	1.5	1/8	1/8	2/4	4	1	V64\\	A	I		V64	V		64					\\	M	0	0	2, 1, 5		1	2
178	177	516	4.0	0	0	2/4	4	1	V7	A	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
180	179	520	2.0	0	0	2/4	4	1	I64	A	I		I64	I		64						M	0	0	1, 0, 4		0	1
181	180	522	1.0	0	0	2/4	4	1	V64/IV	A	I		V64/IV	V		64		IV				M	0	0	1, 0, 4		0	1
181	180	523	1.0	1/4	1/4	2/4	4	1	V2/IV	A	I		V2/IV	V		2		IV				Mm7	0	0	-2, 0, 4, 1		0	-2
182	181	524	2.0	0	0	2/4	4	1	V65/IV	A	I		V65/IV	V		65		IV				Mm7	0	0	4, 1, -2, 0		0	4
183	182	526	1.5	0	0	2/4	4	1	IV	A	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
183	182	1055/2	0.5	3/8	3/8	2/4	4	1	V43	A	I		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
184	183	528	1.0	0	0	2/4	4	1	I6	A	I		I6	I		6						M	0	0	4, 1, 0		0	4
184	183	529	1.0	1/4	1/4	2/4	4	1	V65	A	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
185	184	530	1.0	0	0	2/4	4	1	I	A	I		I	I								M	0	0	0, 4, 1		0	0
185	184	531	1.0	1/4	1/4	2/4	4	1	V	A	I		V	V								M	0	0	1, 5, 2		1	1
186	185	532	1.0	0	0	2/4	4	1	I\\	A	I		I	I							\\	M	0	0	0, 4, 1		0	0
186	185	533	1.0	1/4	1/4	2/4	4	1	V	A	I		V	V								M	0	0	1, 5, 2		1	1
187	186	534	1.0	0	0	2/4	4	1	I	A	I		I	I								M	0	0	0, 4, 1		0	0
187	186	535	2.0	1/4	1/4	2/4	4	1	V65	A	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
188	187	537	3.0	1/4	1/4	9/4	4	1	I	A	I		I	I								M	0	0	0, 4, 1		0	0
188	187	540	1.0	1	1	9/4	4	1	V65	A	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
188	187	541	2.0	5/4	5/4	9/4	4	1	I	A	I		I	I								M	0	0	0, 4, 1		0	0
188	187	543	1.0	7/4	7/4	9/4	4	1	V65	A	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
188	187	544	2.0	2	2	9/4	4	1	I	A	I		I	I								M	0	0	0, 4, 1		0	0
189	188	546	3.0	1/4	1/4	9/4	4	1	V65	A	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
189	188	549	1.0	1	1	9/4	4	1	#viio7/vii	A	I		#viio7/vii	#vii	o	7		vii				o7	0	0	10, 7, 4, 1		10	10
189	188	550	2.0	5/4	5/4	9/4	4	1	V65	A	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
189	188	552	1.0	7/4	7/4	9/4	4	1	#viio7/vii	A	I		#viio7/vii	#vii	o	7		vii				o7	0	0	10, 7, 4, 1		10	10
189	188	553	2.0	2	2	9/4	4	1	V65	A	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
190	189	555	3.0	1/4	1/4	9/4	4	1	V2	A	I		V2	V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
190	189	558	1.0	1	1	9/4	4	1	#viio65/ii	A	I		#viio65/ii	#vii	o	65		ii				o7	0	0	4, 1, -2, 7		7	4
190	189	559	2.0	5/4	5/4	9/4	4	1	V2	A	I		V2	V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
190	189	561	1.0	7/4	7/4	9/4	4	1	#viio65/ii	A	I		#viio65/ii	#vii	o	65		ii				o7	0	0	4, 1, -2, 7		7	4
190	189	562	2.0	2	2	9/4	4	1	V2	A	I		V2	V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
191	190	564	3.0	1/4	1/4	9/4	4	1	I6	A	I		I6	I		6						M	0	0	4, 1, 0		0	4
191	190	567	1.0	1	1	9/4	4	1	#vio7/iii	A	I		#vio7/iii	#vi	o	7		iii				o7	0	0	7, 4, 1, -2		7	7
191	190	568	2.0	5/4	5/4	9/4	4	1	I6	A	I		I6	I		6						M	0	0	4, 1, 0		0	4
191	190	570	1.0	7/4	7/4	9/4	4	1	#viio7/iii	A	I		#viio7/iii	#vii	o	7		iii				o7	0	0	9, 6, 3, 0		9	9
191	190	571	2.0	2	2	9/4	4	1	I6	A	I		I6	I		6						M	0	0	4, 1, 0		0	4
192	191	573	8.0	1/4	1/4	9/4	4	1	V2/IV	A	I		V2/IV	V		2		IV				Mm7	0	0	-2, 0, 4, 1		0	-2
193	192	581	9.0	0	0	9/4	4	1	#viio7/V	A	I		#viio7/V	#vii	o	7		V				o7	0	0	6, 3, 0, -3		6	6
194	193	590	3.0	0	0	9/4	4	1	V65	A	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
194	193	593	4.0	3/4	3/4	9/4	4	1	I	A	I		I	I								M	0	0	0, 4, 1		0	0
194	193	597	1.0	7/4	7/4	9/4	4	1	ii6	A	I		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
194	193	598	1.0	2	2	9/4	4	1	#vii%7/V	A	I		#vii%7/V	#vii	%	7		V				%7	0	0	6, 3, 0, 4		6	6
195	194	599	1.0	0	0	9/4	4	1	V(64)	A	I		V(64)	V			64					M	0	0	1, 0, 4		1	1
195	194	600	1.0	1/4	1/4	9/4	4	1	V	A	I		V	V								M	0	0	1, 5, 2		1	1
195	194	601	1.0	1/2	1/2	9/4	4	1	V(42#7)	A	I		V(42#7)	V			42#7					M	0	0	3, 0, 2	6	1	3
195	194	602	3.0	3/4	3/4	9/4	4	1	V	A	I		V	V								M	0	0	1, 5, 2		1	1
