mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	chord_tones	added_tones	root	bass_note
135	135	269	0.5	1/4	1/4	2/4	4	1	V6/V					V6/V	V		6		V				M	6, 3, 2		2	6
135	135	539/2	1.0	3/8	3/8	2/4	4	1	V2					V2	V		2						Mm7	-1, 1, 5, 2		1	-1
136	136	541/2	0.5	1/8	1/8	2/4	4	1	I6					I6	I		6						M	4, 1, 0		0	4
136	136	271	0.5	1/4	1/4	2/4	4	1	ii65					ii65	ii		65						mm7	-1, 3, 0, 2		2	-1
136	136	543/2	0.5	3/8	3/8	2/4	4	1	V					V	V								M	1, 5, 2		1	1
137	137	272	1.0	0	0	2/4	4	1	I\\					I	I							\\	M	0, 4, 1		0	0
137	137	273	1.0	1/4	1/4	2/4	4	1	I6					I6	I		6						M	4, 1, 0		0	4
138	138	274	1.0	0	0	2/4	4	1	V65					V65	V		65						Mm7	5, 2, -1, 1		1	5
138	138	275	1.0	1/4	1/4	2/4	4	1	V7					V7	V		7						Mm7	1, 5, 2, -1		1	1
139	139	276	0.5	0	0	2/4	4	1	V43					V43	V		43						Mm7	2, -1, 1, 5		1	2
139	139	553/2	0.5	1/8	1/8	2/4	4	1	viio64					viio64	vii	o	64						o	-8, -2, -5		-2	-8
139	139	277	0.5	1/4	1/4	2/4	4	1	viio6					viio6	vii	o	6						o	-5, -8, -2		-2	-5
139	139	555/2	0.5	3/8	3/8	2/4	4	1	V65					V65	V		65						Mm7	5, 2, -1, 1		1	5
140	140	278	1.0	0	0	2/4	4	1	I					I	I								M	0, 4, 1		0	0
140	140	279	1.0	1/4	1/4	2/4	4	1	V7/IV					V7/IV	V		7		IV				Mm7	0, 4, 1, -2		0	0
141	141	280	2.0	0	0	2/4	4	1	IV					IV	IV								M	-1, 3, 0		-1	-1
142	142	282	4.0	0	0	2/4	4	1	V7/IV					V7/IV	V		7		IV				Mm7	0, 4, 1, -2		0	0
144	144	286	0.5	0	0	2/4	4	1	IV64					IV64	IV		64						M	0, -1, 3		-1	0
144	144	573/2	1.5	1/8	1/8	2/4	4	1	IV					IV	IV								M	-1, 3, 0		-1	-1
145	145	288	2.5	0	0	2/4	4	1	V7					V7	V		7						Mm7	1, 5, 2, -1		1	1
146	146	581/2	0.5	1/8	1/8	2/4	4	1	I					I	I								M	0, 4, 1		0	0
146	146	291	0.5	1/4	1/4	2/4	4	1	I(64)					I(64)	I			64					M	0, -1, -4		0	0
146	146	583/2	0.5	3/8	3/8	2/4	4	1	VII					VII	VII								M	-2, 2, -1		-2	-2
147	147	292	0.5	0	0	2/4	4	1	V43/vi					V43/vi	V		43		vi				Mm7	-2, -5, -3, 1		-3	-2
147	147	585/2	0.5	1/8	1/8	2/4	4	1	vi					vi	vi								m	-4, -7, -3		-4	-4
147	147	293	0.5	1/4	1/4	2/4	4	1	V7/V					V7/V	V		7		V				Mm7	2, 6, 3, 0		2	2
147	147	587/2	0.5	3/8	3/8	2/4	4	1	V					V	V								M	1, 5, 2		1	1
148	148	294	2.0	0	0	2/4	4	1	#viio/iii					#viio/iii	#vii	o			iii				o	2, -1, -4		2	2
149	149	296	1.0	0	0	2/4	4	1	iii					iii	iii								m	-3, -6, -2		-3	-3
149	149	297	0.5	1/4	1/4	2/4	4	1	V2					V2	V		2						Mm7	-1, 1, 5, 2		1	-1
149	149	595/2	0.5	3/8	3/8	2/4	4	1	viio6					viio6	vii	o	6						o	-5, -8, -2		-2	-5
150	150	298	0.5	0	0	2/4	4	1	I					I	I								M	0, 4, 1		0	0
150	150	597/2	1.0	1/8	1/8	2/4	4	1	V43/vi					V43/vi	V		43		vi				Mm7	-2, -5, -3, 1		-3	-2
150	150	599/2	0.5	3/8	3/8	2/4	4	1	vi					vi	vi								m	-4, -7, -3		-4	-4
151	151	300	0.5	0	0	2/4	4	1	V6/vi					V6/vi	V		6		vi				M	1, -2, -3		-3	1
151	151	601/2	0.5	1/8	1/8	2/4	4	1	V7/vi					V7/vi	V		7		vi				Mm7	-3, 1, -2, -5		-3	-3
151	151	301	0.5	1/4	1/4	2/4	4	1	vi					vi	vi								m	-4, -7, -3		-4	-4
151	151	603/2	0.5	3/8	3/8	2/4	4	1	#viio7/iii					#viio7/iii	#vii	o	7		iii				o7	2, -1, -4, -7		2	2
152	152	302	1.0	0	0	2/4	4	1	V7/vi					V7/vi	V		7		vi				Mm7	-3, 1, -2, -5		-3	-3
152	152	303	1.0	1/4	1/4	2/4	4	1	V2					V2	V		2						Mm7	-1, 1, 5, 2		1	-1
153	153	304	0.25	0	0	2/4	4	1	I6					I6	I		6						M	4, 1, 0		0	4
153	153	1217/4	0.5	1/16	1/16	2/4	4	1	I					I	I								M	0, 4, 1		0	0
153	153	1219/4	0.5	3/16	3/16	2/4	4	1	I(64)					I(64)	I			64					M	0, -1, -4		0	0
153	153	1221/4	0.5	5/16	5/16	2/4	4	1	I[viio6/V				I	viio6/V	vii	o	6		V				o	3, 0, 6		6	3
153	153	1223/4	0.25	7/16	7/16	2/4	4	1	I]					I	I					]			M	0, 4, 1		0	0
154	154	306	0.5	0	0	2/4	4	1	V+/vi					V+/vi	V	+			vi				+	-3, 1, 5		-3	-3
154	154	613/2	0.5	1/8	1/8	2/4	4	1	vi64					vi64	vi		64						m	-3, -4, -7		-4	-3
154	154	307	1.0	1/4	1/4	2/4	4	1	IV					IV	IV								M	-1, 3, 0		-1	-1
155	155	308	0.5	0	0	2/4	4	1	I					I	I								M	0, 4, 1		0	0
155	155	617/2	0.5	1/8	1/8	2/4	4	1	I64					I64	I		64						M	1, 0, 4		0	1
155	155	309	0.5	1/4	1/4	2/4	4	1	IV6					IV6	IV		6						M	3, 0, -1		-1	3
155	155	619/2	0.5	3/8	3/8	2/4	4	1	V65					V65	V		65						Mm7	5, 2, -1, 1		1	5
156	156	310	1.0	0	0	2/4	4	1	I					I	I								M	0, 4, 1		0	0
156	156	311	1.0	1/4	1/4	2/4	4	1	V43					V43	V		43						Mm7	2, -1, 1, 5		1	2
157	157	312	0.5	0	0	2/4	4	1	I6					I6	I		6						M	4, 1, 0		0	4
157	157	625/2	0.5	1/8	1/8	2/4	4	1	ii6					ii6	ii		6						m	-1, 3, 2		2	-1
157	157	313	1.0	1/4	1/4	2/4	4	1	V7					V7	V		7						Mm7	1, 5, 2, -1		1	1
158	158	314	0.5	0	0	2/4	4	1	I\\					I	I							\\	M	0, 4, 1		0	0
158	158	629/2	0.5	1/8	1/8	2/4	4	1	I					I	I								M	0, 4, 1		0	0
158	158	315	1.0	1/4	1/4	2/4	4	1	V43					V43	V		43						Mm7	2, -1, 1, 5		1	2
159	159	316	0.5	0	0	2/4	4	1	I6					I6	I		6						M	4, 1, 0		0	4
159	159	633/2	0.5	1/8	1/8	2/4	4	1	ii65					ii65	ii		65						mm7	-1, 3, 0, 2		2	-1
159	159	317	0.5	1/4	1/4	2/4	4	1	V					V	V								M	1, 5, 2		1	1
159	159	635/2	0.5	3/8	3/8	2/4	4	1	V7					V7	V		7						Mm7	1, 5, 2, -1		1	1
160	160	318	1.5	0	0	2/4	4	1	#viio6/ii					#viio6/ii	#vii	o	6		ii				o	4, 1, 7		7	4
160	160	639/2	0.5	3/8	3/8	2/4	4	1	V2/ii					V2/ii	V		2		ii				Mm7	1, 3, 7, 4		3	1
161	161	320	1.0	0	0	2/4	4	1	ii6					ii6	ii		6						m	-1, 3, 2		2	-1
161	161	321	1.0	1/4	1/4	2/4	4	1	V7					V7	V		7						Mm7	1, 5, 2, -1		1	1
162	162	322	1.5	0	0	2/4	4	1	I\\					I	I							\\	M	0, 4, 1		0	0
162	162	647/2	0.5	3/8	3/8	2/4	4	1	V2/ii					V2/ii	V		2		ii				Mm7	1, 3, 7, 4		3	1
163	163	324	1.5	0	0	2/4	4	1	ii6					ii6	ii		6						m	-1, 3, 2		2	-1
163	163	651/2	2.5	3/8	3/8	2/4	4	1	V					V	V								M	1, 5, 2		1	1
165	165	328	1.0	0	0	2/4	4	1	I6					I6	I		6						M	4, 1, 0		0	4
165	165	329	0.5	1/4	1/4	2/4	4	1	V6					V6	V		6						M	5, 2, 1		1	5
165	165	659/2	0.5	3/8	3/8	2/4	4	1	I					I	I								M	0, 4, 1		0	0
166	166	330	2.0	0	0	2/4	4	1	V/V					V/V	V				V				M	2, 6, 3		2	2
167	167	332	1.0	0	0	2/4	4	1	V					V	V								M	1, 5, 2		1	1
167	167	333	1.0	1/4	1/4	2/4	4	1	V43					V43	V		43						Mm7	2, -1, 1, 5		1	2
168	168	334	1.0	0	0	2/4	4	1	I					I	I								M	0, 4, 1		0	0
168	168	335	1.0	1/4	1/4	2/4	4	1	V6					V6	V		6						M	5, 2, 1		1	5
169	169	336	1.0	0	0	2/4	4	1	I					I	I								M	0, 4, 1		0	0
169	169	337	0.5	1/4	1/4	2/4	4	1	V					V	V								M	1, 5, 2		1	1
169	169	675/2	0.5	3/8	3/8	2/4	4	1	vi					vi	vi								m	-4, -7, -3		-4	-4
170	170	338	1.0	0	0	2/4	4	1	V6/V					V6/V	V		6		V				M	6, 3, 2		2	6
170	170	339	1.0	1/4	1/4	2/4	4	1	vi					vi	vi								m	-4, -7, -3		-4	-4
171	171	340	1.0	0	0	2/4	4	1	V65					V65	V		65						Mm7	5, 2, -1, 1		1	5
171	171	341	0.75	1/4	1/4	2/4	4	1	V(4)					V(4)	V			4					M	1, 0, 2		1	1
171	171	1367/4	0.25	7/16	7/16	2/4	4	1	V2					V2	V		2						Mm7	-1, 1, 5, 2		1	-1
172	172	342	2.0	0	0	2/4	4	1	I					I	I								M	0, 4, 1		0	0
173	173	344	0.5	0	0	2/4	4	1	V7(#2)					V7(#2)	V		7	#2					Mm7	1, 3, 2, -1		1	1
173	173	689/2	0.5	1/8	1/8	2/4	4	1	V7					V7	V		7						Mm7	1, 5, 2, -1		1	1
173	173	345	1.0	1/4	1/4	2/4	4	1	V65(4)					V65(4)	V		65	4					Mm7	0, 2, -1, 1		1	0
174	174	346	2.0	0	0	2/4	4	1	V(64)					V(64)	V			64					M	1, 0, -3		1	1
175	175	348	2.0	0	0	2/4	4	1	V7					V7	V		7						Mm7	1, 5, 2, -1		1	1
176	176	350	2.0	0	0	2/4	4	1	V(64)					V(64)	V			64					M	1, 0, -3		1	1
177	177	352	2.25	0	0	2/4	4	1	viio64					viio64	vii	o	64						o	-8, -2, -5		-2	-8
178	178	1417/4	1.75	1/16	1/16	2/4	4	1	V7					V7	V		7						Mm7	1, 5, 2, -1		1	1
179	179	356	1.0	0	0	2/4	4	1	I					I	I								M	0, 4, 1		0	0
179	179	357	1.0	1/4	1/4	2/4	4	1	V43					V43	V		43						Mm7	2, -1, 1, 5		1	2
180	180	358	0.5	0	0	2/4	4	1	I6					I6	I		6						M	4, 1, 0		0	4
180	180	717/2	0.5	1/8	1/8	2/4	4	1	ii6					ii6	ii		6						m	-1, 3, 2		2	-1
180	180	359	0.5	1/4	1/4	2/4	4	1	V7					V7	V		7						Mm7	1, 5, 2, -1		1	1
180	180	719/2	0.3333333333333144	3/8	3/8	2/4	4	1	IV6					IV6	IV		6						M	3, 0, -1		-1	3
180	180	2159/6	0.16666666666668561	11/24	11/24	2/4	4	1	viio					viio	vii	o							o	-2, -5, -8		-2	-2
181	181	360	1.0	0	0	2/4	4	1	I					I	I								M	0, 4, 1		0	0
181	181	361	1.0	1/4	1/4	2/4	4	1	V43					V43	V		43						Mm7	2, -1, 1, 5		1	2
182	182	362	0.5	0	0	2/4	4	1	I6					I6	I		6						M	4, 1, 0		0	4
182	182	725/2	0.5	1/8	1/8	2/4	4	1	ii6					ii6	ii		6						m	-1, 3, 2		2	-1
182	182	363	0.5	1/4	1/4	2/4	4	1	V					V	V								M	1, 5, 2		1	1
182	182	727/2	2.5	3/8	3/8	2/4	4	1	v6					v6	v		6						m	-2, 2, 1		1	-2
184	184	366	2.0	0	0	2/4	4	1	#viio2/ii					#viio2/ii	#vii	o	2		ii				o7	-2, 7, 4, 1		7	-2
185	185	368	2.0	0	0	2/4	4	1	bVII					bVII	bVII								M	-9, -5, -8		-9	-9
186	186	370	1.0	0	0	2/4	4	1	viio/IV					viio/IV	vii	o			IV				o	4, 1, -2		4	4
186	186	371	1.0	1/4	1/4	2/4	4	1	V2/IV					V2/IV	V		2		IV				Mm7	-2, 0, 4, 1		0	-2
187	187	372	1.0	0	0	2/4	4	1	IV6					IV6	IV		6						M	3, 0, -1		-1	3
187	187	373	1.0	1/4	1/4	2/4	4	1	V65/IV					V65/IV	V		65		IV				Mm7	4, 1, -2, 0		0	4
188	188	374	1.5	0	0	2/4	4	1	IV					IV	IV								M	-1, 3, 0		-1	-1
188	188	751/2	0.5	3/8	3/8	2/4	4	1	V2					V2	V		2						Mm7	-1, 1, 5, 2		1	-1
189	189	376	1.0	0	0	2/4	4	1	I6					I6	I		6						M	4, 1, 0		0	4
189	189	377	0.5	1/4	1/4	2/4	4	1	V6					V6	V		6						M	5, 2, 1		1	5
189	189	755/2	0.5	3/8	3/8	2/4	4	1	V					V	V								M	1, 5, 2		1	1
190	190	378	0.5	0	0	2/4	4	1	I6					I6	I		6						M	4, 1, 0		0	4
190	190	757/2	0.5	1/8	1/8	2/4	4	1	I					I	I								M	0, 4, 1		0	0
190	190	379	0.5	1/4	1/4	2/4	4	1	I6					I6	I		6						M	4, 1, 0		0	4
190	190	759/2	0.5	3/8	3/8	2/4	4	1	IV					IV	IV								M	-1, 3, 0		-1	-1
191	191	380	0.5	0	0	2/4	4	1	I	V				I	I								M	0, 4, 1		0	0
191	191	761/2	0.25	1/8	1/8	2/4	4	1	ii					ii	ii								m	2, -1, 3		2	2
191	191	1523/4	0.25	3/16	3/16	2/4	4	1	ii6					ii6	ii		6						m	-1, 3, 2		2	-1
191	191	381	0.25	1/4	1/4	2/4	4	1	V(64)					V(64)	V			64					M	1, 0, -3		1	1
191	191	1525/4	0.25	5/16	5/16	2/4	4	1	V7					V7	V		7						Mm7	1, 5, 2, -1		1	1
191	191	763/2	0.5	3/8	3/8	2/4	4	1	V2					V2	V		2						Mm7	-1, 1, 5, 2		1	-1
192	192	382	0.5	0	0	2/4	4	1	I6					I6	I		6						M	4, 1, 0		0	4
192	192	765/2	0.5	1/8	1/8	2/4	4	1	I					I	I								M	0, 4, 1		0	0
192	192	383	0.5	1/4	1/4	2/4	4	1	I6					I6	I		6						M	4, 1, 0		0	4
192	192	767/2	0.5	3/8	3/8	2/4	4	1	IV					IV	IV								M	-1, 3, 0		-1	-1
193	193	384	0.5	0	0	2/4	4	1	I					I	I								M	0, 4, 1		0	0
193	193	769/2	0.5	1/8	1/8	2/4	4	1	ii6					ii6	ii		6						m	-1, 3, 2		2	-1
193	193	385	0.5	1/4	1/4	2/4	4	1	V(4)					V(4)	V			4					M	1, 0, 2		1	1
193	193	771/2	0.5	3/8	3/8	2/4	4	1	V					V	V								M	1, 5, 2		1	1
194	194	386	2.0	0	0	2/4	4	1	I\\					I	I							\\	M	0, 4, 1		0	0
