mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset:x	offset:y	label_type	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
138	138	1/2	1/2	4/4	1	1	V7(+9)/iv	-0.146342	-4.40245	dcml	f	i	i	V7(+9)/iv		V		7	+9	iv		Mm7	1	1	0, 4, 1, -2	-5	0	0
139	139	0	0	4/4	1	1	iv	0	-4.10976	dcml	f	i	i	iv		iv						m	1	1	-1, -4, 0		-1	-1
139	139	1/2	1/2	4/4	1	1	#vii43	0	-3.44881	dcml	f	i	i	#vii43		#vii		43				mm7	1	1	6, 3, 5, 2		5	6
140	140	0	0	4/4	1	1	i(94)	-0.390245	-3.08537	dcml	f	i	i	i(94)		i			94			m	1	1	0, -1, 1	2	0	0
140	140	1/8	1/8	4/4	1	1	i			dcml	f	i	i	i		i						m	1	1	0, -3, 1		0	0
140	140	5/8	5/8	4/4	1	1	i(9#7)			dcml	f	i	i	i(9#7)		i			9#7			m	1	1	0, -3, 1	2, 5	0	0
140	140	7/8	7/8	4/4	1	1	i			dcml	f	i	i	i		i						m	1	1	0, -3, 1		0	0
141	141	1/8	1/8	4/4	1	1	i(9)			dcml	f	i	i	i(9)		i			9			m	1	1	0, -3, 1	2	0	0
141	141	3/8	3/8	4/4	1	1	i	0.0888065	-2.87148	dcml	f	i	i	i		i						m	1	1	0, -3, 1		0	0
141	141	1/2	1/2	4/4	1	1	V6			dcml	f	i	i	V6		V		6				M	1	1	5, 2, 1		1	5
142	142	0	0	4/4	1	1	i(94)			dcml	f	i	i	i(94)		i			94			m	1	1	0, -1, 1	2	0	0
142	142	3/8	3/8	4/4	1	1	i			dcml	f	i	i	i		i						m	1	1	0, -3, 1		0	0
142	142	5/8	5/8	4/4	1	1	i(9#7)			dcml	f	i	i	i(9#7)		i			9#7			m	1	1	0, -3, 1	2, 5	0	0
142	142	7/8	7/8	4/4	1	1	i			dcml	f	i	i	i		i						m	1	1	0, -3, 1		0	0
143	143	1/8	1/8	4/4	1	1	i(94)	0	-3.40205	dcml	f	i	i	i(94)		i			94			m	1	1	0, -1, 1	2	0	0
143	143	3/8	3/8	4/4	1	1	i	0	-3.67074	dcml	f	i	i	i		i						m	1	1	0, -3, 1		0	0
143	143	1/2	1/2	4/4	1	1	#viio7	0.78049	-3.80015	dcml	f	i	i	#viio7		#vii	o	7				o7	1	1	5, 2, -1, -4		5	5
144	144	0	0	4/4	1	1	i]	0	-5.47677	dcml	f	i	i	i		i						m	1	1	0, -3, 1		0	0
144	144	1/4	1/4	4/4	1	1	i	0	-5.65718	dcml	f	i		i		i						m	1	1	0, -3, 1		0	0
146	146	3/4	3/4	4/4	1	1	V			dcml	f	i		V		V						M	1	1	1, 5, 2		1	1
147	147	0	0	4/4	1	1	i64			dcml	f	i		i64		i		64				m	1	1	1, 0, -3		0	1
147	147	1/4	1/4	4/4	1	1	i6			dcml	f	i		i6		i		6				m	1	1	-3, 1, 0		0	-3
148	148	0	0	4/4	1	1	i\\			dcml	f	i		i		i					\\	m	1	1	0, -3, 1		0	0
148	148	1/2	1/2	4/4	1	1	VI			dcml	f	i		VI		VI						M	1	1	-4, 0, -3		-4	-4
148	148	3/4	3/4	4/4	1	1	V7			dcml	f	i		V7		V		7				Mm7	1	1	1, 5, 2, -1		1	1
149	149	0	0	4/4	1	1	i			dcml	f	i		i		i						m	1	1	0, -3, 1		0	0
149	149	1/2	1/2	4/4	1	1	VI			dcml	f	i		VI		VI						M	1	1	-4, 0, -3		-4	-4
149	149	3/4	3/4	4/4	1	1	V7			dcml	f	i		V7		V		7				Mm7	1	1	1, 5, 2, -1		1	1
150	150	1/4	1/4	4/4	1	1	V7(2)			dcml	f	i		V7(2)		V		7	2			Mm7	1	1	-4, 5, 2, -1		1	-4
150	150	1/2	1/2	4/4	1	1	V7			dcml	f	i		V7		V		7				Mm7	1	1	1, 5, 2, -1		1	1
151	151	0	0	4/4	1	1	i\\			dcml	f	i		i		i					\\	m	1	1	0, -3, 1		0	0
