mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
117	117	693/2	1.5	3/8	3/8	6/8	4	1		i64	A	i		i64	i		64						m	0	1	1, 0, -3		0	1
118	118	348	6.0	0	0	6/8	4	1		#viio7/V	A	i		#viio7/V	#vii	o	7		V				o7	0	1	6, 3, 0, -3		6	6
120	120	354	1.5	0	0	6/8	4	1		V	A	i		V	V								M	0	1	1, 5, 2		1	1
120	120	711/2	1.5	3/8	3/8	6/8	4	1		V2	A	i		V2	V		2						Mm7	0	1	-1, 1, 5, 2		1	-1
121	121	357	1.5	0	0	6/8	4	1		i6	A	i		i6	i		6						m	0	1	-3, 1, 0		0	-3
121	121	717/2	1.5	3/8	3/8	6/8	4	1		V64	A	i		V64	V		64						M	0	1	2, 1, 5		1	2
122	122	360	3.0	0	0	6/8	4	1		i6	A	i		i6	i		6						m	0	1	-3, 1, 0		0	-3
123	123	363	1.5	0	0	6/8	4	1		V43	A	i		V43	V		43						Mm7	0	1	2, -1, 1, 5		1	2
123	123	729/2	1.5	3/8	3/8	6/8	4	1		i	A	i		i	i								m	0	1	0, -3, 1		0	0
124	124	366	1.5	0	0	6/8	4	1		V	A	i		V	V								M	0	1	1, 5, 2		1	1
124	124	735/2	1.5	3/8	3/8	6/8	4	1		V2	A	i		V2	V		2						Mm7	0	1	-1, 1, 5, 2		1	-1
125	125	369	1.5	0	0	6/8	4	1		i6	A	i		i6	i		6						m	0	1	-3, 1, 0		0	-3
125	125	741/2	1.5	3/8	3/8	6/8	4	1		V64	A	i		V64	V		64						M	0	1	2, 1, 5		1	2
126	126	372	3.0	0	0	6/8	4	1		i6	A	i		i6	i		6						m	0	1	-3, 1, 0		0	-3
127	127	375	1.5	0	0	6/8	4	1		V43	A	i		V43	V		43						Mm7	0	1	2, -1, 1, 5		1	2
127	127	753/2	1.5	3/8	3/8	6/8	4	1		i	A	i		i	i								m	0	1	0, -3, 1		0	0
128	128	378	4.5	0	0	6/8	4	1		V\\	A	i		V	V							\\	M	0	1	1, 5, 2		1	1
129	129	765/2	1.0	3/8	3/8	6/8	4	1		I.V43/ii	A	I		V43/ii	V		43		ii				Mm7	0	0	4, 1, 3, 7		3	4
129	129	767/2	0.5	5/8	5/8	6/8	4	1		ii	A	I		ii	ii								m	0	0	2, -1, 3		2	2
130	130	384	3.0	0	0	6/8	4	1		V65/ii	A	I		V65/ii	V		65		ii				Mm7	0	0	7, 4, 1, 3		3	7
131	131	387	1.5	0	0	6/8	4	1		ii6	A	I		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
131	131	777/2	1.5	3/8	3/8	6/8	4	1		ii	A	I		ii	ii								m	0	0	2, -1, 3		2	2
132	132	390	3.0	0	0	6/8	4	1		V65	A	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
133	133	393	3.0	0	0	6/8	4	1		I	A	I		I	I								M	0	0	0, 4, 1		0	0
134	134	396	1.0	0	0	6/8	4	1		IV(94)	A	I		IV(94)	IV			94					M	0	0	-1, 5, 0	1	-1	-1
134	134	397	2.0	1/4	1/4	6/8	4	1		IV	A	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
135	135	399	3.0	0	0	6/8	4	1		V(64)	A	I		V(64)	V			64					M	0	0	1, 0, 4		1	1
136	136	402	3.0	0	0	6/8	4	1		V7	A	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
137	137	405	3.0	0	0	6/8	4	1		I\\	A	I		I	I							\\	M	0	0	0, 4, 1		0	0
138	138	408	9.0	0	0	6/8	4	1		I	A	I		I	I								M	0	0	0, 4, 1		0	0
141	141	417	3.0	0	0	6/8	4	1		I[IV	A	I	I	IV	IV								M	0	0	-1, 3, 0		-1	-1
142	142	420	4.5	0	0	6/8	4	1		V2	A	I		V2	V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
143	143	849/2	3.0	3/8	3/8	6/8	4	1		I6	A	I		I6	I		6						M	0	0	4, 1, 0		0	4
144	144	855/2	1.5	3/8	3/8	6/8	4	1		viio6/IV	A	I		viio6/IV	vii	o	6		IV				o	0	0	1, -2, 4		4	1
145	145	429	3.0	0	0	6/8	4	1		IV	A	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
146	146	432	1.5	0	0	6/8	4	1		V2	A	I		V2	V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
146	146	867/2	1.5	3/8	3/8	6/8	4	1		viio6	A	I		viio6	vii	o	6						o	0	0	2, -1, 5		5	2
147	147	435	3.0	0	0	6/8	4	1		I6]	A	I		I6	I		6			]			M	0	0	4, 1, 0		0	4
148	148	438	3.0	0	0	6/8	4	1		V7	A	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
149	149	441	3.0	0	0	6/8	4	1		I6	A	I		I6	I		6						M	0	0	4, 1, 0		0	4
150	150	444	1.5	0	0	6/8	4	1		IV	A	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
150	150	891/2	1.5	3/8	3/8	6/8	4	1		V	A	I		V	V								M	0	0	1, 5, 2		1	1
151	151	447	3.0	0	0	6/8	4	1		I\\	A	I		I	I							\\	M	0	0	0, 4, 1		0	0
152	152	450	1.5	0	0	6/8	4	1		IV6	A	I		IV6	IV		6						M	0	0	3, 0, -1		-1	3
152	152	903/2	1.5	3/8	3/8	6/8	4	1		bVII	A	I		bVII	bVII								M	0	0	-2, 2, -1		-2	-2
153	153	453	1.5	0	0	6/8	4	1		viio	A	I		viio	vii	o							o	0	0	5, 2, -1		5	5
153	153	909/2	1.5	3/8	3/8	6/8	4	1		IV64	A	I		IV64	IV		64						M	0	0	0, -1, 3		-1	0
154	154	456	1.5	0	0	6/8	4	1		bII	A	I		bII	bII								M	0	0	-5, -1, -4		-5	-5
154	154	915/2	1.5	3/8	3/8	6/8	4	1		V6/bIII	A	I		V6/bIII	V		6		bIII				M	0	0	2, -1, -2		-2	2
155	155	459	1.5	0	0	6/8	4	1		V65/bIII	A	I		V65/bIII	V		65		bIII				Mm7	0	0	2, -1, -4, -2		-2	2
155	155	921/2	1.5	3/8	3/8	6/8	4	1		bIII	A	I		bIII	bIII								M	0	0	-3, 1, -2		-3	-3
156	156	462	1.5	0	0	6/8	4	1		V64	A	I		V64	V		64						M	0	0	2, 1, 5		1	2
156	156	927/2	1.5	3/8	3/8	6/8	4	1		bIII	A	I		bIII	bIII								M	0	0	-3, 1, -2		-3	-3
157	157	465	1.5	0	0	6/8	4	1		V7/IV	A	I		V7/IV	V		7		IV				Mm7	0	0	0, 4, 1, -2		0	0
157	157	933/2	1.5	3/8	3/8	6/8	4	1		iv	A	I		iv	iv								m	0	0	-1, -4, 0		-1	-1
158	158	468	1.5	0	0	6/8	4	1		#viio7/V	A	I		#viio7/V	#vii	o	7		V				o7	0	0	6, 3, 0, -3		6	6
158	158	939/2	1.5	3/8	3/8	6/8	4	1		i64	A	I		i64	i		64						m	0	0	1, 0, -3		0	1
159	159	471	1.5	0	0	6/8	4	1		bVI	A	I		bVI	bVI								M	0	0	-4, 0, -3		-4	-4
159	159	945/2	1.5	3/8	3/8	6/8	4	1		#viio7/V	A	I		#viio7/V	#vii	o	7		V				o7	0	0	6, 3, 0, -3		6	6
160	160	474	1.5	0	0	6/8	4	1		V	A	I		V	V								M	0	0	1, 5, 2		1	1
160	160	951/2	1.5	3/8	3/8	6/8	4	1		V2	A	I		V2	V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
161	161	477	1.5	0	0	6/8	4	1		I6	A	I		I6	I		6						M	0	0	4, 1, 0		0	4
161	161	957/2	1.0	3/8	3/8	6/8	4	1		I	A	I		I	I								M	0	0	0, 4, 1		0	0
161	161	959/2	0.5	5/8	5/8	6/8	4	1		V7/V	A	I		V7/V	V		7		V				Mm7	0	0	2, 6, 3, 0		2	2
162	162	480	1.5	0	0	6/8	4	1		V	A	I		V	V								M	0	0	1, 5, 2		1	1
162	162	963/2	0.5	3/8	3/8	6/8	4	1		V2	A	I		V2	V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
162	162	482	1.0	1/2	1/2	6/8	4	1		V43	A	I		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
163	163	483	1.5	0	0	6/8	4	1		I6	A	I		I6	I		6						M	0	0	4, 1, 0		0	4
163	163	969/2	1.0	3/8	3/8	6/8	4	1		I	A	I		I	I								M	0	0	0, 4, 1		0	0
163	163	971/2	0.5	5/8	5/8	6/8	4	1		V7/V	A	I		V7/V	V		7		V				Mm7	0	0	2, 6, 3, 0		2	2
164	164	486	3.0	0	0	6/8	4	1		V	A	I		V	V								M	0	0	1, 5, 2		1	1
165	165	489	2.5	0	0	6/8	4	1		V\\	A	I		V	V							\\	M	0	0	1, 5, 2		1	1
165	165	983/2	0.5	5/8	5/8	6/8	4	1		i.V	A	i		V	V								M	0	1	1, 5, 2		1	1
166	166	492	1.5	0	0	6/8	4	1		i6	A	i		i6	i		6						m	0	1	-3, 1, 0		0	-3
166	166	987/2	1.5	3/8	3/8	6/8	4	1		i	A	i		i	i								m	0	1	0, -3, 1		0	0
167	167	495	1.5	0	0	6/8	4	1		VI	A	i		VI	VI								M	0	1	-4, 0, -3		-4	-4
167	167	993/2	1.5	3/8	3/8	6/8	4	1		V	A	i		V	V								M	0	1	1, 5, 2		1	1
168	168	498	1.0	0	0	6/8	4	1		i6	A	i		i6	i		6						m	0	1	-3, 1, 0		0	-3
168	168	499	0.5	1/4	1/4	6/8	4	1		V64	A	i		V64	V		64						M	0	1	2, 1, 5		1	2
168	168	999/2	1.0	3/8	3/8	6/8	4	1		i	A	i		i	i								m	0	1	0, -3, 1		0	0
168	168	1001/2	0.5	5/8	5/8	6/8	4	1		V65	A	i		V65	V		65						Mm7	0	1	5, 2, -1, 1		1	5
169	169	501	1.0	0	0	6/8	4	1		i(94)	A	i		i(94)	i			94					m	0	1	0, -1, 1	2	0	0
169	169	502	0.5	1/4	1/4	6/8	4	1		#viio7/V	A	i		#viio7/V	#vii	o	7		V				o7	0	1	6, 3, 0, -3		6	6
169	169	1005/2	1.5	3/8	3/8	6/8	4	1		V\\	A	i		V	V							\\	M	0	1	1, 5, 2		1	1
170	170	504	1.0	0	0	6/8	4	1		i	A	i		i	i								m	0	1	0, -3, 1		0	0
170	170	505	0.5	1/4	1/4	6/8	4	1		V43	A	i		V43	V		43						Mm7	0	1	2, -1, 1, 5		1	2
170	170	1011/2	1.0	3/8	3/8	6/8	4	1		i6	A	i		i6	i		6						m	0	1	-3, 1, 0		0	-3
170	170	1013/2	0.5	5/8	5/8	6/8	4	1		V65/iv	A	i		V65/iv	V		65		iv				Mm7	0	1	4, 1, -2, 0		0	4
171	171	507	1.0	0	0	6/8	4	1		iv	A	i		iv	iv								m	0	1	-1, -4, 0		-1	-1
171	171	508	0.5	1/4	1/4	6/8	4	1		V43/iv	A	i		V43/iv	V		43		iv				Mm7	0	1	1, -2, 0, 4		0	1
171	171	1017/2	1.0	3/8	3/8	6/8	4	1		iv6	A	i		iv6	iv		6						m	0	1	-4, 0, -1		-1	-4
171	171	1019/2	0.5	5/8	5/8	6/8	4	1		bIII.vii%7	A	bIII		vii%7	vii	%	7						%7	0	0	5, 2, -1, 3		5	5
172	172	510	1.0	0	0	6/8	4	1		I	A	bIII		I	I								M	0	0	0, 4, 1		0	0
172	172	511	0.5	1/4	1/4	6/8	4	1		ii6	A	bIII		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
172	172	1023/2	1.5	3/8	3/8	6/8	4	1		V7	A	bIII		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
173	173	513	1.5	0	0	6/8	4	1		I(974)	A	bIII		I(974)	I			974					M	0	0	0, -1, 1	2, 5	0	0
173	173	1029/2	1.5	3/8	3/8	6/8	4	1		I	A	bIII		I	I								M	0	0	0, 4, 1		0	0
174	174	516	1.5	0	0	6/8	4	1		i.i6	A	i		i6	i		6						m	0	1	-3, 1, 0		0	-3
174	174	1035/2	1.5	3/8	3/8	6/8	4	1		i	A	i		i	i								m	0	1	0, -3, 1		0	0
175	175	519	1.5	0	0	6/8	4	1		VI	A	i		VI	VI								M	0	1	-4, 0, -3		-4	-4
175	175	1041/2	1.0	3/8	3/8	6/8	4	1		V\\	A	i		V	V							\\	M	0	1	1, 5, 2		1	1
175	175	1043/2	0.5	5/8	5/8	6/8	4	1		V2	A	i		V2	V		2						Mm7	0	1	-1, 1, 5, 2		1	-1
176	176	522	1.0	0	0	6/8	4	1		i6	A	i		i6	i		6						m	0	1	-3, 1, 0		0	-3
176	176	523	0.5	1/4	1/4	6/8	4	1		viio6	A	i		viio6	vii	o	6						o	0	1	-5, -8, -2		-2	-5
176	176	1047/2	1.0	3/8	3/8	6/8	4	1		i	A	i		i	i								m	0	1	0, -3, 1		0	0
176	176	1049/2	0.5	5/8	5/8	6/8	4	1		viio	A	i		viio	vii	o							o	0	1	-2, -5, -8		-2	-2
177	177	525	1.0	0	0	6/8	4	1		i(94)	A	i		i(94)	i			94					m	0	1	0, -1, 1	2	0	0
177	177	526	0.5	1/4	1/4	6/8	4	1		#viio7/V	A	i		#viio7/V	#vii	o	7		V				o7	0	1	6, 3, 0, -3		6	6
177	177	1053/2	1.5	3/8	3/8	6/8	4	1		V\\	A	i		V	V							\\	M	0	1	1, 5, 2		1	1
178	178	528	1.0	0	0	6/8	4	1		I.I	A	I		I	I								M	0	0	0, 4, 1		0	0
178	178	529	0.5	1/4	1/4	6/8	4	1		V43	A	I		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
178	178	1059/2	1.0	3/8	3/8	6/8	4	1		I6	A	I		I6	I		6						M	0	0	4, 1, 0		0	4
178	178	1061/2	0.5	5/8	5/8	6/8	4	1		V65/IV	A	I		V65/IV	V		65		IV				Mm7	0	0	4, 1, -2, 0		0	4
179	179	531	1.0	0	0	6/8	4	1		IV	A	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
179	179	532	0.5	1/4	1/4	6/8	4	1		V43/IV	A	I		V43/IV	V		43		IV				Mm7	0	0	1, -2, 0, 4		0	1
179	179	1065/2	4.5	3/8	3/8	6/8	4	1		IV6	A	I		IV6	IV		6						M	0	0	3, 0, -1		-1	3
181	181	537	2.5	0	0	6/8	4	1		IV	A	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
181	181	1079/2	0.5	5/8	5/8	6/8	4	1		viio6/ii	A	I		viio6/ii	vii	o	6		ii				o	0	0	-3, -6, 0		0	-3
182	182	540	1.0	0	0	6/8	4	1		ii6	A	I		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
182	182	541	0.5	1/4	1/4	6/8	4	1		V6/ii	A	I		V6/ii	V		6		ii				M	0	0	7, 4, 3		3	7
182	182	1083/2	1.0	3/8	3/8	6/8	4	1		ii	A	I		ii	ii								m	0	0	2, -1, 3		2	2
182	182	1085/2	0.5	5/8	5/8	6/8	4	1		ii%2	A	I		ii%2	ii	%	2						%7	0	0	0, 2, -1, -4		2	0
183	183	543	1.5	0	0	6/8	4	1		V65	A	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
183	183	1089/2	0.5	3/8	3/8	6/8	4	1		I	A	I		I	I								M	0	0	0, 4, 1		0	0
183	183	545	0.5	1/2	1/2	6/8	4	1		ii6	A	I		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
183	183	1091/2	0.5	5/8	5/8	6/8	4	1		V7	A	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
184	184	546	3.0	0	0	6/8	4	1		I\\	A	I		I	I							\\	M	0	0	0, 4, 1		0	0
185	185	549	1.5	0	0	6/8	4	1		V	A	I		V	V								M	0	0	1, 5, 2		1	1
185	185	1101/2	0.5	3/8	3/8	6/8	4	1		V6	A	I		V6	V		6						M	0	0	5, 2, 1		1	5
185	185	551	1.0	1/2	1/2	6/8	4	1		#viio6/ii	A	I		#viio6/ii	#vii	o	6		ii				o	0	0	4, 1, 7		7	4
186	186	552	1.5	0	0	6/8	4	1		ii6	A	I		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
186	186	1107/2	1.5	3/8	3/8	6/8	4	1		ii	A	I		ii	ii								m	0	0	2, -1, 3		2	2
187	187	555	2.0	0	0	6/8	4	1		IV	A	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
187	187	557	1.0	1/2	1/2	6/8	4	1		#viio2/iii	A	I		#viio2/iii	#vii	o	2		iii				o7	0	0	0, 9, 6, 3		9	0
188	188	558	1.5	0	0	6/8	4	1		iii6	A	I		iii6	iii		6						m	0	0	1, 5, 4		4	1
188	188	1119/2	1.5	3/8	3/8	6/8	4	1		iii	A	I		iii	iii								m	0	0	4, 1, 5		4	4
189	189	561	1.5	0	0	6/8	4	1		V7	A	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
189	189	1125/2	1.5	3/8	3/8	6/8	4	1		V65	A	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
190	190	564	0.5	0	0	6/8	4	1		I6(7)	A	I		I6(7)	I		6	7					M	0	0	4, 1, 5		0	4
190	190	1129/2	1.0	1/8	1/8	6/8	4	1		I	A	I		I	I								M	0	0	0, 4, 1		0	0
190	190	1131/2	1.5	3/8	3/8	6/8	4	1		IV	A	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
191	191	567	1.5	0	0	6/8	4	1		V(64)	A	I		V(64)	V			64					M	0	0	1, 0, 4		1	1
191	191	1137/2	1.5	3/8	3/8	6/8	4	1		V7	A	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
192	192	570	3.0	0	0	6/8	4	1		I\\	A	I		I	I							\\	M	0	0	0, 4, 1		0	0
193	193	573	1.5	0	0	6/8	4	1		V	A	I		V	V								M	0	0	1, 5, 2		1	1
193	193	1149/2	1.5	3/8	3/8	6/8	4	1		v6	A	I		v6	v		6						m	0	0	-2, 2, 1		1	-2
194	194	576	1.5	0	0	6/8	4	1		ii6	A	I		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
194	194	1155/2	1.5	3/8	3/8	6/8	4	1		ii	A	I		ii	ii								m	0	0	2, -1, 3		2	2
195	195	579	1.5	0	0	6/8	4	1		vi	A	I		vi	vi								m	0	0	3, 0, 4		3	3
195	195	1161/2	1.5	3/8	3/8	6/8	4	1		vi6	A	I		vi6	vi		6						m	0	0	0, 4, 3		3	0
196	196	582	1.5	0	0	6/8	4	1		iii6	A	I		iii6	iii		6						m	0	0	1, 5, 4		4	1
196	196	1167/2	1.5	3/8	3/8	6/8	4	1		iii	A	I		iii	iii								m	0	0	4, 1, 5		4	4
197	197	585	1.5	0	0	6/8	4	1		V7	A	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
197	197	1173/2	1.5	3/8	3/8	6/8	4	1		V65	A	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
198	198	588	1.5	0	0	6/8	4	1		V7	A	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
198	198	1179/2	1.5	3/8	3/8	6/8	4	1		V65	A	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
199	199	591	1.5	0	0	6/8	4	1		V43	A	I		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
199	199	1185/2	1.5	3/8	3/8	6/8	4	1		V65	A	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
200	200	594	1.5	0	0	6/8	4	1		I	A	I		I	I								M	0	0	0, 4, 1		0	0
200	200	1191/2	1.5	3/8	3/8	6/8	4	1		IV6	A	I		IV6	IV		6						M	0	0	3, 0, -1		-1	3
201	201	597	1.5	0	0	6/8	4	1		I6	A	I		I6	I		6						M	0	0	4, 1, 0		0	4
201	201	1197/2	1.5	3/8	3/8	6/8	4	1		V65/V	A	I		V65/V	V		65		V				Mm7	0	0	6, 3, 0, 2		2	6
202	202	600	2.0	0	0	6/8	4	1		V(64)	A	I		V(64)	V			64					M	0	0	1, 0, 4		1	1
202	202	602	1.0	1/2	1/2	6/8	4	1		V7	A	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
203	203	603	3.0	0	0	6/8	4	1		I\\	A	I		I	I							\\	M	0	0	0, 4, 1		0	0
204	204	606	2.0	0	0	6/8	4	1		V(64)	A	I		V(64)	V			64					M	0	0	1, 0, 4		1	1
204	204	608	1.0	1/2	1/2	6/8	4	1		V7	A	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
205	205	609	3.0	0	0	6/8	4	1		I	A	I		I	I								M	0	0	0, 4, 1		0	0
206	206	612	2.0	0	0	6/8	4	1		V(64)	A	I		V(64)	V			64					M	0	0	1, 0, 4		1	1
206	206	614	1.0	1/2	1/2	6/8	4	1		V7	A	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
207	207	615	3.0	0	0	6/8	4	1		I\\	A	I		I	I							\\	M	0	0	0, 4, 1		0	0
208	208	618	3.0	0	0	6/8	4	1		I	A	I		I	I								M	0	0	0, 4, 1		0	0
209	209	621	2.5	0	0	6/8	4	1		V7(9)/IV	A	I		V7(9)/IV	V		7	9	IV				Mm7	0	0	0, 4, 1, -2	2	0	0
209	209	1247/2	0.5	5/8	5/8	6/8	4	1		V65/IV	A	I		V65/IV	V		65		IV				Mm7	0	0	4, 1, -2, 0		0	4
210	210	624	0.5	0	0	6/8	4	1		IV	A	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
210	210	1249/2	0.5	1/8	1/8	6/8	4	1		#viio65/ii	A	I		#viio65/ii	#vii	o	65		ii				o7	0	0	4, 1, -2, 7		7	4
210	210	625	0.5	1/4	1/4	6/8	4	1		ii	A	I		ii	ii								m	0	0	2, -1, 3		2	2
210	210	1251/2	0.5	3/8	3/8	6/8	4	1		V(64)	A	I		V(64)	V			64					M	0	0	1, 0, 4		1	1
210	210	626	1.0	1/2	1/2	6/8	4	1		V7	A	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
211	211	627	0.5	0	0	6/8	4	1		I(9)	A	I		I(9)	I			9					M	0	0	0, 4, 1	2	0	0
211	211	1255/2	2.5	1/8	1/8	6/8	4	1		I\\	A	I		I	I							\\	M	0	0	0, 4, 1		0	0
212	212	630	3.0	0	0	6/8	4	1		I	A	I		I	I								M	0	0	0, 4, 1		0	0
213	213	633	3.0	0	0	6/8	4	1		#viio7/ii	A	I		#viio7/ii	#vii	o	7		ii				o7	0	0	7, 4, 1, -2		7	7
214	214	636	0.5	0	0	6/8	4	1		ii	A	I		ii	ii								m	0	0	2, -1, 3		2	2
214	214	1273/2	0.5	1/8	1/8	6/8	4	1		V43/ii	A	I		V43/ii	V		43		ii				Mm7	0	0	4, 1, 3, 7		3	4
214	214	637	0.5	1/4	1/4	6/8	4	1		ii6	A	I		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
214	214	1275/2	0.5	3/8	3/8	6/8	4	1		V(64)	A	I		V(64)	V			64					M	0	0	1, 0, 4		1	1
214	214	638	1.0	1/2	1/2	6/8	4	1		V7	A	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
215	215	639	1.5	0	0	6/8	4	1		I\\	A	I		I	I							\\	M	0	0	0, 4, 1		0	0
215	215	1281/2	1.5	3/8	3/8	6/8	4	1		V7	A	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
216	216	642	1.5	0	0	6/8	4	1		I	A	I		I	I								M	0	0	0, 4, 1		0	0
216	216	1287/2	1.5	3/8	3/8	6/8	4	1		V7	A	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
217	217	645	1.5	0	0	6/8	4	1		I	A	I		I	I								M	0	0	0, 4, 1		0	0
217	217	1293/2	1.5	3/8	3/8	6/8	4	1		V7	A	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
218	218	648	1.5	0	0	6/8	4	1		I	A	I		I	I								M	0	0	0, 4, 1		0	0
218	218	1299/2	1.5	3/8	3/8	6/8	4	1		V7	A	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
219	219	651	3.0	0	0	6/8	4	1		I	A	I		I	I								M	0	0	0, 4, 1		0	0
220	220			0	0	6/8	4	1	1	I\\	A	I		I	I							\\	M	0	0	0, 4, 1		0	0
222	222	654	9.0	0	0	6/8	4	1	2	I	A	I		I	I								M	0	0	0, 4, 1		0	0
225	225	663	1.5	0	0	6/8	4	1		I[I	A	I	I	I	I								M	0	0	0, 4, 1		0	0
225	225	1329/2	1.5	3/8	3/8	6/8	4	1		IV	A	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
226	226	666	1.0	0	0	6/8	4	1		I6	A	I		I6	I		6						M	0	0	4, 1, 0		0	4
226	226	667	0.5	1/4	1/4	6/8	4	1		V64	A	I		V64	V		64						M	0	0	2, 1, 5		1	2
226	226	1335/2	3.0	3/8	3/8	6/8	4	1		I6	A	I		I6	I		6						M	0	0	4, 1, 0		0	4
227	227	1341/2	1.5	3/8	3/8	6/8	4	1		V7	A	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
228	228	672	3.0	0	0	6/8	4	1		I\\	A	I		I	I							\\	M	0	0	0, 4, 1		0	0
