mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
119	117	354	1.5	3/8	3/8	6/8	4	1	V7	D	vi		V7		V		7						Mm7	0	1	1, 5, 2, -1		1	1
120	118	711/2	1.5	0	0	6/8	4	1	VI	D	vi		VI		VI								M	0	1	-4, 0, -3		-4	-4
120	118	357	1.5	3/8	3/8	6/8	4	1	@none	D	vi		@none		@none								m	0	1				
121	119	717/2	1.5	0	0	6/8	4	1	V(64)	D	vi		V(64)		V			64					M	0	1	1, 0, -3		1	1
121	119	360	1.5	3/8	3/8	6/8	4	1	V	D	vi		V		V								M	0	1	1, 5, 2		1	1
122	120	723/2	1.5	0	0	6/8	4	1	i(4)	D	vi		i(4)		i			4					m	0	1	0, -1, 1		0	0
122	120	363	1.5	3/8	3/8	6/8	4	1	#viio7/V	D	vi		#viio7/V		#vii	o	7		V				o7	0	1	6, 3, 0, -3		6	6
123	121	729/2	13.5	0	0	6/8	4	1	V	D	vi		V		V								M	0	1	1, 5, 2		1	1
127	125	378	3.0	3/8	3/8	6/8	4	1	i	D	vi		i		i								m	0	1	0, -3, 1		0	0
128	126	381	1.5	3/8	3/8	6/8	4	1	V/iv	D	vi		V/iv		V				iv				M	0	1	0, 4, 1		0	0
129	127	765/2	1.5	0	0	6/8	4	1	iv64	D	vi		iv64		iv		64						m	0	1	0, -1, -4		-1	0
129	127	384	1.5	3/8	3/8	6/8	4	1	vi	D	vi		vi		vi								m	0	1	-4, -7, -3		-4	-4
130	128	771/2	1.5	0	0	6/8	4	1	iv	D	vi		iv		iv								m	0	1	-1, -4, 0		-1	-1
130	128	387	1.5	3/8	3/8	6/8	4	1	I.V7	D	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
131	129	777/2	3.0	0	0	6/8	4	1	V43	D	I		V43		V		43						Mm7	0	0	2, -1, 1, 5		1	2
132	130	783/2	3.0	0	0	6/8	4	1	V43	D	I		V43		V		43						Mm7	0	0	2, -1, 1, 5		1	2
133	131	789/2	3.0	0	0	6/8	4	1	V7	D	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
134	132	795/2	1.5	0	0	6/8	4	1	I	D	I		I		I								M	0	0	0, 4, 1		0	0
134	132	399	1.5	3/8	3/8	6/8	4	1	V6(7)	D	I		V6(7)		V		6	7					M	0	0	5, 2, -1		1	5
135	133	801/2	1.5	0	0	6/8	4	1	V6	D	I		V6		V		6						M	0	0	5, 2, 1		1	5
135	133	402	1.0	3/8	3/8	6/8	4	1	V6(7)	D	I		V6(7)		V		6	7					M	0	0	5, 2, -1		1	5
135	133	403	0.5	5/8	5/8	6/8	4	1	V65	D	I		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
136	134	807/2	1.0	0	0	6/8	4	1	I	D	I		I		I								M	0	0	0, 4, 1		0	0
136	134	809/2	0.5	1/4	1/4	6/8	4	1	ii	D	I		ii		ii								m	0	0	2, -1, 3		2	2
136	134	405	1.0	3/8	3/8	6/8	4	1	viio7/ii	D	I		viio7/ii		vii	o	7		ii				o7	0	0	0, -3, -6, -9		0	0
136	134	406	0.5	5/8	5/8	6/8	4	1	ii	D	I		ii		ii								m	0	0	2, -1, 3		2	2
137	135	813/2	1.5	0	0	6/8	4	1	viio7/ii	D	I		viio7/ii		vii	o	7		ii				o7	0	0	0, -3, -6, -9		0	0
137	135	408	1.0	3/8	3/8	6/8	4	1	viio7/ii	D	I		viio7/ii		vii	o	7		ii				o7	0	0	0, -3, -6, -9		0	0
137	135	409	0.5	5/8	5/8	6/8	4	1	viio/ii	D	I		viio/ii		vii	o			ii				o	0	0	0, -3, -6		0	0
138	136	819/2	1.0	0	0	6/8	4	1	ii	D	I		ii		ii								m	0	0	2, -1, 3		2	2
138	136	821/2	0.5	1/4	1/4	6/8	4	1	IV.I	D	IV		I		I								M	0	0	0, 4, 1		0	0
138	136	411	1.0	3/8	3/8	6/8	4	1	V6(7)	D	IV		V6(7)		V		6	7					M	0	0	5, 2, -1		1	5
138	136	412	0.5	5/8	5/8	6/8	4	1	I	D	IV		I		I								M	0	0	0, 4, 1		0	0
139	137	825/2	1.5	0	0	6/8	4	1	V6	D	IV		V6		V		6						M	0	0	5, 2, 1		1	5
139	137	414	1.5	3/8	3/8	6/8	4	1	V65	D	IV		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
140	138	831/2	1.5	0	0	6/8	4	1	I(4)	D	IV		I(4)		I			4					M	0	0	0, -1, 1		0	0
140	138	417	3.0	3/8	3/8	6/8	4	1	I	D	IV		I		I								M	0	0	0, 4, 1		0	0
141	139	420	2.5	3/8	3/8	6/8	4	1	V6	D	IV		V6		V		6						M	0	0	5, 2, 1		1	5
142	140	845/2	0.5	1/4	1/4	6/8	4	1	V6(2)	D	IV		V6(2)		V		6	2					M	0	0	5, 2, 3		1	5
142	140	423	2.5	3/8	3/8	6/8	4	1	vi7	D	IV		vi7		vi		7						mm7	0	0	3, 0, 4, 1		3	3
143	141	851/2	0.5	1/4	1/4	6/8	4	1	vi7(2)	D	IV		vi7(2)		vi		7	2					mm7	0	0	5, 0, 4, 1		3	5
143	141	426	1.5	3/8	3/8	6/8	4	1	V	D	IV		V		V								M	0	0	1, 5, 2		1	1
144	142	855/2	1.5	0	0	6/8	4	1	V2	D	IV		V2		V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
144	142	429	1.5	3/8	3/8	6/8	4	1	V2	D	IV		V2		V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
145	143	861/2	1.0	0	0	6/8	4	1	I6	D	IV		I6		I		6						M	0	0	4, 1, 0		0	4
145	143	863/2	0.5	1/4	1/4	6/8	4	1	V2	D	IV		V2		V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
145	143	432	1.5	3/8	3/8	6/8	4	1	I6	D	IV		I6		I		6						M	0	0	4, 1, 0		0	4
146	144	867/2	1.0	0	0	6/8	4	1	V64	D	IV		V64		V		64						M	0	0	2, 1, 5		1	2
146	144	869/2	0.5	1/4	1/4	6/8	4	1	I6(2)	D	IV		I6(2)		I		6	2					M	0	0	4, 1, 2		0	4
146	144	435	1.0	3/8	3/8	6/8	4	1	V64	D	IV		V64		V		64						M	0	0	2, 1, 5		1	2
146	144	436	0.5	5/8	5/8	6/8	4	1	V43	D	IV		V43		V		43						Mm7	0	0	2, -1, 1, 5		1	2
147	145	873/2	3.0	0	0	6/8	4	1	I	D	IV		I		I								M	0	0	0, 4, 1		0	0
148	146	879/2	3.0	0	0	6/8	4	1	V6	D	IV		V6		V		6						M	0	0	5, 2, 1		1	5
149	147	885/2	1.0	0	0	6/8	4	1	I(4)	D	IV		I(4)		I			4					M	0	0	0, -1, 1		0	0
149	147	887/2	2.0	1/4	1/4	6/8	4	1	I	D	IV		I		I								M	0	0	0, 4, 1		0	0
150	148	891/2	1.5	0	0	6/8	4	1	V6(7)/V	D	IV		V6(7)/V		V		6	7	V				M	0	0	6, 3, 0		2	6
150	148	447	1.0	3/8	3/8	6/8	4	1	V	D	IV		V		V								M	0	0	1, 5, 2		1	1
150	148	448	0.5	5/8	5/8	6/8	4	1	V6/V	D	IV		V6/V		V		6		V				M	0	0	6, 3, 2		2	6
151	149	897/2	1.0	0	0	6/8	4	1	V	D	IV		V		V								M	0	0	1, 5, 2		1	1
151	149	899/2	0.5	1/4	1/4	6/8	4	1	IV/V	D	IV		IV/V		IV				V				M	0	0	0, 4, 1		0	0
151	149	450	1.0	3/8	3/8	6/8	4	1	V(64)/V	D	IV		V(64)/V		V			64	V				M	0	0	2, 1, 5		2	2
151	149	451	0.5	5/8	5/8	6/8	4	1	V2/V	D	IV		V2/V		V		2		V				Mm7	0	0	0, 2, 6, 3		2	0
152	150	903/2	3.0	0	0	6/8	4	1	V6	D	IV		V6		V		6						M	0	0	5, 2, 1		1	5
153	151	909/2	1.5	0	0	6/8	4	1	I(4)	D	IV		I(4)		I			4					M	0	0	0, -1, 1		0	0
153	151	456	1.5	3/8	3/8	6/8	4	1	I	D	IV		I		I								M	0	0	0, 4, 1		0	0
154	152	915/2	4.5	0	0	6/8	4	1	I[V7/iv	D	IV	I	V7/iv		V		7		iv				Mm7	0	0	0, 4, 1, -2		0	0
155	153	462	3.0	3/8	3/8	6/8	4	1	iv	D	IV		iv		iv								m	0	0	-1, -4, 0		-1	-1
156	154	465	1.5	3/8	3/8	6/8	4	1	IV	D	IV		IV		IV								M	0	0	-1, 3, 0		-1	-1
157	155	933/2	1.5	0	0	6/8	4	1	#viio7/iii	D	IV		#viio7/iii		#vii	o	7		iii				o7	0	0	9, 6, 3, 0		9	9
157	155	468	1.5	3/8	3/8	6/8	4	1	#viio/ii	D	IV		#viio/ii		#vii	o			ii				o	0	0	7, 4, 1		7	7
158	156	939/2	6.0	0	0	6/8	4	1	I]	D	IV		I		I					]			M	0	0	0, 4, 1		0	0
160	158	951/2	1.5	0	0	6/8	4	1	IV6(2)	D	IV		IV6(2)		IV		6	2					M	0	0	3, 0, 1		-1	3
160	158	477	4.5	3/8	3/8	6/8	4	1	IV6	D	IV		IV6		IV		6						M	0	0	3, 0, -1		-1	3
162	160	963/2	1.5	0	0	6/8	4	1	I64	D	IV		I64		I		64						M	0	0	1, 0, 4		0	1
162	160	483	1.5	3/8	3/8	6/8	4	1	V6	D	IV		V6		V		6						M	0	0	5, 2, 1		1	5
163	161	969/2	1.5	0	0	6/8	4	1	V	D	IV		V		V								M	0	0	1, 5, 2		1	1
163	161	486	1.5	3/8	3/8	6/8	4	1	I.I6	D	I		I6		I		6						M	0	0	4, 1, 0		0	4
164	162	975/2	1.5	0	0	6/8	4	1	IV64(7)	D	I		IV64(7)		IV		64	7					M	0	0	0, 4, 3		-1	0
164	162	489	1.5	3/8	3/8	6/8	4	1	IV	D	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
165	163	981/2	1.5	0	0	6/8	4	1	IV64	D	I		IV64		IV		64						M	0	0	0, -1, 3		-1	0
165	163	492	1.5	3/8	3/8	6/8	4	1	IV	D	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
166	164	987/2	1.0	0	0	6/8	4	1	I(6)	D	I		I(6)		I			6					M	0	0	0, 4, 3		0	0
166	164	989/2	0.5	1/4	1/4	6/8	4	1	I	D	I		I		I								M	0	0	0, 4, 1		0	0
166	164	495	1.0	3/8	3/8	6/8	4	1	I6(7)	D	I		I6(7)		I		6	7					M	0	0	4, 1, 5		0	4
166	164	496	0.5	5/8	5/8	6/8	4	1	I6	D	I		I6		I		6						M	0	0	4, 1, 0		0	4
167	165	993/2	1.5	0	0	6/8	4	1	I	D	I		I		I								M	0	0	0, 4, 1		0	0
167	165	498	1.5	3/8	3/8	6/8	4	1	I6	D	I		I6		I		6						M	0	0	4, 1, 0		0	4
168	166	999/2	1.5	0	0	6/8	4	1	IV(4)	D	I		IV(4)		IV			4					M	0	0	-1, 5, 0		-1	-1
168	166	501	3.0	3/8	3/8	6/8	4	1	IV	D	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
169	167	504	1.0	3/8	3/8	6/8	4	1	IV+	D	I		IV+		IV	+							+	0	0	-1, 3, 7		-1	-1
169	167	505	0.5	5/8	5/8	6/8	4	1	It6	D	I		It6	It	vii	o	6	b3	V				It	0	0	-4, 0, 6		6	-4
170	168	1011/2	3.0	0	0	6/8	4	1	III[V/vi	D	I	III	V/vi		V				vi				M	0	0	4, 8, 5		4	4
171	169	1017/2	1.5	0	0	6/8	4	1	vi6	D	I		vi6		vi		6						m	0	0	0, 4, 3		3	0
171	169	510	1.5	3/8	3/8	6/8	4	1	V2/iv	D	I		V2/iv		V		2		iv				Mm7	0	0	-2, 0, 4, 1		0	-2
172	170	1023/2	1.5	0	0	6/8	4	1	vi6	D	I		vi6		vi		6						m	0	0	0, 4, 3		3	0
172	170	513	1.5	3/8	3/8	6/8	4	1	vi(2)	D	I		vi(2)		vi			2					m	0	0	5, 0, 4		3	5
173	171	1029/2	1.5	0	0	6/8	4	1	vi6	D	I		vi6		vi		6						m	0	0	0, 4, 3		3	0
173	171	516	1.5	3/8	3/8	6/8	4	1	vi6(42)	D	I		vi6(42)		vi		6	42					m	0	0	2, 4, 5		3	2
174	172	1035/2	1.5	0	0	6/8	4	1	V6	D	I		V6		V		6						M	0	0	5, 2, 1		1	5
174	172	519	3.0	3/8	3/8	6/8	4	1	I	D	I		I		I								M	0	0	0, 4, 1		0	0
175	173	522	1.5	3/8	3/8	6/8	4	1	I6	D	I		I6		I		6						M	0	0	4, 1, 0		0	4
176	174	1047/2	7.5	0	0	6/8	4	1	I	D	I		I		I								M	0	0	0, 4, 1		0	0
178	176	531	1.5	3/8	3/8	6/8	4	1	V7	D	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
179	177	1065/2	1.5	0	0	6/8	4	1	I6	D	I		I6		I		6						M	0	0	4, 1, 0		0	4
179	177	534	9.0	3/8	3/8	6/8	4	1	V	D	I		V		V								M	0	0	1, 5, 2		1	1
182	180	543	3.0	3/8	3/8	6/8	4	1	I	D	I		I		I								M	0	0	0, 4, 1		0	0
183	181	546	1.5	3/8	3/8	6/8	4	1	viio43	D	I		viio43		vii	o	43						o7	0	0	-1, -4, 5, 2		5	-1
184	182	1095/2	1.5	0	0	6/8	4	1	viio7	D	I		viio7		vii	o	7						o7	0	0	5, 2, -1, -4		5	5
184	182	549	1.5	3/8	3/8	6/8	4	1	viio2	D	I		viio2		vii	o	2						o7	0	0	-4, 5, 2, -1		5	-4
185	183	1101/2	1.5	0	0	6/8	4	1	viio65	D	I		viio65		vii	o	65						o7	0	0	2, -1, -4, 5		5	2
185	183	552	1.0	3/8	3/8	6/8	4	1	V65	D	I		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
185	183	553	0.5	5/8	5/8	6/8	4	1	V43	D	I		V43		V		43						Mm7	0	0	2, -1, 1, 5		1	2
186	184	1107/2	1.0	0	0	6/8	4	1	I	D	I		I		I								M	0	0	0, 4, 1		0	0
186	184	1109/2	0.5	1/4	1/4	6/8	4	1	V43/vi	D	I		V43/vi		V		43		vi				Mm7	0	0	5, 2, 4, 8		4	5
186	184	555	1.0	3/8	3/8	6/8	4	1	vi	D	I		vi		vi								m	0	0	3, 0, 4		3	3
186	184	556	0.5	5/8	5/8	6/8	4	1	V43/IV	D	I		V43/IV		V		43		IV				Mm7	0	0	1, -2, 0, 4		0	1
187	185	1113/2	1.0	0	0	6/8	4	1	IV	D	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
187	185	1115/2	0.5	1/4	1/4	6/8	4	1	V43/ii	D	I		V43/ii		V		43		ii				Mm7	0	0	4, 1, 3, 7		3	4
187	185	558	1.0	3/8	3/8	6/8	4	1	ii	D	I		ii		ii								m	0	0	2, -1, 3		2	2
187	185	559	0.5	5/8	5/8	6/8	4	1	iio64	D	I		iio64		ii	o	64						o	0	0	-4, 2, -1		2	-4
188	186	1119/2	5.5	0	0	6/8	4	1	V7	D	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
189	187	565	0.5	5/8	5/8	6/8	4	1	V43	D	I		V43		V		43						Mm7	0	0	2, -1, 1, 5		1	2
190	188	1131/2	1.0	0	0	6/8	4	1	I	D	I		I		I								M	0	0	0, 4, 1		0	0
190	188	1133/2	0.5	1/4	1/4	6/8	4	1	V43/vi	D	I		V43/vi		V		43		vi				Mm7	0	0	5, 2, 4, 8		4	5
190	188	567	1.0	3/8	3/8	6/8	4	1	vi	D	I		vi		vi								m	0	0	3, 0, 4		3	3
190	188	568	0.5	5/8	5/8	6/8	4	1	V43/IV	D	I		V43/IV		V		43		IV				Mm7	0	0	1, -2, 0, 4		0	1
191	189	1137/2	1.0	0	0	6/8	4	1	IV	D	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
191	189	1139/2	0.5	1/4	1/4	6/8	4	1	V43/ii	D	I		V43/ii		V		43		ii				Mm7	0	0	4, 1, 3, 7		3	4
191	189	570	1.0	3/8	3/8	6/8	4	1	ii	D	I		ii		ii								m	0	0	2, -1, 3		2	2
191	189	571	0.5	5/8	5/8	6/8	4	1	iio64	D	I		iio64		ii	o	64						o	0	0	-4, 2, -1		2	-4
192	190	1143/2	7.5	0	0	6/8	4	1	V7	D	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
194	192	579	3.0	3/8	3/8	6/8	4	1	I\\	D	I		I		I							\\	M	0	0	0, 4, 1		0	0
195	193	582	3.0	3/8	3/8	6/8	4	1	V7	D	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
196	194	585	4.5	3/8	3/8	6/8	4	1	I\\	D	I		I		I							\\	M	0	0	0, 4, 1		0	0
198	196	1179/2	3.0	0	0	6/8	4	1	I	D	I		I		I								M	0	0	0, 4, 1		0	0
199	197	1185/2	3.0	0	0	6/8	4	1	I\\	D	I		I		I							\\	M	0	0	0, 4, 1		0	0
