mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
194	194	194	194a	563	563	1.5	0	0	3/4	4	1	IV	Eb	IV		IV		IV							M	0	0	-1, 3, 0		-1	-1
194	194	194	194a	1129/2	1129/2	1.5	3/8	3/8	3/4	4	1	ii6	Eb	IV		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
195	195	195	195a	566	566	1.0	0	0	3/4	4	1	V(9)	Eb	IV		V(9)		V			9				M	0	0	1, 5, 2	3	1	1
195	195	195	195a	567	567	2.0	1/4	1/4	3/4	4	1	V7	Eb	IV		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
196	196	196	196a	569	569	1.0	0	0	3/4	4	1	#viio7/vi	Eb	IV		#viio7/vi		#vii	o	7		vi			o7	0	0	8, 5, 2, -1		8	8
196	196	196	196a	570	570	1.0	1/4	1/4	3/4	4	1	vi	Eb	IV		vi		vi							m	0	0	3, 0, 4		3	3
196	196	196	196a	571	571	1.5	1/2	1/2	3/4	4	1	V65/V	Eb	IV		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
197	197	197	197a	1145/2	1145/2	0.5	1/8	1/8	3/4	4	1	V(64)	Eb	IV		V(64)		V			64				M	0	0	1, 0, 4		1	1
197	197	197	197a	573	573	2.0	1/4	1/4	3/4	4	1	V7	Eb	IV		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
198	198	198	198a	575	575	3.0	0	0	3/4	4	1	I\\	Eb	IV		I		I						\\	M	0	0	0, 4, 1		0	0
199	199	199	199a	578	578	2.0	0	0	3/4	4	1	ii.iio	Eb	ii		iio		ii	o						o	0	1	2, -1, -4		2	2
199	199	199	199a	580	580	1.0	1/2	1/2	3/4	4	1	V64	Eb	ii		V64		V		64					M	0	1	2, 1, 5		1	2
200	200	200	200a	581	581	1.0	0	0	3/4	4	1	i	Eb	ii		i		i							m	0	1	0, -3, 1		0	0
200	200	200	200a	582	582	2.0	1/4	1/4	3/4	4	1	#viio	Eb	ii		#viio		#vii	o						o	0	1	5, 2, -1		5	5
201	201	201	201a	584	584	1.0	0	0	3/4	4	1	i64	Eb	ii		i64		i		64					m	0	1	1, 0, -3		0	1
201	201	201	201a	585	585	1.0	1/4	1/4	3/4	4	1	V7(2)/bVII	Eb	ii		V7(2)/bVII		V		7	2	bVII			Mm7	0	1	-6, -4, -7, -10		-8	-6
201	201	201	201a	586	586	0.5	1/2	1/2	3/4	4	1	ii6	Eb	ii		ii6		ii		6					m	0	1	-1, 3, 2		2	-1
201	201	201	201a	1173/2	1173/2	0.5	5/8	5/8	3/4	4	1	i6	Eb	ii		i6		i		6					m	0	1	-3, 1, 0		0	-3
202	202	202	202a	587	587	1.0	0	0	3/4	4	1	V43	Eb	ii		V43		V		43					Mm7	0	1	2, -1, 1, 5		1	2
202	202	202	202a	588	588	2.0	1/4	1/4	3/4	4	1	i\\	Eb	ii		i		i						\\	m	0	1	0, -3, 1		0	0
203	203	203	203a	590	590	2.0	0	0	3/4	4	1	I.ii	Eb	I		ii		ii							m	0	0	2, -1, 3		2	2
203	203	203	203a	592	592	1.0	1/2	1/2	3/4	4	1	V64	Eb	I		V64		V		64					M	0	0	2, 1, 5		1	2
204	204	204	204a	593	593	1.0	0	0	3/4	4	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
204	204	204	204a	594	594	1.0	1/4	1/4	3/4	4	1	IV	Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
204	204	204	204a	595	595	1.0	1/2	1/2	3/4	4	1	V6	Eb	I		V6		V		6					M	0	0	5, 2, 1		1	5
205	205	205	205a	596	596	1.0	0	0	3/4	4	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
205	205	205	205a	597	597	1.0	1/4	1/4	3/4	4	1	vi7	Eb	I		vi7		vi		7					mm7	0	0	3, 0, 4, 1		3	3
205	205	205	205a	598	598	0.5	1/2	1/2	3/4	4	1	viio6	Eb	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
205	205	205	205a	1197/2	1197/2	0.5	5/8	5/8	3/4	4	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
206	206	206	206a	599	599	2.5	0	0	3/4	4	1	I[viio6	Eb	I	I	viio6		vii	o	6					o	0	0	2, -1, 5		5	2
206	206	206	206a	1203/2	1203/2	0.5	5/8	5/8	3/4	4	1	viio2	Eb	I	I	viio2		vii	o	2					o7	0	0	-4, 5, 2, -1		5	-4
207	207	207	207a	602	602	3.0	0	0	3/4	4	1	I64	Eb	I	I	I64		I		64					M	0	0	1, 0, 4		0	1
208	208	208	208a	605	605	6.0	0	0	3/4	4	1	viio43	Eb	I	I	viio43		vii	o	43					o7	0	0	-1, -4, 5, 2		5	-1
210	210	210	210a	611	611	1.0	0	0	3/4	4	1	V43	Eb	I	I	V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
210	210	210	210a	612	612	1.0	1/4	1/4	3/4	4	1	I]	Eb	I	I	I		I							M	0	0	0, 4, 1		0	0
210	210	210	210a	613	613	1.0	1/2	1/2	3/4	4	1	IV64	Eb	I		IV64		IV		64					M	0	0	0, -1, 3		-1	0
211	211	211	211a	614	614	2.0	0	0	3/4	4	1	I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
211	211	211	211a	616	616	1.0	1/2	1/2	3/4	4	1	I+6	Eb	I		I+6		I	+	6					+	0	0	4, 8, 0		0	4
212	212	212	212a	617	617	2.0	0	0	3/4	4	1	IV(11)	Eb	I		IV(11)		IV			11				M	0	0	-1, 3, 0	5	-1	-1
212	212	212	212a	619	619	1.0	1/2	1/2	3/4	4	1	IV+	Eb	I		IV+		IV	+						+	0	0	-1, 3, 7		-1	-1
213	213	213	213a	620	620	0.5	0	0	3/4	4	1	IV[ii	Eb	I	IV	ii		ii							m	0	0	2, -1, 3		2	2
213	213	213	213a	1241/2	1241/2	1.0	1/8	1/8	3/4	4	1	viio	Eb	I	IV	viio		vii	o						o	0	0	5, 2, -1		5	5
213	213	213	213a	1243/2	1243/2	0.5	3/8	3/8	3/4	4	1	ii]	Eb	I	IV	ii		ii							m	0	0	2, -1, 3		2	2
213	213	213	213a	622	622	1.5	1/2	1/2	3/4	4	1	viio7/V	Eb	I		viio7/V		vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
214	214	214	214a	1247/2	1247/2	1.0	1/8	1/8	3/4	4	1	viio64	Eb	I		viio64		vii	o	64					o	0	0	-1, 5, 2		5	-1
214	214	214	214a	1249/2	1249/2	1.0	3/8	3/8	3/4	4	1	I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
214	214	214	214a	1251/2	1251/2	0.5	5/8	5/8	3/4	4	1	viio6	Eb	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
215	215	215	215a	626	626	3.0	0	0	3/4	4	1	I[I	Eb	I	I	I		I							M	0	0	0, 4, 1		0	0
216	216	216	216a	629	629	3.0	0	0	3/4	4	1	viio43	Eb	I	I	viio43		vii	o	43					o7	0	0	-1, -4, 5, 2		5	-1
217	217	217	217a	632	632	2.0	0	0	3/4	4	1	viio7	Eb	I	I	viio7		vii	o	7					o7	0	0	5, 2, -1, -4		5	5
217	217	217	217a	634	634	0.5	1/2	1/2	3/4	4	1	I	Eb	I	I	I		I							M	0	0	0, 4, 1		0	0
217	217	217	217a	1269/2	1269/2	1.5	5/8	5/8	3/4	4	1	viio	Eb	I	I	viio		vii	o						o	0	0	5, 2, -1		5	5
218	218	218	218a	636	636	1.0	1/4	1/4	3/4	4	1	I]	Eb	I	I	I		I							M	0	0	0, 4, 1		0	0
218	218	218	218a	637	637	1.0	1/2	1/2	3/4	4	1	ii7	Eb	I		ii7		ii		7					mm7	0	0	2, -1, 3, 0		2	2
219	219	219	219a	638	638	2.0	0	0	3/4	4	1	I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
219	219	219	219a	640	640	1.0	1/2	1/2	3/4	4	1	I+6	Eb	I		I+6		I	+	6					+	0	0	4, 8, 0		0	4
220	220	220	220a	641	641	2.0	0	0	3/4	4	1	IV(9)	Eb	I		IV(9)		IV			9				M	0	0	-1, 3, 0	1	-1	-1
220	220	220	220a	643	643	2.5	1/2	1/2	3/4	4	1	IV+	Eb	I		IV+		IV	+						+	0	0	-1, 3, 7		-1	-1
221	221	221	221a	1291/2	1291/2	0.5	3/8	3/8	3/4	4	1	ii6	Eb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
