mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
111	111	135	111a	202	166	0.5	1/4	1/4	3/8	4	1	V7	G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
112	112	136	112a	405/2	333/2	0.5	0	0	3/8	4	1	I6\\	G	I		I6	I		6				\\	M	0	0	4, 1, 0		0	4
112	112	136	112a	203	167	1.0	1/8	1/8	3/8	4	1	I	G	I		I	I							M	0	0	0, 4, 1		0	0
113	113	137	113a	204	168	0.5	0	0	3/8	4	1	V[I	G	I	V	I	I							M	0	0	0, 4, 1		0	0
113	113	137	113a	409/2	337/2	0.5	1/8	1/8	3/8	4	1	V43	G	I	V	V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
113	113	137	113a	205	169	0.5	1/4	1/4	3/8	4	1	I	G	I	V	I	I							M	0	0	0, 4, 1		0	0
114	114	138	114a	411/2	339/2	1.5	0	0	3/8	4	1	V	G	I	V	V	V							M	0	0	1, 5, 2		1	1
115	115	139	115a	207	171	0.5	0	0	3/8	4	1	I	G	I	V	I	I							M	0	0	0, 4, 1		0	0
115	115	139	115a	415/2	343/2	0.5	1/8	1/8	3/8	4	1	V	G	I	V	V	V							M	0	0	1, 5, 2		1	1
115	115	139	115a	208	172	0.5	1/4	1/4	3/8	4	1	viio6/V	G	I	V	viio6/V	vii	o	6		V			o	0	0	3, 0, 6		6	3
116	116	140	116a	417/2	345/2	0.5	0	0	3/8	4	1	V]	G	I	V	V	V							M	0	0	1, 5, 2		1	1
116	116	140	116a	209	173	0.5	1/8	1/8	3/8	4	1	viio(+2)/V	G	I		viio(+2)/V	vii	o		+2	V			o	0	0	6, 3, 0	1	6	6
116	116	140	116a	419/2	347/2	0.5	1/4	1/4	3/8	4	1	V2	G	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
117	117	141	117a	210	174	0.5	0	0	3/8	4	1	I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
