mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
119	116	197	116a	1155/2	348	3.0	0	0	3/4	4	1		iio		c	i		iio	ii	o						o	1	1	2, -1, -4		2	2
120	117	198	117a	1161/2	351	3.0	0	0	3/4	4	1		III		c	i		III	III							M	1	1	-3, 1, -2		-3	-3
121	118	199	118a	1167/2	354	3.0	0	0	3/4	4	1		V6/V		c	i		V6/V	V		6		V			M	1	1	6, 3, 2		2	6
122	119	200	119a	1173/2	357	3.0	0	0	3/4	4	1		V64/V		c	i		V64/V	V		64		V			M	1	1	3, 2, 6		2	3
123	120	201	120a	1179/2	360	3.0	0	0	3/4	4	1		iv/V		c	i		iv/V	iv				V			m	1	1	0, -3, 1		0	0
124	121	202	121a	1185/2	363	3.0	0	0	3/4	4	1		V6/V		c	i		V6/V	V		6		V			M	1	1	6, 3, 2		2	6
125	122	203	122a	1191/2	366	3.0	0	0	3/4	4	1		V/V		c	i		V/V	V				V			M	1	1	2, 6, 3		2	2
126	123	204	123a	1197/2	369	3.0	0	0	3/4	4	1		V43/V		c	i		V43/V	V		43		V			Mm7	1	1	3, 0, 2, 6		2	3
127	124	205	124a	1203/2	372	3.0	0	0	3/4	4	1		V43/V		c	i		V43/V	V		43		V			Mm7	1	1	3, 0, 2, 6		2	3
128	125	206	125a	1209/2	375	3.0	0	0	3/4	4	1		V43/V		c	i		V43/V	V		43		V			Mm7	1	1	3, 0, 2, 6		2	3
129	126	207	126a	1215/2	378	3.0	0	0	3/4	4	1		ii.i		c	ii		i	i							m	1	1	0, -3, 1		0	0
130	127	208	127a	1221/2	381	3.0	0	0	3/4	4	1		i		c	ii		i	i							m	1	1	0, -3, 1		0	0
131	128	209	128a	1227/2	384	3.0	0	0	3/4	4	1		ii7		c	ii		ii7	ii		7					mm7	1	1	2, -1, 3, 0		2	2
132	129	210	129a	1233/2	387	3.0	0	0	3/4	4	1		III		c	ii		III	III							M	1	1	-3, 1, -2		-3	-3
133	130	211	130a	1239/2	390	3.0	0	0	3/4	4	1		I.V6		c	I		V6	V		6					M	1	0	5, 2, 1		1	5
134	131	212	131a	1245/2	393	3.0	0	0	3/4	4	1		V64		c	I		V64	V		64					M	1	0	2, 1, 5		1	2
135	132	213	132a	1251/2	396	6.0	0	0	3/4	4	1		V2		c	I		V2	V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
137	134	215	134a	1263/2	402	3.0	0	0	3/4	4	1		V		c	I		V	V							M	1	0	1, 5, 2		1	1
138	135	216	135a	1269/2	405	9.0	0	0	3/4	4	1		V43		c	I		V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
141	138	219	138a	1287/2	414	3.0	0	0	3/4	4	1		I\\		c	I		I	I						\\	M	1	0	0, 4, 1		0	0
142	139	220	139a	1293/2	417	3.0	0	0	3/4	4	1		ii7		c	I		ii7	ii		7					mm7	1	0	2, -1, 3, 0		2	2
143	140	221	140a	1299/2	420	3.0	0	0	3/4	4	1		V2		c	I		V2	V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
144	141	222	141a	1305/2	423	3.0	0	0	3/4	4	1		iii7		c	I		iii7	iii		7					mm7	1	0	4, 1, 5, 2		4	4
145	142	223	142a	1311/2	426	3.0	0	0	3/4	4	1		vi		c	I		vi	vi							m	1	0	3, 0, 4		3	3
146	143	224	143a	1317/2	429	3.0	0	0	3/4	4	1		V65(6)		c	I		V65(6)	V		65	6				Mm7	1	0	5, 4, -1, 1		1	5
147	144	225	144a	1323/2	432	3.0	0	0	3/4	4	1		ii6		c	I		ii6	ii		6					m	1	0	-1, 3, 2		2	-1
148	145	226	145a	1329/2	435	3.0	0	0	3/4	4	1		I(4)		c	I		I(4)	I			4				M	1	0	0, -1, 1		0	0
149	146	227	146a	1335/2	438	3.0	0	0	3/4	4	1		V2/IV		c	I		V2/IV	V		2		IV			Mm7	1	0	-2, 0, 4, 1		0	-2
150	147	228	147a	1341/2	441	3.0	0	0	3/4	4	1		IV		c	I		IV	IV							M	1	0	-1, 3, 0		-1	-1
151	148	229	148a	1347/2	444	3.0	0	0	3/4	4	1		V		c	I		V	V							M	1	0	1, 5, 2		1	1
152	149	230	149a	1353/2	447	3.0	0	0	3/4	4	1		I\\		c	I		I	I						\\	M	1	0	0, 4, 1		0	0
153	150	231	150a	1359/2	450	3.0	0	0	3/4	4	1		V2/IV		c	I		V2/IV	V		2		IV			Mm7	1	0	-2, 0, 4, 1		0	-2
154	151	232	151a	1365/2	453	3.0	0	0	3/4	4	1		IV		c	I		IV	IV							M	1	0	-1, 3, 0		-1	-1
155	152	233	152a	1371/2	456	3.0	0	0	3/4	4	1		V		c	I		V	V							M	1	0	1, 5, 2		1	1
156	153	234	153a	1377/2	459	6.0	0	0	3/4	4	1		I\\		c	I		I	I						\\	M	1	0	0, 4, 1		0	0
158	155	236	155a	1389/2	465	3.0	0	0	3/4	4	1		ii2		c	I		ii2	ii		2					mm7	1	0	0, 2, -1, 3		2	0
159	156	237	156a	1395/2	468	3.0	0	0	3/4	4	1		V65		c	I		V65	V		65					Mm7	1	0	5, 2, -1, 1		1	5
160	157	238	157a	1401/2	471	3.0	0	0	3/4	4	1		iii2		c	I		iii2	iii		2					mm7	1	0	2, 4, 1, 5		4	2
161	158	239	158a	1407/2	474	3.0	0	0	3/4	4	1		vi6		c	I		vi6	vi		6					m	1	0	0, 4, 3		3	0
162	159	240	159a	1413/2	477	3.0	0	0	3/4	4	1		IV2		c	I		IV2	IV		2					Mm7	1	0	-3, -1, 3, 0		-1	-3
163	160	241	160a	1419/2	480	3.0	0	0	3/4	4	1		ii		c	I		ii	ii							m	1	0	2, -1, 3		2	2
164	161	242	161a	1425/2	483	3.0	0	0	3/4	4	1		V(64)		c	I		V(64)	V			64				M	1	0	1, 0, 4		1	1
165	162	243	162a	1431/2	486	2.0	0	0	3/4	4	1		IV(2)		c	I		IV(2)	IV			2				M	1	0	1, 3, 0		-1	1
165	162	243	162a	1435/2	488	1.0	1/2	1/2	3/4	4	1		IV		c	I		IV	IV							M	1	0	-1, 3, 0		-1	-1
166	163	244	163a	1437/2	489	3.0	0	0	3/4	4	1		V65		c	I		V65	V		65					Mm7	1	0	5, 2, -1, 1		1	5
167	164	245	164a	1443/2	492	3.0	0	0	3/4	4	1		V		c	I		V	V							M	1	0	1, 5, 2		1	1
168	165	246	165a	1449/2	495	3.0	0	0	3/4	4	1		iio7		c	I		iio7	ii	o	7					o7	1	0	2, -1, -4, -7		2	2
169	166	247	166a	1455/2	498	3.0	0	0	3/4	4	1		viio65		c	I		viio65	vii	o	65					o7	1	0	2, -1, -4, 5		5	2
170	167	248	167a	1461/2	501	3.0	0	0	3/4	4	1		viio43		c	I		viio43	vii	o	43					o7	1	0	-1, -4, 5, 2		5	-1
171	168	249	168a	1467/2	504	4.5	0	0	3/4	4	1		viio7		c	I		viio7	vii	o	7					o7	1	0	5, 2, -1, -4		5	5
173	169	251	169a	738	1017/2	1.5	0	3/8	3/4	4	1		i.i		c	i		i	i							m	1	1	0, -3, 1		0	0
174	170	252	170a	1479/2	510	8.0	0	0	3/4	4	1		i		c	i		i	i							m	1	1	0, -3, 1		0	0
176	172	254	172a	1495/2	518	1.0	1/2	1/2	3/4	4	1		viio64/V		c	i		viio64/V	vii	o	64		V			o	1	1	0, 6, 3		6	0
177	173	255	173a	1497/2	519	13.5	0	0	3/4	4	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
173	169	260	177a	762	1017/2	1.5	0	3/8	3/4	4	1		i.i		c	i		i	i							m	1	1	0, -3, 1		0	0
174	170	261	170b	1527/2	510	8.0	0	0	3/4	4	1		i		c	i		i	i							m	1	1	0, -3, 1		0	0
176	172	263	172b	1543/2	518	1.0	1/2	1/2	3/4	4	1		viio64/V		c	i		viio64/V	vii	o	64		V			o	1	1	0, 6, 3		6	0
177	173	264	173b	1545/2	519	13.5	0	0	3/4	4	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
182	177	269	177b	786	1065/2	1.5	0	3/8	3/4	4	1		VI		c	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
183	178	270	178a	1575/2	534	1.5	0	0	3/4	4	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
183	178	270	178a	789	1071/2	1.5	3/8	3/8	3/4	4	1		VI		c	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
184	179	271	179a	1581/2	537	1.5	0	0	3/4	4	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
184	179	271	179a	792	1077/2	1.5	3/8	3/8	3/4	4	1		VI		c	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
185	180	272	180a	1587/2	540	1.5	0	0	3/4	4	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
185	180	272	180a	795	1083/2	1.5	3/8	3/8	3/4	4	1		VI		c	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
186	181	273	181a	1593/2	543	1.5	0	0	3/4	4	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
186	181	273	181a	798	1089/2	1.5	3/8	3/8	3/4	4	1		iv.VI		c	iv		VI	VI							M	1	1	-4, 0, -3		-4	-4
187	182	274	182a	1599/2	546	1.5	0	0	3/4	4	1		V		c	iv		V	V							M	1	1	1, 5, 2		1	1
187	182	274	182a	801	1095/2	1.5	3/8	3/8	3/4	4	1		VI		c	iv		VI	VI							M	1	1	-4, 0, -3		-4	-4
188	183	275	183a	1605/2	549	1.5	0	0	3/4	4	1		V		c	iv		V	V							M	1	1	1, 5, 2		1	1
188	183	275	183a	804	1101/2	1.5	3/8	3/8	3/4	4	1		VI		c	iv		VI	VI							M	1	1	-4, 0, -3		-4	-4
189	184	276	184a	1611/2	552	1.5	0	0	3/4	4	1		V		c	iv		V	V							M	1	1	1, 5, 2		1	1
189	184	276	184a	807	1107/2	1.5	3/8	3/8	3/4	4	1		VI		c	iv		VI	VI							M	1	1	-4, 0, -3		-4	-4
190	185	277	185a	1617/2	555	1.5	0	0	3/4	4	1		bII.vii		c	bII		vii	vii							m	1	0	5, 2, 6		5	5
190	185	277	185a	810	1113/2	1.5	3/8	3/8	3/4	4	1		V6		c	bII		V6	V		6					M	1	0	5, 2, 1		1	5
191	186	278	186a	1623/2	558	6.0	0	0	3/4	4	1		I		c	bII		I	I							M	1	0	0, 4, 1		0	0
193	188	280	188a	1635/2	564	6.0	0	0	3/4	4	1		IV		c	bII		IV	IV							M	1	0	-1, 3, 0		-1	-1
195	190	282	190a	1647/2	570	6.0	0	0	3/4	4	1		V7		c	bII		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
197	192	284	192a	1659/2	576	9.0	0	0	3/4	4	1		I		c	bII		I	I							M	1	0	0, 4, 1		0	0
200	195	287	195a	1677/2	585	3.0	0	0	3/4	4	1		I		c	bII		I	I							M	1	0	0, 4, 1		0	0
201	196	288	196a	1683/2	588	3.0	0	0	3/4	4	1		iv.ii%65		c	iv		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
202	197	289	197a	1689/2	591	3.0	0	0	3/4	4	1		ii%7		c	iv		ii%7	ii	%	7					%7	1	1	2, -1, -4, 0		2	2
203	198	290	198a	1695/2	594	6.0	0	0	3/4	4	1		V7		c	iv		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
205	200	292	200a	1707/2	600	6.0	0	0	3/4	4	1		i		c	iv		i	i							m	1	1	0, -3, 1		0	0
207	202	294	202a	1719/2	606	3.0	0	0	3/4	4	1		i\\		c	iv		i	i						\\	m	1	1	0, -3, 1		0	0
208	203	295	203a	1725/2	609	6.0	0	0	3/4	4	1		viio7/V		c	iv		viio7/V	vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6
210	205	297	205a	1737/2	615	3.0	0	0	3/4	4	1		V7/V		c	iv		V7/V	V		7		V			Mm7	1	1	2, 6, 3, 0		2	2
211	206	298	206a	1743/2	618	9.0	0	0	3/4	4	1		i.i		c	i		i	i							m	1	1	0, -3, 1		0	0
214	209	301	209a	1761/2	627	6.0	0	0	3/4	4	1		viio7/V		c	i		viio7/V	vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6
216	211	303	211a	1773/2	633	3.0	0	0	3/4	4	1		V7/V		c	i		V7/V	V		7		V			Mm7	1	1	2, 6, 3, 0		2	2
217	212	304	212a	1779/2	636	3.0	0	0	3/4	4	1		v[v		c	i	v	v	v							m	1	1	1, -2, 2		1	1
218	213	305	213a	1785/2	639	3.0	0	0	3/4	4	1		V7		c	i	v	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
219	214	306	214a	1791/2	642	3.0	0	0	3/4	4	1		i		c	i	v	i	i							m	1	1	0, -3, 1		0	0
220	215	307	215a	1797/2	645	3.0	0	0	3/4	4	1		V7		c	i	v	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
221	216	308	216a	1803/2	648	3.0	0	0	3/4	4	1		i		c	i	v	i	i							m	1	1	0, -3, 1		0	0
222	217	309	217a	1809/2	651	3.0	0	0	3/4	4	1		V/V		c	i	v	V/V	V				V			M	1	1	2, 6, 3		2	2
223	218	310	218a	1815/2	654	3.0	0	0	3/4	4	1		V		c	i	v	V	V							M	1	1	1, 5, 2		1	1
224	219	311	219a	1821/2	657	3.0	0	0	3/4	4	1		V]		c	i	v	V	V							M	1	1	1, 5, 2		1	1
225	220	312	220a	1827/2	660	3.0	0	0	3/4	4	1		i[i		c	i	i	i	i							m	1	1	0, -3, 1		0	0
226	221	313	221a	1833/2	663	3.0	0	0	3/4	4	1		V7/iv		c	i	i	V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
227	222	314	222a	1839/2	666	3.0	0	0	3/4	4	1		iv		c	i	i	iv	iv							m	1	1	-1, -4, 0		-1	-1
228	223	315	223a	1845/2	669	3.0	0	0	3/4	4	1		V7/iv		c	i	i	V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
229	224	316	224a	1851/2	672	5.0	0	0	3/4	4	1		iv		c	i	i	iv	iv							m	1	1	-1, -4, 0		-1	-1
230	225	317	225a	1861/2	677	1.0	1/2	1/2	3/4	4	1		V		c	i	i	V	V							M	1	1	1, 5, 2		1	1
231	226	318	226a	1863/2	678	1.0	0	0	3/4	4	1		i]		c	i	i	i	i							m	1	1	0, -3, 1		0	0
231	226	318	226a	1865/2	679	2.0	1/4	1/4	3/4	4	1		i6		c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
232	227	319	227a	1869/2	681	1.0	0	0	3/4	4	1		iv		c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
232	227	319	227a	1871/2	682	2.0	1/4	1/4	3/4	4	1		V65/III		c	i		V65/III	V		65		III			Mm7	1	1	2, -1, -4, -2		-2	2
233	228	320	228a	1875/2	684	1.0	0	0	3/4	4	1		III		c	i		III	III							M	1	1	-3, 1, -2		-3	-3
233	228	320	228a	1877/2	685	2.0	1/4	1/4	3/4	4	1		VI6		c	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
234	229	321	229a	1881/2	687	1.0	0	0	3/4	4	1		iio		c	i		iio	ii	o						o	1	1	2, -1, -4		2	2
234	229	321	229a	1883/2	688	2.0	1/4	1/4	3/4	4	1		V65		c	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
235	230	322	230a	1887/2	690	1.0	0	0	3/4	4	1		i		c	i		i	i							m	1	1	0, -3, 1		0	0
235	230	322	230a	1889/2	691	2.0	1/4	1/4	3/4	4	1		i6		c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
236	231	323	231a	1893/2	693	1.0	0	0	3/4	4	1		iv		c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
236	231	323	231a	1895/2	694	2.0	1/4	1/4	3/4	4	1		V65/III		c	i		V65/III	V		65		III			Mm7	1	1	2, -1, -4, -2		-2	2
237	232	324	232a	1899/2	696	1.0	0	0	3/4	4	1		III		c	i		III	III							M	1	1	-3, 1, -2		-3	-3
237	232	324	232a	1901/2	697	2.0	1/4	1/4	3/4	4	1		VI6		c	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
238	233	325	233a	1905/2	699	1.0	0	0	3/4	4	1		iio		c	i		iio	ii	o						o	1	1	2, -1, -4		2	2
238	233	325	233a	1907/2	700	2.0	1/4	1/4	3/4	4	1		V65		c	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
239	234	326	234a	1911/2	702	1.0	0	0	3/4	4	1		ii		c	i		ii	ii							m	1	1	2, -1, 3		2	2
239	234	326	234a	1913/2	703	2.0	1/4	1/4	3/4	4	1		IV6		c	i		IV6	IV		6					M	1	1	3, 0, -1		-1	3
240	235	327	235a	1917/2	705	1.0	0	0	3/4	4	1		V(64)		c	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
240	235	327	235a	1919/2	706	2.0	1/4	1/4	3/4	4	1		V7		c	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
241	236	328	236a	1923/2	708	1.0	0	0	3/4	4	1		i		c	i		i	i							m	1	1	0, -3, 1		0	0
241	236	328	236a	1925/2	709	2.0	1/4	1/4	3/4	4	1		IV6		c	i		IV6	IV		6					M	1	1	3, 0, -1		-1	3
242	237	329	237a	1929/2	711	1.0	0	0	3/4	4	1		V(64)		c	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
242	237	329	237a	1931/2	712	2.0	1/4	1/4	3/4	4	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
243	238	330	238a	1935/2	714	3.0	0	0	3/4	4	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
244	239	331	239a	1941/2	717	3.0	0	0	3/4	4	1		iv		c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
245	240	332	240a	1947/2	720	3.0	0	0	3/4	4	1		ii%65/v		c	i		ii%65/v	ii	%	65		v			%7	1	1	0, -3, 1, 3		3	0
246	241	333	241a	1953/2	723	3.0	0	0	3/4	4	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
247	242	334	242a	1959/2	726	2.0	0	0	3/4	4	1		i		c	i		i	i							m	1	1	0, -3, 1		0	0
247	242	334	242a	1963/2	728	1.0	1/2	1/2	3/4	4	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
248	243	335	243a	1965/2	729	2.0	0	0	3/4	4	1		i		c	i		i	i							m	1	1	0, -3, 1		0	0
248	243	335	243a	1969/2	731	1.0	1/2	1/2	3/4	4	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
249	244	336	244a	1971/2	732	2.0	0	0	3/4	4	1		i		c	i		i	i							m	1	1	0, -3, 1		0	0
249	244	336	244a	1975/2	734	1.0	1/2	1/2	3/4	4	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
250	245	337	245a	1977/2	735	2.0	0	0	3/4	4	1		i		c	i		i	i							m	1	1	0, -3, 1		0	0
250	245	337	245a	1981/2	737	1.0	1/2	1/2	3/4	4	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
251	246	338	246a	1983/2	738	3.0	0	0	3/4	4	1		I.I		c	I		I	I							M	1	0	0, 4, 1		0	0
252	247	339	247a	1989/2	741	21.0	0	0	3/4	4	1		I		c	I		I	I							M	1	0	0, 4, 1		0	0
259	254	346	254a	2031/2	762	3.0	0	0	3/4	4	1		I		c	I		I	I							M	1	0	0, 4, 1		0	0
260	255	347	255a	2037/2	765	6.0	0	0	3/4	4	1		IV		c	I		IV	IV							M	1	0	-1, 3, 0		-1	-1
262	257	349	257a	2049/2	771	3.0	0	0	3/4	4	1		ii		c	I		ii	ii							m	1	0	2, -1, 3		2	2
263	258	350	258a	2055/2	774	3.0	0	0	3/4	4	1		V.ii		c	V		ii	ii							m	1	0	2, -1, 3		2	2
264	259	351	259a	2061/2	777	3.0	0	0	3/4	4	1		V		c	V		V	V							M	1	0	1, 5, 2		1	1
265	260	352	260a	2067/2	780	3.0	0	0	3/4	4	1		I		c	V		I	I							M	1	0	0, 4, 1		0	0
266	261	353	261a	2073/2	783	3.0	0	0	3/4	4	1		V		c	V		V	V							M	1	0	1, 5, 2		1	1
267	262	354	262a	2079/2	786	3.0	0	0	3/4	4	1		ii		c	V		ii	ii							m	1	0	2, -1, 3		2	2
268	263	355	263a	2085/2	789	3.0	0	0	3/4	4	1		V		c	V		V	V							M	1	0	1, 5, 2		1	1
269	264	356	264a	2091/2	792	3.0	0	0	3/4	4	1		I		c	V		I	I							M	1	0	0, 4, 1		0	0
270	265	357	265a	2097/2	795	3.0	0	0	3/4	4	1		I.I		c	I		I	I							M	1	0	0, 4, 1		0	0
271	266	358	266a	2103/2	798	3.0	0	0	3/4	4	1		ii2		c	I		ii2	ii		2					mm7	1	0	0, 2, -1, 3		2	0
272	267	359	267a	2109/2	801	3.0	0	0	3/4	4	1		V65		c	I		V65	V		65					Mm7	1	0	5, 2, -1, 1		1	5
273	268	360	268a	2115/2	804	3.0	0	0	3/4	4	1		iii2		c	I		iii2	iii		2					mm7	1	0	2, 4, 1, 5		4	2
274	269	361	269a	2121/2	807	3.0	0	0	3/4	4	1		vi6		c	I		vi6	vi		6					m	1	0	0, 4, 3		3	0
275	270	362	270a	2127/2	810	3.0	0	0	3/4	4	1		IV2		c	I		IV2	IV		2					Mm7	1	0	-3, -1, 3, 0		-1	-3
276	271	363	271a	2133/2	813	3.0	0	0	3/4	4	1		ii		c	I		ii	ii							m	1	0	2, -1, 3		2	2
277	272	364	272a	2139/2	816	1.0	0	0	3/4	4	1		V(4)		c	I		V(4)	V			4				M	1	0	1, 0, 2		1	1
277	272	364	272a	2141/2	817	1.0	1/4	1/4	3/4	4	1		V		c	I		V	V							M	1	0	1, 5, 2		1	1
277	272	364	272a	2143/2	818	1.0	1/2	1/2	3/4	4	1		I6		c	I		I6	I		6					M	1	0	4, 1, 0		0	4
278	273	365	273a	2145/2	819	3.0	0	0	3/4	4	1		IV6		c	I		IV6	IV		6					M	1	0	3, 0, -1		-1	3
279	274	366	274a	2151/2	822	3.0	0	0	3/4	4	1		viio6/V		c	I		viio6/V	vii	o	6		V			o	1	0	3, 0, 6		6	3
280	275	367	275a	2157/2	825	3.0	0	0	3/4	4	1		V.I		c	V		I	I							M	1	0	0, 4, 1		0	0
281	276	368	276a	2163/2	828	3.0	0	0	3/4	4	1		ii6		c	V		ii6	ii		6					m	1	0	-1, 3, 2		2	-1
282	277	369	277a	2169/2	831	3.0	0	0	3/4	4	1		V		c	V		V	V							M	1	0	1, 5, 2		1	1
283	278	370	278a	2175/2	834	6.0	0	0	3/4	4	1		I		c	V		I	I							M	1	0	0, 4, 1		0	0
285	280	372	280a	2187/2	840	3.0	0	0	3/4	4	1		ii6		c	V		ii6	ii		6					m	1	0	-1, 3, 2		2	-1
286	281	373	281a	2193/2	843	3.0	0	0	3/4	4	1		V		c	V		V	V							M	1	0	1, 5, 2		1	1
287	282	374	282a	2199/2	846	3.0	0	0	3/4	4	1		I\\		c	V		I	I						\\	M	1	0	0, 4, 1		0	0
288	283	375	283a	2205/2	849	6.0	0	0	3/4	4	1		v.i		c	v		i	i							m	1	1	0, -3, 1		0	0
290	285	377	285a	2217/2	855	3.0	0	0	3/4	4	1		iio		c	v		iio	ii	o						o	1	1	2, -1, -4		2	2
291	286	378	286a	2223/2	858	3.0	0	0	3/4	4	1		III		c	v		III	III							M	1	1	-3, 1, -2		-3	-3
292	287	379	287a	2229/2	861	3.0	0	0	3/4	4	1		V6/V		c	v		V6/V	V		6		V			M	1	1	6, 3, 2		2	6
293	288	380	288a	2235/2	864	3.0	0	0	3/4	4	1		V43/V		c	v		V43/V	V		43		V			Mm7	1	1	3, 0, 2, 6		2	3
294	289	381	289a	2241/2	867	3.0	0	0	3/4	4	1		iv/V		c	v		iv/V	iv				V			m	1	1	0, -3, 1		0	0
295	290	382	290a	2247/2	870	3.0	0	0	3/4	4	1		V6/V		c	v		V6/V	V		6		V			M	1	1	6, 3, 2		2	6
296	291	383	291a	2253/2	873	3.0	0	0	3/4	4	1		V/V		c	v		V/V	V				V			M	1	1	2, 6, 3		2	2
297	292	384	292a	2259/2	876	3.0	0	0	3/4	4	1		V43/V		c	v		V43/V	V		43		V			Mm7	1	1	3, 0, 2, 6		2	3
298	293	385	293a	2265/2	879	3.0	0	0	3/4	4	1		V43/V		c	v		V43/V	V		43		V			Mm7	1	1	3, 0, 2, 6		2	3
299	294	386	294a	2271/2	882	3.0	0	0	3/4	4	1		V43/V		c	v		V43/V	V		43		V			Mm7	1	1	3, 0, 2, 6		2	3
300	295	387	295a	2277/2	885	6.0	0	0	3/4	4	1		ii.i		c	ii		i	i							m	1	1	0, -3, 1		0	0
302	297	389	297a	2289/2	891	3.0	0	0	3/4	4	1		ii7		c	ii		ii7	ii		7					mm7	1	1	2, -1, 3, 0		2	2
303	298	390	298a	2295/2	894	3.0	0	0	3/4	4	1		III		c	ii		III	III							M	1	1	-3, 1, -2		-3	-3
304	299	391	299a	2301/2	897	3.0	0	0	3/4	4	1		I.V6		c	I		V6	V		6					M	1	0	5, 2, 1		1	5
305	300	392	300a	2307/2	900	3.0	0	0	3/4	4	1		V64		c	I		V64	V		64					M	1	0	2, 1, 5		1	2
306	301	393	301a	2313/2	903	6.0	0	0	3/4	4	1		V2		c	I		V2	V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
308	303	395	303a	2325/2	909	3.0	0	0	3/4	4	1		V		c	I		V	V							M	1	0	1, 5, 2		1	1
309	304	396	304a	2331/2	912	9.0	0	0	3/4	4	1		V43		c	I		V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
312	307	399	307a	2349/2	921	3.0	0	0	3/4	4	1		I		c	I		I	I							M	1	0	0, 4, 1		0	0
313	308	400	308a	2355/2	924	3.0	0	0	3/4	4	1		ii7		c	I		ii7	ii		7					mm7	1	0	2, -1, 3, 0		2	2
314	309	401	309a	2361/2	927	3.0	0	0	3/4	4	1		V2		c	I		V2	V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
315	310	402	310a	2367/2	930	3.0	0	0	3/4	4	1		iii7		c	I		iii7	iii		7					mm7	1	0	4, 1, 5, 2		4	4
316	311	403	311a	2373/2	933	3.0	0	0	3/4	4	1		vi		c	I		vi	vi							m	1	0	3, 0, 4		3	3
317	312	404	312a	2379/2	936	3.0	0	0	3/4	4	1		V65(6)		c	I		V65(6)	V		65	6				Mm7	1	0	5, 4, -1, 1		1	5
318	313	405	313a	2385/2	939	3.0	0	0	3/4	4	1		ii6		c	I		ii6	ii		6					m	1	0	-1, 3, 2		2	-1
319	314	406	314a	2391/2	942	3.0	0	0	3/4	4	1		I(4)		c	I		I(4)	I			4				M	1	0	0, -1, 1		0	0
320	315	407	315a	2397/2	945	3.0	0	0	3/4	4	1		V2/IV		c	I		V2/IV	V		2		IV			Mm7	1	0	-2, 0, 4, 1		0	-2
321	316	408	316a	2403/2	948	3.0	0	0	3/4	4	1		IV		c	I		IV	IV							M	1	0	-1, 3, 0		-1	-1
322	317	409	317a	2409/2	951	3.0	0	0	3/4	4	1		V43		c	I		V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
323	318	410	318a	2415/2	954	3.0	0	0	3/4	4	1		I		c	I		I	I							M	1	0	0, 4, 1		0	0
324	319	411	319a	2421/2	957	3.0	0	0	3/4	4	1		V2/IV		c	I		V2/IV	V		2		IV			Mm7	1	0	-2, 0, 4, 1		0	-2
325	320	412	320a	2427/2	960	3.0	0	0	3/4	4	1		IV		c	I		IV	IV							M	1	0	-1, 3, 0		-1	-1
