mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
21	20	21	20a	77	77	4.5	0	0	4/4	4	1		V	c	i		V		V							M	1	1	1, 5, 2		1	1
22	21	22	21a	163/2	163/2	3.5	1/8	1/8	4/4	4	1		V(64)	c	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
23	22	23	22a	85	85	1.0	0	0	4/4	4	1		V(9)	c	i		V(9)		V			9				M	1	1	1, 5, 2	-4	1	1
23	22	23	22a	86	86	3.5	1/4	1/4	4/4	4	1		V	c	i		V		V							M	1	1	1, 5, 2		1	1
24	23	24	23a	179/2	179/2	3.5	1/8	1/8	4/4	4	1		V(64)	c	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
25	24	25	24a	93	93	0.5	0	0	4/4	4	1		V(9)	c	i		V(9)		V			9				M	1	1	1, 5, 2	-4	1	1
25	24	25	24a	187/2	187/2	0.5	1/8	1/8	4/4	4	1		V	c	i		V		V							M	1	1	1, 5, 2		1	1
25	24	25	24a	94	94	1.0	1/4	1/4	4/4	4	1		i	c	i		i		i							m	1	1	0, -3, 1		0	0
25	24	25	24a	95	95	0.5	1/2	1/2	4/4	4	1		V(9)	c	i		V(9)		V			9				M	1	1	1, 5, 2	-4	1	1
25	24	25	24a	191/2	191/2	0.5	5/8	5/8	4/4	4	1		V	c	i		V		V							M	1	1	1, 5, 2		1	1
25	24	25	24a	96	96	1.0	3/4	3/4	4/4	4	1		i	c	i		i		i							m	1	1	0, -3, 1		0	0
26	25	26	25a	97	97	4.0	0	0	4/4	4	1		V\\	c	i		V		V						\\	M	1	1	1, 5, 2		1	1
27	26	27	26a	101	101	1.0	0	0	4/4	4	1		III.I	c	III		I		I							M	1	0	0, 4, 1		0	0
27	26	27	26a	102	102	1.0	1/4	1/4	4/4	4	1		V2/IV	c	III		V2/IV		V		2		IV			Mm7	1	0	-2, 0, 4, 1		0	-2
27	26	27	26a	103	103	1.0	1/2	1/2	4/4	4	1		IV6	c	III		IV6		IV		6					M	1	0	3, 0, -1		-1	3
27	26	27	26a	104	104	0.5	3/4	3/4	4/4	4	1		I6	c	III		I6		I		6					M	1	0	4, 1, 0		0	4
27	26	27	26a	209/2	209/2	0.5	7/8	7/8	4/4	4	1		V65/IV	c	III		V65/IV		V		65		IV			Mm7	1	0	4, 1, -2, 0		0	4
28	27	28	27a	105	105	1.0	0	0	4/4	4	1		IV	c	III		IV		IV							M	1	0	-1, 3, 0		-1	-1
28	27	28	27a	106	106	1.0	1/4	1/4	4/4	4	1		V2/IV	c	III		V2/IV		V		2		IV			Mm7	1	0	-2, 0, 4, 1		0	-2
28	27	28	27a	107	107	1.0	1/2	1/2	4/4	4	1		IV6	c	III		IV6		IV		6					M	1	0	3, 0, -1		-1	3
28	27	28	27a	108	108	1.0	3/4	3/4	4/4	4	1		V65/IV	c	III		V65/IV		V		65		IV			Mm7	1	0	4, 1, -2, 0		0	4
29	28	29	28a	109	109	1.0	0	0	4/4	4	1		IV	c	III		IV		IV							M	1	0	-1, 3, 0		-1	-1
29	28	29	28a	110	110	1.0	1/4	1/4	4/4	4	1		V65/IV	c	III		V65/IV		V		65		IV			Mm7	1	0	4, 1, -2, 0		0	4
29	28	29	28a	111	111	1.0	1/2	1/2	4/4	4	1		IV	c	III		IV		IV							M	1	0	-1, 3, 0		-1	-1
29	28	29	28a	112	112	3.0	3/4	3/4	4/4	4	1		V65/IV	c	III		V65/IV		V		65		IV			Mm7	1	0	4, 1, -2, 0		0	4
30	29	30	29a	115	115	2.0	1/2	1/2	4/4	4	1		IV\\	c	III		IV		IV						\\	M	1	0	-1, 3, 0		-1	-1
