"chord"	"altchord"	"measure"	"beat"	"global_key"	"local_key"	"pedal"	"numeral"	"form"	"figbass"	"changes"	"relativeroot"	"phraseend"
"V[i6"	""	103	2.5	"D"	"I"	"V"	"i"	""	"6"	""	""	false
"#ivo2"	""	104	2.0	"D"	"I"	"V"	"#iv"	"o"	"2"	""	""	false
"ii64"	""	105	1.0	"D"	"I"	"V"	"ii"	""	"64"	""	""	false
"ivo2"	""	105	2.0	"D"	"I"	"V"	"iv"	"o"	"2"	""	""	false
"ivo65"	""	105	2.5	"D"	"I"	"V"	"iv"	"o"	"65"	""	""	false
"v%7(b2)"	""	106	1.0	"D"	"I"	"V"	"v"	"%"	"7"	"b2"	""	false
"v7]"	""	106	2.0	"D"	"I"	"V"	"v"	""	"7"	""	""	false
"I[V7/V"	""	106	2.5	"D"	"I"	"I"	"V"	""	"7"	""	"V"	false
"IV43"	""	107	1.0	"D"	"I"	"I"	"IV"	""	"43"	""	""	false
"#ivo"	""	107	1.5	"D"	"I"	"I"	"#iv"	"o"	""	""	""	false
"viio43"	""	107	2.0	"D"	"I"	"I"	"vii"	"o"	"43"	""	""	false
"viio6"	""	110	1.0	"D"	"I"	"I"	"vii"	"o"	"6"	""	""	false
"viio43"	""	110	2.5	"D"	"I"	"I"	"vii"	"o"	"43"	""	""	false
"viio6]"	""	111	1.0	"D"	"I"	"I"	"vii"	"o"	"6"	""	""	false
"viio43"	""	111	2.5	"D"	"I"	""	"vii"	"o"	"43"	""	""	false
"I]"	""	112	1.0	"D"	"I"	""	"I"	""	""	""	""	false
"V7"	""	115	1.0	"D"	"I"	""	"V"	""	"7"	""	""	false
"I"	""	116	1.0	"D"	"I"	""	"I"	""	""	""	""	false
"V7/iv"	""	117	1.0	"D"	"I"	""	"V"	""	"7"	""	"iv"	false
"iv"	""	118	1.0	"D"	"I"	""	"iv"	""	""	""	""	false
"ii/iv"	""	118	2.5	"D"	"I"	""	"ii"	""	""	""	"iv"	false
"iv"	""	119	1.0	"D"	"I"	""	"iv"	""	""	""	""	false
"I"	""	119	2.0	"D"	"I"	""	"I"	""	""	""	""	false
"vii6"	""	120	2.0	"D"	"I"	""	"vii"	""	"6"	""	""	false
"I"	""	120	2.5	"D"	"I"	""	"I"	""	""	""	""	false
"V7"	""	121	1.0	"D"	"I"	""	"V"	""	"7"	""	""	false
"#io"	""	121	2.0	"D"	"I"	""	"#i"	"o"	""	""	""	false
"V65"	""	121	2.5	"D"	"I"	""	"V"	""	"65"	""	""	false
"I"	""	122	1.0	"D"	"I"	""	"I"	""	""	""	""	false
"#ivo"	""	122	2.0	"D"	"I"	""	"#iv"	"o"	""	""	""	false
"V(642)"	""	123	1.0	"D"	"I"	""	"V"	""	""	"642"	""	false
"V"	""	123	2.0	"D"	"I"	""	"V"	""	""	""	""	false
"V7(b2)"	""	124	1.0	"D"	"I"	""	"V"	""	"7"	"b2"	""	false
"V7"	""	124	2.0	"D"	"I"	""	"V"	""	"7"	""	""	false
"I64(b2)"	""	125	1.0	"D"	"I"	""	"I"	""	"64"	"b2"	""	false
"I"	""	125	2.0	"D"	"I"	""	"I"	""	""	""	""	false
"V7"	""	126	1.0	"D"	"I"	""	"V"	""	"7"	""	""	false
"I"	""	126	2.0	"D"	"I"	""	"I"	""	""	""	""	false
"V64"	""	127	1.0	"D"	"I"	""	"V"	""	"64"	""	""	false
"V43(b9)"	""	128	1.0	"D"	"I"	""	"V"	""	"43"	"b9"	""	false
"I6"	""	129	1.0	"D"	"I"	""	"I"	""	"6"	""	""	false
"#io65"	""	129	2.0	"D"	"I"	""	"#i"	"o"	"65"	""	""	false
"V65/ii"	""	130	1.0	"D"	"I"	""	"V"	""	"65"	""	"ii"	false
"ii"	""	130	2.5	"D"	"I"	""	"ii"	""	""	""	""	false
"viio43"	""	131	1.0	"D"	"I"	""	"vii"	"o"	"43"	""	""	false
"V2"	""	131	2.0	"D"	"I"	""	"V"	""	"2"	""	""	false
"V43"	""	131	2.5	"D"	"I"	""	"V"	""	"43"	""	""	false
"I6"	""	132	2.0	"D"	"I"	""	"I"	""	"6"	""	""	false
"ii6"	""	133	1.0	"D"	"I"	""	"ii"	""	"6"	""	""	false
"V"	""	133	2.0	"D"	"I"	""	"V"	""	""	""	""	false
"I[iiio43"	""	134	1.0	"D"	"I"	"I"	"iii"	"o"	"43"	""	""	false
"viio65/vi"	""	135	1.0	"D"	"I"	"I"	"vii"	"o"	"65"	""	"vi"	false
"I]"	""	136	1.0	"D"	"I"	"I"	"I"	""	""	""	""	false
"IV"	""	136	2.5	"D"	"I"	""	"IV"	""	""	""	""	false
"V(64)"	""	137	1.0	"D"	"I"	""	"V"	""	""	"64"	""	false
"V"	""	137	2.0	"D"	"I"	""	"V"	""	""	""	""	false
"I[iiio43"	""	138	1.0	"D"	"I"	"I"	"iii"	"o"	"43"	""	""	false
"viio65/vi"	""	139	1.0	"D"	"I"	"I"	"vii"	"o"	"65"	""	"vi"	false
"I]"	""	140	1.0	"D"	"I"	"I"	"I"	""	""	""	""	false
"I6"	""	140	2.0	"D"	"I"	""	"I"	""	"6"	""	""	false
"IV"	""	140	2.5	"D"	"I"	""	"IV"	""	""	""	""	false
"V(64)"	""	141	1.0	"D"	"I"	""	"V"	""	""	"64"	""	false
"V7"	""	141	2.0	"D"	"I"	""	"V"	""	"7"	""	""	false
"I"	""	142	1.0	"D"	"I"	""	"I"	""	""	""	""	false
"IV"	""	142	2.5	"D"	"I"	""	"IV"	""	""	""	""	false
"I"	""	143	1.0	"D"	"I"	""	"I"	""	""	""	""	false
"IV"	""	143	2.5	"D"	"I"	""	"IV"	""	""	""	""	false
"I"	""	144	1.0	"D"	"I"	""	"I"	""	""	""	""	false
"V6"	""	144	2.5	"D"	"I"	""	"V"	""	"6"	""	""	false
"V2/iv"	""	145	1.0	"D"	"I"	""	"V"	""	"2"	""	"iv"	false
"vi"	""	145	1.5	"D"	"I"	""	"vi"	""	""	""	""	false
"viio7/iv"	""	145	2.0	"D"	"I"	""	"vii"	"o"	"7"	""	"iv"	false
"V7/iv"	""	145	2.5	"D"	"I"	""	"V"	""	"7"	""	"iv"	false
"iv64"	""	146	1.0	"D"	"I"	""	"iv"	""	"64"	""	""	false
"II65/iv"	""	146	2.5	"D"	"I"	""	"II"	""	"65"	""	"iv"	false
"ii%65/iv"	""	147	1.0	"D"	"I"	""	"ii"	"%"	"65"	""	"iv"	false
"viio43/iv"	""	147	2.0	"D"	"I"	""	"vii"	"o"	"43"	""	"iv"	false
"iv6"	""	147	2.5	"D"	"I"	""	"iv"	""	"6"	""	""	false
"V"	""	148	1.0	"D"	"I"	""	"V"	""	""	""	""	false
"iiio7"	""	148	1.5	"D"	"I"	""	"iii"	"o"	"7"	""	""	false
"iiio6"	""	148	2.0	"D"	"I"	""	"iii"	"o"	"6"	""	""	false
"iv"	"ii/.bIII"	148	2.5	"D"	"I"	""	"iv"	""	""	""	""	false
"V7/.bIII"	""	149	1.0	"D"	"I"	""	"V"	""	"7"	""	"bIII"	false
".bIII64"	""	149	2.5	"D"	"I"	""	"bIII"	""	"64"	""	""	false
"V7/.bIII"	""	150	1.0	"D"	"I"	""	"V"	""	"7"	""	"bIII"	false
".bIII64"	""	150	2.5	"D"	"I"	""	"bIII"	""	"64"	""	""	false
"viio7"	""	151	1.0	"D"	"I"	""	"vii"	"o"	"7"	""	""	false
"V43"	""	151	2.5	"D"	"I"	""	"V"	""	"43"	""	""	false
"viio43"	""	152	1.0	"D"	"I"	""	"vii"	"o"	"43"	""	""	false
"V43"	""	152	1.5	"D"	"I"	""	"V"	""	"43"	""	""	false
"viio43"	""	152	2.0	"D"	"I"	""	"vii"	"o"	"43"	""	""	false
"V43"	""	152	2.5	"D"	"I"	""	"V"	""	"43"	""	""	false
"V[V7(b9)"	""	153	1.0	"D"	"I"	"V"	"V"	""	"7"	"b9"	""	false
"V7"	""	153	1.5	"D"	"I"	"V"	"V"	""	"7"	""	""	false
"I(b6)"	""	154	1.0	"D"	"I"	"V"	"I"	""	""	"b6"	""	false
"I"	""	154	1.5	"D"	"I"	"V"	"I"	""	""	""	""	false
"V43"	""	155	1.0	"D"	"I"	"V"	"V"	""	"43"	""	""	false
"I"	""	155	2.0	"D"	"I"	"V"	"I"	""	""	""	""	false
"V(6)"	""	156	1.0	"D"	"I"	"V"	"V"	""	""	"6"	""	false
"V]"	""	156	1.5	"D"	"I"	"V"	"V"	""	""	""	""	false
"V7(b9)"	""	157	1.0	"D"	"I"	""	"V"	""	"7"	"b9"	""	false
"I64(b6)"	""	158	1.0	"D"	"I"	""	"I"	""	"64"	"b6"	""	false
"V7"	""	159	1.0	"D"	"I"	""	"V"	""	"7"	""	""	false
"I64"	""	159	2.0	"D"	"I"	""	"I"	""	"64"	""	""	false
"V(6)"	""	160	1.0	"D"	"I"	""	"V"	""	""	"6"	""	false
"V"	""	160	1.5	"D"	"I"	""	"V"	""	""	""	""	false
"V7(b9)"	""	161	1.0	"D"	"I"	""	"V"	""	"7"	"b9"	""	false
"I(b6)"	""	162	1.0	"D"	"I"	""	"I"	""	""	"b6"	""	false
"IV(9)"	""	163	1.0	"D"	"I"	""	"IV"	""	""	"9"	""	false
"IV"	""	163	2.0	"D"	"I"	""	"IV"	""	""	""	""	false
"ii6"	""	164	1.0	"D"	"I"	""	"ii"	""	"6"	""	""	false
"viio7/vi"	""	164	2.0	"D"	"I"	""	"vii"	"o"	"7"	""	"vi"	false
"V7"	""	165	1.0	"D"	"I"	""	"V"	""	"7"	""	""	false
"I"	""	166	1.0	"D"	"I"	""	"I"	""	""	""	""	false
"V[V/V"	""	167	1.0	"D"	"I"	"V"	"V"	""	""	""	"V"	false
"vii7/V"	""	167	1.5	"D"	"I"	"V"	"vii"	""	"7"	""	"V"	false
"V7"	""	167	2.5	"D"	"I"	"V"	"V"	""	"7"	""	""	false
"I"	""	169	1.0	"D"	"I"	"V"	"I"	""	""	""	""	false
"I(9)"	""	170	1.0	"D"	"I"	"V"	"I"	""	""	"9"	""	false
"I"	""	170	1.5	"D"	"I"	"V"	"I"	""	""	""	""	false
"viio/V"	""	170	2.0	"D"	"I"	"V"	"vii"	"o"	""	""	"V"	false
"V7(9)"	""	171	1.0	"D"	"I"	"V"	"V"	""	"7"	"9"	""	false
"V7]"	""	171	2.0	"D"	"I"	"V"	"V"	""	"7"	""	""	false
"V2(4)/IV"	""	172	1.0	"D"	"I"	""	"V"	""	"2"	"4"	"IV"	false
"V2/IV"	""	172	2.0	"D"	"I"	""	"V"	""	"2"	""	"IV"	false
"IV6(9)"	""	173	1.0	"D"	"I"	""	"IV"	""	"6"	"9"	""	false
"vii/V"	""	173	2.0	"D"	"I"	""	"vii"	""	""	""	"V"	false
"v(64)"	""	174	1.0	"D"	"I"	""	"v"	""	""	"64"	""	false
"V(64)"	""	174	1.5	"D"	"I"	""	"V"	""	""	"64"	""	false
