"chord"	"altchord"	"measure"	"beat"	"global_key"	"local_key"	"organ"	"numeral"	"form"	"figbass"	"changes"	"relativeroot"	"phraseend"
"I6"	""	117	2.5	"a"	"I"	"I"	"I"	""	"6"	""	""	false
"#viio43"	""	117	3.5	"a"	"I"	"I"	"#vii"	"o"	"43"	""	""	false
"iv64"	""	118	1.0	"a"	"I"	"I"	"iv"	""	"64"	""	""	false
"iv64"	""	118	3.0	"a"	"I"	"I"	"iv"	""	"64"	""	""	false
".bII"	""	119	1.0	"a"	"I"	"I"	"bII"	""	""	""	""	false
".bV.V"	""	119	3.0	"a"	"bV"	"I"	"V"	""	""	""	""	false
"V2"	""	120	1.0	"a"	"bV"	"I"	"V"	""	"2"	""	""	false
"I6"	""	122	1.0	"a"	"bV"	"I"	"I"	""	"6"	""	""	false
"IV(4#2)"	""	122	2.5	"a"	"bV"	"I"	"IV"	""	""	"(4#2)"	""	false
"IV"	""	122	3.0	"a"	"bV"	"I"	"IV"	""	""	""	""	false
"V7"	""	123	1.0	"a"	"bV"	"I"	"V"	""	"7"	""	""	false
"I"	""	123	2.5	"a"	"bV"	"I"	"I"	""	""	""	""	false
"I6"	""	124	1.0	"a"	"bV"	"I"	"I"	""	"6"	""	""	false
"IV(4#2)"	""	124	2.5	"a"	"bV"	"I"	"IV"	""	""	"(4#2)"	""	false
"IV"	""	124	3.0	"a"	"bV"	"I"	"IV"	""	""	""	""	false
"V7"	""	125	1.0	"a"	"bV"	"I"	"V"	""	"7"	""	""	false
"V(64)"	""	125	2.5	"a"	"bV"	"I"	"V"	""	""	"(64)"	""	false
"V7"	""	125	3.5	"a"	"bV"	"I"	"V"	""	"7"	""	""	false
"I[I6"	""	126	1.0	"a"	"bV"	"I"	"I"	""	"6"	""	""	false
"V65"	""	126	2.5	"a"	"bV"	"I"	"V"	""	"65"	""	""	false
"I"	""	127	1.0	"a"	"bV"	"I"	"I"	""	""	""	""	false
"V65"	""	127	2.5	"a"	"bV"	"I"	"V"	""	"65"	""	""	false
"I"	""	128	1.0	"a"	"bV"	"I"	"I"	""	""	""	""	false
"I6"	""	128	2.5	"a"	"bV"	"I"	"I"	""	"6"	""	""	false
"viio6"	""	128	3.0	"a"	"bV"	"I"	"vii"	"o"	"6"	""	""	false
"V2"	""	129	1.0	"a"	"bV"	"I"	"V"	""	"2"	""	""	false
"I6]"	""	129	1.5	"a"	"bV"	"I"	"I"	""	"6"	""	""	false
"V(64)"	""	129	2.5	"a"	"bV"	""	"V"	""	""	"(64)"	""	false
"V7"	""	129	3.5	"a"	"bV"	""	"V"	""	"7"	""	""	false
"I\\\\"	""	130	1.0	"a"	"bV"	""	"I"	""	""	""	""	true
"I64"	""	130	2.5	"a"	"bV"	""	"I"	""	"64"	""	""	false
"I6"	""	131	1.0	"a"	"bV"	""	"I"	""	"6"	""	""	false
"I"	""	131	2.5	"a"	"bV"	""	"I"	""	""	""	""	false
"I64"	""	132	1.0	"a"	"bV"	""	"I"	""	"64"	""	""	false
"I"	""	132	2.5	"a"	"bV"	""	"I"	""	""	""	""	false
"i.#viio7/iv"	""	133	1.0	"a"	"i"	""	"#vii"	"o"	"7"	""	"iv"	false
"V65/iv"	""	133	2.5	"a"	"i"	""	"V"	""	"65"	""	"iv"	false
"iv(42)"	""	134	1.0	"a"	"i"	""	"iv"	""	""	"(42)"	""	false
"iv"	""	134	2.5	"a"	"i"	""	"iv"	""	""	""	""	false
"V7(+9)"	""	136	1.0	"a"	"i"	""	"V"	""	"7"	"(+9)"	""	false
"V7"	""	136	2.5	"a"	"i"	""	"V"	""	"7"	""	""	false
"V[i"	""	137	1.0	"a"	"i"	"V"	"i"	""	""	""	""	false
"#vi7"	""	137	2.5	"a"	"i"	"V"	"#vi"	""	"7"	""	""	false
"V6"	""	138	1.0	"a"	"i"	"V"	"V"	""	"6"	""	""	false
"i"	""	140	1.0	"a"	"i"	"V"	"i"	""	""	""	""	false
"V7"	""	141	1.0	"a"	"i"	"V"	"V"	""	"7"	""	""	false
"i64"	""	142	1.0	"a"	"i"	"V"	"i"	""	"64"	""	""	false
"V65"	""	142	2.5	"a"	"i"	"V"	"V"	""	"65"	""	""	false
"i"	""	143	1.0	"a"	"i"	"V"	"i"	""	""	""	""	false
"i6"	""	143	2.0	"a"	"i"	"V"	"i"	""	"6"	""	""	false
"V2"	""	143	2.5	"a"	"i"	"V"	"V"	""	"2"	""	""	false
"#viio6]"	""	143	3.5	"a"	"i"	"V"	"#vii"	"o"	"6"	""	""	false
